celex	statut	verifie_le
31971L0118	verifie	2026-08-23
31973L0044	verifie	2026-08-23
31979L0373	verifie	2026-08-23
31980L0511	verifie	2026-08-23
31980L0590	verifie	2026-08-23
31982L0471	verifie	2026-08-23
31983L0417	verifie	2026-08-23
31985L0577	verifie	2026-08-23
31987L0250	verifie	2026-08-23
31987L0357	verifie	2026-08-23
31989L0106	verifie	2026-08-23
31989L0662	verifie	2026-08-23
31990L0496	verifie	2026-08-23
31990L0619	verifie	2026-08-23
31991L0496	verifie	2026-08-23
31993L0013	verifie	2026-08-23
31993L0042	verifie	2026-08-23
31994L0047	verifie	2026-08-23
31995L0046	verifie	2026-08-23
31996L0073	verifie	2026-08-23
31996R0092	verifie	2026-08-23
31997L0007	verifie	2026-08-23
31997L0078	verifie	2026-08-23
31998L0027	verifie	2026-08-23
31999L0010	verifie	2026-08-23
31999L0044	verifie	2026-08-23
31999R0379	verifie	2026-08-23
31999R1493	verifie	2026-08-23
32000L0013	verifie	2026-08-23
32000L0031	verifie	2026-08-23
32000R0104	verifie	2026-08-23
32000R1760	verifie	2026-08-23
32000R1825	verifie	2026-08-23
32000R1980	verifie	2026-08-23
32000R2578	verifie	2026-08-23
32001L0018	verifie	2026-08-23
32001L0095	verifie	2026-08-23
32001L0112	verifie	2026-08-23
32001R0455	verifie	2026-08-23
32001R2042	verifie	2026-08-23
32001R2065	verifie	2026-08-23
32001R2495	verifie	2026-08-23
32001R2560	verifie	2026-08-23
32002L0022	verifie	2026-08-23
32002L0065	verifie	2026-08-23
32002L0067	verifie	2026-08-23
32002R0178	verifie	2026-08-23
32002R0796	verifie	2026-08-23
32002R1019	verifie	2026-08-23
32002R1964	verifie	2026-08-23
32003R1176	verifie	2026-08-23
32003R1829	verifie	2026-08-23
32003R1830	verifie	2026-08-23
32003R1831	verifie	2026-08-23
32003R1882	verifie	2026-08-23
32003R1989	verifie	2026-08-23
32003R2003	verifie	2026-08-23
32003R2065	verifie	2026-08-23
32004D0217	verifie	2026-08-23
32004L0042	verifie	2026-08-23
32004R0261	verifie	2026-08-23
32004R0406	verifie	2026-08-23
32004R0608	verifie	2026-08-23
32004R0648	verifie	2026-08-23
32004R0852	verifie	2026-08-23
32004R0853	verifie	2026-08-23
32004R0882	verifie	2026-08-23
32004R0885	verifie	2026-08-23
32004R1750	verifie	2026-08-23
32004R1935	verifie	2026-08-23
32004R2006	verifie	2026-08-23
32004R2076	verifie	2026-08-23
32005R0037	verifie	2026-08-23
32005R0183	verifie	2026-08-23
32005R0396	verifie	2026-08-23
32005R0790	verifie	2026-08-23
32005R1895	verifie	2026-08-23
32005R2073	verifie	2026-08-23
32006D0504	verifie	2026-08-23
32006R0178	verifie	2026-08-23
32006R0228	verifie	2026-08-23
32006R0401	verifie	2026-08-23
32006R0509	verifie	2026-08-23
32006R0510	verifie	2026-08-23
32006R0907	verifie	2026-08-23
32006R1044	verifie	2026-08-23
32006R1107	verifie	2026-08-23
32006R1184	verifie	2026-08-23
32006R1759	verifie	2026-08-23
32006R1791	verifie	2026-08-23
32006R1792	verifie	2026-08-23
32006R1881	verifie	2026-08-23
32006R1898	verifie	2026-08-23
32006R1924	verifie	2026-08-23
32006R1925	verifie	2026-08-23
32006R1981	verifie	2026-08-23
32006R2023	verifie	2026-08-23
32007R0162	verifie	2026-08-23
32007R0275	verifie	2026-08-23
32007R0445	verifie	2026-08-23
32007R0702	verifie	2026-08-23
32007R0834	verifie	2026-08-23
32007R1126	verifie	2026-08-23
32007R1182	verifie	2026-08-23
32007R1216	verifie	2026-08-23
32007R1234	verifie	2026-08-23
32007R1371	verifie	2026-08-23
32007R1580	verifie	2026-08-23
32008L0005	verifie	2026-08-23
32008L0048	verifie	2026-08-23
32008L0057	verifie	2026-08-23
32008L0121	verifie	2026-08-23
32008L0122	verifie	2026-08-23
32008R0107	verifie	2026-08-23
32008R0108	verifie	2026-08-23
32008R0109	verifie	2026-08-23
32008R0110	verifie	2026-08-23
32008R0149	verifie	2026-08-23
32008R0247	verifie	2026-08-23
32008R0248	verifie	2026-08-23
32008R0260	verifie	2026-08-23
32008R0282	verifie	2026-08-23
32008R0292	verifie	2026-08-23
32008R0298	verifie	2026-08-23
32008R0299	verifie	2026-08-23
32008R0352	verifie	2026-08-23
32008R0361	verifie	2026-08-23
32008R0417	verifie	2026-08-23
32008R0470	verifie	2026-08-23
32008R0479	verifie	2026-08-23
32008R0510	verifie	2026-08-23
32008R0514	verifie	2026-08-23
32008R0543	verifie	2026-08-23
32008R0565	verifie	2026-08-23
32008R0566	verifie	2026-08-23
32008R0589	verifie	2026-08-23
32008R0590	verifie	2026-08-23
32008R0598	verifie	2026-08-23
32008R0617	verifie	2026-08-23
32008R0629	verifie	2026-08-23
32008R0632	verifie	2026-08-23
32008R0640	verifie	2026-08-23
32008R0760	verifie	2026-08-23
32008R0765	verifie	2026-08-23
32008R0889	verifie	2026-08-23
32008R0936	verifie	2026-08-23
32008R1008	verifie	2026-08-23
32008R1050	verifie	2026-08-23
32008R1107	verifie	2026-08-23
32008R1137	verifie	2026-08-23
32008R1183	verifie	2026-08-23
32008R1221	verifie	2026-08-23
32008R1249	verifie	2026-08-23
32008R1272	verifie	2026-08-23
32008R1327	verifie	2026-08-23
32008R1332	verifie	2026-08-23
32008R1333	verifie	2026-08-23
32008R1334	verifie	2026-08-23
32008R1336	verifie	2026-08-23
32009L0022	verifie	2026-08-23
32009L0125	verifie	2026-08-23
32009R0013	verifie	2026-08-23
32009R0072	verifie	2026-08-23
32009R0182	verifie	2026-08-23
32009R0183	verifie	2026-08-23
32009R0313	verifie	2026-08-23
32009R0436	verifie	2026-08-23
32009R0450	verifie	2026-08-23
32009R0606	verifie	2026-08-23
32009R0607	verifie	2026-08-23
32009R0669	verifie	2026-08-23
32009R0767	verifie	2026-08-23
32009R0924	verifie	2026-08-23
32009R1069	verifie	2026-08-23
32009R1162	verifie	2026-08-23
32009R1223	verifie	2026-08-23
32009R1224	verifie	2026-08-23
32010L0030	verifie	2026-08-23
32010R0066	verifie	2026-08-23
32010R1059	verifie	2026-08-23
32010R1060	verifie	2026-08-23
32010R1061	verifie	2026-08-23
32010R1062	verifie	2026-08-23
32010R1093	verifie	2026-08-23
32010R1095	verifie	2026-08-23
32010R1177	verifie	2026-08-23
32011L0083	verifie	2026-08-23
32011R0010	verifie	2026-08-23
32011R0142	verifie	2026-08-23
32011R0181	verifie	2026-08-23
32011R0284	verifie	2026-08-23
32011R0305	verifie	2026-08-23
32011R0543	verifie	2026-08-23
32011R0626	verifie	2026-08-23
32011R0931	verifie	2026-08-23
32011R1007	verifie	2026-08-23
32011R1169	verifie	2026-08-23
32011R1333	verifie	2026-08-23
32012L0027	verifie	2026-08-23
32012R0029	verifie	2026-08-23
32012R0260	verifie	2026-08-23
32012R0392	verifie	2026-08-23
32012R0528	verifie	2026-08-23
32012R0531	verifie	2026-08-23
32012R0874	verifie	2026-08-23
32012R1025	verifie	2026-08-23
32012R1151	verifie	2026-08-23
32013L0036	verifie	2026-08-23
32013R0524	verifie	2026-08-23
32013R0609	verifie	2026-08-23
32013R0665	verifie	2026-08-23
32013R0716	verifie	2026-08-23
32013R0811	verifie	2026-08-23
32013R0812	verifie	2026-08-23
32013R1306	verifie	2026-08-23
32013R1308	verifie	2026-08-23
32013R1337	verifie	2026-08-23
32013R1379	verifie	2026-08-23
32014L0017	verifie	2026-08-23
32014L0094	verifie	2026-08-23
32014R0065	verifie	2026-08-23
32014R0251	verifie	2026-08-23
32014R0665	verifie	2026-08-23
32014R0668	verifie	2026-08-23
32014R0828	verifie	2026-08-23
32014R0910	verifie	2026-08-23
32014R1254	verifie	2026-08-23
32015L2366	verifie	2026-08-23
32015R0751	verifie	2026-08-23
32015R1094	verifie	2026-08-23
32015R1186	verifie	2026-08-23
32015R1187	verifie	2026-08-23
32015R2120	verifie	2026-08-23
32015R2283	verifie	2026-08-23
32016L0797	verifie	2026-08-23
32016R0127	verifie	2026-08-23
32016R0128	verifie	2026-08-23
32016R0425	verifie	2026-08-23
32016R0679	verifie	2026-08-23
32017R0625	verifie	2026-08-23
32017R0745	verifie	2026-08-23
32017R1369	verifie	2026-08-23
32017R1798	verifie	2026-08-23
32017R2394	verifie	2026-08-23
32018L1972	verifie	2026-08-23
32018R0273	verifie	2026-08-23
32018R0274	verifie	2026-08-23
32018R0302	verifie	2026-08-23
32018R0775	verifie	2026-08-23
32018R0848	verifie	2026-08-23
32018R0858	verifie	2026-08-23
32018R1139	verifie	2026-08-23
32019L0882	verifie	2026-08-23
32019L0944	verifie	2026-08-23
32019L1937	verifie	2026-08-23
32019L2161	verifie	2026-08-23
32019R0033	verifie	2026-08-23
32019R0034	verifie	2026-08-23
32019R0787	verifie	2026-08-23
32019R0934	verifie	2026-08-23
32019R0943	verifie	2026-08-23
32019R1020	verifie	2026-08-23
32019R1793	verifie	2026-08-23
32019R2013	verifie	2026-08-23
32019R2014	verifie	2026-08-23
32019R2015	verifie	2026-08-23
32019R2016	verifie	2026-08-23
32019R2017	verifie	2026-08-23
32019R2018	verifie	2026-08-23
32019R2243	verifie	2026-08-23
32020L1828	verifie	2026-08-23
32020R0464	verifie	2026-08-23
32020R2146	verifie	2026-08-23
32021R0279	verifie	2026-08-23
32021R0782	verifie	2026-08-23
32021R1165	verifie	2026-08-23
