dossier	chambre	stade	fichier	url
JORFDOLE000017758142	assemblee	Proposition de loi adoptée en deuxième lecture par l'Assemblée nationale le 10 janvier 2008	13-ta-ta0078.asp	http://www.assemblee-nationale.fr/13/ta/ta0078.asp
JORFDOLE000017758142	assemblee	Proposition de loi modifiée par l'Assemblée nationale le 11 décembre 2007	13-ta-ta0065.asp	http://www.assemblee-nationale.fr/13/ta/ta0065.asp
JORFDOLE000017758142	senat	Proposition de loi	leg-ppl06-369.html	http://www.senat.fr/leg/ppl06-369.html
JORFDOLE000017758142	senat	Proposition de loi adoptée en 1ère lecture par le Sénat le 1er octobre 2007	publication_pl-2006-2007-466.html	http://ameli.senat.fr/publication_pl/2006-2007/466.html
JORFDOLE000017758142	senat	Proposition de loi adoptée en deuxième lecture par le Sénat le 8 janvier 2008	publication_pl-2007-2008-137.html	http://ameli.senat.fr/publication_pl/2007-2008/137.html
JORFDOLE000017758143	assemblee	Projet de loi adopté par l'Assemblée nationale le 20 novembre 2007	13-ta-ta0052.asp	http://www.assemblee-nationale.fr/13/ta/ta0052.asp
JORFDOLE000017758167	assemblee	Proposition de loi	13-propositions-pion0177.asp	http://www.assemblee-nationale.fr/13/propositions/pion0177.asp
JORFDOLE000017758167	assemblee	Proposition de loi adoptée en 1ère lecture par l'Assemblée nationale le 9 octobre 2007	13-ta-ta0038.asp	http://www.assemblee-nationale.fr/13/ta/ta0038.asp
JORFDOLE000017758167	assemblee	Proposition de loi adoptée sans modification en 2ème lecture par l'Assemblée nationale le 11 décembre 2007	13-ta-ta0063.asp	http://www.assemblee-nationale.fr/13/ta/ta0063.asp
JORFDOLE000017758167	senat	Proposition de loi modifiée par le Sénat le 25 octobre 2007	leg-tas07-014.html	http://www.senat.fr/leg/tas07-014.html
JORFDOLE000017758176	assemblee	Texte modifié en 1ère lecture par l 'Assemblée nationale le 2 octobre 2007	13-ta-ta0037.asp	http://www.assemblee-nationale.fr/13/ta/ta0037.asp
JORFDOLE000017758176	senat	Texte adopté en 1ère lecture par le Sénat le 19 septembre 2007	leg-tas06-135.html	http://www.senat.fr/leg/tas06-135.html
JORFDOLE000017758176	senat	Texte adopté sans modification en 2ème lecture par le Sénat le 17 octobre 2007	leg-tas07-009.html	http://www.senat.fr/leg/tas07-009.html
JORFDOLE000017758233	assemblee	Projet de loi adopté en 1ère lecture par l'Assemblée nationale le 21 février 2007	12-ta-ta0683.asp	http://www.assemblee-nationale.fr/12/ta/ta0683.asp
JORFDOLE000017758233	assemblee	Projet de loi adopté par l'Assemblée nationale en CMP le 22 février 2007	12-ta-ta0704.asp	http://www.assemblee-nationale.fr/12/ta/ta0704.asp
JORFDOLE000017758233	senat	Projet de loi adopté le 1er février par le Sénat	publication_pl-2006-2007-170.html	http://ameli.senat.fr/publication_pl/2006-2007/170.html
JORFDOLE000017758328	assemblee	Texte adopté avec modifications en 2ème lecture par l'Assemblée nationale le 13 décembre 2006	12-ta-ta0632.asp	http://www.assemblee-nationale.fr/12/ta/ta0632.asp
JORFDOLE000017758328	assemblee	Texte adopté en lecture CMP par l'Assemblée nationale le 20 décembre 2006	12-ta-ta0640.asp	http://www.assemblee-nationale.fr/12/ta/ta0640.asp
JORFDOLE000017758328	assemblee	Texte modifié en 1ère lecture par l'Assemblée nationale le 30 mai 2006	12-ta-ta0579.asp	http://www.assemblee-nationale.fr/12/ta/ta0579.asp
