id_jorf	titre
JORFTEXT000000165175	LOI n° 94-114 du 10 février 1994 portant diverses dispositions concernant l'agriculture (1)
JORFTEXT000000177662	Loi n° 92-1336 du 16 décembre 1992 relative à l'entrée en vigueur du nouveau code pénal et à la modification de certaines dispositions de droit pénal et de procédure pénale rendue nécessaire par cette entrée en vigueur
JORFTEXT000000187054	Loi n° 95-96 du 1er février 1995 concernant les clauses abusives et la présentation des contrats et régissant diverses activités d'ordre économique et commercial (1)
JORFTEXT000000193354	LOI n° 96-314 du 12 avril 1996 portant diverses dispositions d'ordre économique et financier (1)
JORFTEXT000000193678	LOI n° 96-603 du 5 juillet 1996 relative au développement et à la promotion du commerce et de l'artisanat (1)
JORFTEXT000000206894	LOI n° 98-657 du 29 juillet 1998 d'orientation relative à la lutte contre les exclusions
JORFTEXT000000208347	LOI no 2001-43 du 16 janvier 2001 portant diverses dispositions d'adaptation au droit communautaire dans le domaine des transports (1)
JORFTEXT000000210778	Décret no 99-513 du 16 juin 1999 modifiant la partie Réglementaire du code de la consommation
JORFTEXT000000219662	Ordonnance n° 2000-912 du 18 septembre 2000 relative à la partie législative du code de commerce
JORFTEXT000000219672	Ordonnance n° 2000-916 du 19 septembre 2000 portant adaptation de la valeur en euros de certains montants exprimés en francs dans les textes législatifs
JORFTEXT000000221801	Décret no 2001-300 du 4 avril 2001 relatif à l'organisation et au fonctionnement de l'Institut national de la consommation et modifiant le code de la consommation
JORFTEXT000000221912	LOI n° 2001-1168 du 11 décembre 2001 portant mesures urgentes de réformes à caractère économique et financier (1)
JORFTEXT000000223114	LOI n° 2001-420 du 15 mai 2001 relative aux nouvelles régulations économiques (1)
JORFTEXT000000223691	LOI n° 2001-602 du 9 juillet 2001 d'orientation sur la forêt (1)
JORFTEXT000000238980	LOI n° 2006-872 du 13 juillet 2006 portant engagement national pour le logement (1)
JORFTEXT000000242359	Décret n° 2006-781 du 3 juillet 2006 fixant les conditions et les modalités de règlement des frais occasionnés par les déplacements temporaires des personnels civils de l'Etat
JORFTEXT000000244125	Décret n° 2006-1677 du 22 décembre 2006 relatif à la répartition des missions d'expertise du Conseil supérieur d'hygiène publique de France entre le Haut Conseil de la santé publique et les agences de sécurité sanitaire et modifiant le code général des collectivités territoriales, le code de la consommation et le code de la santé publique (partie réglementaire)
JORFTEXT000000245504	Décret n° 2007-1230 du 20 août 2007 sanctionnant les manquements aux dispositions de la section 12 du code de la consommation et modifiant le code de la consommation
JORFTEXT000000249843	Ordonnance n° 2004-274 du 25 mars 2004 portant simplification du droit et des formalités pour les entreprises
JORFTEXT000000249995	LOI n° 2004-204 du 9 mars 2004 portant adaptation de la justice aux évolutions de la criminalité (1)
JORFTEXT000000257340	LOI n° 2005-157 du 23 février 2005 relative au développement des territoires ruraux (1)
JORFTEXT000000257818	Ordonnance n° 2005-136 du 17 février 2005 relative à la garantie de la conformité du bien au contrat due par le vendeur au consommateur
JORFTEXT000000259568	Décret n° 2005-331 du 6 avril 2005 portant incorporation au livre des procédures fiscales de divers textes modifiant et complétant certaines dispositions de ce livre
JORFTEXT000000259993	Ordonnance n° 2005-648 du 6 juin 2005 relative à la commercialisation à distance de services financiers auprès des consommateurs
JORFTEXT000000262911	Décret n° 2005-944 du 2 août 2005 relatif à l'étiquetage des denrées alimentaires, modifiant les dispositions du code de la consommation et le décret n° 64-949 du 9 septembre 1964 portant application de la loi du 1er août 1905 sur la répression des fraudes en ce qui concerne les produits surgelés
JORFTEXT000000264992	LOI n° 2006-11 du 5 janvier 2006 d'orientation agricole (1)
JORFTEXT000000271094	LOI n° 2007-290 du 5 mars 2007 instituant le droit au logement opposable et portant diverses mesures en faveur de la cohésion sociale
JORFTEXT000000272961	Décret n° 2006-513 du 4 mai 2006 pris en application des articles L. 470-4-1 du code de commerce, L. 141-2 et L. 216-11 du code de la consommation relatifs au règlement transactionnel et modifiant le code de la consommation (partie réglementaire)
JORFTEXT000000274876	Décret n° 2006-1632 du 19 décembre 2006 fixant les conditions de mise en oeuvre des procédures mentionnées au V de l'article L. 141-1 du code de la consommation devant les juridictions administratives et civiles
JORFTEXT000000279082	LOI n° 2007-1544 du 29 octobre 2007 de lutte contre la contrefaçon (1)
JORFTEXT000000350926	LOI n° 95-125 du 8 février 1995 relative à l'organisation des juridictions et à la procédure civile, pénale et administrative (1)
JORFTEXT000000377464	Décret no 99-65 du 1er février 1999 relatif à la procédure de traitement des situations de surendettement des particuliers et modifiant certaines dispositions du titre III du livre III du code de la consommation
JORFTEXT000000383100	Décret n° 97-298 du 27 mars 1997 relatif au code de la consommation (partie Réglementaire)
JORFTEXT000000387470	LOI no 98-46 du 23 janvier 1998 renforçant la protection des personnes surendettées en cas de saisie immobilière (1)
JORFTEXT000000395772	LOI no 99-532 du 25 juin 1999 relative à l'épargne et à la sécurité financière (1)
JORFTEXT000000395813	LOI n° 99-574 du 9 juillet 1999 d'orientation agricole
JORFTEXT000000398183	Décret n° 99-1233 du 31 décembre 1999 relatif aux expertises et modifiant les articles R. 215-18 et R. 215-20 du code de la consommation
JORFTEXT000000404525	Décret n° 2001-95 du 2 février 2001 portant adaptation de la valeur en euros de certains montants exprimés en francs (dispositions réglementaires issues de décrets en Conseil d’État : ministère de l'économie, des finances et de l'industrie)
JORFTEXT000000404526	Décret n° 2001-96 du 2 février 2001 portant adaptation de la valeur en euros de certains montants exprimés en francs (dispositions réglementaires issues de décrets : ministère de l'économie, des finances et de l'industrie)
