id_dole	nature	legislature	articles_en_vigueur	textes	titre
JORFDOLE000017758142	loi	13	2	JORFTEXT000017942023	Loi n° 2008-66 du 21 janvier 2008 relative aux tarifs réglementésd'électricité et de gaz naturel
JORFDOLE000017758143	loi	13	35	JORFTEXT000017661897	Loi n°2007-1774 du 17 décembre 2007 portant diverses dispositions d'adaptation au droit communautaire dans les domaines économique et financier
JORFDOLE000017758167	loi	13	2	JORFTEXT000017727195	LOI n° 2007-1787 du 20 décembre 2007 relative à la simplification du droit
JORFDOLE000017758176	loi	13	13	JORFTEXT000000279082	LOI n° 2007-1544 du 29 octobre 2007 de lutte contre la contrefaçon
JORFDOLE000017758233	loi	12	28	JORFTEXT000000271094	LOI n° 2007-290 du 5 mars 2007 instituant le droit au logement opposable et portant diverses mesures en faveur de la cohésion sociale
JORFDOLE000017758328	loi	12	4	JORFTEXT000000649171	LOI n° 2006-1772 du 30 décembre 2006 sur l'eau et les milieux aquatiques
JORFDOLE000017758391	loi	12	50	JORFTEXT000000462914	LOI n° 2006-1537 du 7 décembre 2006 relative au secteur de l'énergie
JORFDOLE000017758446	loi	12	4	JORFTEXT000000238980	LOI n° 2006-872 du 13 juillet 2006 portant engagement national pour le logement
JORFDOLE000017758534	loi	12	1	JORFTEXT000000607494	LOI n° 2006-406 du 5 avril 2006 relative à la garantie de conformité du bien au contrat due par le vendeur au consommateur et à la responsabilité du fait des produits défectueux
JORFDOLE000017758603	loi	12	5	JORFTEXT000000264992	LOI n° 2006-11 du 5 janvier 2006 d'orientation agricole
JORFDOLE000017758604	loi	12	9	JORFTEXT000000456019	LOI n° 2006-10 du 5 janvier 2006 relative à la sécurité et au développement des transports
JORFDOLE000017758692	loi	12	4	JORFTEXT000000452052	LOI n° 2005-882 du 2 août 2005 en faveur des petites et moyennes entreprises
JORFDOLE000017758767	loi	12	2	JORFTEXT000000632799	LOI n° 2005-841 du 26 juillet 2005 relative au développement des services à la personne et portant diverses mesures en faveur de la cohésion sociale
JORFDOLE000017758855	loi	12	10	JORFTEXT000000446769	LOI n° 2005-516 du 20 mai 2005 relative à la régulation des activités postales
JORFDOLE000017758964	loi	12	3	JORFTEXT000000257340	LOI n° 2005-157 du 23 février 2005 relative au développement des territoires ruraux
JORFDOLE000017759076	loi	12	26	JORFTEXT000000606011	LOI n° 2005-67 du 28 janvier 2005 tendant à conforter la confiance et la protection du consommateur
JORFDOLE000017759081	loi	12	15	JORFTEXT000000806166	LOI n° 2005-32 du 18 janvier 2005 de programmation pour la cohésion sociale
JORFDOLE000017759386	loi	12	10	JORFTEXT000000441676	LOI n° 2004-801 du 6 août 2004 relative à la protection des personnes physiques à l'égard des traitements de données à caractère personnel et modifiant la loi n° 78-17 du 6 janvier 1978 relative à l'informatique, aux fichiers et aux libertés
JORFDOLE000017759445	loi	12	6	JORFTEXT000000439399	LOI n° 2004-669 du 9 juillet 2004 relative aux communications électroniques et aux services de communication audiovisuelle
JORFDOLE000017759461	loi	12	7	JORFTEXT000000801164	LOI n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique
JORFDOLE000017760141	loi	12	92	JORFTEXT000000428979	LOI n° 2003-710 du 1er août 2003 d'orientation et de programmation pour la ville et la rénovation urbaine
JORFDOLE000017760197	loi	12	28	JORFTEXT000000428977	LOI n° 2003-706 du 1er août 2003 de sécurité financière
JORFDOLE000017760408	loi	12	2	JORFTEXT000000412199	Loi n° 2003-239 du 18 mars 2003 pour la sécurité intérieure
JORFDOLE000017760742	ordonnance	12	89	JORFTEXT000000639090	Ordonnance n° 2006-346 du 23 mars 2006 relative aux sûretés
JORFDOLE000017760830	ordonnance	12	44	JORFTEXT000000447729	Ordonnance n° 2005-1086 du 1er septembre 2005 instaurant un règlement transactionnel pour les contraventions au code de commerce et au code de la consommation et portant adaptation des pouvoirs d'enquête et renforcement de la coopération administrative en matière de protection des consommateurs
JORFDOLE000017760926	ordonnance	12	30	JORFTEXT000000259993	Ordonnance n° 2005-648 du 6 juin 2005 relative à la commercialisation à distance de services financiers auprès des consommateurs
