num_article,strate,id_legi,texte_origine,id_dole_origine,proposition_document,proposition_offset_debut,proposition_offset_fin,proposition_grain,proposition_declaree_en_entete,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire,proposition_jugee,annotateur,date,dossiers
L312-45,eligible_L12_L15,LEGIARTI000032226090,LOI n°2010-737 du 1er juillet 2010,JORFDOLE000020542090,JORFDOLE000020542090__l09-538_mono.html,105237,107066,article,1,JORFDOLE000020542090__r2150.asp,360108,360426,"un article très important qui impose au vendeur d’un bien, lorsque l’achat de celui-ci est financé à crédit, de le préciser dans le contrat de vente. Cette mention permet en effet à l’emprunteur de bénéficier du régime d’interdépendance des contrats, puisque ceux-ci forment alors une « opération commerciale unique ».",motive,"L'article L312-45 (mention, dans le contrat de vente ou de prestation de services, du financement à l'aide d'un crédit, quelle que soit l'identité du prêteur) reprend, après recodification par l'ordonnance n°2016-301 du 14 mars 2016, l'ancien article L311-34 issu de la loi n°2010-737 du 1er juillet 2010, lui-même ex-L311-23 créé par la loi de codification n°93-949 du 26 juillet 1993. L'historique LEGI trace bien la chaîne L311-23 -> L311-34 -> L312-45, mais c'est dans les travaux de la loi de 2010 qu'on trouve la raison du dispositif. Le rapport de la commission spéciale de l'Assemblée nationale (n°2150, M. François Loos), document 7 du corpus, examine l'article du projet de loi dont le C modifie L311-34 (ex L. 311-23), et consacre un passage dédié à CET article : il explique que ce dispositif impose au vendeur de préciser dans le contrat de vente que l'achat est financé à crédit, et que cette mention permet à l'emprunteur de bénéficier du régime d'interdépendance des contrats, ceux-ci formant une opération commerciale unique. D'où verdict motive. Recherche exhaustive : les 11 versions LEGI ; les documents 1 à 8 de la fiche ; mentions de L311-21/L311-23/L311-32/L311-34 dans les documents 4, 6 et 7 ; recherches 'corpus' sur les mots du dispositif ('quelle que soit l'identité du prêteur' = 0 occurrence sur 372 documents ; 'Chaque fois que le paiement du prix' et 'paiement du prix sera acquitté' = 1 seule occurrence, simple reproduction du droit en vigueur dans le tableau comparatif du rapport). Concordances manquantes signalées : l'origine réelle du dispositif est antérieure à 1993 (loi Scrivener n°78-22 du 10 janvier 1978, seulement évoquée dans le corpus, jamais citée mot pour mot) ; LEGI ne déclare pas la concordance L311-23/L311-34 et la fiche ne remonte qu'à la loi de codification de 1993 ; l'ajout de la formule 'quelle que soit l'identité du prêteur' (2010) n'est expliqué par aucun passage. La proposition machine (document 6, 'Article 10 - Crédit affecté', commentaire général sur tout le chapitre) ne traitait pas spécifiquement de l'article ; je lui substitue le passage dédié du document 7. Le début du passage est saisi sans le mot initial 'L'article' car l'outil ne transporte pas l'apostrophe typographique du document.",corrigee,agent:deepseek-v4p1-flash,2026-09-19,JORFDOLE000017760742 JORFDOLE000020542090 JORFDOLE000032223954
L224-35,eligible_L12_L15,LEGIARTI000032226650,LOI n°2008-3 du 3 janvier 2008,JORFDOLE000017841208,JORFDOLE000017841208__l07-111_mono.html,147652,155900,article,1,JORFDOLE000017841208__l07-111_mono.html,150168,150714,"Votre commission estime opportun ce plafonnement des délais de restitution des avances consenties à l'opérateur puisque sera ainsi réduit l'impact monétaire, pour le consommateur, d'un changement de fournisseur. Ceci contribuera à faciliter le changement d'opérateur. De même, elle juge bienvenu l'encadrement à dix jours de la durée du préavis de résiliation que peuvent exiger les opérateurs, d'aut",motive,"Le rapport de commission du Sénat (document 3, JORFDOLE000017841208__l07-111_mono.html) explique explicitement la raison d'être de l'article L. 121-84-1 (devenu L224-35 par recodification 2016) : plafonner les délais de restitution des avances et dépôts de garantie pour réduire l'impact monétaire sur le consommateur lors d'un changement de fournisseur, ce qui facilite le changement d'opérateur. Le passage désigné (offsets ~150168-150694) nomme l'article L. 121-84-1, en décrit le dispositif (restitution sous 10 jours après paiement de la dernière facture, 30 jours max après fin de contrat), et donne la motivation de la commission : 'Votre commission estime opportun ce plafonnement des délais de restitution des avances consenties à l'opérateur puisque sera ainsi réduit l'impact monétaire, pour le consommateur, d'un changement de fournisseur. Ceci contribuera à faciliter le changement d'opérateur.' Le rapport de l'Assemblée (document 4) confirme cette motivation aux offsets ~166300-167800. L'historique est suivi exhaustivement : loi d'origine 2008 (dossier JORFDOLE000017841208), recodification 2016 (dossier JORFDOLE000032223954 - rapport au Président sans mention de l'article).",corrigee,agent:nemotron-3-ultra-nvfp4,2026-09-19,JORFDOLE000017841208 JORFDOLE000032223954
L412-6,eligible_L12_L15,LEGIARTI000032744957,LOI n°2016-816 du 20 juin 2016,JORFDOLE000031978450,,,,,,JORFDOLE000031978450__r3178.asp,415012,415463,"de la PPL prévoit que mention soit faite, dans les restaurants et points de vente à emporter, du pays d’origine des produits aquatiques – poissons, coquillages, crustacés. Il renforce ainsi les exigences d’information des consommateurs et vise indirectement à favoriser les produits nationaux. Toutefois, pour ne pas alourdir les contraintes rencontrées par les professionnels de la restauration, il ",motive,"Article créé par l'art. 22 de la PPL pour l'économie bleue (loi 2016-816 du 20 juin 2016) sous le n° L. 121-82-3 du code de la consommation, renuméroté L412-6 à la recodification du 1er juillet 2016 : LEGI déclare « numéros antérieurs : aucun », c'est une concordance manquante (L121-82-3 figure dans les docs 2, 3 et 4). Le passage cité, de la rapporteure pour avis de la commission des affaires économiques au rapport AN n° 3178 (1re lecture), motive bien cet article : objet (mention sur les cartes, en restauration et vente à emporter, du pays d'origine des produits aquatiques), raison (renforcer l'information des consommateurs, favoriser les produits nationaux) et, surtout, le trait propre du texte final « peuvent préciser » : rendre la mention facultative « pour ne pas alourdir les contraintes rencontrées par les professionnels de la restauration » — argument défendu ici (amendement CD109, alors rejeté en commission) puis qui a prévalu : le rapport CMP n° 3672 (doc 4) rétablit « peuvent préciser » sans discuter l'article, tandis que le rapport Sénat n° 430 (doc 2) documente la version contraire (COM-48, obligatoire). Consulté : les 4 documents du dossier JORFDOLE000031978450 via recherches « capture », « aquatique », « zone de capture ou de production », « économie bleue » ; corpus sur « zone de capture ou de production » (3 docs, tous de ce dossier — rien à rattacher). La loi 2026-796 du 18 août 2026, qui modifiera l'article au 1er janvier 2028, n'a pas de dossier législatif connu de DOLE ni de document au corpus ; la version en vigueur visée reste celle de la loi de 2016. Machine : aucune proposition ; verdict motive rendu sur recherche par mots du dispositif.",aucune,agent:glm-5p3-flash,2026-09-19,JORFDOLE000031978450
L511-22,eligible_L12_L15,LEGIARTI000041985451,LOI n°2011-525 du 17 mai 2011,JORFDOLE000021369332,JORFDOLE000021369332__r3112.asp,890819,901082,article,0,JORFDOLE000032669047__l16-189_mono.html,73433,73697,Les 7° et 8° modifient respectivement les articles L. 511-22 et L. 511-23 afin de procéder à des corrections de même nature s'agissant des autres agents habilités à constater certains manquements aux obligations imposées par le code de la consommation.,motive,"L511-22 en vigueur vient de la recodification (ord. 2016-301) des anciens L115-31, L215-1 et L218-1-1, modifiée en dernier lieu par l'ord. 2020-701. Le rapport au Président de cette dernière (dossier JORFDOLE000041985018, doc 56) ne nomme pas L511-22 et n'expose que le dispositif d'ensemble de la surveillance du marché des véhicules à moteur (elle ajoute le § III sur les agents du code de la route) : il ne motive pas cet article. La proposition de la machine (dossier 2011 de la loi 2011-525, art. 54 quater) est le texte normatif d'un amendement de coordination sur la métrologie, non une explication : corrigée. En suivant chaque texte de l'historique, l'explication de la rédaction en vigueur du premier alinéa du I (renvois à L. 521-1, section 2 du ch. Ier du t. II, section 1 du ch. Ier du t. III) se trouve dans le rapport de la commission des affaires économiques du Sénat sur le projet de loi de ratification de l'ord. 2016-301 (loi 2017-203) : le 7° de l'article 6 complète L511-22 des manquements omis, comme pour L511-11 et L511-17. J'ai aussi consulté, sans les retenir, les rapports des lois 2014-344 (art. 47, actualisation de la liste des agents : motive des items isolés) et 2015-616 (art. 9, renvoi au code rural), et le rapport de l'ord. 2016-301, qui motive le livre V dans son ensemble (dossier_seulement). Concordance signalée : LEGI rattache L511-22 à L215-1/L115-31/L218-1-1, et le rapport de 2017 nomme directement L511-22.",corrigee,agent:deepseek-v4p1-flash,2026-09-19,JORFDOLE000017761046 JORFDOLE000017841208 JORFDOLE000018730653 JORFDOLE000021369332 JORFDOLE000021897051 JORFDOLE000021947750 JORFDOLE000021947761 JORFDOLE000022204474 JORFDOLE000022204475 JORFDOLE000022204481 JORFDOLE000026886919 JORFDOLE000027383756 JORFDOLE000030677245 JORFDOLE000032223954 JORFDOLE000032669047 JORFDOLE000041985018
L231-1,eligible_L12_L15,LEGIARTI000032226441,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__r1574.asp,160788,162564,article,0,JORFDOLE000027383756__l12-809-1_mono.html,107669,108317,"La notion de lien étroit avec un État membre, fondamentale dans le droit européen de la consommation, impacte plusieurs articles du code de la consommation (articles L. 121-24, L. 121-32, L. 135-1 et L. 211-18). Plutôt que de répéter dans chacun de ces articles la même définition du lien étroit, comme c'était le cas dans le texte proposé par le Gouvernement, votre commission a préféré, sur proposi",motive,"L. 231-1 recodifie à droit constant l'ancien L. 139-1, créé par l'article 3 bis de la loi Hamon (n° 2014-344), introduit sur amendement de la commission des affaires économiques du Sénat (seuls les renvois changent : L. 121-24/L. 121-32/L. 135-1/L. 211-18 devenus L. 232-1 à L. 232-4). Passage retenu : le commentaire ORIGINEL de cet article 3 bis dans le rapport du Sénat de première lecture (l12-809-1, tome 1) — la raison d'être de l'article y est explicite : plutôt que de répéter la définition du « lien étroit » dans chacun des quatre articles visés (le texte du Gouvernement, art. 5, 14 et 15, le faisait), le Sénat l'a « mise en facteur commun » et isolée dans un seul et même article de code. Les quatre articles cités sont exactement les renvois de l'ancien L. 139-1. Ce passage dit « cet article additionnel » sans numéro : il a échappé au moteur de mentions, d'où la correction de la proposition, qui désignait le même commentaire redit de seconde main dans le rapport AN n° 1574 (doc [9], @161017 — pertinent mais moins originel, et il omet L. 121-32). Consulté : étude d'impact (commente les art. 5/14/15 du texte gouvernemental, antérieurs à la factorisation), exposé des motifs (rien), rapport AN n° 1156 (1re lecture), r1574 (AN 2e lecture), l13-282 (Sénat 2e lecture, commentaire équivalent @60006), r1773 (CMP : article 3 bis déclaré conforme), et le rapport au Président de l'ordonnance du 14 mars 2016 lu intégralement (ne nomme pas l'article, aucun passage au dispositif). Corpus « lien étroit avec le territoire » : deux dossiers hors historique (JORFDOLE000020542090, crédit 2010 ; rapport AN 16e législature n° 144) citent le syntagme sans avoir produit de version de l'article — rien à rattacher ; LEGI déclare bien la concordance L139-1 → L231-1. Les mentions « L. 231-1 » des docs [1], [4], [5], [8] sont celles de l'homonyme du code du tourisme (VTC), hors sujet.",corrigee,agent:glm-5p3,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954
L413-3,eligible_L12_L15,LEGIARTI000034072879,LOI n°2015-990 du 6 août 2015,JORFDOLE000029883713,JORFDOLE000029883713__l14-370-1_mono.html,230072,231505,article,1,,,,,non_documente,"Relecture par agent:claude-opus-5 : la base motive par le commentaire de l'article 65 de la loi Hamon (renforcement des peines, ex-L213-3/L213-4 nommés en en-tête), qui ne dit rien de l'exclusion des fruits frais, préexistante (loi 1905). Affirmation non étayée du graphe : la section commente l'article-hôte, pas ce que cet article dit. Verdict de l'agent glm-5p3 confirmé.",hors_sujet,agent:claude-opus-5,2026-09-19,JORFDOLE000026870905 JORFDOLE000027383756 JORFDOLE000029883713 JORFDOLE000032223954 JORFDOLE000037320052
L224-43,eligible_L12_L15,LEGIARTI000032226629,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__r1574.asp,726908,729979,article,1,JORFDOLE000027383756__l12-809-1_mono.html,762151,763349,"L. 121-42 pose le principe général du dispositif dans son premier alinéa. L'obligation d'information s'applique aux opérateurs de communications électroniques, au sens qu'en donne le 6° de l'article L. 32 du code des postes et communications électroniques, qui exploitent un numéro à valeur ajoutée, l'abonné auquel ce numéro est affecté - c'est-à-dire la société qui utilise ce numéro pour commercia",motive,"Le rapport de la commission des affaires économiques de l'Assemblée nationale sur la loi Hamon (1re lecture, n° 809-1, document 4) décrit article par article les anciens L. 121-42 à L. 121-47. Le passage cité motive précisément L. 121-42, devenu L. 224-43 par l'ordonnance n° 2016-301 : « L'article L. 121-42 pose le principe général du dispositif dans son premier alinéa. L'obligation d'information s'applique aux opérateurs de communications électroniques (6° de l'article L. 32 CPCE), qui exploitent un numéro à valeur ajoutée, l'abonné auquel ce numéro est affecté, et, s'il est différent, le fournisseur du produit ou service. Ces différents acteurs sont tenus de mettre gratuitement à la disposition des consommateurs et en ligne un instrument l'informant sur les caractéristiques de la prestation proposée et de son auteur (nom du service, du fournisseur et de son site internet, et moyens de réclamation ouverts). Le deuxième alinéa prévoit le maintien d'un tel outil pendant une période d'un an (...) et précise que les professionnels peuvent le mutualiser. Le troisième alinéa fait obligation à l'opérateur d'informer ses abonnés. Le quatrième alinéa interdit aux abonnés de s'opposer à l'usage des informations fournies (...) afin de constituer et d'alimenter l'instrument ». L'actuel L. 224-43 reprend ces trois portes (opérateur, abonné, fournisseur), le contenu informatif (nom, fournisseur, site, adresse, réclamations), la durée minimale de douze mois et la mutualisation, en y ajoutant explicitement les acc\u00e8s uniques demand\u00e9s par le S\u00e9nat (cf. doc 7 et 10). Le doc 9 (r1574), proposé par la machine, ne dit rien de L. 121-42 pris isolément — il motive le bloc 72 bis. Concordance : l'historique déclare L121-42 -> L224-43 ; LEGI ne le dit pas explicitement, mais le passage commenté dans le rapport Hamon a pour cible directe l'ancien numéro de notre article.",corrigee,agent:minimax-m3,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954
L711-5,eligible_L12_L15,LEGIARTI000033461361,LOI n°2013-672 du 26 juillet 2013,JORFDOLE000026795365,JORFDOLE000026795365__l12-681.html,13989,17495,article,0,JORFDOLE000020542090__r2150.asp,517536,518520,"Cette disposition vient mettre en cause un arrêt de la Cour d’appel de Paris en date du 13 mars 2007, qui avait décidé l’effacement total de la dette et la restitution du gage d’un emprunteur gagiste, dans le cadre d’une procédure de rétablissement personnel. Un rapport de la Chambre régionale des comptes d’Ile-de-France sur la Caisse de crédit municipal de Paris en date du 11 septembre 2008 estim",motive,"L'article L. 711-5 (issu de l'ancien L. 333-1-2 créé par la loi n° 2010-737 du 1er juillet 2010, dit « loi Lagarde ») interdit l'effacement des dettes issues de prêts sur gage souscrits auprès des caisses de crédit municipal et empêche que la réalisation du gage soit différée au-delà du terme contractuel. Le passage retenu du rapport de la commission des lois (n° 2150) de l'Assemblée nationale explique directement le dispositif : il vient en réaction à un arrêt de la Cour d'appel de Paris du 13 mars 2007 qui avait décidé l'effacement total de la dette et la restitution du gage d'un emprunteur gagiste dans le cadre d'un rétablissement personnel. Le rapporteur cite un rapport de la Chambre régionale des comptes d'Ile-de-France du 11 septembre 2008 sur la Caisse de crédit municipal de Paris, qui souligne les risques financiers et le renchérissement du coût d'accès aux prêts sur gages qu'emporterait une telle jurisprudence si elle était confirmée. Le rapporteur en conclut qu'il faut veiller à l'équilibre financier de ce système, son dispositif permettant l'octroi de près de 700 000 prêts en 2008 à des emprunteurs souvent exclus du système bancaire. Le passage motive donc précisément cet article, dont le contenu (L. 711-5) reste identique au L. 333-1-2 originel, les modifications ultérieures (loi 2013-672, ordonnance 2016-301, loi 2016-1547) n'ayant fait qu'actualiser les références sans toucher au fond.",corrigee,agent:minimax-m3,2026-09-19,JORFDOLE000020542090 JORFDOLE000026795365 JORFDOLE000030962821 JORFDOLE000032223954
L341-40,eligible_L12_L15,LEGIARTI000032395659,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__r1156.asp,1127973,1131422,article,1,JORFDOLE000027383756__etude-impact-1.txt,526361,526597,"Non-respect du délai de 10 jours pour signature de l’offre de crédit immobilier, vis-à-vis de l’emprunteur ou des cautions (article L. 312-33 alinéa 2 du code de la consommation) Amende de 30 000 euros Art. 66 1) Amende de 300 000 euros",motive,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:deepseek-v4p1-flash : relecture : le passage désigné porte sur le dispositif de l'article ; la base motive par un autre document du même dossier, ce qui ne contredit pas] Le dispositif de L341-40 est l'ancien alinéa 2 de L312-33 (créé par la loi 93-949, code de la consommation, puis conservé) : le fait pour le prêteur de faire souscrire ou de recevoir l'acceptation d'une offre non datée ou à date fausse, puni de 300 000 euros. Le montant vient de la loi n°2014-344 du 17 mars 2014 (Hamon), art. 66, qui a décuplé les peines de 30 000 euros ; l'ordonnance n°2016-351 n'a fait que recoder (versions : 2002 v. = 3 750 euros à l'alinéa 1, 30 000 euros à l'alinéa 2 ; 2014 v. = 300 000 euros). J'ai cherché le passage expliquant ce dispositif précis. Le tableau de l'étude d'impact (doc 1, dossier JORFDOLE000027383756 = loi 2014-344) isole explicitement « article L. 312-33 alinéa 2 » et décrit l'infraction même de l'article (« Non-respect du délai de 10 jours pour signature de l'offre de crédit immobilier, vis-à-vis de l'emprunteur ou des cautions »), puis donne « Amende de 30 000 euros / Art. 66 / 1) Amende de 300 000 euros » : c'est la raison inscrite du montant actuel. Le commentaire de l'art. 66 dans les rapports de commission (doc 8 r1156.asp, doc 4 l12-809-1_mono.html) corrobore le passage de 30 000 à 300 000 euros (« Celles plafonnées à 30 000 euros sont décuplées et passeront à 300 000 euros »), mais il est moins précis : dans le doc 8 l'article L. 312-33 n'est décrit qu'à travers son alinéa 1 à 3 750 euros, et le 30 000→300 000 y est énoncé globalement sans nommer l'alinéa 2 ; le texte de commission (doc 9, « 1° bis À la fin du deuxième alinéa, le montant : 30 000 € ... 300 000 € ») confirme la modification. Les rapports au Président des ordonnances 2016-301 (doc 11) et 2016-351 (doc 12) ne nomment pas l'article et traitent la recodification/transposition, pas ce dispositif. La création de l'infraction en 1993 (loi 93-949) n'a pas de dossier DOLE au corpus. Aucune concordance manquante : LEGI déclare la chaîne L312-33 → L341-40.",corrigee,agent:claude-opus-5,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954 JORFDOLE000032302646 JORFDOLE000037320052
L216-5,eligible_L12_L15,LEGIARTI000044142476,LOI n°2014-344 du 17 mars 2014,JORFDOLE000027383756,JORFDOLE000027383756__l12-809-1_mono.html,535621,537595,article,1,,,,,non_documente,"[confirmé en relecture par agent:claude-opus-5 le 2026-09-19, verdict de agent:minimax-m3 : relecture : LEGI fait descendre L216-5 de L138-5 (loi Hamon, transfert de risque), mais le dispositif en vigueur (coût de livraison et de mise en service, écrit à l'entrée en possession) y a été déplacé par l'ordonnance 2021-1247 depuis les anciens L217-18 à L217-20 — le rapport au Président le dit sans le motiver. Concordance manquante d'un autre genre : contenu déplacé sans lien. L'origine réelle (ex-L217-18 s.) est à retrouver ; en l'état, non documenté] [reclassé non_documente le 19/09/2026, définition docs/39 § 3 : aucun document désigné ; l'origine est la loi 2014-344 — à relire : ses rapports sont au corpus] La proposition de la machine (JORFDOLE000027383756__l12-809-1_mono.html, offsets 535621-537595) est hors sujet : elle discute l'abrogation, par l'article 45 bis du projet de loi Consommation (LOI 2014-344), d'un autre article L216-5 (lignée 1, codification 1993-07-27→2014-03-19) qui imposait aux personnes reconnues coupables d'infractions le remboursement des frais d'analyses. Le L216-5 actuellement en vigueur (issu de L138-5 créé par LOI 2014-344, recodifié par Ordonnance 2016-301, puis réécrit par Ordonnance 2021-1247) porte sur l'information du consommateur sur le coût de la livraison et de la mise en service, la mention écrite des réserves lors de l'entrée en possession du bien, et l'absence d'exonération de la garantie de conformité du fait de l'absence de réserves. Aucun document du corpus ne nomme ce L216-5 et ne motive son dispositif propre. Le rapport au Président de la République relatif à l'Ordonnance 2021-1247 (dossier JORFDOLE000044129891, doc 12) explique l'économie de la transposition des directives 2019/770 et 2019/771 sans consacrer de passage au dispositif propre de L216-5 : il vaut « dossier_seulement » (règle décisionnelle du 19 septembre 2026 : un rapport au Président qui ne nomme pas l'article vaut dossier_seulement, sauf passage consacré au dispositif, qui ferait alors motive). Consulté également : l'étude d'impact de LOI 2014-344 (doc 1, ne motive que L138-5 transporteur/risque, contenu 2014-2021) ; le rapport l07-476 de la commission des affaires économiques du Sénat (JORFDOLE000018730653, doc 18, rattaché) où l'article 21 E nouveau du projet LME insère en 2008 la Section 6 « Dispositions particulières relatives aux prestations de services après-vente » du chapitre Ier du titre Ier du livre II du Code de la consommation, dont l'article L211-21 est quasi-identique au L216-5 actuel, mais sans exposé : seule une note procédurale indique qu'un amendement rédactionnel a été adopté. Concordance à signaler : le contenu actuel de L216-5 reproduit l'ancien L211-21 du Code de la consommation (LOI 2008-776 du 4 août 2008, art. 21 E nouveau) en l'adaptant au vocabulaire consommateur/bien ; cette concordance entre lignées (L211-21 → L216-5) n'est pas portée par LEGI.",hors_sujet,agent:claude-opus-5,2026-09-19,JORFDOLE000027383756 JORFDOLE000032223954 JORFDOLE000044129891 JORFDOLE000018730653
