strate,num_article,id_legi,date_debut,article_predecesseur,texte_producteur_version_en_vigueur,texte_origine,nature_origine,id_dole_origine,legislature_origine,indice_expose_nomme_article,indice_etude_impact_nomme_article,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire,source_proposee,source_declaree_en_entete,grain_du_rattachement
eligible_L12_L15,L312-45,LEGIARTI000032226090,2016-07-01,L311-34,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,JORFDOLE000020542090__l09-538_mono.html,105237,107066," Article 10 (art. L. 311-30 à L. 311-41 du code de la consommation) - Crédit affecté Objet : Cet article a pour objet de mettre en cohérence les dispositions relatives au crédit affecté avec celles de la directive communautaire. I - Le texte voté par le Sénat en première lecture En première lecture, le Sénat a adopté cet article en y apportant quelques modifications f",,,rapport de commission,1,article
eligible_L12_L15,L224-35,LEGIARTI000032226650,2016-07-01,L121-84-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-3 du 3 janvier 2008,LOI,JORFDOLE000017841208,13,0,0,JORFDOLE000017841208__l07-111_mono.html,147652,155900, Article 6 (articles L. 121-84-1 et L. 121-82-2 du code de la consommation) - Restitution des avances et préavis de résiliation Cet article tend à plafonner le délai de restitution des sommes versées d'avance et des dépôts de garantie. Il vise aussi à encadrer la durée du préavis de résiliation exigible par les opérateurs. I. Le texte du projet de loi initial Le premier parag,,,rapport de commission,1,article
eligible_L12_L15,L412-6,LEGIARTI000032744957,2016-06-22,,LOI n°2016-816 du 20 juin 2016,LOI n°2016-816 du 20 juin 2016,LOI,JORFDOLE000031978450,14,0,0,,,,,,,,,
eligible_L12_L15,L511-22,LEGIARTI000041985451,2020-06-12,L115-31,Ordonnance n°2020-701 du 10 juin 2020,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,JORFDOLE000021369332__r3112.asp,890819,901082,"Article 54 quater I. – Le code de la consommation est ainsi modifié : I. – (Alinéa sans modification) I. – (Sans modification) 1° Le troisième alinéa de l’article L. 115-31 est complété par les mots : « ou des directions régionales de l’environnement, de l’aménagement et du logement » ; 1° Au troisième alinéa de l’article L. 115-31, les mots : « directions régionales de",,,rapport de commission,0,article
eligible_L12_L15,L231-1,LEGIARTI000032226441,2016-07-01,L139-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1574.asp,160788,162564,"Article 3 bis (nouveau) (chapitre IX [nouveau] du titre III du livre I er du code de la consommation) Définition de la notion de « lien étroit avec le territoire d'un État membre » DISPOSITION ADOPTÉE PAR LE SÉNAT Dans trois articles du projet de loi (articles 5, 14 et 15) apparaît la notion de « lien étroit avec le territoire d'un État membre ». Le principe consiste à dire que,",,,rapport de commission,0,article
eligible_L12_L15,L413-3,LEGIARTI000034072879,2017-02-23,L213-3,,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,JORFDOLE000029883713__l14-370-1_mono.html,230072,231505," Article 8 sexies (art. L. 213-3 du code de la route) - Suppression de la condition d'ancienneté du permis de conduire pour gérer une auto-école Objet : cet article, inséré en commission spéciale à l'Assemblée nationale, supprime la condition d'ancienneté du permis de conduire pour obtenir l'agrément nécessaire à l'exploitation d'un établissement d'enseignement ou de formation à la condui",,,rapport de commission,1,article
eligible_L12_L15,L224-43,LEGIARTI000032226629,2016-07-01,L121-42,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,JORFDOLE000027383756__r1574.asp,726908,729979,"Article 72 bis (articles L. 121-42 à L. 121-47 [nouveaux] du code de la consommation) Encadrement de l'exploitation et de l'usage de numéros à valeur ajoutée Cet article tend à introduire plus de transparence dans le recours à des numéros à valeur ajoutée, en contraignant les professionnels les proposant à informer les consommateurs et en permettant à ces derniers de limiter leur utilisat",,,rapport de commission,1,article
eligible_L12_L15,L711-5,LEGIARTI000033461361,2018-01-01,L333-1-2,LOI n°2016-1547 du 18 novembre 2016,LOI n°2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,0,JORFDOLE000026795365__l12-681.html,13989,17495,"Article 18 (Art. L. 311-4, L. 311-4-1 [nouveau], L. 311-6, L. 312-6-1 [nouveau], L. 312-6-2 [nouveau], L. 312-8, L. 312-9 et L. 313-2-1 [nouveau] du code de la consommation) - Assurance-emprunteur ARTICLE 18 bis (Art. L. 331-3-1 du code de la consommation) - Maintien du contrat d'assurance-emprunteur dans le cadre d'une procédure de surendettement CHAPITRE IV - RÉFÉRENTIEL DE P",,,rapport de commission,0,article
eligible_L12_L15,L341-40,LEGIARTI000032395659,2016-07-01,L312-33,Ordonnance n°2016-351 du 25 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__r1156.asp,1127973,1131422,"Article 66 (articles L. 311-50, L. 312-33, L. 312-34, L. 312-35, L. 313-2, L. 313-5, L. 313-14-2, L. 314-16, L. 314-17, L. 322-1 et L. 322-3 du code de la consommation) Renforcement des peines applicables en matière de crédits à la consommation La logique poursuivie par le présent article est la même que celle qui présidait aux précédents ; dans l’optique d’une meilleure protection d",,,rapport de commission,1,article
eligible_L12_L15,L216-5,LEGIARTI000044142476,2021-10-01,L138-5,Ordonnance n°2021-1247 du 29 septembre 2021,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,JORFDOLE000027383756__l12-809-1_mono.html,535621,537595, Article 45 bis (article L. 216-5 du code de la consommation) - Modification de cohérence Commentaire : cet article prévoit le recouvrement des frais liés aux essais sur les produits non conformes. I. Le droit en vigueur L'article L. 216-5 du code de la consommation indique que les personnes reconnues coupables d'infractions en matière de conformité et sécurité des produits ,,,rapport de commission,1,article
