strate,num_article,id_legi,date_debut,article_predecesseur,texte_producteur_version_en_vigueur,texte_origine,nature_origine,id_dole_origine,legislature_origine,indice_expose_nomme_article,indice_etude_impact_nomme_article,ANNOT_document,ANNOT_offset_debut,ANNOT_offset_fin,ANNOT_passage_cite,ANNOT_verdict,ANNOT_commentaire
eligible_L12_L15,L312-45,LEGIARTI000032226090,2016-07-01,L311-34,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2010-737 du 1er juillet 2010,LOI,JORFDOLE000020542090,13,0,0,,,,,,
eligible_L12_L15,L224-35,LEGIARTI000032226650,2016-07-01,L121-84-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2008-3 du 3 janvier 2008,LOI,JORFDOLE000017841208,13,0,0,,,,,,
eligible_L12_L15,L412-6,LEGIARTI000032744957,2016-06-22,,LOI n°2016-816 du 20 juin 2016,LOI n°2016-816 du 20 juin 2016,LOI,JORFDOLE000031978450,14,0,0,,,,,,
eligible_L12_L15,L511-22,LEGIARTI000041985451,2020-06-12,L115-31,Ordonnance n°2020-701 du 10 juin 2020,LOI n°2011-525 du 17 mai 2011,LOI,JORFDOLE000021369332,13,0,0,,,,,,
eligible_L12_L15,L231-1,LEGIARTI000032226441,2016-07-01,L139-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L413-3,LEGIARTI000034072879,2017-02-23,L213-3,,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,0,0,,,,,,
eligible_L12_L15,L224-43,LEGIARTI000032226629,2016-07-01,L121-42,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
eligible_L12_L15,L711-5,LEGIARTI000033461361,2018-01-01,L333-1-2,LOI n°2016-1547 du 18 novembre 2016,LOI n°2013-672 du 26 juillet 2013,LOI,JORFDOLE000026795365,14,0,0,,,,,,
eligible_L12_L15,L341-40,LEGIARTI000032395659,2016-07-01,L312-33,Ordonnance n°2016-351 du 25 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L216-5,LEGIARTI000044142476,2021-10-01,L138-5,Ordonnance n°2021-1247 du 29 septembre 2021,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L341-44,LEGIARTI000032395753,2016-07-01,L312-33,Ordonnance n° 2016-351 du 25 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,1,,,,,,
eligible_L12_L15,L312-61,LEGIARTI000032226053,2016-07-01,L311-17-1,Ordonnance n°2016-301 du 14 mars 2016,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,0,0,,,,,,
