grain	mesure	nombre	sur	pourcent
article	articles en vigueur	2104		
article	remontant à un passage qui les motive	800	2104	38.0
article	reliés à un article de texte en discussion	964	2104	45.8
article	nommant un acte de l'Union	117	2104	5.6
article	reliés à un article d'acte de l'Union par un tableau de concordance	35	2104	1.7
article	remontant à un amendement identifié	142	2104	6.7
article	cités par un autre article du fonds	1031	2104	49.0
texte	atteignant un document motivant le texte	1282	2104	60.9
texte	dont par un rapport au Président	799	1282	62.3
texte	dont par un exposé des motifs	938	1282	73.2
texte	dont par une étude d'impact	701	1282	54.7
texte	dont par un avis du Conseil d'État	245	1282	19.1
texte	atteignant un considérant européen	117	2104	5.6
texte	atteignant une transposition déclarée	75	2104	3.6
