verdict	cle	celex	article_acte	paragraphe	intitule_acte	article	numero_ecrit	dossier	pdf	page	ligne	article_du_fonds	url_acte	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	05d926caa881b228	32020L1828	7	1	Actions représentatives	L623-1	L623-1	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	741	"Tableau de concordance de l'étude d'impact, page 741 : directive (UE) 2020/1828, Article 7§1 — L.623-1 code de la consommation : ""Une association de"	L623-1 (2016-07-01) — écrit par la loi du dossier, 2018-11-25 : Une association de défense des consommateurs représentative au niveau national et agréée en appl […] ‖ avant, 2016-07-01 : Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 811-1 peut agir devant une  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_7	juste		sonnet-A	sonnet-B		Page 741 : la ligne « Article 7§1 » cite en dispositions proposées « L.621-7 », « L.623-1 code de la consommation », « L.624-2 »… ; L.623-1 y figure, même objet.	Page 741, dans la colonne « dispositions proposées » de la ligne Article 7§1, L.623-1 est cité avec un extrait identique au texte actuel de l'article.		2026-09-24
juste	05e69ad4747976e8	32011L0083	5		Obligations d’information concernant les contrats autres que les contrats à distance ou hors établissement	L113-3	L113-3	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	140	Tableau de concordance de l'étude d'impact, page 140 : directive 2011/83/UE, Article 5 — Art. L. 111-1, L. 111-2, L. 113-3 et L.	L113-3 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage […] ‖ avant, 2014-01-01 : Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié,  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_5	juste		sonnet-A	sonnet-B		Page 140 : la ligne « Article 5 » liste en impact « Art. L. 111-1, L. 111-2, L. 113-3 et L. 113-3-1 » ; L.113-3 est sur cette même ligne.	Page 140, la citation « Art. L.111-1, L.111-2, L.113-3 et L.113-3-1 » est alignée sur la même ligne que l'article 5 de la directive ; L113-3 y figure et son objet (marquage/étiquetage des prix) correspond à l'article 5.		2026-09-24
juste	09f437fe380333f5	32011L0083	3		Champ d’application	L121-16-1	L121-16-1	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	138	Tableau de concordance de l'étude d'impact, page 138 : directive 2011/83/UE, Article 3 — Art. L. 121-16-1	L121-16-1 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : I.-Sont exclus du champ d'application de la présente section : 1° Les contrats portant sur les services sociaux, y compris le logement social, l'aide à l'enfance et aux familles, à l'exception des services à la personne mentionnés à l'article L. 7231-1  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_3	juste		sonnet-A	sonnet-B		Page 138 : la ligne « Article 3 (champ d'application) » fait face à « Art. L. 121-16-1 » ; même objet.	Page 138, la ligne de l'article 3 (champ d'application) porte en face L. 121-16-1, dont le contenu (exclusions du champ d'application) correspond à l'objet de l'article 3.		2026-09-24
juste	0f19fc78ab8dc9d0	32011L0083	14		Obligations du consommateur en cas de rétractation	L121-21-3	L121-21-3	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	153	Tableau de concordance de l'étude d'impact, page 153 : directive 2011/83/UE, Article 14 — Art. L. 121-21-3 (1er et 2ème alinéa)	L121-21-3 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Le consommateur renvoie ou restitue les biens au professionnel ou à une personne désignée par ce dernier, sans retard excessif et, au plus tard, dans les quatorze jours suivant la communication de sa décision de se rétracter conformément à l'article L.  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_14	juste		sonnet-A	sonnet-B		Page 153 : la ligne « Article 14 » fait face à « Art. L. 121-21-3 (1er et 2ème alinéa) » ; même objet.	Page 153, la ligne de l'article 14 porte en face L. 121-21-3 (1er et 2e alinéa), dont le texte (renvoi des biens) correspond à l'objet de l'article 14.		2026-09-24
juste	1779bb5c3323aff5	32011L0083	24		Sanctions	L121-23	L121-23	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	162	Tableau de concordance de l'étude d'impact, page 162 : directive 2011/83/UE, Article 24 — L. 121-23	L121-23 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Toute infraction aux articles L. 121-18-1 et L. 121-18-2 est punie d'une peine d'emprisonnement […] ‖ avant, 1993-07-27 : Les opérations visées à l'article L. 121-21 doivent faire l'objet d'un contrat dont un exemplaire doit être remis au client au moment de la conclus […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_24	juste		sonnet-A	sonnet-B		Page 162 : la ligne « Article 24 » liste en impact L.121-22, L.121-22-1 et L.121-23 ; L.121-23 y figure, même objet (sanctions).	Page 162, le bloc de l'article 24 (sanctions) est aligné avec L. 121-23, qui porte bien sur une sanction pénale liée aux manquements transposés.		2026-09-24
juste	1df92d41ddf26222	32020L1828	13	2	Informations sur les actions représentatives	L623-8	L623-8	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	757	"Tableau de concordance de l'étude d'impact, page 757 : directive (UE) 2020/1828, Article 13§2 — L.623-8 code de la consommation : "" [...] [Le juge]"	L623-8 (2016-07-01) — écrit par la loi du dossier, 2016-07-01 : Dans la même décision prononçant la responsabilité du professionnel, le juge fixe le délai dont disposent les consommateurs pour adhérer au groupe afin d'obtenir la réparation de leur préjudice. Ce délai ne peut être inférieur à deux mois ni supérieur à si […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_13	juste		sonnet-A	sonnet-B		Page 757 : la ligne « Article 13§2 » cite en normes existantes L.623-7, « L.623-8 code de la consommation » et L.623-15 ; L.623-8 y figure, même objet.	Page 757, la ligne Article 13§2 cite L.623-8 ; le contenu de l'article (modalités d'adhésion fixées par le juge) est cohérent avec le sujet « informations sur les actions représentatives ».		2026-09-24
juste	25f9b71b5faae921	32011L0083	5		Obligations d’information concernant les contrats autres que les contrats à distance ou hors établissement	L111-1	L111-1	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	140	Tableau de concordance de l'étude d'impact, page 140 : directive 2011/83/UE, Article 5 — Art. L. 111-1, L. 111-2, L. 113-3 et L.	L111-1 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture de servi […] ‖ avant, 2010-07-25 : I. - Tout professionnel vendeur de biens doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques e […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_5	juste		sonnet-A	sonnet-B		Page 140 : même ligne « Article 5 » que ci-dessus ; L.111-1 y figure aussi, même objet (information précontractuelle).	Page 140, même ligne que pour L.113-3 (article 5 — L.111-1, L.111-2, L.113-3...) ; L111-1 correspond à l'obligation générale d'information précontractuelle visée par l'article 5.		2026-09-24
juste	2c0aed0bc99beecc	32011L0083	9		Droit de rétractation	L121-21	L121-21	JORFDOLE000027383756	travail/corpus/impacts/JORFDOLE000027383756__etude-impact-1.pdf	149	Tableau de concordance de l'étude d'impact, page 149 : directive 2011/83/UE, Article 9 — Art. L. 121-21 (1er alinéa)	L121-21 (1993-07-27) — écrit par la loi du dossier, 2014-06-14 : Le consommateur dispose d'un délai de quatorze jours pour exercer son droit de rétractation d'u […] ‖ avant, 1993-07-27 : Est soumis aux dispositions de la présente section quiconque pratique ou fait pratiquer le démarchage, au domicile d'une personne physique, à sa ré […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32011L0083#art_9	juste		sonnet-A	sonnet-B		Page 149 : la ligne « Article 9 » fait face à « Art. L. 121-21 (1er alinéa) » ; même objet.	Page 149, la ligne de l'article 9 (droit de rétractation) porte en face L. 121-21 (1er alinéa), dont le délai de quatorze jours correspond à l'objet de l'article 9.		2026-09-24
juste	310ce15be0dd79d7	32020L1828	6	2	Introduction d’actions représentatives transfrontières	L623-31	L623-31	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	739	"Tableau de concordance de l'étude d'impact, page 739 : directive (UE) 2020/1828, Article 6 §2 — L. 623-31 code de la consommation : "" L’action mentionnée"	L623-31 (2016-07-01) — écrit par la loi du dossier, 2016-07-01 : Toute association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 811-1 peut demander au juge, à compter de sa saisine en application de l'article L. 623-1 et à tout moment, sa substitution dans les  […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_6	juste		sonnet-A	sonnet-B		Page 739 : la ligne « Article 6§2 » cite en dispositions proposées « L.624-2 » et « L.623-31 code de la consommation » ; L.623-31 y figure, même objet.	Page 739, la ligne Article 6§2 porte en face L. 623-31, dont le texte (substitution d'un organisme à l'association requérante) correspond à l'introduction d'actions transfrontières.		2026-09-24
juste	37f28e92902dfb0a	32020L1828	5	3	Informations et suivi des entités qualifiées	R811-7	R811-7	JORFDOLE000050427907	travail/corpus/impacts/JORFDOLE000050427907__etude-impact-1.pdf	734	"Tableau de concordance de l'étude d'impact, page 734 : directive (UE) 2020/1828, Article 5 §3 — R.811-7 code de la consommation : ""L'agrément peut"	R811-7 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : L'agrément peut être retiré après avis du procureur général, lorsque l'association n'a plus le nombre d'adhérents requis pour son agrément, lorsqu'elle ne peut plus justifier de l'activité définie à l'article R. 811-1 ou lorsqu'il est établi qu'elle n'e […]	https://eur-lex.europa.eu/legal-content/FR/TXT/HTML/?uri=CELEX:32020L1828#art_5	juste		sonnet-A	sonnet-B		Page 734 : la ligne « Article 5§3 » cite en normes existantes « R.811-7 code de la consommation : L'agrément peut être retiré… » ; même objet.	Page 734, la ligne Article 5§3 cite R.811-7, avec un extrait identique au texte actuel de l'article sur le retrait de l'agrément.		2026-09-24
