verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url
	00fff03da7f25d29	senat	250 rect.	Adopté	M. CHAIZE	L224-109	5	sans visée	alinea	senat/leg-pjl18-728.html	4	Article 4	n 16 ainsi rédigée :  « Section 16  « Équipements électriques et électroniques  « Art. L. 224-109. – Tout professionnel qui commercialise des prestations d’entretien et de réparation d’équ	Alinéa 11 Remplacer les mots : permet aux consommateurs d’opter pour l’utilisation, pour certaines catégories de pièces de rechange, de par les mots : prévoit au moins une offre, pour certaines catégories de pièces de rechange, incluant des	Tout professionnel qui commercialise des prestations d'entretien et de réparation d'équipements électroménagers, de petits équipements informatiques et de télécommunications, d'écrans et de moniteurs prévoit au moins une offre, pour certaines catégories de pièces de rechange, incluant des pièces issues de l'économie ci […]	//www.senat.fr/amendements/2018-2019/728/Amdt_250.html
	011422a0ac5d2560	senat	14	Adopté	M. LABBÉ	L121-82-1	2	sans visée	alinea	senat/leg-pjl13-283.html	4 bis a	Article 4 bis A	l'élaboration des plats proposés dans le cadre d'une activité de restauration commerciale « Art. L. 121-82-1 . - Les personnes ou entreprises qui transforment ou distribuent des produits alimentaires	Alinéa 4 Remplacer les mots : peuvent préciser par le mot : précisent	"Les personnes ou entreprises qui transforment ou distribuent des produits alimentaires dans le cadre d'une activité de restauration commerciale ou de vente à emporter de plats préparés, permanente ou occasionnelle, principale ou accessoire, précisent sur leurs cartes ou sur tout autre support qu'un plat proposé est ""fa […]"	//www.senat.fr/amendements/2013-2014/283/Amdt_14.html
	011e0864af501ac1	senat	138 rect.	Adopté	LE GOUVERNEMENT	L521-28	13	sans visée	alinea	senat/leg-ppl24-469.html	3	Article 3	« Mesures spécifiques relatives au secteur de la rénovation énergétique des bâtiments  « Art. L. 521-28. – I. – À titre conservatoire, l’autorité administrative chargée de la concurrence et de la	I. – Alinéa 58 Première phrase Remplacer les mots : renouvelable de six mois par les mots : de six mois renouvelable une fois et les mots : pour les travaux ayant pour objet la vente d’équipements ou pour la réalisation de travaux par les mots : pour les travaux d’installation ou de pose d’équipements ou pour les travaux portant ; 2° Seconde phrase Supprimer cette phrase. II. – Alinéa 60 1° Première phrase a) Remplac […]	I. - A titre conservatoire, l'autorité administrative chargée de la concurrence et de la consommation peut suspendre, pour une durée de six mois renouvelable une fois, le label ou le signe de qualité délivré à une entreprise et auquel est subordonné l'octroi d'aides financières pour les travaux d'installation ou de pos […]	//www.senat.fr/amendements/2024-2025/469/Amdt_138.html
	026d32b6f5f7d507	senat	51 rect.	Rejeté	M. LAHELLEC	L223-5	13	sans visée	alinea	senat/leg-ppl24-469.html	3	Article 3	articles L. 223-2 à L. 223-4 sont abrogés ;  a ter) Au début du premier alinéa de l’article L. 223-5, les mots : « Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s’appliquent » son	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_51.html
	0621990c2a24b2f9	senat	62 rect.	Rejeté	M. LOZACH	L223-5	13	sans visée	alinea	senat/leg-ppl24-469.html	3	Article 3	articles L. 223-2 à L. 223-4 sont abrogés ;  a ter) Au début du premier alinéa de l’article L. 223-5, les mots : « Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s’appliquent » son	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223-5 est complété par les mots : « ainsi que de produits mis en vente par les entreprises labellisées Entreprises du patrimoine vivant (EPV) » ;	Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_62.html
	086861118fc5c479	assemblee	712	Retiré	M. Denis Baupin	L121-92-1	2	sans visée	alinea	assemblee/14-ta-commission-r2736-a0.asp	60	ART. 60	e chèque pour le paiement de la fourniture d’électricité ou de gaz naturel ; » b) À l’article L. 121-92-1, les mots : « de la tarification spéciale “produit de première nécessité” de l’électricité ou	Après l’alinéa 56, insérer les deux alinéas suivants : « III bis. – Le cinquième alinéa de l’article 2 de la loi n° 90‑449 du 31 mai 1990 visant à la mise en œuvre du droit au logement est complété par la phrase suivante : « Il inclut un volet relatif aux mesures prises en vue d’identifier les ménages en situation de précarité énergétique et de coordonner à l’échelle départementale les différents dispositifs d’aides  […]	"Aucuns frais liés au rejet de paiement ne peuvent être imputés par un fournisseur d'électricité et de gaz naturel aux personnes physiques n'agissant pas pour des besoins professionnels qui bénéficient de la tarification spéciale ""produit de première nécessité"" de l'électricité ou du tarif spécial de solidarité du gaz n […]"	
	090b51785fc79a09	assemblee	9	Rejeté	M. Marc Le Fur	L121-20-2	38	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés. « Art. L. 121-20-2. – Les conditions de la prospection directe au moyen d’un automate d’appel, d’un télécopie	Après l’alinéa 75, insérer les deux alinéas suivants : « Art. L. 121‑20‑3.- Tout centre d’appels d’une entreprise enregistrée au registre du commerce sur le territoire français doit, avant toute mise en relation avec une personne ou un serveur vocal, identifier clairement le pays où il est implanté « Lorsque la documentation jointe à un produit ou un service fait mention d’un centre d’appels dédié aux clients, sa loc […]	Le droit de rétractation ne peut être exercé, sauf si les parties en sont convenues autrement, pour les contrats : 1° De fourniture de services dont l'exécution a commencé, avec l'accord du consommateur, avant la fin du délai de sept jours francs ; 2° De fourniture de biens ou de services dont le prix est fonction de f […]	
	0b44840e2bcf7081	senat	101 rect. ter	Rejeté	M. DUPLOMB	L223-5	13	sans visée	alinea	senat/leg-ppl24-469.html	3	Article 3	articles L. 223-2 à L. 223-4 sont abrogés ;  a ter) Au début du premier alinéa de l’article L. 223-5, les mots : « Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s’appliquent » son	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines.	//www.senat.fr/amendements/2024-2025/469/Amdt_101.html
	0bb2c5c20ba1c7c9	assemblee	200	Rejeté	Mme Catherine Vautrin	L423-10	16	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	1er	ART. PREMIER	« Modalités spécifiques à l’action de groupe intervenant dans le domaine de la concurrence « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel portent sur le respect des règles déf	À l’alinéa 45, après le mot : « compétentes », insérer les mots : « , après la promulgation de la loi n° du relative à la consommation. ».	Lorsque l'identité et le nombre des consommateurs lésés sont connus et lorsque ces consommateurs ont subi un préjudice d'un même montant, d'un montant identique par prestation rendue ou d'un montant identique par référence à une période ou à une durée, le juge, après avoir statué sur la responsabilité du professionnel, […]	
	0c84582c41b3b96d	senat	503	Retiré	M. LE CAM	L121-82-1	2	sans visée	alinea	senat/leg-pjl12-810.html	4 bis a	Article 4 bis A	l'élaboration des plats proposés dans le cadre d'une activité de restauration commerciale « Art. L. 121-82-1. - Les personnes ou entreprises qui transforment ou distribuent des produits alimentaires	I. - Alinéas 4 à 6 Supprimer ces alinéas. II. - En conséquence, alinéa 7 Remplacer la référence : Art. L. 121-82-2 par la référence : Art. L. 121-82-1	"Les personnes ou entreprises qui transforment ou distribuent des produits alimentaires dans le cadre d'une activité de restauration commerciale ou de vente à emporter de plats préparés, permanente ou occasionnelle, principale ou accessoire, précisent sur leurs cartes ou sur tout autre support qu'un plat proposé est ""fa […]"	//www.senat.fr/amendements/2012-2013/810/Amdt_503.html
