verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	003fc24755007be6	assemblee	20	Non soutenu	M. Charles de Courson	L311-4-1	7	sans visée	alinea	assemblee/14-ta-commission-r0707-a0.asp	18	ART. 18	l’article L. 311-4 est supprimé ; 2° Après le même article L. 311-4, il est inséré un article L. 311-4-1 ainsi rédigé : « Art. L. 311-4-1. – Lorsqu’un prêteur propose habituellement des contrats de c	Supprimer l’alinéa 5.	Lorsqu'un prêteur propose habituellement des contrats de crédit assortis d'une proposition d'assurance ayant pour objet la garantie de remboursement du crédit, toute publicité mentionnée au premier alinéa de l'article L. 311-4 diffusée pour son compte sur ces contrats mentionne le coût de l'assurance, à l'aide de l'exe […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Dans l'article 18 du texte de commission, l'alinéa 5 est le « 1° À l'exclusion de tout autre taux, en taux annuel effectif de l'assurance… » de la rédaction du nouvel article L. 311-4-1 inséré par l'instruction 2° ; « Supprimer l'alinéa 5 » porte donc bien sur l'article L. 311-4-1 du code de la consommation, et la fenêtre de preuve est bien une sous-chaîne de ce texte.	L'alinéa 5 de l'article 18 du texte est le « 1° » de l'article L. 311-4-1 que le 2° du même article 18 insère (alinéas 4 à 7 = ce nouvel article) ; l'instruction qui gouverne l'alinéa 5 réécrit donc bien L. 311-4-1. La voie alinea et la fenêtre de preuve concordent : l'amendement portait sur cet article.	Alinéa 5 de l'art. 18 = le 1° (TAEA) du corps de l'article L. 311-4-1 inséré par l'instruction 2° ; le rapport de commission confirme le décompte (L. 311-4-1 à l'alinéa 4, III de L. 311-6 à l'alinéa 9). « Supprimer l'alinéa 5 » porte donc bien sur L311-4-1 du code de la consommation.	2026-09-19
juste	0070f3e71f30ada4	assemblee	308		M. Frédéric Lefebvre	L121-21-8	38	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	frais pour le consommateur autres que ceux prévus aux articles L. 121-21-3 à L. 121-21-5. « Art. L. 121-21-8. – Le droit de rétractation ne peut être exercé pour les contrats : « 1° De fourniture de	I. – Après le mot : « biens », rédiger ainsi la fin de l’alinéa 110 : « scellés ne pouvant être renvoyés pour des raisons de protection de la santé ou d’hygiène et qui ont été descellés par le consommateur après la livraison. ». II. – En conséquence, après l’alinéa 118, insérer l’alinéa suivant : « Le 3° n’est pas applicable aux dispositifs médicaux définis à l’article L. 5211‑1 du code de la santé publique dont la l […]	Le droit de rétractation ne peut être exercé pour les contrats : 1° De fourniture de services pleinement exécutés avant la fin du délai de rétractation et dont l'exécution a commencé après accord préalable exprès du consommateur et renoncement exprès à son droit de rétractation ; 2° De fourniture de biens ou de service […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif cite les alinéas 110 et 118 de l'article 5 ; dans la numérotation du texte (alinéa 1 = « Les sections 2 et 3… sont ainsi rédigées »), l'alinéa 110 est le 5° de la liste créant l'art. L. 121-21-8 du code de la consommation (biens descellés/hygiène, que le I réécrit après le mot « biens ») et l'alinéa 118 en est le 13°, dernier alinéa, après lequel le II insère. Les deux renvois relèvent donc bien de l'instruction qui crée L. 121-21-8 ; la prochaine instruction (L. 121-22) ne commence qu'à l'alinéa 121.	L'article 5 du texte réécrit L. 121-21-8 ; son alinéa 110 est le 3° de cet article (le II de l'amendement visant « Le 3° » le confirme, cohérent avec l'alinéa 110). La dernière instruction du texte avant la fin de cet alinéa est bien L. 121-21-8 : l'amendement portait sur cet article.	L'alinéa 110 (compté à partir du chapeau de l'article 5) est le 5° de la liste de l'art. L. 121-21-8 : la substitution « après le mot biens : scellés ne pouvant être renvoyés… » colle mot pour mot à cet alinéa et au texte promulgué. L'alinéa 118 est le 13°, dernier de la liste, après lequel s'insère l'alinéa « Le 3° n'est pas applicable aux dispositifs médicaux… », exactement à la place qu'il occupe dans la loi. Les deux alinéas du dispositif relèvent donc bien de l'instruction qui réécrit L. 121-21-8.	2026-09-19
juste	00735d79896a507c	assemblee	9	Adopté	M. Razzy Hammadi	L333-6	3	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	22 bis	ART. 22 BIS	nt des crédits aux particuliers » qui comprend les articles L. 333-4 et L. 333-5 ; 3° L’article L. 333-6 est abrogé ; 4° Est insérée une section 3 ainsi rédigée : « Section 3 « Registre national des c	À la deuxième phrase de l’alinéa 8, substituer au mot : « appelé », le mot : « dénommé ».	Dans les départements d'outre-mer, l'institut d'émission des départements d'outre-mer exerce, en liaison avec la Banque de France, les attributions dévolues à celle-ci par le présent article.		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'alinéa 8 de l'article 22 bis est le texte du nouvel art. L. 333-6 du code de la consommation inséré par le 4° (après abrogation de l'ancien au 3°), et sa deuxième phrase (« Ce registre, appelé… ») contient bien le mot que le dispositif substitue. L'amendement porte donc bien sur L. 333-6.	L'alinéa 8 de l'art. 22 bis (compté depuis le I., en incluant les intitulés « Section 3 » et « Registre national... ») est le premier alinéa du nouvel art. L. 333-6 inséré par le 4°, dont la deuxième phrase (« Ce registre, appelé… ») porte le mot que le dispositif remplace ; l'ancien L. 333-6 est abrogé par le 3°. L'amendement porte donc bien sur l'article L. 333-6 du code de la consommation.	Alinéa 8 de l'art. 22 bis = premier alinéa du nouvel art. L. 333-6 (inséré par l'instruction 4°, après abrogation par le 3°) ; sa deuxième phrase porte bien le mot « appelé » que l'amendement 9 substitue par « dénommé », ce qui confirme le décompte. Lien alinéa → L333-6 du code de la consommation correct.	2026-09-19
juste	007891ad7e592da0	assemblee	516	Non soutenu	M. Jean-Pierre Decool	L421-2	3	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	28	ART. 28	ication d’une clause dont le caractère abusif ressort des éléments du débat. » II. – L’article L. 421-2 du même code est ainsi modifié : 1° Le mot : « défenseur » est remplacé par le mot : « défende	Après l’alinéa 4, insérer l’alinéa suivant : « 1° bis Il est complété par les mots : « et obtenir réparation du préjudice résultant de tout agissement illicite, y compris après sa cessation »; ».	Les associations de consommateurs mentionnées à l'article L. 421-1 et agissant dans les conditions précisées à cet article peuvent demander à la juridiction civile, statuant sur l'action civile, ou à la juridiction répressive, statuant sur l'action civile, d'ordonner au défenseur ou au prévenu, le cas échéant sous astr […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'alinéa 4 de l'article 28 (« 1° Le mot : défenseur est remplacé par le mot : défendeur ») relève bien de l'instruction II qui modifie l'article L. 421-2 du code de la consommation (même code nommé à l'article 26). Le dispositif insère après cet alinéa un « 1° bis » qui s'intercale entre les 1° et 2° du II, donc porte bien sur L. 421-2.	L'amendement insère après l'alinéa 4 de l'article 28 un « 1° bis » qui complète par des mots l'article L. 421-2, dans le bloc II de l'article 28 qui modifie précisément L. 421-2 ; alinéa 4 = point 1° (« défenseur »→« défendeur ») de cette même instruction. L'arête est donc exacte.	Alinéa 4 de l'article 28 : c'est le « 1° » sous l'instruction « II. – L'article L. 421-2 du même code est ainsi modifié » (vérifié sur le texte complet). L'insertion d'un « 1° bis » après cet alinéa, qui complète L421-2, confirme que l'amendement portait sur cet article ; les 3 cibles de l'article (L141-4, L421-2, L421-6) cadrent avec la ligne.	2026-09-19
juste	00eb8b5b8b4a4a6f	assemblee	174	Rejeté	M. Thierry Benoit	L121-20	45	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	5	ART. 5	cas de force majeure. « Sous-section 5 « Démarchage téléphonique et prospection commerciale « Art. L. 121-20. – Sans préjudice de l’article L. 121-19-1, le professionnel qui contacte un consommateur p	À l’alinéa 67, après le mot : « conversation », insérer les mots : « sa localisation géographique, ».	"Les règles relatives à la fixation des règles de programmation des émissions sont définies par l'article 2 de la loi n° 88-21 du 6 janvier 1988 précitée reproduit ci-après : ""Art. 2 : Le Conseil supérieur de l'audiovisuel fixe les règles de programmation des émissions consacrées en tout ou partie à la présentation ou à […]"		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'alinéa 67 de l'article 5, compté dans le texte r1574, est exactement celui qui édicte l'Art. L. 121-20 du code de la consommation (« …indique au début de la conversation son identité… »), sous l'instruction I qui réécrit la section 2 du chapitre Ier du titre II du livre Ier de ce code ; « conversation » n'apparaît qu'à cet endroit de tout le texte. L'insertion de « sa localisation géographique, » après « conversation » modifie donc bien cet article, et la fenêtre de preuve de la fiche s'arrête au début du même alinéa.	Le dispositif vise l'alinéa 67 de l'article 5 : en comptant les alinéas de l'article 5 du texte (titre exclu), l'alinéa 67 est bien le paragraphe « Art. L. 121-20 » contenant le mot « conversation ». L'amendement porte donc sur l'article L. 121-20 du code de la consommation, comme l'énonce l'arête.	L'alinéa 67 de l'article 5 (68e paragraphe, titre non compté) est bien le premier alinéa du nouvel Art. L. 121-20 (« ...indique au début de la conversation son identité... »), dans l'instruction réécrivant la section 2 du code de la consommation ; l'insertion après « conversation » (unique occurrence du mot) y a sa place.	2026-09-19
juste	014b53f0d5de0fc7	senat	362 rect.	Rejeté	Mme LÉTARD	L141-1-2	2	sans visée	alinea	senat/leg-pjl12-810.html	53	Article 53	tives Article 53 Après l'article L. 141-1 du code de la consommation, il est inséré un article L. 141-1-2 ainsi rédigé : « Art. L. 141-1-2. - I. - L'autorité administrative chargée de la concurrence e	Après l’alinéa 10 Insérer un paragraphe ainsi rédigé : « … – Le recours de pleine juridiction formé contre les décisions prononçant une amende administrative mentionnées aux I, II et III de l’article L. 141‑1 du code de la consommation s’exerce devant la juridiction judiciaire, dans les deux mois de la notification de la décision, selon des modalités déterminées par décret en Conseil d’État.	I. ― L'autorité administrative chargée de la concurrence et de la consommation est l'autorité compétente pour prononcer les amendes administratives sanctionnant les manquements aux I à III de l'article L. 141-1 ainsi que l'inexécution des mesures d'injonction prévues au VII du même article L. 141-1. II. ― L'action de l […]	//www.senat.fr/amendements/2012-2013/810/Amdt_362.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif insère un paragraphe « après l'alinéa 10 » de l'article 53, qui ne comporte qu'une instruction : l'insertion de l'article L. 141-1-2 du code de la consommation. L'alinéa 10 (paragraphe VI du nouvel article, VII dans la version sans IV bis nouveau) est à l'intérieur du bloc cité qui rédige L. 141-1-2 ; l'amendement porte donc bien sur L. 141-1-2.	L'article 53 du texte n'a qu'une instruction, l'insertion de l'article L. 141-1-2 du code de la consommation ; insérer un paragraphe après son alinéa 10 modifie donc bien L. 141-1-2. La seconde cible de l'article (L. 141-1) n'est qu'une citation dans le chapeau « Après l'article L. 141-1 », pas une réécriture.	L'article 53 du texte ne comporte qu'une seule instruction — l'insertion de l'article L141-1-2 après L141-1 — et son alinéa 10 (le « VI. » sur le cumul des sanctions) relève de cette instruction ; le paragraphe inséré « après l'alinéa 10 » (recours de pleine juridiction contre les amendes des I à III de L141-1) entre donc bien dans le nouvel article L141-1-2.	2026-09-19
juste	014ef6ef7b81e627	assemblee	656	Adopté	M. Razzy Hammadi	L121-17	38	sans visée	alinea	assemblee/14-ta-commission-r1156-a0.asp	5	ART. 5	urni sur un support matériel. « Sous-section 2 « Obligations d’information précontractuelle « Art. L. 121-17. – I. – Préalablement à la conclusion d’un contrat de vente ou de fourniture de services, l	À l’alinéa 36, substituer au mot : « rétractation » le mot : « résiliation ».	"Les règles relatives à la responsabilité du dirigeant de droit ou de fait d'un service de radiodiffusion sonore ou de télévision sont définies par le II de l'article 3 de la loi n° 88-21 du 6 janvier 1988 relative aux opérations de télépromotion avec offre de vente dites de ""téléachat"" reproduit ci-après : ""II. - Le di […]"		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Dans l'article 5 du texte r1156 (alinéas comptés tous paragraphes inclus, convention confirmée par d'autres amendements du même texte : alinéa 73 → L. 121-20-1, alinéa 110 → L. 121-21-8), l'alinéa 36 est le 6° du I du nouvel Art. L. 121-17 et contient exactement une occurrence de « rétractation » (« aux modalités de rétractation »), que le dispositif remplace par « résiliation ». L'alinéa relève bien de l'instruction qui réécrit L. 121-17 du code de la consommation.	Alinéa 36 = paragraphe 37 de l'article 5 (numérotation alinéa=para-1 confirmée par recoupements 963/3782/582/31-32), soit le 6° du I de l'art. L. 121-17, qui porte le mot « rétractation » substitué. L'amendement porte donc bien sur L. 121-17 du code de la consommation.	L'alinéa 36 de l'article 5 (comptage paras-1, comme les juges précédents) est le 6° du I de l'Art. L. 121-17 du texte de commission, qui porte une seule occurrence de « rétractation » ; le texte adopté en séance (TA0176) porte précisément « aux modalités de résiliation » à cet endroit, preuve que l'amendement 656 de séance (Hammadi, adopté) visait cet alinéa. L'instruction régissant l'alinéa 36 réécrit donc bien L121-17 du code de la consommation. L'« amendement CE 656 » de l'annexe du rapport (article premier, présomption irréfragable) est un autre amendement : la numérotation de séance contre le texte de commission est distincte.	2026-09-19
faux	017fc62fd9268362	assemblee	340		M. Razzy Hammadi	L218-5-4	2	sans visée	alinea	assemblee/14-ta-commission-r1574-a0.asp	44	ART. 44	u titre Ier du livre II du code de la consommation est complétée par des articles L. 218-5-3 à L. 218-5-4-1 ainsi rédigés : « Art. L. 218-5-3. – (Non modifié) Lorsque les informations prévues au premi	À l’alinéa 2, substituer à la première occurrence du mot : « préfet » les mots : « représentant de l’État dans le département ».	S'il est établi qu'un produit a été mis sur le marché sans avoir été l'objet de l'autorisation, de l'enregistrement ou de la déclaration exigé par la réglementation applicable à ce produit, le préfet ou, à Paris, le préfet de police peut ordonner la suspension de sa mise sur le marché et son retrait jusqu'à la mise en  […]		faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Dans le texte en discussion (ta-commission-r1574), l'alinéa 2 de l'article 44 est l'alinéa « Art. L. 218-5-3 » (« …le préfet ou, à Paris, le préfet de police peut ordonner, dans un délai qu'il fixe… ») : c'est là que tombe la première occurrence de « préfet » que l'amendement rédactionnel substitue, et non dans L. 218-5-4, qui n'est que l'alinéa 4 (son corps n'est même pas reproduit dans cette version). L'alinéa visé relève donc de la création de L. 218-5-3, autre article du code que le L218-5-4 déclaré.	L'alinéa 2 de l'article 44 est le texte de l'article L. 218-5-3 (chapeau = alinéa 1), qui porte bien le mot « préfet » ; l'amendement modifie donc L. 218-5-3. L. 218-5-4 n'est que l'article « (Non modifié) » cité à l'alinéa 4, sans autre texte imprimé.	L'alinéa 2 de l'article 44 redige « Art. L. 218-5-3. – (Non modifié) Lorsque les informations… le préfet ou, à Paris, le préfet de police… » : la substitution du dispositif y est opérable et porte donc sur L. 218-5-3, pas sur L. 218-5-4. L. 218-5-4 n'apparaît qu'à l'alinéa 4, cité (Non modifié) sans texte, qu'aucune substitution ne vise.	2026-09-19
faux	01fd25caf557d40e	senat	194 rect.	Non soutenu	M. RETAILLEAU	L121-83-1	1	sans visée	alinea	senat/leg-pjl12-810.html	72 ter	Article 72 ter	it mois après la promulgation de la présente loi. Article 72 ter (Non modifié) I. - L'article L. 121-83-1 du code de la consommation est ainsi modifié : 1° Au premier alinéa, après le mot : « consomm	Alinéas 7 à 11 Supprimer ces alinéas.	Tout fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques met à la disposition des consommateurs et tient à jour dans ses points de vente et par un moyen téléphonique ou électronique accessible en temps réel à un tarif raisonnabl […]	//www.senat.fr/amendements/2012-2013/810/Amdt_194.html	faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 72 ter compte onze alinéas : l'instruction I qui modifie L. 121-83-1 du code de la consommation ne couvre que les alinéas 1 à 3. Les alinéas 7 à 11, que l'amendement supprime, forment le 2° du II qui réécrit l'article L. 33-1 du code des postes et des communications électroniques (L. 121-83-1 n'y est que cité). L'amendement ne porte donc pas sur L. 121-83-1.	L'article 72 ter compte 11 alinéas : les alinéas 7 à 11 supprimés par l'amendement relèvent du II (« Le code des postes et des communications électroniques est ainsi modifié »), dont le 2° réécrit l'article L. 33-1 du CPCE ; l'article L. 121-83-1 du code de la consommation n'y est que cité (alinéa 11). L'amendement ne portait donc pas sur L. 121-83-1.	L'amendement supprime les alinéas 7 à 11 de l'article 72 ter, qui relèvent tous de l'instruction II (code des postes et des communications électroniques, art. L. 32-1 et L. 33-1), quelle que soit la convention de décompte. L'instruction qui réécrit L121-83-1 (instruction I) ne couvre que les alinéas 1 à 3 : les alinéas visés gouvernent un autre code, pas l'article déclaré.	2026-09-19
juste	0209cbe7a5feb070	senat	42 rect.	Adopté	M. DESESSARD	L312-9	8	sans visée	alinea	senat/leg-pjl12-682.html	18	Article 18	s mentionnés à l'article L. 312-10 ne soient prorogés ni ne courent à nouveau. » ; 5° L'article L. 312-9 est ainsi modifié : a) L'avant-dernier alinéa est ainsi rédigé : « Le prêteur ne peut, en contr	Alinéa 28 Remplacer les mots : dix jours ouvrés par les mots : dix jours	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2012-2013/682/Amdt_42.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'alinéa 28 de l'article 18 est le premier des deux alinéas insérés dans L. 312-9 par le c) du 5° (« Après le cinquième alinéa, sont insérés deux alinéas… ») ; il contient « dix jours ouvrés », seule occurrence du texte, cible exacte du dispositif. L'arête vers L. 312-9 du code de la consommation est donc vraie telle qu'énoncée.	L'« Alinéa 28 » de l'article 18 (le §« Si l'offre définie… », hors titre) est l'alinéa inséré dans L. 312-9 par le 5° c) ; l'amendement y remplace « dix jours ouvrés » par « dix jours », donc il porte bien sur L. 312-9.	L'alinéa 28 de l'article 18 (compté dans le texte) est l'alinéa inséré « Si l'offre définie à l'article L. 312-7… dix jours ouvrés… », sous l'instruction 5° qui réécrit L. 312-9 ; le dispositif amendant cet alinéa portait donc bien sur L312-9.	2026-09-19
