verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	07d47b1544f4cbf3	senat	103	Retiré	M. BÉTEILLE	L311-50	1	sans visée	article_entier	senat/leg-pjl08-448.html	15	Article 15	intitulée : « Procédure » et comprend l'article L. 311-50. II. - Au second alinéa de l'article L. 311-50 du même code, les mots : « du juge de l'exécution sur les mesures mentionnées à l'article L. 3	Après le I de cet article, insérer un paragraphe ainsi rédigé : ... - Dans la seconde phrase du premier alinéa, les mots : « de l'événement » sont remplacés par les mots : « du premier incident de paiement non régularisé ».	L311-50 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Sera puni d'une amende de 30 000 euros : 1° Le prêteur ou le vendeur qui, en infraction aux dispositions des articles L. 311-14 et L. 311-40, réclame ou reçoit de l'emprunteur ou de l'acheteur un paiement sous quelque forme que ce soit ; 2° Celui qui fait […]	//www.senat.fr/amendements/2008-2009/448/Amdt_103.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 15 ne comprend que L. 311-50 (I crée le chapitre, II modifie son alinéa) et le paragraphe inséré reste dans cette même alinéa.	L'article 15 (I et II) ne traite que de L. 311-50, et le paragraphe inséré après le I retouche aussi son alinéa.		2026-09-26
juste	1071a68c11583b75	senat	1481	Non soutenu	Mme AÏCHI	L423-6	1	sans visée	article_entier	senat/leg-pjl14-371.html	11 ter	Article 11 ter	double de la valeur du ou des objets achetés. » Article 11 ter La première phrase de l'article L. 423-6 du code de la consommation est complétée par les mots : « ou, si l'association le demande, sur	Supprimer les mots : , si l’association le demande,	L423-6 (2014-03-19) — écrit par la loi du dossier, 2015-08-08 : Toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immé […] ‖ avant, 2014-03-19 : Toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immédiatement versée en compte de dépôt à la Caisse des […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1481.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 11 ter ne fait que compléter la première phrase de L. 423-6, et la suppression de mots porte sur ce même texte.	Article 11 ter est un article autonome sur L. 423-6, distinct de 11 ter A et 11 ter B qui portent sur d'autres articles.		2026-09-26
juste	12c32a43f426723e	assemblee	967	Non soutenu	M. Claude de Ganay	L213-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2230-a0.asp	22 bis	ART. 22 BIS	isagé » ; 3° L’article L. 541-39 est abrogé. Article 22 bis (nouveau) Après le 3° de l’article L. 213-1 du code de la consommation, il est inséré 4° ainsi rédigé : « 4° Soit sur la durée de vie du pr	Supprimer cet article.	L213-1 (1993-07-27) — en vigueur à la loi du dossier, 2014-03-19 : Sera puni d'un emprisonnement de deux ans au plus et d'une amende de 300 000 euros quiconque, qu'il soit ou non partie au contrat, aura trompé ou tenté de tromper le contractant, par quelque moyen ou procédé que ce soit, même par l'intermédiaire d'un ti […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 22 bis n'insère qu'un 4° dans L. 213-1 ; « Supprimer cet article » porte sur ce seul article.	Article 22 bis se limite à insérer un 4° dans L. 213-1, rien d'autre.		2026-09-26
juste	158935f5e79819e5	assemblee	1058	Non soutenu	M. Lionel Tardy	L213-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2230-a0.asp	22 bis	ART. 22 BIS	isagé » ; 3° L’article L. 541-39 est abrogé. Article 22 bis (nouveau) Après le 3° de l’article L. 213-1 du code de la consommation, il est inséré 4° ainsi rédigé : « 4° Soit sur la durée de vie du pr	Supprimer cet article.	L213-1 (1993-07-27) — en vigueur à la loi du dossier, 2014-03-19 : Sera puni d'un emprisonnement de deux ans au plus et d'une amende de 300 000 euros quiconque, qu'il soit ou non partie au contrat, aura trompé ou tenté de tromper le contractant, par quelque moyen ou procédé que ce soit, même par l'intermédiaire d'un ti […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 22 bis n'insère qu'un 4° dans L. 213-1 ; « Supprimer cet article » porte sur ce seul article.	Même article 22 bis, seul L. 213-1 est concerné.		2026-09-26
juste	18808277002fc177	senat	103	Adopté	Mme DINI	L313-11	1	sans visée	article_entier	senat/leg-pjl13-283.html	19 septies	Article 19 septies	f eu égard au train de vie du ménage ». Article 19 septies (Non modifié) À la fin de l'article L. 313-11 du code de la consommation, les mots : « à l'acheteur d'un bien mobilier ou immobilier » sont	Rédiger ainsi cet article : L’article L. 313-11 du code de la consommation est ainsi rédigé : « Art. L. 313-11. - Le vendeur, personne physique, salarié ou non, ne peut en aucun cas être rémunéré en fonction des modalités de paiement choisies par l’acheteur. »	L313-11 (1993-07-27) — écrit par la loi du dossier, 2014-03-19 : Tout vendeur personne physique, salarié ou non d'un organisme bancaire ou de crédit, ne peut, e […] ‖ avant, 2011-05-01 : Tout vendeur personne physique, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du cr […]	//www.senat.fr/amendements/2013-2014/283/Amdt_103.html	juste		sonnet-juge-a	sonnet-juge-b		« Rédiger ainsi cet article » réécrit l'article 19 septies vers L. 313-11 lui-même, l'article déjà visé.	« Rédiger ainsi cet article » réécrit vers L. 313-11, le même article que celui que l'article 19 septies modifie déjà seul.		2026-09-26
juste	25933c08f4ea88f9	assemblee	9	Rejeté	Mme Eva Sas	L311-8-1	1	sans visée	article_entier	assemblee/14-projets-pl1015.asp	18	ART. 18	Chapitre III Crédit et assurance Section 1 Crédit à la consommation Article 18 I. – L’article L. 311-8-1 du code de la consommation est remplacé par les dispositions suivantes : « Art. L. 311-8-1. –	Au deuxième alinéa, remplacer les mots « d’une proposition de crédit amortissable » par les mots « d’une offre de crédit amortissable ».	L311-8-1 (2011-05-01) — en vigueur à la loi du dossier, 2011-05-01 : Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur […]		juste		sonnet-juge-a	sonnet-juge-b		Le deuxième alinéa de l'article 18 est la citation de L. 311-8-1, où se trouve la phrase « d'une proposition de crédit amortissable ».	L'article 18 ne comporte qu'un I sur L. 311-8-1 et un II d'application territoriale, aucun autre article touché.		2026-09-26
juste	2925adbf9485d592	senat	12	Adopté	Mme ASSASSI	L117-1	1	sans visée	article_entier	senat/leg-pjl14-371.html	11 ter a	Article 11 ter A	able au Département de Mayotte. » Article 11 ter A (Non modifié) Le dernier alinéa de l'article L. 117-1 du code de la consommation est supprimé. Article 11 ter B (Non modifié) L'article L. 121-102 du	Supprimer cet article.	L117-1 (2014-08-02) — en vigueur à la loi du dossier, 2014-08-02 : Le fabricant, le producteur ou le distributeur d'un bien commercialisé en France transmet au consommateur qui en fait la demande et qui a connaissance d'éléments sérieux mettant en doute le fait que ce bien a été fabriqué dans des conditions respectueus […]	//www.senat.fr/amendements/2014-2015/371/Amdt_12.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 11 ter A ne supprime que le dernier alinéa de L. 117-1.	Article 11 ter A est autonome, limité à la suppression du dernier alinéa de L. 117-1.		2026-09-26
juste	3263a1ac8697b5c5	senat	1558	Rejeté	LE GOUVERNEMENT	L121-102	1	sans visée	article_entier	senat/leg-pjl14-371.html	11 ter b	Article 11 ter B	cle L. 117-1 du code de la consommation est supprimé. Article 11 ter B (Non modifié) L'article L. 121-102 du code de la consommation est ainsi modifié : 1° À la première phrase du premier alinéa, le m	Supprimer cet article.	L121-102 (2014-03-19) — en vigueur à la loi du dossier, 2014-03-19 : Le consommateur dispose d'un délai de vingt-quatre heures à compter de la signature du contrat pour exercer son droit de rétractation, sans avoir à justifier de motifs ni à payer de pénalités. L'exécution des obligations contractuelles incombant aux p […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1558.html	juste		sonnet-juge-a	sonnet-juge-b		L'article 11 ter B ne modifie que L. 121-102, en trois points tous internes à cet article.	Article 11 ter B ne modifie que L. 121-102 (1° à 3°).		2026-09-26
juste	35e56efb523c1753	assemblee	561	Retiré	M. Luc Belot	L121-83	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	25	ART. 25	-5-1 » sont remplacés par les mots : « , L. 111-5-1 et L. 111-5-3 ». Article 25 I. – L’article L. 121-83 du même code est ainsi modifié : 1° Après le b, il est inséré un b bis ainsi rédigé : « b bis)	Supprimer cet article.	L121-83 (2004-07-10) — en vigueur à la loi du dossier, 2011-08-27 : Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes sous un […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 25 ne touche que L. 121-83 (le II n'est qu'une clause d'application territoriale, pas un autre article).	Article 25 ne compte qu'un I sur L. 121-83 et un II d'application, aucun autre article.		2026-09-26
juste	3e8b9245f2076ef5	assemblee	283	Adopté	LE GOUVERNEMENT	L141-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2988-a0.asp	40 quater	ART. 40 QUATER	pplicables à ces mêmes manquements. » Article 40 quater (Non modifié) Au 9° du III de l’article L. 141-1 du code de la consommation, après la référence : « L. 347-1 », sont insérées les références : «	À la fin, substituer aux références : « L. 314‑10‑1 et L. 314‑10‑2 » les références : « L. 311‑4‑1, L. 314‑10‑1, L. 314‑10‑2 et L. 342‑5 ».	L141-1 (1993-07-27) — écrit par la loi du dossier, 2015-12-30 : I.-Sont recherchés et constatés, dans les conditions fixées par les articles L. 450-1, L. 450-3  […] ‖ avant, 2015-08-22 : I.-Sont recherchés et constatés, dans les conditions fixées par les articles L. 450-1, L. 450-3 à L. 450-4, L. 450-7 et L. 450-8 du code de commerc […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 40 quater ne modifie qu'une liste de références au sein du 9° du III de L. 141-1.	Article 40 quater insère seulement des références dans L. 141-1 ; les numéros cités sont internes à cette liste, pas des cibles distinctes.		2026-09-26
