verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url
faux	000b37cee0df656a	senat	174	Irrecevable art. 44 bis, al. 5 et 6 RS (entonnoir)	M. BOSINO	L121-91	1	sans visée	senat/leg-pjl14-530.html	60 bis	Article 60 bis A (Supprimé)	) Article 60 bis A (Supprimé) Article 60 bis (Non modifié) I. - Le premier alinéa de l'article L. 121-91 du code de la consommation est complété par une phrase ainsi rédigée : « Aucune consommation d	Rétablir cet article dans la rédaction suivante : L’article L. 115‑3 du code de l’action sociale et des familles est ainsi modifié : 1° À la première phrase du troisième alinéa, les mots : « Du 1 er novembre de chaque année au 15 mars de l’année suivante » sont supprimés ; 2° Au quatrième alinéa, les mots : « ou suspendue ou faire l’objet d’une résiliation de contrat à défaut de règlement » sont supprimés ; 3° Au cin […]	Toute offre de fourniture d'électricité ou de gaz permet, au moins une fois par an, une facturation en fonction de l'énergie consommée. Les factures de fourniture de gaz naturel et d'électricité sont présentées dans les conditions fixées par un arrêté du ministre chargé de la consommation et du ministre chargé de l'éne […]	//www.senat.fr/amendements/2014-2015/530/Amdt_174.html
douteux	00ae121421bf3ea6	senat	26 rect.	Retiré	M. CABANEL	L313-29	2	oui, par renumérotation	senat/leg-ppl21-368.html	3	Article 3	ésent II. »  II. – Le code de la consommation est ainsi modifié :  1° Le 1° de l’article L. 313-29 est ainsi modifié :  a) Le mot : « et » est remplacé par le signe : « , » ;  b) Sont aj	I. – Alinéa 2 Rédiger ainsi cet alinéa : « Art. L. 113-15-3. – I. – Pour les contrats mentionnés à l’article L. 113-12-2, l’entreprise d’assurance met à la disposition de l’assuré, sur tout support durable, les informations relatives au droit de résiliation de ces contrats prévu au même article ainsi qu’aux modalités de résiliation et aux différents délais de notification et d’information que l’assuré doit respect […]	Lorsque le prêteur propose à l'emprunteur un contrat d'assurance en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances dudit prêt, les dispositions suivantes sont obligatoire […]	//www.senat.fr/amendements/2021-2022/368/Amdt_26.html
juste	00b0c29c25863aad	senat	313	Rejeté	M. CÉSAR	L312-9	1	sans visée	senat/leg-pjl13-283.html	19 octies	Article 19 octies	Conseil d'État. » II. - (Non modifié) Article 19 octies I et II. - (Supprimés) III. - L'article L. 312-9 du code de la consommation, dans sa rédaction résultant de la loi n° 2013-672 du 26 juillet 201	Alinéa 8, deuxième phrase 1° Remplacer le mot : crédit par les mots : prêt initial 2° Supprimer les mots : en y mentionnant, notamment, le nouveau taux effectif global calculé, conformément à l’article L. 313-1,	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2013-2014/283/Amdt_313.html
faux	00ceaa06bed2dce3	senat	652	Rejeté	M. LE CAM	L311-36	1	non	senat/leg-pjl12-810.html	19 quater	Article 19 quater A	de paiement ». Article 19 quater (Non modifié) Après le mot : « a », la fin du 2° de l'article L. 311-36 du code de la consommation est ainsi rédigée : « exercé son droit de rétractation dans le déla	Rédiger ainsi cet article : L'article L. 311-17-1 du code de la consommation est abrogé.	Les infractions aux dispositions des décrets visés au deuxième alinéa de l'article 1er du décret n° 55-585 du 20 mai 1955 relatif aux ventes à crédit seront punies des peines prévues à l'article L. 311-35 et seront constatées et poursuivies dans les conditions fixées par les articles L. 450-1 premier alinéa, L. 450-2,  […]	//www.senat.fr/amendements/2012-2013/810/Amdt_652.html
juste	00dddca6e2d6fd6f	senat	575	Adopté	M. VIAL	L115-4	1	sans visée	senat/leg-pjl08-553.html	94 ter	Article 94 ter	t aux dispositions du code de l'expropriation pour cause d'utilité publique ». VIII - L'article L. 115-4 du code de la consommation est ainsi modifié : 1° À la première phrase, les mots : « comportant	Avant le 1° du I de cet article, insérer un alinéa ainsi rédigé : ...° À la première phrase du second alinéa de l'article L. 145‑1, après les mots : « un décret en Conseil d'État », insérer les mots : « , après enquête publique réalisée conformément aux dispositions du chapitre III du titre II du livre I er du code de l'environnement, ».	Le décret prévu à l'article L. 115-2 est pris après enquête publique comportant la consultation des groupements professionnels directement intéressés. Un décret en Conseil d'Etat fixe les modalités de cette enquête.	//www.senat.fr/amendements/2008-2009/553/Amdt_575.html
faux	010501b6239fd0ef	senat	562	Rejeté	Mme LAMURE	L211-7	2	sans visée	senat/leg-pjl12-810.html	7	Article 7	l'existence d'une garantie commerciale et d'un service après-vente. » Article 7 I. - L'article L. 211-7 du code de la consommation est ainsi modifié : 1° (nouveau) Au premier alinéa, le mot : « six »	Alinéa 2 Remplacer le mot : dix-huit par le mot : douze	Les défauts de conformité qui apparaissent dans un délai de six mois à partir de la délivrance du bien sont présumés exister au moment de la délivrance, sauf preuve contraire. Le vendeur peut combattre cette présomption si celle-ci n'est pas compatible avec la nature du bien ou le défaut de conformité invoqué.	//www.senat.fr/amendements/2012-2013/810/Amdt_562.html
faux	01089d6fbe613988	assemblee	119	Adopté	M. Dominique Potier	L311-8-1	1	sans visée	assemblee/14-ta-commission-r1574-a0.asp	18	ART. 18 D	uels les mesures de traitement n’ont pas encore été mises en œuvre. Article 18 I. – L’article L. 311-8-1 du code de la consommation est ainsi rédigé : « Art. L. 311-8-1. – Lorsqu’un consommateur se v	Substituer à l’alinéa 11 les deux alinéas suivants : « II. – Le I entre en vigueur au 1er janvier 2015. « III. – Avant le 31 décembre 2016, le Gouvernement remet au Parlement un rapport dans lequel il présente et évalue les conditions de mise en œuvre, la pertinence et l’impact de la réduction de la durée des mesures de traitement des situations de surendettement et des autres mesures prises en matière de prévention  […]	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]	
faux	017c8bd4fefa0b65	senat	18 rect.	Rejeté	Mme BRICQ	L331-2	5	sans visée	senat/leg-pjl09-539.html	21	Article 21	itre I er du titre III du livre III du code de la consommation est ainsi modifié : 1° L'article L. 331-2 est ainsi rédigé : « Art. L. 331-2. - La commission a pour mission de traiter, dans les conditi	Compléter cet article par deux alinéas ainsi rédigés : ...° Le premier alinéa de l'article L. 331‑6 est complété par une phrase ainsi rédigée : « Le plan fait l'objet d'un réexamen tous les deux ans, par la commission. »	La procédure de règlement amiable est destinée, par l'élaboration d'un plan conventionnel approuvé par le débiteur et ses principaux créanciers, à régler la situation de surendettement des personnes physiques, caractérisée par l'impossibilité manifeste pour le débiteur de bonne foi de faire face à l'ensemble de ses det […]	//www.senat.fr/amendements/2009-2010/539/Amdt_18.html
faux	0262ea454a3cfcc0	senat	1547	Rejeté	LE GOUVERNEMENT	L141-1-2	3	sans visée	senat/leg-pjl14-371.html	58	Article 58	(Supprimé) Article 58 I. - Le code de la consommation est ainsi modifié : 1° Le V de l'article L. 141-1-2 est complété par des mots et une phrase ainsi rédigée : « aux frais de la personne sanctionnée	I. – Alinéa 6 Rétablir le 3° dans la rédaction suivante : 3° Au début de la seconde phrase du 2° de l’article L. 121‑21, sont ajoutés les mots : « Pour les contrats conclus hors établissement, » ; II. – Alinéa 15 Rétablir le II bis dans la rédaction suivante : II bis – L’article 17‑2 de la loi n° 70‑9 du 2 janvier 1970 réglementant les conditions d’exercice des activités relatives à certaines opérations portant sur l […]	I. ― L'autorité administrative chargée de la concurrence et de la consommation est l'autorité compétente pour prononcer les amendes administratives sanctionnant les manquements aux I à III de l'article L. 141-1 ainsi que l'inexécution des mesures d'injonction prévues au VII du même article L. 141-1. II. ― L'action de l […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1547.html
juste	02918b9a80cab57a	senat	663 rect.	Retiré	M. CORBISEZ	L511-7	1	sans visée	senat/leg-pjl18-728.html	5	Article 5	nt précisées par décret en Conseil d’État. »  II bis (nouveau). – Après le 22° de l’article L. 511-7 du code de la consommation, il est inséré un 23° ainsi rédigé :  « 23° De l’article L. 541-	Alinéas 4 à 6 Remplacer ces alinéas par un alinéa ainsi rédigé : « Art. L. 541‑15‑8. – I. – Les producteurs, importateurs et distributeurs de produits non alimentaires neufs sont tenus de réemployer, de réutiliser ou de recycler leurs invendus, à l’exception des produits dont la valorisation matière est interdite, dont l’élimination est prescrite ou dont le réemploi, la réutilisation et le recyclage comportent des ri […]	Les agents sont habilités à rechercher et à constater les infractions ou les manquements aux dispositions : 1° Du règlement (CE) n° 1371/2007 du Parlement européen et du Conseil du 23 octobre 2007 sur les droits et obligations des voyageurs ferroviaires ; 2° De l'article 23 du règlement (CE) n° 1008/2008 du Parlement e […]	//www.senat.fr/amendements/2018-2019/728/Amdt_663.html
