verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	juge	juge_bis	commentaire	commentaire_bis	date_jugement
faux	02704b70c5ab530d	assemblee	460	Rejeté	M. Damien Abad	L211-15	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	7	ART. 7	e L. 211-7 du même code, le mot : « six » est remplacé par le mot : « douze ». II. – L’article L. 211-15 du même code est ainsi rédigé : « Art. L. 211-15. – La garantie commerciale s’entend de tout e	Supprimer l’alinéa 1.	La garantie commerciale offerte à l'acheteur prend la forme d'un écrit mis à la disposition de celui-ci. Cet écrit précise le contenu de la garantie, les éléments nécessaires à sa mise en oeuvre, sa durée, son étendue territoriale ainsi que le nom et l'adresse du garant. Il mentionne que, indépendamment de la garantie  […]		faux	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 7 du texte comporte deux cibles : I. modifie L. 211-7 et II. réécrit L. 211-15 (vérifié dans le corpus). N réécrit donc plusieurs articles, et le dispositif « Supprimer l'alinéa 1 » viserait le I (L. 211-7), pas L. 211-15 : l'attribution à L. 211-15 n'est pas établie.	Le dispositif « Supprimer l'alinéa 1 » vise l'alinéa 1 de l'article 7, qui est la modification de L211-7 (« six » → « douze ») visible en tête de fenêtre, non la réécriture de L211-15 ; l'amendement portait donc sur la garantie légale. De plus l'article 7 du texte modifie quatre articles du code (L211-7, L211-15, L211-16, L211-19), le comptage « 1 cible » omettant les alinéas I, III et IV.	2026-09-19
juste	02cac7d63cb221ce	assemblee	888	Retiré	Mme Michèle Bonneton	L311-8-1	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	18	ART. 18	acés par les mots : « ni d’aucun frais ou seulement d’intérêts et ». Article 18 I. – L’article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. – Lorsqu’un consommateur se voit proposer,	À l’alinéa 2, après le mot : « amortissable » insérer les mots : « comprenant entre autres un tableau d’amortissement comparatif simplifié dont le contenu est défini par décret. ».	Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de cr […]			agent:deepseek-v4p1-flash		L'amendement 888 (dossier JORFDOLE000027383756, texte 1156) porte bien la division ART. 18, qui réécrit un unique article, L. 311-8-1 du code de la consommation ; le dispositif (« après le mot amortissable ») vise le crédit amortissable de cet article et ne renvoie manifestement pas à autre chose.		2026-09-19
faux	074a25a39dd14855	assemblee	975	Non soutenu	M. Guillaume Garot	L112-13	1	sans visée	assemblee/14-ta-commission-r2673-a0.asp	5	ART. 5	e chapitre II du titre Ier du livre Ier du code de la consommation est complété par un article L. 112-13 ainsi rédigé : « Art. L. 112-13. – Les conditions dans lesquelles la déclaration nutritionnell	Compléter l’alinéa 4 par les mots : « , après consultation des représentants des producteurs, des industriels, des distributeurs, des associations de consommateurs et des scientifiques ».	Les conditions dans lesquelles la déclaration nutritionnelle obligatoire prévue par le règlement (UE) n° 1169/2011 du Parlement européen et du Conseil, du 25 octobre 2011, concernant l'information des consommateurs sur les denrées alimentaires, modifiant les règlements (CE) n° 1924/2006 et (CE) n° 1925/2006 du Parlemen […]		faux	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement est bien déposé sur l'art. 5, mais son dispositif complète l'alinéa 4 de cet article, qui est le second alinéa de l'article L. 3232-8 du code de la santé publique (modalités du décret), et non L. 112-13 : la cible retenue est fausse.	L'article 5 du texte de commission réécrit trois articles sur deux codes (modifie L. 2133-1 et crée L. 3232-8 du code de la santé publique, crée L. 112-13 du code de la consommation) : la condition « et aucun autre » de depose_sur échoue, et le cibles_de_l_article = 1 trahit une liste de cibles incomplète. De surcroît, l'alinéa 4 que vise le dispositif est le second alinéa du L. 3232-8 créé (modalités des recommandations), non la partie créant L. 112-13.	2026-09-19
juste	0bf23bd9731374b9	senat	429	Retiré	Mme Michèle ANDRÉ	L311-16	1	sans visée	senat/leg-pjl12-810.html	19	Article 19	Polynésie française et dans les îles Wallis et Futuna. Article 19 (Non modifié) I. - L'article L. 311-16 du même code est ainsi modifié : 1° À la troisième phrase du huitième alinéa, les mots : « de	Alinéa 4 Supprimer cet alinéa.	Lorsque l'offre préalable stipule que le prêteur se réserve le droit d'agréer la personne de l'emprunteur, le contrat accepté par l'emprunteur ne devient parfait qu'à la double condition que, dans ce même délai de sept jours, ledit emprunteur n'ait pas usé de la faculté de rétractation visée à l'article L. 311-15 et qu […]	//www.senat.fr/amendements/2012-2013/810/Amdt_429.html	juste	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Amendement 429 déclaré sur l'article 19, qui réécrit un seul article (cibles_de_l_article=1), L. 311-16 du code de la consommation ; le dispositif « Alinéa 4 - Supprimer cet alinéa » supprime le 3° de l'article 19, qui modifie bien L. 311-16. Dépôt et cible concordent.	La subdivision déclarée (Article 19) est bien l'article du texte qui réécrit L. 311-16, sa seule cible (I, 1° à 3° ; le II renvoie au I). Le dispositif « Alinéa 4 — Supprimer cet alinéa » supprime la clause 3° de cet article, c'est-à-dire une des modifications à L. 311-16, donc ne vise manifestement pas autre chose.	2026-09-19
juste	0c085cdcf1ce3af8	assemblee	477	Rejeté	M. Jean-Pierre Decool	L311-8-1	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	18	ART. 18	acés par les mots : « ni d’aucun frais ou seulement d’intérêts et ». Article 18 I. – L’article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. – Lorsqu’un consommateur se voit proposer,	I. – À l’alinéa 2, supprimer les mots : « , sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, ». II. – En conséquence, au même alinéa, supprimer les mots : « pour financer l’achat de biens ou de prestations de services particuliers ».	Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de cr […]		juste	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement 477 est déposé sur la subdivision ART. 18 ; l'article 18 réécrit un seul article du code de la consommation, L. 311-8-1 (cibles=1), et le dispositif supprime des mots figurant dans le texte réécrit de cet article. La cible est donc bien L. 311-8-1.	L'article 18 du texte réécrit entièrement L. 311-8-1 (« est ainsi rédigé »), cible unique de l'article. L'amendement 477 déclare la subdivision ART. 18 et son dispositif supprime des mots (« sur le lieu de vente ou par un moyen de vente de biens ou de services à distance », « pour financer l'achat de biens ou de prestations de services particuliers ») qui figurent mot pour mot dans la nouvelle rédaction de L. 311-8-1 : il visait bien cet article.	2026-09-19
faux	0d709b76e710acfe	senat	34	Rejeté	LE GOUVERNEMENT	L522-7	1	sans visée	senat/leg-ppl18-311.html	3 bis	Article 3 bis	insérés les mots : « , dans la limite du maximum légal le plus élevé » ;  2° Après l’article L. 522-7, il est inséré un article L. 522-7-1 ainsi rédigé :  « Art. L. 522-7-1. – Lorsqu’une amende	Supprimer cet article.	Lorsque, à l'occasion d'une même procédure ou de procédures séparées, plusieurs sanctions administratives ont été prononcées à l'encontre du même auteur pour des manquements en concours passibles d'amendes dont le montant maximal excède 3 000 euros pour une personne physique et 15 000 euros pour une personne morale, ce […]	//www.senat.fr/amendements/2018-2019/311/Amdt_34.html	juste	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement 34 (Gouvernement, « Supprimer cet article ») est bien déposé sur l'article 3 bis, mais cet article ne réécrit pas L. 522-7 seul : son 2° insère en outre un nouvel article L. 522-7-1 du même code (visible dans la fenêtre). La condition « et aucun autre » de depose_sur échoue, et cibles_de_l_article=1 omet cette création restée non_resolue ; l'attribution de l'amendement à L. 522-7 seul n'est donc pas établie.	Amdt 34 (Gouvernement) déclare bien la subdivision « Article 3 bis » avec dispositif « Supprimer cet article. » ; vérifié dans le texte : l'article 3 bis de la ppl18-311 complète l'article L. 522-7 (1°, mots insérés après « cumulativement ») et y insère L. 522-7-1 (2°) — un seul article du code visé.	2026-09-19
faux	0e44d3ebca2cbd5f	senat	5 rect.	Tombé	Mme LOISIER	L221-16	1	sans visée	senat/leg-ppl19-464.html	1er	Article 1er	. . . . . . . . . . . . . . . . Article 1er (Non modifié)  Le premier alinéa de l’article L. 221-16 du code de la consommation est ainsi modifié :  1° Après le mot : « conversation », sont in	Compléter cet article par un paragraphe ainsi rédigé : … – Après l’article L. 221‑17 du code de la consommation, il est inséré un article L. 221‑… ainsi rédigé : « Art. L. 221‑…. – Tout appel de prospection commerciale par voie téléphonique doit être identifiable par le consommateur à l’aide d’un préfixe précédant obligatoirement le numéro de la ligne appelante. « Un décret pris après avis de l’Autorité de régulation […]	Sans préjudice des dispositions de l'article L. 221-12, le professionnel qui contacte un consommateur par téléphone en vue de conclure un contrat portant sur la vente d'un bien ou sur la fourniture d'un service indique au début de la conversation son identité, le cas échéant l'identité de la personne pour le compte de  […]	//www.senat.fr/amendements/2019-2020/464/Amdt_5.html	juste	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement 5 rect. est bien déposé sur l'Article 1er, qui réécrit L. 221-16 (cibles=1), mais son dispositif complète cet article par un paragraphe insérant un article nouveau après L. 221-17 (préfixe téléphonique) : il vise donc manifestement un autre article que L. 221-16, et 'vise' est 'sans visée' — rien ne rattache l'amendement à L. 221-16.	L'article 1er de la PPL 464 réécrit L221-16 et c'est sa seule cible (vérifié dans le texte complet : les autres articles visent 223-4, 223-1, 524-3…). L'amendement 5 rect. déclare « Article 1er » et son dispositif (« Compléter cet article ») y ajoute un paragraphe sur l'identification des appels de prospection, même objet que L221-16 ; rien ne vise manifestement autre chose.	2026-09-19
faux	0e70d68b2eef25eb	assemblee	728	Non soutenu	M. André Chassaigne	L211-15	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	7	ART. 7	e L. 211-7 du même code, le mot : « six » est remplacé par le mot : « douze ». II. – L’article L. 211-15 du même code est ainsi rédigé : « Art. L. 211-15. – La garantie commerciale s’entend de tout e	I. – Après le mot : « code, » rédiger ainsi la fin de l’alinéa 1 : « après le mot : « mois » sont insérés les mots : « et à compter du 1er janvier 2014 de dix ans ».». II. – En conséquence, compléter cet article par l’alinéa suivant : « V. – À l’article L. 211‑12 du même code, après le mot : « ans », sont insérés les mots : « et à compter du 1er janvier 2014 par dix ans ».».	La garantie commerciale offerte à l'acheteur prend la forme d'un écrit mis à la disposition de celui-ci. Cet écrit précise le contenu de la garantie, les éléments nécessaires à sa mise en oeuvre, sa durée, son étendue territoriale ainsi que le nom et l'adresse du garant. Il mentionne que, indépendamment de la garantie  […]		faux	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif de l'amendement 728 modifie la durée de la garantie légale (à l'article L. 211-12, après « ans » ; objet : allonger de 2 à 10 ans) et ne vise pas L. 211-15, qui est la définition de la garantie commerciale réécrite par l'art. 7 II. L'article 7 du texte modifie en outre plusieurs articles du code (L. 211-7, L. 211-15, L. 211-16, L. 211-19), donc l'attribution depose_sur à la seule L. 211-15 n'est pas établie.	L'amendement fut bien déposé sur l'art. 7 (son dispositif réécrit l'alinéa I et ajoute un alinéa V à cet article), mais il vise les durées de garantie (L211-7, L211-12) et non L211-15. De plus l'art. 7 du texte modifie plusieurs articles du code (L211-7, L211-15, L211-16, L211-19), donc l'attribution depose_sur vers L211-15 seule n'est pas établie.	2026-09-19
faux	114694b85e54760a	senat	342	Adopté	M. Martial BOURQUIN	L121-79-4	1	sans visée	senat/leg-pjl13-283.html	64	Article 64	21-79-3, le montant : « 30 000 € » est remplacé par le montant : « 300 000 € » ; 3° L'article L. 121-79-4 est ainsi rédigé : « Art. L. 121-79-4 . - Les personnes physiques déclarées coupables de l'un	Alinéas 6 et 7 Remplacer les références : L. 121‑79‑1 et L. 121‑79‑2 par les références : L. 121‑79‑2 et L. 121‑79‑3	Les personnes morales coupables de l'une des infractions prévues par les articles L. 121-79-1 et L. 121-79-2 encourent également les peines complémentaires mentionnées à l'article 131-39 du code pénal.	//www.senat.fr/amendements/2013-2014/283/Amdt_342.html	juste	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'article 64 du texte modifie plusieurs articles du code de la consommation — 1° L. 121-79-2, 2° L. 121-79-3, 3° L. 121-79-4 —, et aussi L. 121-82 ainsi que la loi 71-1130 : le cibles_de_l_article=1 est contredit par la fenêtre elle-même. N réécrivant plusieurs articles, l'attribution de l'amendement 342 à la seule cible L. 121-79-4 n'est pas établie.	L'article 64 (VII bis) du texte ne réécrit que L. 121-79-4 (3° « est ainsi rédigé ») ; les 1° et 2° ne changent que des montants. Le dispositif de l'amendement 342 remplace les références L. 121-79-1/L. 121-79-2, qui ne figurent que dans les alinéas de la nouvelle rédaction de L. 121-79-4 : l'amendement portait bien sur cet article.	2026-09-19
faux	127a203b4339c577	senat	575	Rejeté	M. LEMOYNE	L112-13	1	sans visée	senat/leg-pjl14-654.html	5	Article 5	chapitre II du titre I er du livre I er du code de la consommation est complété par un article L. 112-13 ainsi rédigé : « Art. L. 112-13. - Les conditions dans lesquelles la déclaration nutritionnell	I. – Alinéa 2 Rédiger ainsi cet alinéa : I. – Le chapitre II du titre I er du livre I er du code de la consommation est complété par un article ainsi rédigé : II. – Alinéa 3 Remplacer la référence : Art. L. 3232‑8 par la référence : Art. L. 112‑13 III. – Alinéas 5 et 6 Supprimer ces alinéas.	Les conditions dans lesquelles la déclaration nutritionnelle obligatoire prévue par le règlement (UE) n° 1169/2011 du Parlement européen et du Conseil, du 25 octobre 2011, concernant l'information des consommateurs sur les denrées alimentaires, modifiant les règlements (CE) n° 1924/2006 et (CE) n° 1925/2006 du Parlemen […]	//www.senat.fr/amendements/2014-2015/654/Amdt_575.html	faux	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	L'amendement 575 est bien déclaré sur l'article 5 du texte, mais cet article réécrit plusieurs articles : son I A modifie L. 2133-1 du code de la santé publique et son I crée L. 3232-8 du même code, seul son II créant L. 112-13 (code de la consommation). Le cibles_de_l_article=1 ne compte que le code de la consommation et ne satisfait donc pas la condition d'unicité (l'article N réécrit A et aucun autre) que la définition de depose_sur exige.	L'amendement 575 est bien déposé sur l'article 5 (le découpage de son dispositif — alinéas 2, 3, 5 et 6 — colle à l'article du texte) et cet article crée bien L. 112-13 ; mais il réécrit aussi L. 2133-1 et crée L. 3232-8 du code de la santé publique (I A et I), donc la condition « et aucun autre » de depose_sur échoue : cibles_de_l_article=1 trahit une liste de cibles incomplète.	2026-09-19
