verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	3b3c6e1f4cf0b824	assemblee	2487	Adopté	M. Richard Ferrand	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2498-a0.asp	13	ART. 13	du service rendu. » ; 6° (nouveau) Le 4° de l’article 53 est abrogé ; II. – Le III de l’article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé : « 16° Du deuxième alinéa de l	À l’alinéa 22, substituer au mot : « deuxième » le mot : « troisième ».	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		juste		sonnet-A	sonnet-B		Alinéa 22 (art. 13) est le 16° cité, gouverné par l'alinéa 21 « Le III de l'article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé ».	Alinéa 22 (le 16° cité) relève de l'instruction II de l'alinéa 21, qui complète L141-1.		2026-09-24
juste	3d6516627fa96279	assemblee	2716	Rejeté	Mme Arlette Grosskost	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2498-a0.asp	13	ART. 13	du service rendu. » ; 6° (nouveau) Le 4° de l’article 53 est abrogé ; II. – Le III de l’article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé : « 16° Du deuxième alinéa de l	Compléter l’alinéa 22 par la phrase suivante : « Dans le cadre de leurs recherches et constats, les agents ne peuvent pas demander d’informations sur l’identité du client, ni sur la nature et le montant des prestations fournies par l’avocat. ».	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		juste		sonnet-A	sonnet-B		Même alinéa 22, même instruction alinéa 21 qui complète le III de l'article L. 141-1 par ce 16°.	Alinéa 22 (le 16° cité) relève de l'instruction II de l'alinéa 21, qui complète L141-1.		2026-09-24
juste	449aaa8fc068192b	assemblee	540	Rejeté	M. Patrick Hetzel	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2498-a0.asp	13	ART. 13	du service rendu. » ; 6° (nouveau) Le 4° de l’article 53 est abrogé ; II. – Le III de l’article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé : « 16° Du deuxième alinéa de l	Supprimer les alinéas 21 et 22.	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		juste		sonnet-A	sonnet-B		Alinéas 21 et 22 supprimés ensemble : 21 est l'instruction elle-même « le III de l'article L. 141-1 ... est complété par un 16° », 22 son contenu.	Les alinéas 21 et 22 forment ensemble l'instruction II qui complète L141-1.		2026-09-24
juste	4a185ca3b951f4c3	assemblee	414		M. Luc Belot	L121-47	1	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	40 a	ART. 40 A	ction 1 Recommandé électronique Article 40 A (nouveau) I. – À la première phrase de l’article L. 121-47 du code de la consommation, dans sa rédaction résultant de la loi n° 2014-344 du 17 mars 2014	À la fin de l’alinéa 1, substituer au mot : « surtaxés » le mot : « payants ».	Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tranches de numéros son […]		juste		sonnet-A	sonnet-B		Alinéa 1 (art. 40 A) est l'instruction elle-même « À la première phrase de l'article L. 121-47 du code de la consommation ... sont insérés les mots : « des numéros surtaxés ».	Alinéa 1 est l'instruction I elle-même, qui modifie la première phrase de L121-47.		2026-09-24
juste	4a21444f5aeb8f38	assemblee	881	Adopté	LE GOUVERNEMENT	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	Après la première phrase, rédiger ainsi la fin de l’alinéa 8 : « L’opérateur fait apparaître clairement, grâce à une signalisation explicite, l’existence : « 1° D’une relation contractuelle, dès lors que le contrat sous-jacent contient des stipulations relatives au classement des contenus, des biens ou des services proposés par la personne morale référencée ; « 2° D’un lien capitalistique, dès lors qu’il influence le […]	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Alinéa 8 (art. 22) est un des quatre alinéas insérés par l'instruction a) « Le premier alinéa est remplacé par quatre alinéas », sous 2° qui fait de l'article L. 111-5-1 l'article L. 111-5.	Alinéa 8 fait partie des quatre alinéas insérés par le a) de l'alinéa 4, qui réécrit L111-5.		2026-09-24
juste	533c48aa347affbc	assemblee	331	Tombé	M. Sergio Coronado	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	Compléter la dernière phrase de l’alinéa 8, par les mots : « et sur un dispositif consultable à tout moment ».	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Même alinéa 8, même chaîne d'instructions réécrivant L. 111-5.	Alinéa 8 fait partie des quatre alinéas insérés par le a) de l'alinéa 4, qui réécrit L111-5.		2026-09-24
juste	592fd68c92dce845	assemblee	826	Non soutenu	Mme Martine Lignières-Cassou	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	À l’alinéa 6, après le mot : « contenus », insérer les mots : « , de connaissances ».	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Alinéa 6 (art. 22) relève de la même instruction a) qui remplace le premier alinéa de L. 111-5 par quatre alinéas.	Alinéa 6 (« 1° Le classement... contenus... ») appartient au même bloc de quatre alinéas gouverné par l'alinéa 4, réécrivant L111-5.		2026-09-24
juste	60df82644b8fa4bb	assemblee	638	Tombé	M. Luc Belot	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	I. – Compléter la deuxième phrase de l’alinéa 8 par les mots : « grâce à une signalisation explicite ». II. – En conséquence, au début de la dernière phrase du même alinéa, substituer au mot : « Les informations à délivrer au consommateur à ce titre prennent » les mots : « Le détail des informations à délivrer au consommateur à ce titre prend ».	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Alinéa 8 (art. 22), toujours gouverné par l'instruction a) qui réécrit le premier alinéa de L. 111-5.	Alinéa 8, dont les 2e et 3e phrases sont visées, relève du bloc inséré par l'alinéa 4 qui réécrit L111-5.		2026-09-24
juste	61a18a37f471bea4	assemblee	4	Rejeté	M. Lionel Tardy	L425-1	1	sans visée	alinea	assemblee/14-ta-commission-r4042-a0.asp	3	ART. 3	rédigé : « Chapitre V « Dispositions relatives aux aéronefs circulant sans personne à bord « Art. L. 425-1. – Les fabricants ou importateurs d’aéronefs circulant sans personne à bord incluent dans l	Supprimer l’alinéa 5.	Les fabricants ou importateurs d'aéronefs circulant sans personne à bord incluent dans les emballages de leurs produits ainsi que dans les emballages de leurs pièces détachées une notice d'information relative à l'usage de ces aéronefs. Cette notice rappelle les principes et les règles à respecter pour utiliser ces app […]		juste		sonnet-A	sonnet-B		Alinéa 5 (art. 3) est un alinéa de l'article L. 425-1 créé par l'instruction alinéa 1 « le titre II du livre IV du code de la consommation est complété par un chapitre V ainsi rédigé ».	Alinéa 5 fait partie du chapitre V inséré par l'alinéa 1, qui crée L425-1.		2026-09-24
juste	71656a279a7d5e77	assemblee	45	Tombé	M. Philippe Houillon	L113-3	1	sans visée	alinea	assemblee/14-ta-commission-r2866-a0.asp	12	ART. 12	de ». I bis à I sexies. – (Supprimés) II. – La première phrase du troisième alinéa de l’article L. 113-3 du code de la consommation est complétée par les mots : « du présent code, ainsi qu’aux prestat	Supprimer l’alinéa 38.	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		juste		sonnet-A	sonnet-B		Alinéa 38 (art. 12, texte r2866) est l'instruction elle-même « II. – La première phrase du troisième alinéa de l'article L. 113-3 ... est complétée ».	Alinéa 38 est l'instruction II elle-même, qui complète la première phrase du 3e alinéa de L113-3.		2026-09-24
