verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0045129b8c156ec2	assemblee	85	Adopté	M. Jean-Paul Chanteguet	L141-1	1	sans visée	alinea	assemblee/14-propositions-pion2046.asp	11	ART. 11	prononcées que pour une durée de cinq ans au plus. » Article 11 Après le 8° du III de l’article L. 141-1 du code de la consommation, il est inséré un alinéa ainsi rédigé : « 8° bis Des articles L. 312	"A l'alinéa 2, substituer à la référence : "" L. 3124-1 "", la référence : "" L. 3122-6 ""."	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		juste		sonnet-A	sonnet-B		L'article 11 ne compte que 2 alinéas (comptage par ligne) : l'alinéa 2 cité, « 8° bis Des articles ... », est le texte inséré par la seule instruction de l'article, qui réécrit L.141-1.	Alinéa 2 de l'art. 11 (« 8° bis Des articles L. 3121-11-2 et L. 3124-1… ») est l'unique alinéa créé par l'unique instruction de l'article, qui insère au III de L. 141-1.		2026-09-24
juste	01f3442efc0c71e5	senat	296	Adopté	Mme PUISSAT	L711-4	1	sans visée	alinea	senat/leg-pjl25-112.html	24 bis	Article 24 bis	entionnées aux articles L. 6362-2 à L. 6362-7-3 ». Article 24 bis (nouveau)  I. – L’article L. 711-4 du code de la consommation est ainsi modifié :  1° Le 3° est complété par les mots : « , des	I. – Alinéa 2 Remplacer les mots : débitrices de prestations et d'aides sociales par les mots : versant des prestations et aides sociales II. – Alinéa 7 Supprimer cet alinéa.	Sauf accord du créancier, sont exclues de toute remise, de tout rééchelonnement ou effacement : 1° Les dettes alimentaires ; 2° Les réparations pécuniaires allouées aux victimes dans le cadre d'une condamnation pénale ; 3° Les dettes ayant pour origine des manœuvres frauduleuses commises au préjudice des organismes de  […]	//www.senat.fr/amendements/2025-2026/112/Amdt_296.html	juste		sonnet-A	sonnet-B		Pastilles du Sénat : l'alinéa 2 est « 1° Le 3° est complété... » (contenu « débitrices de prestations et d'aides sociales » confirmé), gouverné par « I. – L'article L. 711-4 ... est ainsi modifié ».	L'arête est dérivée du premier alinéa cité (alinéa 2, « Le 3° est complété… »), qui relève du I. modifiant L. 711-4 ; l'alinéa 7 cité en second (hors code) n'est pas retenu.		2026-09-24
juste	01f74d573b05ab13	assemblee	368	Rejeté	M. Sergio Coronado	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	Substituer à l'alinéa 9 les deux alinéas suivants : « b) Au début du deuxième alinéa, les mots : « Lorsque seuls des consommateurs ou des professionnels sont mis en relation, la personne mentionnée au premier alinéa du présent article est également tenue » sont remplacés par les mots : « L’opérateur de plateforme en ligne est également tenu » ; « c) Au troisième alinéa, les mots : « la personne mentionnée au premier  […]	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Comptage par ligne : l'alinéa 9 est « b) Aux deuxième et troisième alinéas... » (contenu confirmé), sous-instruction du « 2° L'article L. 111-5-1 devient l'article L. 111-5 et est ainsi modifié », qui réécrit L.111-5.	Alinéa 9 de l'art. 22 (« b) Aux deuxième et troisième alinéas… ») relève du 2° qui rédige L. 111-5-1 devenu L. 111-5.		2026-09-24
juste	04cf43ab2d8634d3	assemblee	609	Tombé	Mme Jeanine Dubié	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	Compléter l’alinéa 8 par la phrase suivante : « Les articles relatifs au présent alinéa sont directement accessibles dans chaque classement. ».	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		L'alinéa 8 est la dernière des quatre alinéas de remplacement (« Tout opérateur de plateforme... »), sous le « 2°...L.111-5...est ainsi modifié ».	Alinéa 8 de l'art. 22 est la fin du texte cité au a) du 2°, qui réécrit L. 111-5-1 devenu L. 111-5.		2026-09-24
faux	0758aa0a03605771	assemblee	302	Adopté	LE GOUVERNEMENT	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2988-a0.asp	32 bis	ART. 32 BIS	ticles L. 7232-2 et L. 7232-5 du code du travail sont abrogés. III. – Au 9° du III de l’article L. 141-1 du code de la consommation, les mots : « , de l’avant-dernier alinéa de l’article L. 313-1-2, e	Compléter l’alinéa 25 par la phrase suivante : « Toutefois, l’échéance de cette obligation ne peut intervenir dans les deux ans suivant la date de promulgation de la présente loi. ».	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'alinéa 25 (comptage par ligne, 1 à 29) tombe dans le paragraphe « VI (nouveau). – Les services d'aide... », disposition autonome qui ne réécrit pas L.141-1 ; le bornage des instructions ne reconnaît pas « VI (nouveau). – » à cause de la parenthèse, donc l'algorithme rattache à tort l'alinéa à l'instruction III sur L.141-1.	Alinéa 25 de l'art. 32 bis appartient au VI (nouveau), disposition transitoire autonome sur l'aide à domicile qui ne réécrit aucun article du code de la consommation ; seul l'alinéa 21 (III.) réécrit L. 141-1.		2026-09-24
juste	084827572c9e6136	assemblee	55	Adopté	M. Laurent Grandguillaume	L511-7	1	sans visée	alinea	assemblee/14-propositions-pion3855.asp	8	ART. 8	4 est abrogé ; 10° L’article L. 3124-13 est abrogé. II. – Le 14° du premier alinéa de l’article L. 511-7 du code de la consommation dans sa rédaction résultant de l’ordonnance n° 2016-301 du 14 mars 2	À l’alinéa 15, substituer à la référence : « L. 3142‑6 », la référence : « L. 3142‑5 ».	Les agents sont habilités à rechercher et à constater les infractions ou les manquements aux dispositions : 1° Du règlement (CE) n° 1371/2007 du Parlement européen et du Conseil du 23 octobre 2007 sur les droits et obligations des voyageurs ferroviaires ; 2° De l'article 23 du règlement (CE) n° 1008/2008 du Parlement e […]		juste		sonnet-A	sonnet-B		L'alinéa 15 (comptage par ligne) est « 14° De l'article L. 3142-6 du code des transports », texte inséré par « II. – Le 14° du premier alinéa de l'article L. 511-7... est ainsi rédigé », qui réécrit L.511-7 ; la référence L.3142-6 du dispositif y figure.	Alinéa 15 de l'art. 8 (« 14° De l'article L. 3142-6… ») est le texte cité que réécrit le II., qui modifie L. 511-7.		2026-09-24
faux	088df26fd072993f	assemblee	305	Adopté	LE GOUVERNEMENT	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2988-a0.asp	32 bis	ART. 32 BIS	ticles L. 7232-2 et L. 7232-5 du code du travail sont abrogés. III. – Au 9° du III de l’article L. 141-1 du code de la consommation, les mots : « , de l’avant-dernier alinéa de l’article L. 313-1-2, e	Compléter l’alinéa 27 par la phrase suivante : « La décision de rejet est motivée dans les conditions prévues aux articles 1 et 5 de la loi n° 79‑587 du 11 juillet 1979 relative à la motivation des actes administratifs et à l’amélioration des relations entre l’administration et le public. ».	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'alinéa 27 tombe dans le paragraphe « VII (nouveau). – Les services mentionnés au VI... », disposition autonome sans lien avec L.141-1, non reconnue comme borne par l'algorithme (même défaut sur « (nouveau) »).	Alinéa 27 de l'art. 32 bis appartient au VII (nouveau), disposition autonome sur l'habilitation à l'aide sociale, sans rapport avec le III. qui seul réécrit L. 141-1.		2026-09-24
faux	0c20d1f330dd3fff	assemblee	613	Tombé	M. Frédéric Lefebvre	L113-3	1	sans visée	alinea	assemblee/14-ta-commission-r2866-a0.asp	12	ART. 12	de ». I bis à I sexies. – (Supprimés) II. – La première phrase du troisième alinéa de l’article L. 113-3 du code de la consommation est complétée par les mots : « du présent code, ainsi qu’aux prestat	À l’alinéa 40, substituer au mot : « due » le mot : « recouvrée ».	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		faux		sonnet-A	sonnet-B		L'alinéa 40 (« Cette contribution est due par les personnes... ») relève du paragraphe « II bis (nouveau). – Il est institué... une contribution annuelle... », disposition nouvelle et autonome, et non de « II » qui réécrit L.113-3 ; « II bis (nouveau). – » n'est pas reconnu comme borne.	Alinéa 40 de l'art. 12 (« Cette contribution est due… ») appartient au II bis (nouveau) instituant la contribution à l'accès au droit, non au II. qui réécrit L. 113-3 et s'arrête à l'alinéa 38.		2026-09-24
juste	0e3d35c3a4aed25e	assemblee	849	Retiré	Mme Karine Berger	L111-5	2	sans visée	alinea	assemblee/14-ta-commission-r3399-a0.asp	22	ART. 22	le 22 Le chapitre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’article L. 111-5 est abrogé ; 2° L’article L. 111-5-1 devient l’article L. 111-5 et est ainsi modifié : a) Le pr	Substituer aux deux dernières phrases de l’alinéa 8 la phrase suivante : « Il fait notamment apparaître clairement l’existence ou l'absence d’une relation contractuelle ou de liens capitalistiques avec les personnes référencées, l’existence ou l'absence d’une rémunération par lesdites personnes et, le cas échéant, l’impact de celle-ci sur le classement des contenus, biens ou services proposés. »	En cas de litige relatif à l'application des dispositions des articles L. 111-1, L. 111-2 et L. 111-4, il appartient au professionnel de prouver qu'il a exécuté ses obligations.		juste		sonnet-A	sonnet-B		Même bloc que l'alinéa 8 ci-dessus : il relève du « 2°...L.111-5...est ainsi modifié ».	Alinéa 8 de l'art. 22 relève, comme les fiches voisines, du a) du 2°, qui réécrit L. 111-5-1 devenu L. 111-5.		2026-09-24
faux	0fd146576d09884b	assemblee	188	Retiré	Mme Bernadette Laclais	L141-1	1	sans visée	alinea	assemblee/14-ta-commission-r2988-a0.asp	32 bis	ART. 32 BIS	ticles L. 7232-2 et L. 7232-5 du code du travail sont abrogés. III. – Au 9° du III de l’article L. 141-1 du code de la consommation, les mots : « , de l’avant-dernier alinéa de l’article L. 313-1-2, e	Après la seconde occurrence du mot : « code », supprimer la fin de l’alinéa 24.	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'alinéa 24 (« Sous réserve du respect du cahier des charges national... ») est dans le paragraphe « VI (nouveau) », sans lien avec L.141-1.	Alinéa 24 de l'art. 32 bis appartient au VI (nouveau), disposition autonome sur les services d'aide à domicile antérieurement agréés, étrangère à L. 141-1.		2026-09-24
