verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
faux	1aee17da1662efa2	senat	44 rect.	Rejeté	M. MÉZARD	L311-8-1	1	sans visée	article_entier	senat/leg-pjl13-283.html	18	Article 18	près consultation de l'ensemble des parties prenantes. Article 18 (Non modifié) I. - L'article L. 311-8-1 du code de la consommation est ainsi rédigé : « Art. L. 311-8-1. - Lorsqu'un consommateur se v	Rédiger ainsi cet article : Après l'article L. 311-9 du code de la consommation, il est inséré un article L. 311-9-... ainsi rédigé : « Art. L. 311-9-... Une opération de crédit renouvelable ne peut faire l'objet d'aucun démarchage, d'aucune publicité, proposition, distribution, ni ouverture dans la surface de vente où le consommateur procède à des achats de biens. »	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]	//www.senat.fr/amendements/2013-2014/283/Amdt_44.html	faux		sonnet-A	sonnet-B		L'article 18 ne réécrit que L.311-8-1, mais « Rédiger ainsi cet article » le remplace entièrement par un nouvel article L.311-9-..., sans toucher L.311-8-1.	L'art. 18 réécrit L.311-8-1, mais le dispositif « Rédiger ainsi cet article » insère en réalité un nouvel article L.311-9-... sur le démarchage, sans toucher L.311-8-1.		2026-09-24
juste	2c5cc16a3590631b	senat	42	Retiré	Mme DES ESGAULX	L311-50	1	sans visée	article_entier	senat/leg-pjl08-448.html	15	Article 15	intitulée : « Procédure » et comprend l'article L. 311-50. II. - Au second alinéa de l'article L. 311-50 du même code, les mots : « du juge de l'exécution sur les mesures mentionnées à l'article L. 3	Après le I de cet article, insérer un paragraphe ainsi rédigé : ... - Dans la seconde phrase du premier alinéa de l'article L. 311-50 du même code, les mots : « de l'événement » sont remplacés par les mots : « du premier incident de paiement non régularisé ».	Sera puni d'une amende de 30 000 euros : 1° Le prêteur ou le vendeur qui, en infraction aux dispositions des articles L. 311-14 et L. 311-40, réclame ou reçoit de l'emprunteur ou de l'acheteur un paiement sous quelque forme que ce soit ; 2° Celui qui fait signer des formules de prélèvements sur comptes bancaires conten […]	//www.senat.fr/amendements/2008-2009/448/Amdt_42.html	juste		sonnet-A	sonnet-B		L'article 15 ne réécrit que L.311-50 (le I. organise seulement la section) et le dispositif modifie explicitement L.311-50.	L'art. 15 de pjl08-448 ne réécrit que L.311-50, et le paragraphe inséré modifie explicitement « l'article L. 311-50 du même code ».		2026-09-24
juste	48ea6d2ec1575d11	senat	352 rect.	Retiré	Mme DINI	L311-17	1	sans visée	article_entier	senat/leg-pjl12-810.html	19 ter	Article 19 ter	19 ter (Non modifié) À la première phrase du premier alinéa et au deuxième alinéa de l'article L. 311-17 du code de la consommation, les mots : « commerciaux et promotionnels » sont remplacés par les	Rédiger ainsi cet article : L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – L’association d’une carte ouvrant droit à des avantages commerciaux et promotionnels à un crédit renouvelable mentionné à l’article L. 311-16 est interdite. »	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]	//www.senat.fr/amendements/2012-2013/810/Amdt_352.html	juste		sonnet-A	sonnet-B		L'article 19 ter ne réécrit que L.311-17 et le dispositif « Rédiger ainsi cet article » redit ainsi L.311-17 lui-même.	L'art. 19 ter de pjl12-810 ne réécrit que L.311-17, et le dispositif « Rédiger ainsi cet article » réécrit explicitement L.311-17.		2026-09-24
juste	4af4b23f50db2ade	senat	353 rect.	Adopté	Mme DINI	L313-11	1	sans visée	article_entier	senat/leg-pjl12-810.html	19 septies	Article 19 septies	nt remplacés par le mot : « semestre ». Article 19 septies (Non modifié) À la fin de l'article L. 313-11 du code de la consommation, les mots : « à l'acheteur d'un bien mobilier ou immobilier » sont	Rédiger ainsi cet article : L’article L. 313-11 du code de la consommation est ainsi rédigé : « Art. L. 313-11. - Le vendeur, personne physique, salarié ou non, ne peut en aucun cas être rémunéré en fonction des modalités de paiement choisies par l’acheteur. »	Tout vendeur, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du crédit qu'il a fait contracter à l'acheteur d'un bien mobilier ou immobilier.	//www.senat.fr/amendements/2012-2013/810/Amdt_353.html	juste		sonnet-A	sonnet-B		L'article 19 septies ne réécrit que L.313-11 et le dispositif redit ainsi L.313-11 lui-même.	L'art. 19 septies de pjl12-810 ne réécrit que L.313-11, et le dispositif « Rédiger ainsi cet article » réécrit explicitement L.313-11.		2026-09-24
faux	4c319beea827106f	senat	149 rect. bis	Rejeté	M. MÉZARD	L311-8-1	1	sans visée	article_entier	senat/leg-pjl12-810.html	18	Article 18	e traitement des situations de surendettement en cours à cette date. Article 18 I. - L'article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. - Lorsqu'un consommateur se voit proposer,	Rédiger ainsi cet article : Après l'article L. 311-9 du code de la consommation, il est inséré un article L. 311-9-... ainsi rédigé : « Art. L. 311-9-... Une opération de crédit renouvelable ne peut faire l'objet d'aucun démarchage, d'aucune publicité, proposition, distribution, ni ouverture dans la surface de vente où le consommateur procède à des achats de biens. »	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]	//www.senat.fr/amendements/2012-2013/810/Amdt_149.html	faux		sonnet-A	sonnet-B		L'article 18 ne réécrit que L.311-8-1, mais le dispositif (identique à 1aee17da1662efa2) le remplace par un nouvel article L.311-9-..., sans toucher L.311-8-1.	Même cas que 44 rect. sur pjl12-810 : l'art. 18 réécrit L.311-8-1, mais le dispositif « Rédiger ainsi cet article » insère en réalité un nouvel article L.311-9-..., pas L.311-8-1.		2026-09-24
juste	5d40990d0481a761	senat	103	Adopté	Mme DINI	L313-11	1	sans visée	article_entier	senat/leg-pjl13-283.html	19 septies	Article 19 septies	f eu égard au train de vie du ménage ». Article 19 septies (Non modifié) À la fin de l'article L. 313-11 du code de la consommation, les mots : « à l'acheteur d'un bien mobilier ou immobilier » sont	Rédiger ainsi cet article : L’article L. 313-11 du code de la consommation est ainsi rédigé : « Art. L. 313-11. - Le vendeur, personne physique, salarié ou non, ne peut en aucun cas être rémunéré en fonction des modalités de paiement choisies par l’acheteur. »	Tout vendeur, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du crédit qu'il a fait contracter à l'acheteur d'un bien mobilier ou immobilier.	//www.senat.fr/amendements/2013-2014/283/Amdt_103.html	juste		sonnet-A	sonnet-B		L'article 19 septies ne réécrit que L.313-11 et le dispositif redit ainsi L.313-11 lui-même.	L'art. 19 septies de pjl13-283 ne réécrit que L.313-11, et le dispositif « Rédiger ainsi cet article » réécrit explicitement L.313-11.		2026-09-24
juste	a05cc5b6d62bb9e8	senat	41	Retiré	M. LECLERC	L311-50	1	sans visée	article_entier	senat/leg-pjl08-448.html	15	Article 15	intitulée : « Procédure » et comprend l'article L. 311-50. II. - Au second alinéa de l'article L. 311-50 du même code, les mots : « du juge de l'exécution sur les mesures mentionnées à l'article L. 3	Après le I de cet article, insérer un paragraphe ainsi rédigé : ... - A la fin de la seconde phrase du premier alinéa de l'article L. 311‑50 du code de la consommation, les mots : « de l'événement qui leur a donné naissance à peine de forclusion » sont remplacés par les mots et une phrase ainsi rédigée : « du premier incident de paiement non régularisé à peine de forclusion. Le simple dépassement du découvert autoris […]	Sera puni d'une amende de 30 000 euros : 1° Le prêteur ou le vendeur qui, en infraction aux dispositions des articles L. 311-14 et L. 311-40, réclame ou reçoit de l'emprunteur ou de l'acheteur un paiement sous quelque forme que ce soit ; 2° Celui qui fait signer des formules de prélèvements sur comptes bancaires conten […]	//www.senat.fr/amendements/2008-2009/448/Amdt_41.html	juste		sonnet-A	sonnet-B		L'article 15 ne réécrit que L.311-50 et le dispositif modifie explicitement L.311-50 (« de l'article L. 311-50 du code de la consommation »).	L'art. 15 de pjl08-448 ne réécrit que L.311-50, et le paragraphe inséré modifie explicitement « l'article L. 311-50 du code de la consommation ».		2026-09-24
juste	a4fcbd869dbb97d5	assemblee	220	Non soutenu	Mme Marie-Christine Dalloz	L121-87	1	sans visée	article_entier	assemblee/14-ta-commission-r0199-a0.asp	9	ART. 9	les réductions de puissance auxquelles ils procèdent. » Article 9 (nouveau) Au 4° de l’article L. 121-87 du code de la consommation, les mots : « d’effet du contrat » sont remplacés par les mots : «	Supprimer cet article.	L'offre de fourniture d'électricité ou de gaz naturel précise, dans des termes clairs et compréhensibles, les informations suivantes : 1° L'identité du fournisseur, l'adresse de son siège social et son numéro d'inscription au registre du commerce et des sociétés ou tout document équivalent pour les sociétés situées hor […]		juste		sonnet-A	sonnet-B		L'article 9 ne réécrit que L.121-87 et le dispositif se borne à « Supprimer cet article ».	L'art. 9 du texte ne réécrit que L.121-87 (4°), et le dispositif « Supprimer cet article » porte sur l'article entier.		2026-09-24
juste	ab2b290512efcf60	senat	34	Rejeté	Mme EVRARD	L313-8	1	sans visée	article_entier	senat/leg-ppl21-368.html	3 bis	Article 3 bis	e, l’amende administrative prévue au présent II. » Article 3 bis (nouveau) Au 2° de l’article L. 313-8 du code de la consommation, après le mot : « assurance », sont insérés les mots : « sur une dur	Supprimer cet article.	Tout document remis à l'emprunteur préalablement à la formulation de l'offre mentionnée à l'article L. 313-24 et comportant un ou plusieurs éléments chiffrés sur l'assurance de groupe mentionnée au premier alinéa de l'article L. 313-29 mentionne le coût de cette assurance. Ce coût est exprimé : 1° A l'exclusion de tout […]	//www.senat.fr/amendements/2021-2022/368/Amdt_34.html	juste		sonnet-A	sonnet-B		L'article 3 bis ne réécrit que L.313-8 et le dispositif se borne à « Supprimer cet article ».	L'art. 3 bis ne réécrit que L.313-8 (2°), et le dispositif « Supprimer cet article » porte sur l'article entier.		2026-09-24
juste	ab41e6ef50abf106	assemblee	967	Non soutenu	M. Claude de Ganay	L213-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2230-a0.asp	22 bis	ART. 22 BIS	isagé » ; 3° L’article L. 541-39 est abrogé. Article 22 bis (nouveau) Après le 3° de l’article L. 213-1 du code de la consommation, il est inséré 4° ainsi rédigé : « 4° Soit sur la durée de vie du pr	Supprimer cet article.	Sera puni d'un emprisonnement de trois mois au moins, deux ans au plus et d'une amende de 1 000 F au moins, 250 000 F au plus ou de l'une de ces deux peines seulement quiconque, qu'il soit ou non partie au contrat, aura trompé ou tenté de tromper le contractant, par quelque moyen en procédé que ce soit, même par l'inte […]		juste		sonnet-A	sonnet-B		L'article 22 bis ne réécrit que L.213-1 et le dispositif se borne à « Supprimer cet article ».	L'art. 22 bis ne réécrit que L.213-1 (insertion d'un 4°), et le dispositif « Supprimer cet article » porte sur l'article entier.		2026-09-24
