verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
faux	06ce5f0bbcbbee9c	assemblee	65	Tombé	M. Philippe Houillon	L141-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2866-a0.asp	17 ter	ART. 17 TER	1 décembre 1971 précitée non avisé qu’il agit en cette qualité. » II. – Le III bis de l’article L. 141-1 du code de la consommation, tel qu’il résulte du II de l’article 13 de la présente loi, est com	Supprimer cet article.	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'article 17 ter réécrit aussi l'ordonnance du 10 septembre 1817 (avocats au Conseil d'État, art. 15, 15-1, 15-2) en plus de compléter L141-1 : Supprimer cet article ne vise pas que L141-1.	L'article 17 ter rétablit et insère surtout des articles de l'ordonnance du 10 septembre 1817 (art. 15, 15-1, 15-2) ; L141-1 n'est complété qu'accessoirement en II.		2026-09-24
faux	07892c205637c32a	assemblee	545	Adopté	Mme Lisa Belluco	L242-37	1	sans visée	article_entier	assemblee/17-ta-commission-r1191-a0.asp	10	ART. 10	loi n° du de simplification de la vie économique. » III (nouveau). – Aux articles L. 242‑6 et L. 242-37 du code de la consommation, les mots : « d’une peine d’emprisonnement de deux ans et » sont su	Supprimer cet article.	Le non-respect des obligations prévues à l'article L. 224-99 est puni d'une peine d'emprisonnement de deux ans et d'une amende de 150 000 euros.		faux		sonnet-A	sonnet-B		L'article 10 modifie d'abord le code monétaire et financier (L.574-5, L.773-50...) puis le code de commerce (L.821-6, L.822-40, L.950-1) avant de toucher L242-37 : Supprimer cet article ne porte pas que sur L242-37.	L'article 10 modifie aussi le code monétaire et financier, le code de commerce et L242-6 du code de la consommation en plus de L242-37.		2026-09-24
faux	0cb90e6bc2a5379c	assemblee	229	Tombé	M. Guénhaël Huet	L141-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2866-a0.asp	13	ART. 13	ins trois jours avant. » ; 6° Le 4° de l’article 53 est abrogé. II. – Après le III de l'article L. 141-1 du code de la consommation, il est inséré un III bis ainsi rédigé : « III bis. – Sont recherché	Supprimer cet article.	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'article 13 réécrit surtout la loi n° 71-1130 sur les avocats (art. 1er, 5, 5-1, 8, 8-1, 10-1, 53) ; le III bis sur L141-1 n'est qu'un ajout secondaire au II : Supprimer cet article ne vise pas que L141-1.	L'article 13 réécrit surtout la loi n°71-1130 sur les professions judiciaires (art. 5, 5-1, 8, 8-1, 10, 10-1, 53) ; L141-1 n'est complété qu'en II.		2026-09-24
faux	14d7588c64644cb9	assemblee	1860	Adopté	Mme Sandrine Nosbé	L242-37	1	sans visée	article_entier	assemblee/17-ta-commission-r1191-a0.asp	10	ART. 10	loi n° du de simplification de la vie économique. » III (nouveau). – Aux articles L. 242‑6 et L. 242-37 du code de la consommation, les mots : « d’une peine d’emprisonnement de deux ans et » sont su	Supprimer cet article.	Le non-respect des obligations prévues à l'article L. 224-99 est puni d'une peine d'emprisonnement de deux ans et d'une amende de 150 000 euros.		faux		sonnet-A	sonnet-B		L'article 10 modifie d'abord le code monétaire et financier puis le code de commerce avant de toucher L242-37 au III : Supprimer cet article ne porte pas que sur L242-37.	L'article 10 modifie aussi le code monétaire et financier, le code de commerce et L242-6 du code de la consommation en plus de L242-37.		2026-09-24
faux	186e2a3a0ffe4e3f	assemblee	3059		M. Stéphane Claireaux	L141-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2498-a0.asp	13	ART. 13	du service rendu. » ; 6° (nouveau) Le 4° de l’article 53 est abrogé ; II. – Le III de l’article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé : « 16° Du deuxième alinéa de l	Après le vingt-troisième alinéa de l’article 13, I.Insérer un IV. – ainsi rédigé : « IV. – 1° – Les dispositions du présent article sont applicables, sur le territoire de Saint-Pierre-et-Miquelon, aux membres du corps des agréés près les Tribunaux 2° - En matière administrative, les agréés près les Tribunaux en exercice à Saint-Pierre-et-Miquelon peuvent postuler devant la Cour d'administrative d'appel territorialeme […]	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'article 13 (I) réécrit surtout la loi n° 71-1130 sur les avocats ; le II qui complète L141-1 n'en est qu'un volet secondaire : Supprimer cet article ne vise pas que L141-1.	Le dispositif insère un IV sur les agréés de Saint-Pierre-et-Miquelon dans la partie de l'article 13 qui réécrit la loi n°71-1130, sans toucher au II qui complète L141-1.		2026-09-24
faux	1bd0b5dc776f8fae	assemblee	1905	Adopté	Mme Manon Meunier	L242-37	1	sans visée	article_entier	assemblee/17-ta-commission-r1191-a0.asp	10	ART. 10	loi n° du de simplification de la vie économique. » III (nouveau). – Aux articles L. 242‑6 et L. 242-37 du code de la consommation, les mots : « d’une peine d’emprisonnement de deux ans et » sont su	Supprimer cet article.	Le non-respect des obligations prévues à l'article L. 224-99 est puni d'une peine d'emprisonnement de deux ans et d'une amende de 150 000 euros.		faux		sonnet-A	sonnet-B		L'article 10 modifie d'abord le code monétaire et financier puis le code de commerce avant de toucher L242-37 au III : Supprimer cet article ne porte pas que sur L242-37.	L'article 10 modifie aussi le code monétaire et financier, le code de commerce et L242-6 du code de la consommation en plus de L242-37.		2026-09-24
faux	23bdbde0f796dd72	assemblee	2032		M. Nicolas Bonnet	L242-37	1	sans visée	article_entier	assemblee/17-ta-commission-r1191-a0.asp	10	ART. 10	loi n° du de simplification de la vie économique. » III (nouveau). – Aux articles L. 242‑6 et L. 242-37 du code de la consommation, les mots : « d’une peine d’emprisonnement de deux ans et » sont su		Le non-respect des obligations prévues à l'article L. 224-99 est puni d'une peine d'emprisonnement de deux ans et d'une amende de 150 000 euros.		faux		sonnet-A	sonnet-B		L'article 10 modifie d'abord le code monétaire et financier puis le code de commerce avant de toucher L242-37 au III : Supprimer cet article ne porte pas que sur L242-37.	L'article 10 modifie aussi le code monétaire et financier, le code de commerce et L242-6 du code de la consommation en plus de L242-37.		2026-09-24
faux	28484e86aee48157	assemblee	1078	Non soutenu	M. Guillaume Larrivé	L141-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2498-a0.asp	13	ART. 13	du service rendu. » ; 6° (nouveau) Le 4° de l’article 53 est abrogé ; II. – Le III de l’article L. 141-1 du code de la consommation est complété par un 16° ainsi rédigé : « 16° Du deuxième alinéa de l	Supprimer cet article.	I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions prévues au présent cod […]		faux		sonnet-A	sonnet-B		L'article 13 (I) réécrit surtout la loi n° 71-1130 sur les avocats ; le II qui complète L141-1 n'en est qu'un volet secondaire : Supprimer cet article ne vise pas que L141-1.	L'article 13 réécrit surtout la loi n°71-1130 sur les professions judiciaires (art. 5, 8, 8-1, 10, 53) ; L141-1 n'est complété qu'en II.		2026-09-24
juste	2e07eb6dbc6637d6	assemblee	1058	Non soutenu	M. Lionel Tardy	L213-1	1	sans visée	article_entier	assemblee/14-ta-commission-r2230-a0.asp	22 bis	ART. 22 BIS	isagé » ; 3° L’article L. 541-39 est abrogé. Article 22 bis (nouveau) Après le 3° de l’article L. 213-1 du code de la consommation, il est inséré 4° ainsi rédigé : « 4° Soit sur la durée de vie du pr	Supprimer cet article.	Sera puni d'un emprisonnement de trois mois au moins, deux ans au plus et d'une amende de 1 000 F au moins, 250 000 F au plus ou de l'une de ces deux peines seulement quiconque, qu'il soit ou non partie au contrat, aura trompé ou tenté de tromper le contractant, par quelque moyen en procédé que ce soit, même par l'inte […]		juste		sonnet-A	sonnet-B		L'article 22 bis (nouveau) n'insère qu'un 4° à l'article L213-1 du code de la consommation, rien d'autre : Supprimer cet article porte bien uniquement sur L213-1.	L'article 22 bis n'insère qu'un 4° à l'article L213-1 du code de la consommation, rien d'autre.		2026-09-24
faux	4a486f82f699bc39	assemblee	1474	Adopté	M. Charles Fournier	L242-37	1	sans visée	article_entier	assemblee/17-ta-commission-r1191-a0.asp	10	ART. 10	loi n° du de simplification de la vie économique. » III (nouveau). – Aux articles L. 242‑6 et L. 242-37 du code de la consommation, les mots : « d’une peine d’emprisonnement de deux ans et » sont su	Supprimer cet article.	Le non-respect des obligations prévues à l'article L. 224-99 est puni d'une peine d'emprisonnement de deux ans et d'une amende de 150 000 euros.		faux		sonnet-A	sonnet-B		L'article 10 modifie d'abord le code monétaire et financier puis le code de commerce avant de toucher L242-37 au III : Supprimer cet article ne porte pas que sur L242-37.	L'article 10 modifie aussi le code monétaire et financier, le code de commerce et L242-6 du code de la consommation en plus de L242-37.		2026-09-24
