verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	004d918efc115556	assemblee	513		M. Razzy Hammadi	L215-18	4	sans visée	alinea	assemblee/14-projets-pl1015.asp	49	ART. 49	ainsi rédigées : « Section 5 « Opérations de visite et de saisie et commissions rogatoires « Art. L. 215-18. – I. – Pour la recherche et la constatation des infractions au présent livre, les agents d	Après l’alinéa 20, insérer l’alinéa suivant : « Sauf dans les cas où la communication ou la consultation de ces documents est nécessaire à l’exercice des droits de la défense d’une partie mise en cause, le ministre chargé de l’économie, l’autorité judiciaire ou l’autorité administrative chargée de la concurrence et de la consommation peuvent refuser la communication ou la consultation de pièces ou de certains élément […]	I. ― Pour la recherche et la constatation des infractions au présent livre, les agents de la concurrence, de la consommation et de la répression des fraudes ayant au moins le grade de contrôleur peuvent, sur demande du ministre chargé de l'économie, procéder à des opérations de visite et de saisie en tous lieux. II. ―  […]		juste		sonnet-A	sonnet-B		L'alinéa 20 de l'article 49 relève de l'instruction « Art. L. 215-18 » (alinéas 1-19 du I et II), avant que « Art. L. 215-19 » n'ouvre l'article suivant : l'attribution est exacte.	L'alinéa 20 est le dernier alinéa du V de l'article L. 215-18 (avant le VI), tel que créé par l'article 49 ; l'insertion demandée porte bien sur ce texte.		2026-09-24
juste	00a634e91899e9ab	assemblee	11	Non soutenu	M. Bernard Gérard	L423-1	16	sans visée	alinea	assemblee/14-projets-pl1015.asp	1er	ART. PREMIER	tion de groupe « Section 1 « Champ d’application de l’action de groupe et qualité pour agir « Art. L. 423-1. – Une association de défense des consommateurs, représentative au niveau national et agréé	A l’alinéa 9, après la première occurrence du mot : « résultant » Rédiger ainsi la fin de l’alinéa : « d’une atteinte au patrimoine matériel des consommateurs, à l’exclusion d’une atteinte à la personne et résultant d’une des causes mentionnées ci-dessus, peut être poursuivie par cette action ».	Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 411-1 peut agir devant une juridiction civile afin d'obtenir la réparation des préjudices individuels subis par des consommateurs placés dans une situation similaire ou identique et ayant pour cause c […]		juste		sonnet-A	sonnet-B		L'alinéa 9 de l'article 1er est dans le corps de « Art. L. 423-1 », seule instruction ouverte à ce stade de l'article : l'attribution est exacte.	L'alinéa 9 est le dernier alinéa de l'article L. 423-1 tel que créé par l'article 1er ; la réécriture de fin d'alinéa porte bien sur ce texte.		2026-09-24
juste	00abb57a1a9ae7f6	assemblee	427	Adopté	M. Razzy Hammadi	L111-1	10	sans visée	alinea	assemblee/14-projets-pl1357.asp	4	ART. 4	tion est ainsi rédigé : « Chapitre IER « Obligation générale d’information précontractuelle « Art. L. 111-1. – Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture	A l’alinéa 4, substituer aux mots : « , de manière lisible et compréhensible, au consommateur », les mots : « au consommateur, de manière lisible et compréhensible, : ».	Tout professionnel vendeur de biens ou prestataire de services doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques essentielles du bien ou du service.		juste		sonnet-A	sonnet-B		L'alinéa 4 de l'article 4 est la ligne même qui ouvre « Art. L. 111-1 » : l'attribution est exacte.	L'alinéa 4 est la phrase d'ouverture de l'article L. 111-1 tel que réécrit par l'article 4 ; la substitution demandée correspond à ce texte.		2026-09-24
juste	00cc3db05d6d539e	assemblee	40	Non soutenu	M. Gilles Bourdouleix	L423-3	16	sans visée	alinea	assemblee/14-projets-pl1015.asp	1er	ART. PREMIER	alités fixées par décret en Conseil d’État. « Section 2 « Le jugement sur la responsabilité « Art. L. 423-3. – Le juge constate que les conditions mentionnées à l’article L. 423-1 sont réunies et sta	A l’alinéa 17, rédiger ainsi la dernière phrase : « Dans ce dernier cas, l’adhésion au groupe vaut mandat au profit de l’association à cette fin et pour recevoir les montants des indemnisations dues par le professionnel à chaque consommateur membre du groupe. »	Dans la même décision, le juge constate que les conditions de recevabilité mentionnées à l'article L. 423-1 sont réunies et statue sur la responsabilité du professionnel, au vu des cas individuels présentés par l'association requérante. Il définit le groupe des consommateurs à l'égard desquels la responsabilité du prof […]		juste		sonnet-A	sonnet-B		L'alinéa 17 de l'article 1er relève de l'instruction « Art. L. 423-3 », ouverte avant lui et non close par « Art. L. 423-4 » qui ne vient qu'ensuite : l'attribution est exacte.	L'alinéa 17 relève de l'article L. 423-3 (fixation des délais et modalités d'adhésion), tel que créé par l'article 1er.		2026-09-24
juste	01aaa31d22144f24	assemblee	7		Mme Sophie Dessus	L121-30	37	sans visée	alinea	assemblee/14-projets-pl1015.asp	5	ART. 5	raison ou fourniture anticipée est à la charge du vendeur qui en supporte tous les risques. « Art. L. 121-30. – I. – Les contrats pour lesquels s’applique le délai de rétractation mentionné à l’articl	Compléter l'alinéa 172 par la phrase suivante : « Les consommateurs âgés de 65 ans et plus ne peuvent formuler une demande de renonciation au délai de rétractation qui leur est imparti qu’à partir du quinzième jour suivant la signature du contrat. »	I.-Les contrats pour lesquels s'applique le délai de rétractation mentionné à l'article L. 121-29 ne peuvent recevoir de commencement d'exécution par les parties avant l'arrivée du terme de ce délai sans l'accord du consommateur. Lorsque celui-ci exerce son droit de rétractation, il ne peut être tenu qu'au paiement pro […]		juste		sonnet-A	sonnet-B		L'alinéa 172 de l'article 5 est la ligne même qui ouvre « Art. L. 121-30 » : l'attribution est exacte.	L'alinéa 172 est le premier alinéa de l'article L. 121-30 tel que créé par l'article 5 ; l'ajout de phrase porte bien sur ce texte.		2026-09-24
juste	02f3dc72411f63c5	assemblee	148	Non soutenu	Mme Bérengère Poletti	L111-1	10	sans visée	alinea	assemblee/14-projets-pl1357.asp	4	ART. 4	tion est ainsi rédigé : « Chapitre IER « Obligation générale d’information précontractuelle « Art. L. 111-1. – Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture	Après l’alinéa 6, insérer l’alinéa suivant : « 2° bis Le montant et l’utilisation exacte de la contribution instituée par la Loi n° 2003‑8 du 03 janvier 2003 destinée à dédommager les opérateurs des surcoûts engendrés par les obligations qui leur sont imposées par la Loi sur le service public de l’électricité doivent être précisés clairement dans les contrats. »	Tout professionnel vendeur de biens ou prestataire de services doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques essentielles du bien ou du service.		juste		sonnet-A	sonnet-B		L'alinéa 6 de l'article 4 (prix du bien, article L. 113-3) est dans le corps de l'instruction « Art. L. 111-1 », seule ouverte à ce stade : l'attribution est exacte.	L'alinéa 6 (le 2° de la liste d'informations) relève encore de l'article L. 111-1, avant que L. 111-2 ne commence à l'alinéa 10.		2026-09-24
juste	035530626b73d762	assemblee	219	Rejeté	M. Thierry Benoit	L111-1	10	sans visée	alinea	assemblee/14-projets-pl1357.asp	4	ART. 4	tion est ainsi rédigé : « Chapitre IER « Obligation générale d’information précontractuelle « Art. L. 111-1. – Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture	Compléter l’alinéa 8 par la phrase suivante : « Ces dispositions ne s’appliquent pas aux contrats qui portent sur des transactions intéressant la vie quotidienne définies par décret et qui sont exécutés dès leur conclusion. ».	Tout professionnel vendeur de biens ou prestataire de services doit, avant la conclusion du contrat, mettre le consommateur en mesure de connaître les caractéristiques essentielles du bien ou du service.		juste		sonnet-A	sonnet-B		L'alinéa 8 de l'article 4 relève encore du corps de l'instruction « Art. L. 111-1 », avant que « Art. L. 111-2 » n'ouvre l'article suivant : l'attribution est exacte.	L'alinéa 8 (le 4° de la liste) relève encore de l'article L. 111-1 ; la phrase à ajouter complète bien ce texte.		2026-09-24
juste	04e476382e7ce9d1	assemblee	10		Mme Chantal Guittet	L423-1	16	sans visée	alinea	assemblee/14-projets-pl1015.asp	1er	ART. PREMIER	tion de groupe « Section 1 « Champ d’application de l’action de groupe et qualité pour agir « Art. L. 423-1. – Une association de défense des consommateurs, représentative au niveau national et agréé	Substituer à l’alinéa 9, les deux alinéas suivants : « La réparation des préjudices matériels résultant d’une atteinte au patrimoine des consommateurs, ainsi que la réparation des préjudices moraux ou corporels peut être poursuivie par cette action dès lors qu’ils résultent de l’une des causes mentionnées ci-dessus. « La réparation des préjudices écologiques peut, dans les mêmes conditions, être poursuivie par cette  […]	Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 411-1 peut agir devant une juridiction civile afin d'obtenir la réparation des préjudices individuels subis par des consommateurs placés dans une situation similaire ou identique et ayant pour cause c […]		juste		sonnet-A	sonnet-B		L'alinéa 9 de l'article 1er est dans le corps de « Art. L. 423-1 », seule instruction ouverte à ce stade : l'attribution est exacte.	Même alinéa 9 que l'amendement 11 (00a634e...), dernier alinéa de l'article L. 423-1 ; la substitution par deux alinéas porte sur ce texte.		2026-09-24
juste	04f1a8d3b57d5675	assemblee	400	Rejeté	M. Thierry Benoit	L423-1	16	sans visée	alinea	assemblee/14-projets-pl1015.asp	1er	ART. PREMIER	tion de groupe « Section 1 « Champ d’application de l’action de groupe et qualité pour agir « Art. L. 423-1. – Une association de défense des consommateurs, représentative au niveau national et agréé	À l’alinéa 6, substituer aux mots : « par des» les mots : « par un groupe significatif et identifiable de ».	Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 411-1 peut agir devant une juridiction civile afin d'obtenir la réparation des préjudices individuels subis par des consommateurs placés dans une situation similaire ou identique et ayant pour cause c […]		juste		sonnet-A	sonnet-B		L'alinéa 6 de l'article 1er est la ligne même qui ouvre « Art. L. 423-1 » : l'attribution est exacte.	L'alinéa 6 est le premier alinéa de l'article L. 423-1 (« subis par des consommateurs... »), la substitution de « par des » correspond à ce texte.		2026-09-24
juste	0514ad9d487621d4	assemblee	87	Non soutenu	M. Marc Le Fur	L111-2	7	sans visée	alinea	assemblee/14-projets-pl1015.asp	4	ART. 4	, ainsi que de chauffage urbain et de contenu numérique non fourni sur un support matériel. « Art. L. 111-2. – I. – Outre les mentions de l’article L. 111-1, tout professionnel, avant la conclusion d	Après l’alinéa 11, insérer l’alinéa suivant : « Lorsque la documentation jointe à un produit ou un service fait mention d’un centre d’appels dédié aux clients, sa localisation doit être précisée. »	Le professionnel vendeur de biens meubles doit, en outre, indiquer au consommateur la période pendant laquelle il est prévisible que les pièces indispensables à l'utilisation du bien seront disponibles sur le marché. Cette période est obligatoirement portée à la connaissance du professionnel par le fabricant ou l'impor […]		juste		sonnet-A	sonnet-B		L'alinéa 11 de l'article 4 relève du corps (II) de l'instruction « Art. L. 111-2 », avant que « Art. L. 111-3 » n'ouvre l'article suivant : l'attribution est exacte.	L'alinéa 11 est le II de l'article L. 111-2 tel que créé par l'article 4, juste avant que l'article L. 111-3 ne commence à l'alinéa 12.		2026-09-24
