verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	06c99af989404984	assemblee	22	Rejeté	Mme Laure de La Raudière	L111-5-1	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	22	ART. 22	date de publication de la présente loi. Section 3 Loyauté des plateformes Article 22 L’article L. 111-5-1 du même code est ainsi modifié : 1° Le premier alinéa est remplacé par les dispositions suivan	Supprimer cet article.	Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d'un bien, de la fourniture d'un service ou de  […]		juste		sonnet-A	sonnet-B		L'article 22 du PL3318 ne réécrit que L.111-5-1 (deux alinéas modifiant seulement ce même article) ; « Supprimer cet article » porte bien sur tout l'article.	L'article 22 de pl3318 ne modifie que L.111-5-1 (1° et 2°) ; « supprimer cet article » porte donc bien sur L.111-5-1.		2026-09-24
juste	31de9881ba837584	assemblee	8	Adopté	Mme Eva Sas	L311-8-1	1	sans visée	article_entier	assemblee/14-projets-pl1015.asp	18	ART. 18	Chapitre III Crédit et assurance Section 1 Crédit à la consommation Article 18 I. – L’article L. 311-8-1 du code de la consommation est remplacé par les dispositions suivantes : « Art. L. 311-8-1. –	Au deuxième alinéa, après les mots « se voit proposer », supprimer les mots « sur le lieu de vente ou par un moyen de vente de biens ou de service à distance ».	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]		juste		sonnet-A	sonnet-B		L'article 18 du PL1015 ne réécrit que L.311-8-1 ; le « deuxième alinéa » cité est le texte même du nouvel article L.311-8-1, où figurent les mots visés.	Le « deuxième alinéa » d'article 18 (pl1015) est le texte cité de L.311-8-1 ; les mots retirés en font partie et l'article 18 ne modifie que L.311-8-1 (le II n'est qu'une clause d'application outre-mer).		2026-09-24
faux	473f2dcda944e461	assemblee	56	Rejeté	M. Damien Abad	L334-9	1	sans visée	article_entier	assemblee/14-projets-pl1357.asp	22 quinquies	ART. 22 QUINQUIES	ode monétaire et financier est abrogée. Article 22 quinquies I. – (Non modifié) II. – L’article L. 334-9 du code de la consommation est ainsi modifié : 1° Le premier alinéa est remplacé par des I et I	Supprimer cet article.	Les articles L. 330-1 et L. 331-2 à L. 333-5, à l'exclusion de l'avant-dernière phrase des articles L. 331-7 et L. 331-7-1, sont applicables aux îles Wallis et Futuna, sous réserve de remplacer à l'article L. 331-2 la référence au revenu minimum d'insertion par la référence à un montant fixé par l'administrateur supéri […]		douteux	faux	opus-arbitre (arbitrage)	sonnet-B	opus-arbitre	sonnet-A avait rendu « juste » : L'article 22 quinquies du PL1357 (I non modifié, II à VI) ne modifie que L.334-9 ; « Supprimer cet article » porte sur l'article entier.	L'article 22 quinquies de pl1357 a un I « (Non modifié) » dont le texte n'apparaît nulle part dans le corpus, alors que le II vise seul L.334-9 ; on ne peut donc pas exclure que le I porte sur une autre disposition.	L'amendement supprime tout l'article 22 quinquies, mais cet article ne réécrit pas que L. 334-9. Son I « (Non modifié) », tel qu'adopté en première lecture (ta0176, leg-pjl12-810), modifie L. 334-5 (1er alinéa, et f à h ajoutés). Son IV touche l'article 22-2 de la loi du 6 juillet 1989 et son VI est une habilitation à légiférer par ordonnance. Plusieurs cibles : la voie article_entier ne tient pas.	2026-09-24
juste	590e77fb19bf3347	assemblee	35	Rejeté	M. Lionel Tardy	L111-5-1	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	22	ART. 22	date de publication de la présente loi. Section 3 Loyauté des plateformes Article 22 L’article L. 111-5-1 du même code est ainsi modifié : 1° Le premier alinéa est remplacé par les dispositions suivan	Supprimer cet article.	Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d'un bien, de la fourniture d'un service ou de  […]		juste		sonnet-A	sonnet-B		Même article 22 du PL3318, qui ne réécrit que L.111-5-1 ; dispositif « Supprimer cet article » porte sur l'article entier.	Même article 22 (pl3318), qui ne réécrit que L.111-5-1 ; suppression de l'article entier vise donc L.111-5-1.		2026-09-24
juste	5a5224e66026bc0d	assemblee	302	Rejeté	Mme Laure de La Raudière	L111-5-1	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	22	ART. 22	date de publication de la présente loi. Section 3 Loyauté des plateformes Article 22 L’article L. 111-5-1 du même code est ainsi modifié : 1° Le premier alinéa est remplacé par les dispositions suivan	Supprimer cet article.	Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d'un bien, de la fourniture d'un service ou de  […]		juste		sonnet-A	sonnet-B		Même article 22 du PL3318, qui ne réécrit que L.111-5-1 ; dispositif « Supprimer cet article » porte sur l'article entier.	Même article 22 (pl3318), exclusivement consacré à L.111-5-1.		2026-09-24
juste	608055b0f10a89db	assemblee	9	Rejeté	Mme Eva Sas	L311-8-1	1	sans visée	article_entier	assemblee/14-projets-pl1015.asp	18	ART. 18	Chapitre III Crédit et assurance Section 1 Crédit à la consommation Article 18 I. – L’article L. 311-8-1 du code de la consommation est remplacé par les dispositions suivantes : « Art. L. 311-8-1. –	Au deuxième alinéa, remplacer les mots « d’une proposition de crédit amortissable » par les mots « d’une offre de crédit amortissable ».	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]		juste		sonnet-A	sonnet-B		Même article 18 du PL1015 ; le « deuxième alinéa » est le texte du nouvel L.311-8-1, qui contient bien « proposition de crédit amortissable ».	Même article 18 (pl1015) ; « d'une proposition de crédit amortissable » se trouve dans le texte cité de L.311-8-1.		2026-09-24
juste	6f4520c06b6df69d	assemblee	561	Retiré	M. Luc Belot	L121-83	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	25	ART. 25	-5-1 » sont remplacés par les mots : « , L. 111-5-1 et L. 111-5-3 ». Article 25 I. – L’article L. 121-83 du même code est ainsi modifié : 1° Après le b, il est inséré un b bis ainsi rédigé : « b bis)	Supprimer cet article.	Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes : a) L'identité et l'adresse du fournisseur ; b) Les services offerts, leur […]		juste		sonnet-A	sonnet-B		L'article 25 du PL3318 ne réécrit que L.121-83 (I et II) ; « Supprimer cet article » porte sur l'article entier.	L'article 25 de pl3318 ne modifie que L.121-83, le II n'étant qu'une clause d'application dans le temps ; suppression de l'article entier vise donc L.121-83.		2026-09-24
juste	79a2415795e9a0d6	assemblee	517	Adopté	M. Yves Blein	L121-2	1	sans visée	article_entier	assemblee/14-projets-pl1536.asp	50	ART. 50	S Section 1 Dispositions diverses Article 50 La deuxième phrase du premier alinéa de l’article L. 121-2 du code de la consommation est complétée par les mots : « , y compris lorsque lesdits éléments	Substituer au mot : « lesdits », le mot : « ces ».	Les agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes, ceux de la direction générale de l'alimentation du ministère de l'agriculture et ceux du service de métrologie au ministère de l'industrie sont habilités à constater, au moyen de procès-verbaux, les infractions au […]		juste		sonnet-A	sonnet-B		L'article 50 du PL1536 est une phrase unique ne touchant que L.121-2 ; « lesdits » appartient aux mots ajoutés par cet article, donc au texte de L.121-2.	L'article 50 de pl1536 est une phrase unique qui complète L.121-2 par les mots contenant « lesdits » ; substituer ce mot vise donc L.121-2.		2026-09-24
juste	95647dd154945ac1	assemblee	5	Non soutenu	M. Patrick Hetzel	L111-5-1	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	22	ART. 22	date de publication de la présente loi. Section 3 Loyauté des plateformes Article 22 L’article L. 111-5-1 du même code est ainsi modifié : 1° Le premier alinéa est remplacé par les dispositions suivan	Supprimer cet article.	Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d'un bien, de la fourniture d'un service ou de  […]		juste		sonnet-A	sonnet-B		Même article 22 du PL3318, qui ne réécrit que L.111-5-1 ; dispositif « Supprimer cet article » porte sur l'article entier.	Même article 22 (pl3318), exclusivement consacré à L.111-5-1.		2026-09-24
juste	95fd17d5e7359fc3	assemblee	357		Mme Laure de La Raudière	L121-83	1	sans visée	article_entier	assemblee/14-projets-pl3318.asp	25	ART. 25	-5-1 » sont remplacés par les mots : « , L. 111-5-1 et L. 111-5-3 ». Article 25 I. – L’article L. 121-83 du même code est ainsi modifié : 1° Après le b, il est inséré un b bis ainsi rédigé : « b bis)	Supprimer cet article.	Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes : a) L'identité et l'adresse du fournisseur ; b) Les services offerts, leur […]		juste		sonnet-A	sonnet-B		Même article 25 du PL3318, qui ne réécrit que L.121-83 ; dispositif « Supprimer cet article » porte sur l'article entier.	Même article 25 (pl3318), exclusivement consacré à L.121-83.		2026-09-24
