verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	04e6815c729633d5	assemblee	157	Adopté	M. Frédéric Barbier	L313-11	1	non	visee	assemblee/14-projets-pl1357.asp	19 septies	ART. 19 SEPTIES	mes) Article 19 quinquies (Supprimé) Article 19 sexies (Conforme) Article 19 septies L’article L. 313-11 du code de la consommation est ainsi rédigé : « Art. L. 313-11. – Le vendeur, personne physiqu	Rédiger ainsi cet article : « À la fin de l’article L. 313‑11 du code de la consommation, les mots : « à l’acheteur d’un bien mobilier ou immobilier » sont supprimés. »	Tout vendeur, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du crédit qu'il a fait contracter à l'acheteur d'un bien mobilier ou immobilier.		juste		sonnet-A	sonnet-B		Le dispositif réécrit l'article en discussion en citant et modifiant directement L. 313-11 (suppression de mots) : dépôt confirmé.	Le dispositif réécrit explicitement l'article L. 313-11 en en supprimant les mots visés, qui figurent dans le texte actuel de l'article.		2026-09-24
juste	160723ebc634569b	assemblee	103	Rejeté	M. Lionel Tardy	L111-3	10	non	visee	assemblee/14-projets-pl1357.asp	4	ART. 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. – Le fabricant ou l’importateur de biens meubles informe le vendeur professionnel de la pé	Rédiger ainsi les alinéas 12 et 13 : « Art. L. 111-3. - Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel des coordonnées des réparateurs professionnels agréés par le fabricant assurant la distribution de pièces détachées indispensables à l’utilisation des biens. Lors de l’achat du bien, le vendeur met à disposition du consommateur les coordonnées d’au moins un réparateur professio […]	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste		sonnet-A	sonnet-B		Le dispositif réécrit les alinéas 12-13 en reprenant et modifiant le texte de L. 111-3 nommément.	Le dispositif rédige entièrement l'article L. 111-3, nommé explicitement dans le texte proposé.		2026-09-24
juste	2dfe8fd4762aa09f	assemblee	405	Adopté	M. Razzy Hammadi	L113-7	10	oui	visee	assemblee/14-projets-pl1357.asp	4	ART. 4	(nouveau). – Le chapitre III du titre Ier du livre Ier du même code est complété par un article L. 113-7 ainsi rédigé : « Art. L. 113-7. – À partir du 1er janvier 2016, tout exploitant de parc de stat	Substituer à l’alinéa 34 les deux alinéas suivants : « Art. L. 113‑7. – Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d’une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus. « V. – Les dispositions du IV entrent en vigueur le 1er janvier 2015. ».	Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d'une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.		juste		sonnet-A	sonnet-B		Le dispositif substitue une nouvelle rédaction de L. 113-7, quasi identique au fonds actuel : article bien nommé et modifié.	Le dispositif substitue à l'alinéa 34 un nouvel article L. 113-7 dont le contenu correspond à celui de l'article du fonds.		2026-09-24
juste	2f38ae971b98a9a5	assemblee	412	Rejeté	M. Thierry Benoit	L133-4	2	oui	visee	assemblee/14-projets-pl1015.asp	12	ART. 12	rticle L. 141-1-2. » Article 12 Après l’article L. 133-3 du même code, il est inséré un article L. 133-4 ainsi rédigé : « Art. L. 133-4. – Tout contrat écrit conclu entre un professionnel et un consom	Rédiger ainsi l’alinéa 2 : « Art. L. 133‑4. - Lors de la conclusion de tout contrat écrit, le consommateur est informé par le professionnel de la possibilité de recourir, en cas contestation, à une procédure de médiation conventionnelle ou à tout autre mode alternatif de règlement des différends. »	Lors de la conclusion de tout contrat écrit, le consommateur est informé par le professionnel de la possibilité de recourir, en cas de contestation, à une procédure de médiation conventionnelle ou à tout autre mode alternatif de règlement des différends.		juste		sonnet-A	sonnet-B		Le dispositif réécrit l'alinéa 2 en reprenant L. 133-4 nommément, avec un texte quasi identique au fonds.	Le dispositif rédige l'article L. 133-4 ; le texte proposé correspond presque mot pour mot à l'article du fonds.		2026-09-24
juste	306806b5768d4f64	assemblee	70	Tombé	M. Damien Abad	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l'alinéa suivant : « Art. L. 311-17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste		sonnet-A	sonnet-B		Le dispositif substitue une nouvelle rédaction de L. 311-17, nommé explicitement : modification directe.	Le dispositif rédige entièrement l'article L. 311-17, nommé et modifié dans la même phrase.		2026-09-24
juste	40cf80307cf14478	assemblee	302	Tombé	Mme Michèle Bonneton	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l'alinéa suivant : « Art. L. 311-17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. ».	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste		sonnet-A	sonnet-B		Amendement quasi identique au précédent sur le même article : L. 311-17 nommé et réécrit.	Amendement quasi identique à 306806b5768d4f64 : le dispositif rédige entièrement l'article L. 311-17, nommé explicitement.		2026-09-24
juste	40ff00bac7d9761b	assemblee	191	Retiré	Mme Catherine Vautrin	L113-3	7	non	visee	assemblee/14-projets-pl1015.asp	4	ART. 4	es dispositions du présent chapitre sont d’ordre public. » II. – Au premier alinéa de l’article L. 113-3 du même code, les mots : « les limitations éventuelles de la responsabilité contractuelle » son	Après l’alinéa 18, insérer l’alinéa suivant : « II bis. Après le premier alinéa de l’article L. 113‑3 du code de la consommation, il est inséré un alinéa ainsi rédigé : « Les transporteurs aériens précisent dans leurs conditions générales de transport publiées sous quelque forme que ce soit, y compris sur internet, ainsi que sur tout support écrit approprié au moment de la délivrance des titres de transport aérien qu […]	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		juste		sonnet-A	sonnet-B		Le dispositif insère un alinéa après le premier alinéa de L. 113-3, nommé explicitement : modification réelle, non une simple citation.	Le dispositif insère un nouvel alinéa dans l'article L. 113-3 (« il est inséré un alinéa »), ce qui le modifie bien que l'article 4 du texte le retouche déjà par ailleurs.		2026-09-24
juste	4b215ddc75aa796c	assemblee	5	Adopté	M. Jean-Louis Bricout	L111-3	7	non	visee	assemblee/14-projets-pl1015.asp	4	ART. 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. – Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel de	Substituer aux alinéas 12 et 13 les deux alinéas suivants : «Art. L 111-3. – A compter du 1er janvier 2016, le fabricant ou l’importateur est tenu de fournir au consommateur les pièces détachées et les notices indispensables à la réparation et à l’utilisation du bien vendu. Les pièces détachées sont disponibles sur le marché dans un délai d’un mois et sur une période minimale de 5 ans à compter de la mise sur le marc […]	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste		sonnet-A	sonnet-B		Le dispositif substitue les alinéas 12-13 en réécrivant L. 111-3 nommément.	Le dispositif substitue aux alinéas 12-13 un nouvel article L. 111-3, nommé explicitement.		2026-09-24
juste	5006e10bd690f6f1	assemblee	383	Tombé	Mme Jeanine Dubié	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l’alinéa suivant : « Art. L. 311‑17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste		sonnet-A	sonnet-B		Même rédaction que les amendements jumeaux sur L. 311-17, nommé et réécrit.	Même schéma que les autres amendements sur cet article : le dispositif rédige entièrement l'article L. 311-17, nommé explicitement.		2026-09-24
juste	59b21ea96c6b11e9	assemblee	438	Adopté	M. Razzy Hammadi	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Rédiger ainsi cet article : « L’article L. 311‑17 du code de la consommation est ainsi rédigé : « Art. L. 311‑17. – Lorsque le crédit renouvelable mentionné à l’article L. 311‑16 est assorti d’une carte ouvrant droit à des avantages de toute nature, le bénéfice de ces avantages ne peut être subordonné au paiement à crédit. Dans ce cas, le prêteur ou l’intermédiaire de crédit a l’obligation de proposer au consommateur […]	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste		sonnet-A	sonnet-B		Le dispositif réécrit tout l'article du texte en reprenant et modifiant L. 311-17 nommément.	Le dispositif rédige entièrement l'article L. 311-17, nommé et modifié.		2026-09-24
