verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	03ab0fcfe054b325	assemblee	67	Adopté	Mme Laurence Cristol	L314-32	5	sans visée	alinea	assemblee/16-ta-commission-r0748-a0.asp	12	ART. 12	té par une section 10 ainsi rédigée : « Section 10 « Obligations en matière d’accessibilité « Art. L. 314‑32. – Le prêteur s’assure que les fiches d’informations prévues aux articles L. 312‑12 et L. 3	À l’alinéa 26, après le mot : « crédit », insérer les mots : « et offres ».	Le prêteur s'assure que les fiches d'informations prévues aux articles L. 312-12 et L. 313-7 ainsi que les offres et les contrats de crédit prévus aux articles L. 312-13, L. 312-28 et L. 313-24 qu'il fournit à sa clientèle répondent aux exigences d'accessibilité aux personnes handicapées fixées à l'article L. 412-13.		juste		sonnet-A	sonnet-B		L'alinéa 26 (titres de section insérés comptés comme alinéas) est la phrase « Art. L. 314-32… les contrats de crédit… », qui relève de l'instruction « 3° Le chapitre IV… est complété par une section 10… » créant L.314-32.	L'alinéa 26 de l'article 12 est la phrase même qui ouvre « Art. L. 314‑32 », donc relève bien de l'instruction qui réécrit L314-32.		2026-09-24
juste	06ae9ced8084a75d	assemblee	234	Non soutenu	Mme Laure de La Raudière	L121-84-10-1	2	sans visée	alinea	assemblee/14-projets-pl1357.asp	5 bis a	ART. 5 BIS A	(nouveau) Après l’article L. 121-84-10 du code de la consommation, il est inséré un article L. 121-84-10-1 ainsi rédigé : « Art. L. 121-84-10-1. – Est un contrat de communications électroniques pour	Après le mot : « souscripteur », rédiger ainsi la fin de l’alinéa 4 : « est en droit d’opposer à l’opérateur, ou à l’éditeur de service le cas échéant, la nullité de cette modification dans le mois qui suit la facturation dudit service ayant entraîné un surcoût. ».	Aucuns frais liés au rejet de paiement ne peuvent être imputés par un fournisseur de services de communications électroniques aux personnes physiques n'agissant pas pour des besoins professionnels qui se trouvent en état de fragilité eu égard notamment à leurs ressources.		juste		sonnet-A	sonnet-B		L'alinéa 4 de l'article 5 bis A est « En cas de constat du non-respect… le souscripteur a le droit de résilier… », qui relève de l'instruction insérant l'article L.121-84-10-1 ; l'insertion après « souscripteur » s'y raccorde correctement.	L'article 5 bis A du texte ne comporte que 5 alinéas et ne réécrit que L121-84-10-1 ; l'alinéa 4 cité en relève bien.		2026-09-24
juste	086041a046ca96c1	assemblee	38	Tombé	Mme Marie-Noëlle Battistel	L224-115	9	sans visée	alinea	assemblee/17-ta-commission-r0633-a0.asp	3	ART. 3	été par une section 21 ainsi rédigée : « Section 21 « Rénovation énergétique des bâtiments « Art. L. 224‑114. – I. – Lorsque qu’un contrat a pour objet la vente d’équipements ou la réalisation de tra	I. – Compléter l’alinéa 32 par les mots : « , ainsi que l’identité de leurs assureurs de responsabilité civile professionnelle et, le cas échéant, de responsabilité civile décennale, avec mention des références des polices souscrites ». II. – En conséquence, à la fin de l’alinéa 34, substituer aux mots : « figurent, de manière lisible et compréhensible, sur un support durable, dans le contrat » les mots : « présentes […]	I. - Avant la conclusion d'un contrat ayant pour objet l'offre de prestations de services, la vente d'équipements ou la réalisation de travaux afférents à des logements en vue de la réalisation d'économies d'énergie ou de la production d'énergie renouvelable, le professionnel qui recourt à la sous-traitance pour assure […]		faux	juste	opus-arbitre (arbitrage)	sonnet-B	opus-arbitre	sonnet-A avait rendu « faux », sonnet-B « faux » : Les alinéas 32 et 34 cités appartiennent au paragraphe II de l'instruction créant L.224-114 (identité des sous-traitants, informations précontractuelles), pas à celle créant L.224-115 (alinéa 35, sur l'acompte) : l'amendement porte sur L.224-114.	Les alinéas 30 à 34 de l'article 3 forment le bloc « Art. L. 224‑114 » ; L224‑115 ne commence qu'à l'alinéa 35, donc l'alinéa 32 cité relève de L224‑114, pas de L224‑115.	Les alinéas 30-34 du texte de commission, écrits sous « Art. L. 224-114 », portent la sous-traitance (information du recours, identité des sous-traitants al. 32, mention au contrat al. 34) ; ce contenu est aujourd'hui L. 224-115 (I, II, III), tandis que L. 224-114 en vigueur porte le label RGE (issu de l'amendement 85) et l'acompte du L. 224-115 de commission n'a pas été promulgué sous ce numéro. Par le rattachement au contenu (docs/47), compléter l'al. 32 et réécrire l'al. 34 c'est amender l'actuel L. 224-115.	2026-09-24
juste	0b46c59156633ae4	assemblee	1036	Rejeté	M. Kévin Mauvieux	L133-1	18	sans visée	alinea	assemblee/16-ta-commission-r1674-a0.asp	26	ART. 26	re III ainsi rédigé : « Chapitre III « Obligations des fournisseurs de plateformes en ligne « Art. L. 133‑1. – Est puni d’un emprisonnement de deux ans et d’une amende de 300 000 euros, dont le monta	Après l’alinéa 28, insérer l’alinéa suivant : « 3° De ne pas mettre en place un formulaire unique, défini par décret en Conseil d’État, permettant le signalement de contenus illicites, notamment de produits contrefaisants, de produits du tabac manufacturés contrefaisants ou de contrebande, ou de médicaments falsifiés. »	Est puni d'un emprisonnement de deux ans et d'une amende de 300 000 euros, dont le montant peut être porté, de manière proportionnée aux avantages tirés du délit, à 6 % du chiffre d'affaires mondial hors taxes réalisé au cours de l'exercice précédent pour une personne morale, le fait pour un fournisseur de places de ma […]		juste		sonnet-A	sonnet-B		L'alinéa 28 est le c) terminant la liste du 2° de l'article L.133-1 en cours de création ; l'amendement y ajoute un 3° nouveau, ce qui relève de l'instruction réécrivant L.133-1.	L'alinéa 28 de l'article 26 relève bien de l'instruction qui réécrit L133-1.		2026-09-24
juste	0f305e2eb27a13e3	assemblee	799	Adopté	Mme Sandra Marsaud	L221-14	3	sans visée	alinea	assemblee/16-ta-commission-r0144-a0.asp	7	ART. 7	ontrats Article 7 I. – Le livre II du code de la consommation est ainsi modifié : 1° L’article L. 221‑14 est ainsi modifié : a) Au début du premier alinéa, est ajoutée la mention : « I. – » ; b) Sont	À la première phrase de l’alinéa 6, substituer aux mots : « les spécifications » les mots : « notamment les modalités ».	Pour les contrats conclus par voie électronique, le professionnel rappelle au consommateur, avant qu'il ne passe sa commande, de manière lisible et compréhensible, les informations relatives aux caractéristiques essentielles des biens ou des services qui font l'objet de la commande, à leur prix, à la durée du contrat e […]		juste		sonnet-A	sonnet-B		L'alinéa 6 contient bien « les spécifications » en première phrase, dans le paragraphe II ajouté à l'article L.221-14 par l'instruction correspondante.	L'article 7 du texte ne réécrit que L221-14 sur ses 11 alinéas ; l'alinéa 6 cité en relève.		2026-09-24
juste	0f485eab84724b39	assemblee	334	Rejeté	Mme Mathilde Paris	L132-2	7	oui	visee	assemblee/16-ta-commission-r0144-a0.asp	9	ART. 9	ales illicites Article 9 I. – Le code de la consommation est ainsi modifié : 1° Après l’article L. 132‑2, sont insérés des articles L. 132‑2‑1 et L. 132‑2‑2 ainsi rédigés : « Art. L. 132‑2‑1. – Lorsqu	Après l’alinéa 1, insérer les trois alinéas suivants : « 1° A L’article L. 132‑2 est ainsi modifié : « a) Au premier alinéa, le montant : « 300 000 euros » est remplacé par le montant : « 600 000 euros » ; « b) À la première phrase du second alinéa, le taux : « 10 % » est remplacé par le taux : « 15 % » et le taux : « 50 % » est remplacé par le taux : « 75 % ».	Les pratiques commerciales trompeuses mentionnées aux articles L. 121-2 à L. 121-4 sont punies d'un emprisonnement de deux ans et d'une amende de 300 000 euros. Le montant de l'amende peut être porté, de manière proportionnée aux avantages tirés du délit, à 10 % du chiffre d'affaires moyen annuel, calculé sur les trois […]		juste		sonnet-A	sonnet-B		Le dispositif nomme explicitement « L'article L. 132-2 » et le modifie (amende 300 000→600 000 €, taux 10 %→15 % et 50 %→75 %), conformément aux montants actuels de l'article visé.	Le dispositif nomme explicitement L. 132‑2 et le modifie (montant et taux de l'amende remplacés).		2026-09-24
juste	19830ccfa6ffb7fa	assemblee	71	Adopté	M. Thomas Cazenave	L223-1	9	sans visée	alinea	assemblee/17-ta-commission-r0633-a0.asp	3	ART. 3	chapitre III, le mot : « Opposition » est remplacé par le mot : « Consentement » ; a) L’article L. 223‑1 est ainsi modifié : – les deux premiers alinéas sont remplacés par trois alinéas ainsi rédigés	À l’alinéa 17, après le mot : « alinéa, », insérer les mots : « après le mot : « objet », sont insérés les mots : « l’offre de prestations de service, », après la troisième occurrence du mot : « de », sont insérés les mots : « leur adaptation au vieillissement ou au handicap ou » et ».	Le consommateur qui ne souhaite pas faire l'objet de prospection commerciale par voie téléphonique peut gratuitement s'inscrire sur une liste d'opposition au démarchage téléphonique. Il est interdit à un professionnel, directement ou par l'intermédiaire d'un tiers agissant pour son compte, de démarcher téléphoniquement […]		juste		sonnet-A	sonnet-B		L'alinéa 17 cité est le renvoi « au troisième alinéa », qui désigne le nouveau texte de L.223-1 contenant le mot « objet » et plusieurs occurrences de « de » ; les insertions proposées s'y raccordent correctement.	L'alinéa 17 de l'article 3 relève de l'instruction qui réécrit L223-1, antérieure à celle de L223-2.		2026-09-24
juste	1c4bbce1d56465dc	assemblee	35		M. Julien Dive	L221-14	3	sans visée	alinea	assemblee/16-ta-commission-r0144-a0.asp	7	ART. 7	ontrats Article 7 I. – Le livre II du code de la consommation est ainsi modifié : 1° L’article L. 221‑14 est ainsi modifié : a) Au début du premier alinéa, est ajoutée la mention : « I. – » ; b) Sont	I. – Supprimer l’alinéa 7. II. – En conséquence, après l’alinéa 8, insérer l’alinéa suivant : « 1° A bis À la fin du second alinéa de l’article L. 224‑28 du code de la consommation, les mots : « suivant l’acceptation d’une telle clause moyennant le paiement par le consommateur d’au plus le quart du montant dû au titre de la fraction non échue de la période minimum d’exécution du contrat » sont remplacés par les mots  […]	Pour les contrats conclus par voie électronique, le professionnel rappelle au consommateur, avant qu'il ne passe sa commande, de manière lisible et compréhensible, les informations relatives aux caractéristiques essentielles des biens ou des services qui font l'objet de la commande, à leur prix, à la durée du contrat e […]		juste		sonnet-A	sonnet-B		L'alinéa 7 supprimé est le « III (nouveau) » sur les frais de résiliation, qui relève de l'instruction réécrivant L.221-14 ; l'insertion ultérieure concerne un autre article (L.224-28) mais n'affecte pas ce constat.	L'article 7 du texte ne réécrit que L221-14 ; l'alinéa 7 supprimé en relève, la mention de L224-28 n'est que dans le texte proposé par l'amendement lui-même.		2026-09-24
juste	1d0ba869513801cf	assemblee	751	Rejeté	Mme Sophia Chikirou	L133-1	18	sans visée	alinea	assemblee/16-ta-commission-r1674-a0.asp	26	ART. 26	re III ainsi rédigé : « Chapitre III « Obligations des fournisseurs de plateformes en ligne « Art. L. 133‑1. – Est puni d’un emprisonnement de deux ans et d’une amende de 300 000 euros, dont le monta	Après l’alinéa 28, insérer l’alinéa suivant : « d) Les obligations respectives à la mise en place d’un formulaire de signalement de contenus illicites, notamment de produits contrefaisants, de produits du tabac manufacturé contrefaisants ou de contrebande, ou de médicaments falsifiés. »	Est puni d'un emprisonnement de deux ans et d'une amende de 300 000 euros, dont le montant peut être porté, de manière proportionnée aux avantages tirés du délit, à 6 % du chiffre d'affaires mondial hors taxes réalisé au cours de l'exercice précédent pour une personne morale, le fait pour un fournisseur de places de ma […]		juste		sonnet-A	sonnet-B		Comme pour l'alinéa 28 (c) de la définition de L.133-1, l'insertion d'un d) supplémentaire relève de l'instruction créant cet article.	L'alinéa 28 de l'article 26 relève bien de l'instruction qui réécrit L133-1.		2026-09-24
juste	1f246c5a82c9cb76	assemblee	24	Tombé	Mme Delphine Batho	L224-115	9	sans visée	alinea	assemblee/17-ta-commission-r0633-a0.asp	3	ART. 3	été par une section 21 ainsi rédigée : « Section 21 « Rénovation énergétique des bâtiments « Art. L. 224‑114. – I. – Lorsque qu’un contrat a pour objet la vente d’équipements ou la réalisation de tra	I. – Compléter l’alinéa 32 par les mots : « , ainsi que l’identité de leurs assureurs de responsabilité civile professionnelle et, le cas échéant, de responsabilité civile décennale, avec mention des références des polices souscrites ». II. – En conséquence, à la fin de l’alinéa 34, substituer aux mots : « figurent, de manière lisible et compréhensible, sur un support durable, dans le contrat » les mots : « présentes […]	I. - Avant la conclusion d'un contrat ayant pour objet l'offre de prestations de services, la vente d'équipements ou la réalisation de travaux afférents à des logements en vue de la réalisation d'économies d'énergie ou de la production d'énergie renouvelable, le professionnel qui recourt à la sous-traitance pour assure […]		faux	juste	opus-arbitre (arbitrage)	sonnet-B	opus-arbitre	sonnet-A avait rendu « faux », sonnet-B « faux » : Mêmes alinéas 32 et 34 que pour l'amendement 38 identique : ils appartiennent à l'instruction créant L.224-114, pas L.224-115.	Même bloc que 086041a046ca96c1 : les alinéas 30 à 34 de l'article 3 relèvent de « Art. L. 224‑114 » ; l'alinéa 34 cité n'est donc pas de L224‑115.	Dispositif identique à l'amendement 38 : alinéas 32 (identité des sous-traitants) et 34 (informations au contrat) du bloc écrit « Art. L. 224-114 » en commission, dont le contenu est aujourd'hui L. 224-115 II et III. Le numéro a glissé (docs/47) : l'amendement portait sur l'actuel L. 224-115.	2026-09-24
