verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	08bb2d9283343a61	senat	225	Rejeté	LE GOUVERNEMENT	L113-7	12	oui	visee	senat/leg-pjl13-283.html	4	Article 4	é) IV. - Le chapitre III du titre I er du livre I er du même code est complété par des articles L. 113-7 à L. 113-9 ainsi rédigés : « Art. L. 113-7. - À partir du 1 er janvier 2016, tout exploitant de	Alinéa 31 Rédiger ainsi cet alinéa : « Art. L. 113-7. – Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d’une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d'une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	//www.senat.fr/amendements/2013-2014/283/Amdt_225.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif (alinéa 31) nomme « Art. L. 113-7 » et le réécrit (« Rédiger ainsi cet alinéa ») : l'amendement porte bien sur L. 113-7 du code de la consommation, article introduit par le IV de l'article 4 du texte.	Le dispositif (« Alinéa 31 Rédiger ainsi cet alinéa : « Art. L. 113-7… ») nomme L. 113-7 et le réécrit, sans se borner à le citer. Vérifié dans le texte : l'alinéa 31 de l'article 4 est bien celui commençant « Art. L. 113-7 », créé par le IV (articles L. 113-7 à L. 113-9 du code de la consommation). L'amendement portait donc sur l'article L113-7.	2026-09-19
juste	10573b6a323bd424	senat	354	Adopté	M. FAUCONNIER	L113-7	12	oui	visee	senat/leg-pjl13-283.html	4	Article 4	é) IV. - Le chapitre III du titre I er du livre I er du même code est complété par des articles L. 113-7 à L. 113-9 ainsi rédigés : « Art. L. 113-7. - À partir du 1 er janvier 2016, tout exploitant de	Alinéa 31 Rédiger ainsi le début de cet alinéa : « Art. L. 113-7. - Tout exploitant de parc de stationnement...	Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d'une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	//www.senat.fr/amendements/2013-2014/283/Amdt_354.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		L'amendement 354 (article 4, alinéa 31) réécrit le début du paragraphe qui constitue l'article L. 113-7 créé par le IV de l'article 4 ; le dispositif nomme bien L. 113-7 et en modifie le texte, cible confirmée par l'alinéa 31 du texte en discussion (parc de stationnement).	Le dispositif de l'amendement 354 réécrit le début de l'alinéa 31 de l'article 4, qui est l'alinéa « Art. L. 113-7. - À partir du 1er janvier 2016… » du texte : il nomme donc l'article L. 113-7 et en modifie le contenu (suppression de la date d'entrée en vigueur, tarification par pas de quinze minutes au plus dans la version adoptée). Article nommé et modifié, pas seulement cité.	2026-09-19
juste	19a31a3278376bd1	assemblee	415	Rejeté	Mme Arlette Grosskost	L311-17	1	oui	visee	assemblee/14-ta-commission-r1574-a0.asp	19 ter	ART. 19 TER	roit. » II. – (Non modifié) Article 19 bis A (Suppression maintenue) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 6 l'alinéa suivant : « Art. L. 311-17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. ».	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif nomme et modifie l'article L. 311-17 (au sein de l'article 19 ter du texte, qui réécrit ce code article) : la substitution d'alinéas porte bien sur L. 311-17 du code de la consommation.	Voie visee : le dispositif de l'amendement 415 nomme l'article L. 311-17 et le réécrit (« Substituer aux alinéas 2 à 6 l'alinéa suivant : Art. L. 311-17. – … »), il ne se contente pas de le citer. L'article 19 ter du texte n° 1574 réécrit en effet uniquement le L. 311-17 du code de la consommation (cible unique), donc l'amendement portait bien sur cet article.	2026-09-19
faux	28332e7c5ae68389	senat	61 rect.	Tombé	M. MÉZARD	L312-9	1	non	visee	senat/leg-pjl13-283.html	19 octies	Article 19 octies	Conseil d'État. » II. - (Non modifié) Article 19 octies I et II. - (Supprimés) III. - L'article L. 312-9 du code de la consommation, dans sa rédaction résultant de la loi n° 2013-672 du 26 juillet 201	I. – Après l'alinéa 9 Insérer un paragraphe ainsi rédigé : III bis. – Après l’article L. 312-9 du code de la consommation, il est inséré un article L. 312‑9-… ainsi rédigé : « Art. L. 312-9-… – Le refus infondé ou hors délai d’une demande d’assurance déléguée, ou le non respect du délai mentionné au sixième alinéa de l’article L. 312-9 pour la réémission de l’offre de prêt expose le prêteur à une amende administrativ […]	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2013-2014/283/Amdt_61.html	faux	faux	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif insere un nouvel article L. 312-9-... apres l'article L. 312-9 ; il ne modifie pas ce dernier, seulement nomme comme point d'insertion et cite au sixieme alinea. L'amendement porte donc en realite sur un autre article (le nouvel article L. 312-9-...).	Le dispositif nomme bien L. 312-9, mais comme ancre d'insertion (« Après l'article L. 312-9 du code de la consommation, il est inséré un article L. 312-9-… ») et n'en réécrit jamais le texte ; sa partie II ne touche que l'alinéa 19 du texte. L'amendement vise en réalité le nouvel article L. 312-9-… — position prise pour cible, défaut de la voie visee relevé dans docs/42 avec ce même exemple.	2026-09-19
juste	2aedfc175e897469	senat	587	Adopté	Mme LAMURE	L121-44	6	oui	visee	senat/leg-pjl12-810.html	72 bis	Article 72 bis	rdonnées de tout prestataire cocontractant associé à la promotion du produit ou du service. « Art. L. 121-44. - (Non modifié) La présente section est applicable aux consommateurs et aux non-profession	1° Alinéa 4 Après les mots : son site internet insérer les mots : , s’il existe, 2° Alinéa 5, seconde phrase Rédiger ainsi cette phrase : Il est mutualisé par les professionnels mentionnés au premier alinéa sous la forme d’un outil dédié aux numéros d’appel et d’un autre outil dédié aux numéros de messages textuels. 3° Alinéa 8 Remplacer la référence : L. 121-43 par la référence : L. 121-42-2 4° Alinéas 9 et 10 Suppr […]	Tout fournisseur de produit ou de service à valeur ajoutée mentionné au premier alinéa de l'article L. 121-42 conserve, pendant un délai minimal de cinq ans après la cessation des relations contractuelles, les coordonnées de tout prestataire cocontractant associé à la promotion du produit ou du service.	//www.senat.fr/amendements/2012-2013/810/Amdt_587.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif complet nomme et dispose de L. 121-44 : son 4° supprime l'alinéa 9 de l'article 72 bis, qui réénonce « Art. L. 121-44. - (Non modifié) La présente section… », et son 6° réinsère après l'alinéa 11 un alinéa « Art. L. 121-44. – La présente section est applicable aux consommateurs et aux non-professionnels ». L'arête 'visee' est donc vraie : l'amendement porte sur L. 121-44, il ne le cite pas seulement.	Le dispositif complet dispose opérativement de L. 121-44 : le 4° supprime l'alinéa 9 de l'article 72 bis (décompte vérifié sur le texte : cet alinéa réénonce « Art. L. 121-44. - (Non modifié) La présente section… ») et le 6° réinsère après l'alinéa 11 un alinéa « Art. L. 121-44. – La présente section est applicable aux consommateurs et aux non-professionnels ». L'article est donc visé et activement disposé, pas seulement cité ; subdivision (article 72 bis) et six cibles concordent.	2026-09-19
juste	3427fc424216a4f6	assemblee	992		LE GOUVERNEMENT	L115-16	1	oui	visee	assemblee/14-ta-commission-r1156-a0.asp	24	ART. 24	igé : « e) Les indications géographiques définies à l’article L. 721-2. » Article 24 L’article L. 115-16 du code de la consommation est ainsi modifié : 1° Au premier alinéa, le montant : « 37 500 € »	Rédiger ainsi le premier alinéa : « I. – L’article L. 115-16 du code de la consommation est ainsi modifié : »	Quiconque aura soit apposé, soit fait apparaître, par addition, retranchement ou par une altération quelconque, sur des produits, naturels ou fabriqués, mis en vente ou destinés à être mis en vente, des appellations d'origine qu'il savait inexactes sera puni d'un emprisonnement de trois mois au moins, d'un an au plus,  […]		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif de l'amendement 992 nomme et réécrit le premier alinéa de l'article 24 du texte, qui modifie l'article L. 115-16 du code de la consommation (cible unique de l'article 24) ; l'exposé confirme qu'il porte sur l'applicabilité de ce même article. La voie 'visée' est donc vraie.	Le dispositif de l'amendement 992 rédige le premier alinéa de l'art. 24 du texte, alinéa qui ouvre l'instruction « L'article L. 115-16 du code de la consommation est ainsi modifié » ; l'article 24 du texte ne vise que L. 115-16 (1 cible), confirmé à la lecture du texte. Le nom dans le dispositif n'est pas une citation mais la rédaction de l'instruction qui modifie L. 115-16, donc l'amendement portait bien sur cet article.	2026-09-19
juste	35d4d1cc4491292a	senat	125 rect.	Rejeté	M. MÉZARD	L311-8-1	1	non	visee	senat/leg-pjl12-810.html	18	Article 18	e traitement des situations de surendettement en cours à cette date. Article 18 I. - L'article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. - Lorsqu'un consommateur se voit proposer,	Alinéa 2 Rédiger ainsi cet alinéa : « Art. L. 311-8-1. - Lorsqu’un consommateur se voit proposer une offre de crédit renouvelable pour un montant supérieur à un seuil fixé par décret, le prêteur, l’établissement de crédit ou l’intermédiaire de crédit est dans l’obligation d’accompagner systématiquement cette offre de crédit renouvelable d’une offre de crédit amortissable, selon des modalités définies par un arrêté du […]	Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de cr […]	//www.senat.fr/amendements/2012-2013/810/Amdt_125.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif réécrit l'alinéa 2 de l'article 18, qui est le corps même de l'article L. 311-8-1 du code de la consommation réécrit par le texte ; il le nomme (« Art. L. 311-8-1 ») et le modifie, donc l'amendement portait bien sur cet article. Le signal vise=non est un faux négatif imputable à l'identifiant d'article (1387 dans vise, 1386 dans article_courant).	Le dispositif de l'amendement 125 rect. vise expressément « Art. L. 311-8-1 » et le réécrit (« Rédiger ainsi cet alinéa ») avec une rédaction distincte de celle du texte, donc une vraie modification et non une citation. L'article 18 du texte ne réécrit que L311-8-1 (le II est de simple application), ce qui cohère avec cibles_de_l_article = 1.	2026-09-19
juste	36d0a319aae29359	assemblee	202		M. Frédéric Lefebvre	L113-3	9	non	visee	assemblee/14-ta-commission-r1156-a0.asp	4	ART. 4	nte », sont insérés les mots : « et de l’exécution des services ». III. – Après le même article L. 113-3, sont insérés des articles L. 113-3-1 et L. 113-3-2 ainsi rédigés : « Art. L. 113-3-1. – I. – L	Après l’alinéa 18, insérer les deux alinéas suivants : « II bis. – Après le deuxième alinéa du même article L. 113-3, est inséré un alinéa ainsi rédigé : « Les conditions générales de vente comportent une information précise, selon des modalités fixées par arrêté, sur l’existence et le contenu de la garantie légale de conformité et de celle relative aux défauts de la chose vendue dues par le vendeur ».	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif (Après le deuxième alinéa du même article L. 113-3, est inséré un alinéa ainsi rédigé...) insère un alinéa dans l'article L. 113-3 du code de la consommation, et l'article 4 du texte en discussion (II) modifie déjà le premier alinéa de ce même article : l'amendement portait donc bien sur L. 113-3. La colonne vise=non de la fiche est un artefact d'identifiant (article_courant lignée 2, id 364, contre l'article visé lignée 1, id 363) ; le dispositif nomme et modifie L. 113-3, il ne se borne pas à le citer.	Le dispositif de l'amendement 202 insère un alinéa « après le deuxième alinéa du même article L. 113-3 » : il nomme L113-3 et le modifie réellement (l'insertion se fait dans l'article, pas après lui comme ancre). L'article 4 du texte confirme qu'il s'agit du L113-3 du code de la consommation (son II en modifie déjà le premier alinéa), et la version en vigueur comptait bien deux alinéas.	2026-09-19
juste	3bc228f6866d2d5f	assemblee	84	Rejeté	M. Lionel Tardy	L111-3	12	non	visee	assemblee/14-ta-commission-r1574-a0.asp	4	ART. 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. – Le fabricant ou l’importateur de biens meubles informe le vendeur professionnel de la pé	Rédiger ainsi les alinéas 12 et 13 : « Art. L. 111-3. - Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel des coordonnées des réparateurs professionnels agréés par le fabricant assurant la distribution de pièces détachées indispensables à l’utilisation des biens. Lors de l’achat du bien, le vendeur met à disposition du consommateur les coordonnées d’au moins un réparateur professio […]	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif nomme « Art. L. 111-3 » et le réécrit (« Rédiger ainsi… »), pas une simple citation ni une ancre. Décompte des alinéas de l'article 4 du texte : les alinéas 12 et 13 sont bien les deux paragraphes de L. 111-3 du code de la consommation (lignes 568 et 570, chapitre Ier du livre Ier).	Le dispositif de l'amendement 84 dit « Rédiger ainsi les alinéas 12 et 13 : Art. L. 111-3… » : il nomme L111-3 et le réécrit, pas une simple citation. Dans l'article 4 du texte (chapitre Ier du livre Ier du code de la consommation ainsi rédigé), les alinéas 12-13 commencent bien à « Art. L. 111-3 », comme le confirme la fenêtre et le décompte des alinéas du texte.	2026-09-19
juste	5986731c2611e3b2	senat	6	Adopté	M. Martial BOURQUIN	L321-1	7	oui	visee	senat/leg-pjl16-190.html	4	Article 4	s au créancier ou s'il diminue celles qui garantissent l'obligation. » ; 12° Le 3° de l'article L. 321-1 est ainsi rédigé : « 3° Aux experts nommés par le tribunal, mentionnés à l'article L. 627-3 du	Alinéa 25 Remplacer cet alinéa par trois alinéas ainsi rédigés : 12° L’article L. 321‑1 est ainsi modifié : a) Au premier alinéa, la référence « 3° » est remplacée par la référence « 5° » ; b) Le 3° est ainsi rédigé :	Les dispositions du présent titre s'appliquent aux intermédiaires au sens du 3° de l'article L. 311-1. Elles ne sont pas applicables : 1° Aux membres des professions juridiques et judiciaires réglementées ; 2° Aux personnes physiques ou morales qui se livrent aux opérations mentionnées à l'article L. 322-1 du présent c […]	//www.senat.fr/amendements/2016-2017/190/Amdt_6.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif de l'amendement 6 (voie visee, article 4 du texte) nomme et modifie bien l'article L. 321-1 du code de la consommation : « 12° L'article L. 321-1 est ainsi modifié ... b) Le 3° est ainsi rédigé » ; ce 12° correspond à l'alinéa 25 de l'article 4 qu'il remplace. L'arête depose_sur L321-1 est donc vraie.	Par voie visee, le dispositif de l'amendement 6 nomme l'article L. 321-1 et le modifie expressément (« L'article L. 321‑1 est ainsi modifié : a) … b) Le 3° est ainsi rédigé »), en remplaçant l'alinéa 25 de l'article 4 du texte qui réécrivait justement le 3° de cet article. L'arête depose_sur L321-1 est vraie telle qu'énoncée.	2026-09-19
