verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	033efd3254170e19	senat	68	Rejeté	Mme TERRADE	L311-17	7	oui	visee	senat/leg-pjl08-448.html	5	Article 5	spositions du présent alinéa. » ; E. - L'article L. 311-17 du même code est ainsi rétabli : « Art. L. 311-17. - Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'	I. - Rédiger comme suit le texte proposé par le E du II de cet article pour l'article L. 311‑17 du code de la consommation : « Art. L. 311‑17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. » II. - Supprimer le F.	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	//www.senat.fr/amendements/2008-2009/448/Amdt_68.html	juste		sonnet-juge-a	sonnet-juge-b		Le I rédige le texte proposé pour L. 311-17 lui-même (« pour l'article L. 311-17 ... Art. L. 311-17. - Aucun crédit renouvelable... »).	Réécrit le texte proposé pour L.311-17 lui-même (« Art. L. 311-17. - Aucun crédit renouvelable... »), pas une simple citation.		2026-09-26
juste	04cc41f3c167e07f	senat	1469	Retiré	Mme AÏCHI	L423-6	1	oui	visee	senat/leg-pjl14-371.html	11 ter	Article 11 ter	double de la valeur du ou des objets achetés. » Article 11 ter La première phrase de l'article L. 423-6 du code de la consommation est complétée par les mots : « ou, si l'association le demande, sur	Rédiger ainsi cet article : La première phrase de l'article L. 423‑6 du code de la consommation est ainsi rédigée : « Sous réserve des dispositions législatives applicables aux maniements de fonds par des membres des professions réglementés, toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immédiatement versée en compte de dépôt à la Caisse des dépôts et consignations. »	L423-6 (2014-03-19) — écrit par la loi du dossier, 2015-08-08 : Toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immé […] ‖ avant, 2014-03-19 : Toute somme reçue par l'association au titre de l'indemnisation des consommateurs lésés est immédiatement versée en compte de dépôt à la Caisse des […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1469.html	juste		sonnet-juge-a	sonnet-juge-b		Réécrit la première phrase de L. 423-6 elle-même (« La première phrase de l'article L. 423-6 ... est ainsi rédigée »).	« La première phrase de l'article L. 423-6... est ainsi rédigée » : réécrit A nommément.		2026-09-26
juste	04ed97fc787a2419	assemblee	383	Tombé	Mme Jeanine Dubié	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l’alinéa suivant : « Art. L. 311‑17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	L311-17 (1993-07-27) — écrit par la loi du dossier, 2014-12-18 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti d'une carte ouvrant  […] ‖ avant, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une carte ouvrant droit à des avantages commerciaux et prom […]		juste		sonnet-juge-a	sonnet-juge-b		Substitue aux alinéas 2 à 5 une nouvelle rédaction de « Art. L. 311-17 », qui est ce que l'article 19 ter réécrit.	Substitue aux alinéas de l'article 19 ter une nouvelle rédaction complète de « Art. L. 311-17 ».		2026-09-26
juste	05bde12afdc968d2	assemblee	313	Non soutenu	Mme Jeanine Dubié	L423-17	13	oui	visee	assemblee/14-projets-pl1357.asp	1er	ART. PREMIER	« Modalités spécifiques à l’action de groupe intervenant dans le domaine de la concurrence « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel portent sur le respect des règles déf	Rédiger ainsi l'alinéa 44 : « Art. L. 423-10. – Lorsque les manquements reprochés au professionnel par les requérants portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du Traité sur le fonctionnement de l’Union européenne, l’action mentionnée à l’article L. 423-1 ne peut être engagée devant le juge que sur le fondement d’une décision de l’Autorité de la  […]	L423-17 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Lorsque les manquements reprochés au professionnel portent sur le respect des règles définies au titre II du livre IV du code de commerce ou des articles 101 et 102 du traité sur le fonctionnement de l'Union européenne, la responsabilité du professionnel  […]		juste		sonnet-juge-a	sonnet-juge-b		Réécrit l'alinéa 44 sous « Art. L. 423-10 » avec un contenu quasi identique au fonds L423-17 : ancien numéro de la même recodification, article modifié.	Le dispositif complet (amendement id 12403) rédige « Art. L. 423-10 » avec « le juge sursoit à statuer sur la responsabilité du professionnel... qui n'est plus susceptible de recours », le même mécanisme que L.423-17 du fonds : numéro glissé, contenu concordant (docs/55 §2).		2026-09-26
juste	08daf65ea0a3827f	assemblee	70	Tombé	M. Damien Abad	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l'alinéa suivant : « Art. L. 311-17. - Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	L311-17 (1993-07-27) — écrit par la loi du dossier, 2014-12-18 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti d'une carte ouvrant  […] ‖ avant, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une carte ouvrant droit à des avantages commerciaux et prom […]		juste		sonnet-juge-a	sonnet-juge-b		Substitue aux alinéas 2 à 5 une nouvelle rédaction de « Art. L. 311-17 ».	Même substitution d'alinéa que ses voisins, réécrivant intégralement « Art. L. 311-17 ».		2026-09-26
juste	0a87422f9225a710	senat	268	Adopté	M. PONIATOWSKI	L121-86	5	oui	visee	senat/leg-pjl09-644.html	9	Article 9	I er du titre II du livre I er du code de la consommation est ainsi modifiée : 1° À l'article L. 121-86, après le mot : « consommateur », sont insérés les mots : « ou un non-professionnel » ; 2° Le	Alinéa 2 Rédiger ainsi cet alinéa : 1° L'article L. 121‑86 est complété par les mots : « , ainsi qu'aux contrats souscrits par un non‑professionnel pour une puissance électrique égale ou inférieure à 36 kilovoltampères ou pour une consommation de gaz naturel inférieure à 30 000 kilowattheures par an » ;	L121-86 (2007-07-01) — écrit par la loi du dossier, 2010-12-09 : Les dispositions de la présente section s'appliquent aux contrats souscrits par un consommateur […] ‖ avant, 2007-07-01 : Les dispositions de la présente section s'appliquent aux contrats souscrits par un consommateur avec un fournisseur d'électricité ou de gaz naturel […]	//www.senat.fr/amendements/2009-2010/644/Amdt_268.html	juste		sonnet-juge-a	sonnet-juge-b		« 1° L'article L. 121-86 est complété par les mots » : nommé et modifié directement.	« L'article L. 121-86 est complété par les mots... » : complète A nommément.		2026-09-26
juste	123bd518bb09daa0	assemblee	157	Adopté	M. Frédéric Barbier	L313-11	1	non	visee	assemblee/14-projets-pl1357.asp	19 septies	ART. 19 SEPTIES	mes) Article 19 quinquies (Supprimé) Article 19 sexies (Conforme) Article 19 septies L’article L. 313-11 du code de la consommation est ainsi rédigé : « Art. L. 313-11. – Le vendeur, personne physiqu	Rédiger ainsi cet article : « À la fin de l’article L. 313‑11 du code de la consommation, les mots : « à l’acheteur d’un bien mobilier ou immobilier » sont supprimés. »	L313-11 (1993-07-27) — écrit par la loi du dossier, 2014-03-19 : Tout vendeur personne physique, salarié ou non d'un organisme bancaire ou de crédit, ne peut, e […] ‖ avant, 2011-05-01 : Tout vendeur personne physique, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du cr […]		juste		sonnet-juge-a	sonnet-juge-b		« À la fin de l'article L. 313-11 ... les mots ... sont supprimés » : modification directe et nommée.	« À la fin de l'article L. 313-11..., les mots... sont supprimés » : modifie A nommément.		2026-09-26
juste	12e3bb2487a4dd4e	senat	129 rect.	Rejeté	M. LEMOYNE	L223-5	13	oui	visee	senat/leg-ppl24-469.html	3	Article 3	articles L. 223-2 à L. 223-4 sont abrogés ;  a ter) Au début du premier alinéa de l’article L. 223-5, les mots : « Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s’appliquent » son	Après l’alinéa 22 Insérer un alinéa ainsi rédigé : …) Le premier alinéa de l’article L. 223‑5 est complété par les mots : « ainsi que de denrées alimentaires et de produits destinés à l’alimentation des animaux de compagnie dans le cadre d’une livraison alimentaire à domicile » ;	L223-5 (2016-07-01) — écrit par la loi du dossier, 2026-08-11 : L'interdiction prévue à l'article L. 223-1 ne s'applique pas à la prospection en vue de la fourn […] ‖ avant, 2020-07-26 : Les interdictions prévues aux articles L. 223-1 et L. 223-3 ne s'appliquent pas à la prospection en vue de la fourniture de journaux, de périodique […]	//www.senat.fr/amendements/2024-2025/469/Amdt_129.html	juste		sonnet-juge-a	sonnet-juge-b		« Le premier alinéa de l'article L. 223-5 est complété par les mots » : modification directe.	« Le premier alinéa de l'article L. 223-5 est complété par les mots... » : complète A nommément.		2026-09-26
juste	145d0a03a27bd472	assemblee	415	Rejeté	Mme Arlette Grosskost	L311-17	1	oui	visee	assemblee/14-ta-commission-r1574-a0.asp	19 ter	ART. 19 TER	roit. » II. – (Non modifié) Article 19 bis A (Suppression maintenue) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 6 l'alinéa suivant : « Art. L. 311-17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. ».	L311-17 (1993-07-27) — écrit par la loi du dossier, 2014-12-18 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti d'une carte ouvrant  […] ‖ avant, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une carte ouvrant droit à des avantages commerciaux et prom […]		juste		sonnet-juge-a	sonnet-juge-b		Substitue aux alinéas 2 à 6 une nouvelle rédaction de « Art. L. 311-17 ».	Substitue aux alinéas 2 à 6 une nouvelle rédaction complète de « Art. L. 311-17 ».		2026-09-26
juste	15651712cd1a4acd	assemblee	158	Tombé	Mme Laure de La Raudière	L311-17	1	oui	visee	assemblee/14-projets-pl1357.asp	19 ter	ART. 19 TER	ifié) Article 19 bis A (nouveau) (Supprimé) Article 19 bis (Conforme) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 5 l’alinéa suivant : « Art. L. 311‑17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. ».	L311-17 (1993-07-27) — écrit par la loi du dossier, 2014-12-18 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti d'une carte ouvrant  […] ‖ avant, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une carte ouvrant droit à des avantages commerciaux et prom […]		juste		sonnet-juge-a	sonnet-juge-b		Substitue aux alinéas 2 à 5 une nouvelle rédaction de « Art. L. 311-17 ».	Même substitution, nouvelle rédaction complète de « Art. L. 311-17 ».		2026-09-26
