verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	08bb2d9283343a61	senat	225	Rejeté	LE GOUVERNEMENT	L113-7	12	oui	visee	senat/leg-pjl13-283.html	4	Article 4	é) IV. - Le chapitre III du titre I er du livre I er du même code est complété par des articles L. 113-7 à L. 113-9 ainsi rédigés : « Art. L. 113-7. - À partir du 1 er janvier 2016, tout exploitant de	Alinéa 31 Rédiger ainsi cet alinéa : « Art. L. 113-7. – Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d’une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d'une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	//www.senat.fr/amendements/2013-2014/283/Amdt_225.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « Art. L. 113-7. » et le réécrit (tarification par pas de quinze minutes au lieu de la tarification à la minute datée de 2016) : il ne se contente pas de le citer. L'alinéa 31 visé est bien, comptage fait dans la petite loi, le paragraphe de l'article 4 qui crée L. 113-7, et le IV (« du même code ») comme le V (« L'article L. 113-7 du code de la consommation dans sa rédaction issue du IV ») confirment qu'il s'agit du code de la consommation.	Le dispositif (voie visee) nomme « Art. L. 113-7 » et en redige l'alinea : il modifie bien cet article du code de la consommation, cree par l'article 4 IV du texte. Aucune simple citation, aucune autre cible.	Le dispositif « Alinéa 31 Rédiger ainsi cet alinéa » redéfinit intégralement l'art. L. 113-7 (tarification des parcs de stationnement), il ne se contente pas de le nommer. L'alinéa 31 de l'article 4 du texte (numérotation Sénat, titres centrés compris) est bien celui qui rédige L. 113-7 dans le code de la consommation, comme le montre la fenêtre.	2026-09-19
juste	10573b6a323bd424	senat	354	Adopté	M. FAUCONNIER	L113-7	12	oui	visee	senat/leg-pjl13-283.html	4	Article 4	é) IV. - Le chapitre III du titre I er du livre I er du même code est complété par des articles L. 113-7 à L. 113-9 ainsi rédigés : « Art. L. 113-7. - À partir du 1 er janvier 2016, tout exploitant de	Alinéa 31 Rédiger ainsi le début de cet alinéa : « Art. L. 113-7. - Tout exploitant de parc de stationnement...	Tout exploitant de parc de stationnement affecté à un usage public applique au consommateur, pour les stationnements d'une durée inférieure à douze heures et payés à la durée, une tarification par pas de quinze minutes au plus.	//www.senat.fr/amendements/2013-2014/283/Amdt_354.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « Art. L. 113-7 » et réécrit le début de l'alinéa 31 de l'article 4, qui crée cet article dans le chapitre III du titre Ier du livre Ier du code de la consommation (le V du même article cite « L'article L. 113-7 du code de la consommation »). L'article du fonds sur la tarification des parcs de stationnement correspond.	Le dispositif de l'amendement 354 réécrit le début de l'alinéa 31 de l'article 4 du texte, alinéa qui rédige l'article L. 113-7 du code de la consommation (« Art. L. 113-7. - À partir du 1er janvier 2016… »). Il nomme et modifie donc bien L. 113-7.	Le dispositif de l'amendement 354 rédige ainsi le début de l'alinéa « Art. L. 113-7. - … » : il nomme L. 113-7 et le modifie, ce que la fenêtre confirme (l'alinéa visé crée bien cet article dans l'instruction IV de l'article 4, tarification à la minute remplacée par pas de quinze minutes).	2026-09-19
juste	19a31a3278376bd1	assemblee	415	Rejeté	Mme Arlette Grosskost	L311-17	1	oui	visee	assemblee/14-ta-commission-r1574-a0.asp	19 ter	ART. 19 TER	roit. » II. – (Non modifié) Article 19 bis A (Suppression maintenue) Article 19 ter L’article L. 311-17 du code de la consommation est ainsi rédigé : « Art. L. 311-17. – Lorsque le crédit renouvelab	Substituer aux alinéas 2 à 6 l'alinéa suivant : « Art. L. 311-17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. ».	Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en  […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « Art. L. 311-17 » et lui substitue une nouvelle rédaction (alinéas 2 à 6), donc il modifie bien cet article. L'article 19 ter de la fenêtre réécrit L. 311-17 du code de la consommation, et l'article du fonds correspond au contenu de L. 311-17 : la subdivision ART. 19 TER et la cible sont cohérentes.	L'article 19 ter du texte dispose que l'article L. 311-17 du code de la consommation est ainsi rédigé, et l'amendement substitue les alinéas 2 à 6 (le contenu même du nouvel article) par une nouvelle rédaction de l'Art. L. 311-17 : il modifie bien l'article L. 311-17, sans viser un autre article.	Le dispositif substitue aux alinéas 2 à 6 de l'art. 19 ter un alinéa « Art. L. 311-17. – … » : il nomme L. 311-17 et le modifie réellement, sans se borner à le citer. L'art. 19 ter du texte ne réécrit que L. 311-17 du code de la consommation (cibles = 1), donc l'amendement portait bien sur cet article.	2026-09-19
faux	28332e7c5ae68389	senat	61 rect.	Tombé	M. MÉZARD	L312-9	1	non	visee	senat/leg-pjl13-283.html	19 octies	Article 19 octies	Conseil d'État. » II. - (Non modifié) Article 19 octies I et II. - (Supprimés) III. - L'article L. 312-9 du code de la consommation, dans sa rédaction résultant de la loi n° 2013-672 du 26 juillet 201	I. – Après l'alinéa 9 Insérer un paragraphe ainsi rédigé : III bis. – Après l’article L. 312-9 du code de la consommation, il est inséré un article L. 312‑9-… ainsi rédigé : « Art. L. 312-9-… – Le refus infondé ou hors délai d’une demande d’assurance déléguée, ou le non respect du délai mentionné au sixième alinéa de l’article L. 312-9 pour la réémission de l’offre de prêt expose le prêteur à une amende administrativ […]	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2013-2014/283/Amdt_61.html	faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme L. 312-9, mais seulement comme ancre d'insertion (« Après l'article L. 312-9 … il est inséré un article L. 312-9-… ») et comme citation (le délai de son sixième alinéa) : il ne modifie L. 312-9 en rien et vise en réalité la création d'un article nouveau du code. Critère faux de la voie visee — le dispositif nomme A sans le modifier —, conforme à la doctrine du module sur les articles additionnels.	Le dispositif insère un nouvel article L. 312-9-… APRÈS l'article L. 312-9 sans modifier ce dernier ; L. 312-9 n'y est que nommé (et cité pour son sixième alinéa). La cible réelle de l'amendement est le nouvel article, pas L. 312-9.	Le dispositif nomme L312-9 mais sans le modifier : il l'utilise comme point d'ancrage (« Après l'article L. 312-9 … il est inséré un article L. 312-9-… »), créant un article nouveau et non l'article visé. Cas explicite du faux « nomme A sans le modifier » pour une visée ; cohérent avec le drapeau vise=non de la ligne.	2026-09-19
faux	2aedfc175e897469	senat	587	Adopté	Mme LAMURE	L121-44	6	oui	visee	senat/leg-pjl12-810.html	72 bis	Article 72 bis	rdonnées de tout prestataire cocontractant associé à la promotion du produit ou du service. « Art. L. 121-44. - (Non modifié) La présente section est applicable aux consommateurs et aux non-profession	1° Alinéa 4 Après les mots : son site internet insérer les mots : , s’il existe, 2° Alinéa 5, seconde phrase Rédiger ainsi cette phrase : Il est mutualisé par les professionnels mentionnés au premier alinéa sous la forme d’un outil dédié aux numéros d’appel et d’un autre outil dédié aux numéros de messages textuels. 3° Alinéa 8 Remplacer la référence : L. 121-43 par la référence : L. 121-42-2 4° Alinéas 9 et 10 Suppr […]	Tout fournisseur de produit ou de service à valeur ajoutée mentionné au premier alinéa de l'article L. 121-42 conserve, pendant un délai minimal de cinq ans après la cessation des relations contractuelles, les coordonnées de tout prestataire cocontractant associé à la promotion du produit ou du service.	//www.senat.fr/amendements/2012-2013/810/Amdt_587.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le « L. 121-44 » que nomme le dispositif (6° : insérer « Art. L. 121-44. – La présente section est applicable aux consommateurs et aux non-professionnels ») désigne la disposition champ d'application, qui est dans le code un autre article (L121-48), non le L121-44 du graphe, disposition de conservation des coordonnées pendant cinq ans. Celle-ci est visée par le dispositif sous le nom « L. 121-43 » (alinéa 8) et renumérotée « L. 121-42-2 » par l'amendement : la nomination « L. 121-44 » vise donc en réalité un autre article — collision de numérotation.	Le dispositif nomme explicitement « Art. L. 121-44 » au 6° (insérer un alinéa ainsi rédigé : « Art. L. 121-44. – La présente section est applicable aux consommateurs et aux non-professionnels. ») et, au 4°, supprime les alinéas 9 et 10 du texte qui portent précisément sur L. 121-44 et L. 121-45. L'amendement rédige donc bien cet article du code, sans se contenter de le citer ni viser une autre cible ; le vise=oui (formule « rédigé ») le confirme.	Le dispositif complet (6°) insère un alinéa ainsi rédigé : « Art. L. 121-44. – La présente section est applicable aux consommateurs et aux non-professionnels », après avoir supprimé (4°) les alinéas 9 et 10 dont l'alinéa 9 reproduisait cet article « (Non modifié) ». Le dispositif nomme donc bien L. 121-44 et le modifie — renumérotation cohérente de la nouvelle section 7 (L121-42 à L121-47), pas une citation sans effet.	2026-09-19
juste	3427fc424216a4f6	assemblee	992		LE GOUVERNEMENT	L115-16	1	oui	visee	assemblee/14-ta-commission-r1156-a0.asp	24	ART. 24	igé : « e) Les indications géographiques définies à l’article L. 721-2. » Article 24 L’article L. 115-16 du code de la consommation est ainsi modifié : 1° Au premier alinéa, le montant : « 37 500 € »	Rédiger ainsi le premier alinéa : « I. – L’article L. 115-16 du code de la consommation est ainsi modifié : »	Quiconque aura soit apposé, soit fait apparaître, par addition, retranchement ou par une altération quelconque, sur des produits, naturels ou fabriqués, mis en vente ou destinés à être mis en vente, des appellations d'origine qu'il savait inexactes sera puni d'un emprisonnement de trois mois au moins, d'un an au plus,  […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « L'article L. 115-16 du code de la consommation est ainsi modifié » en réécrivant le premier alinéa de l'article 24, qui ne modifie que cet article (1 cible, vérifié dans r1156). Le contenu du L115-16 du fonds (appellations d'origine inexactes) correspond bien à l'objet de l'article 24.	Le dispositif de l'amendement 992 réécrit le premier alinéa de l'article 24 du texte, qui nomme et modifie explicitement l'article L. 115-16 du code de la consommation ; l'article 24 n'a qu'une cible (L115-16) et le montant 37 500 € de la fenêtre confirme qu'il s'agit bien de cet article. La voie 'visee' est donc vérifiée.	Le dispositif de l'amendement 992 réécrit le premier alinéa de l'art. 24 du texte, lequel est précisément l'instruction « L'article L. 115-16 du code de la consommation est ainsi modifié » ; l'amendement nomme donc L115-16 en le modifiant, sans viser un autre article. L'article 24 du texte ne touche que L115-16 (1 cible), conforme à la fenêtre.	2026-09-19
juste	35d4d1cc4491292a	senat	125 rect.	Rejeté	M. MÉZARD	L311-8-1	1	non	visee	senat/leg-pjl12-810.html	18	Article 18	e traitement des situations de surendettement en cours à cette date. Article 18 I. - L'article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. - Lorsqu'un consommateur se voit proposer,	Alinéa 2 Rédiger ainsi cet alinéa : « Art. L. 311-8-1. - Lorsqu’un consommateur se voit proposer une offre de crédit renouvelable pour un montant supérieur à un seuil fixé par décret, le prêteur, l’établissement de crédit ou l’intermédiaire de crédit est dans l’obligation d’accompagner systématiquement cette offre de crédit renouvelable d’une offre de crédit amortissable, selon des modalités définies par un arrêté du […]	Lorsqu'un consommateur se voit proposer, sur le lieu de vente ou par un moyen de vente de biens ou de services à distance, un contrat de crédit renouvelable pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le prêteur ou l'intermédiaire de cr […]	//www.senat.fr/amendements/2012-2013/810/Amdt_125.html	juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « Art. L. 311-8-1. » et le réécrit (Alinéa 2, Rédiger ainsi cet alinéa) : il modifie bien cet article. L'article 18 du texte réécrit L. 311-8-1 du même code, c'est-à-dire le code de la consommation (confirmé dans le texte et par l'article du fonds), et il n'a qu'une cible. L'arête est vraie telle qu'énoncée.	Le dispositif rédige « Art. L. 311-8-1 » et en modifie le texte, et l'article 18 du texte (I) ne réécrit que cet article (cibles_de_l_article = 1) : l'amendement porte bien sur L. 311-8-1.	Le dispositif de l'amendement 125 rect. demande « Rédiger ainsi cet alinéa : « Art. L. 311-8-1. - … » » : il nomme l'article L. 311-8-1 et le réécrit (obligation d'accompagner l'offre de crédit renouvelable d'une offre de crédit amortissable), pas une simple citation. L'article 18 du pjl 810 porte bien, en son I, sur « L'article L. 311-8-1 du même code est ainsi rédigé », comme la fenêtre l'indique.	2026-09-19
juste	36d0a319aae29359	assemblee	202		M. Frédéric Lefebvre	L113-3	9	non	visee	assemblee/14-ta-commission-r1156-a0.asp	4	ART. 4	nte », sont insérés les mots : « et de l’exécution des services ». III. – Après le même article L. 113-3, sont insérés des articles L. 113-3-1 et L. 113-3-2 ainsi rédigés : « Art. L. 113-3-1. – I. – L	Après l’alinéa 18, insérer les deux alinéas suivants : « II bis. – Après le deuxième alinéa du même article L. 113-3, est inséré un alinéa ainsi rédigé : « Les conditions générales de vente comportent une information précise, selon des modalités fixées par arrêté, sur l’existence et le contenu de la garantie légale de conformité et de celle relative aux défauts de la chose vendue dues par le vendeur ».	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme l'article L. 113-3 et le modifie : il insère un alinéa après son deuxième alinéa (information sur les garanties légales dans les CGV). L'alinéa 18 de l'article 4 du texte, après lequel l'amendement insère son II bis, est bien le II qui modifie l'article L. 113-3 du code de la consommation (vérifié dans le texte du corpus) ; l'article du fonds affiché est bien ce L113-3. La colonne vise à « non » contredit le dispositif lisible sur la ligne, mais elle n'établit rien selon la fiche.	Le dispositif nomme explicitement « L. 113-3 » et y insère un alinéa (information sur la garantie légale de conformité dans les conditions générales de vente) : il le modifie, il ne se borne pas à le citer, et l'article du fonds correspond. Le texte (art. 4) modifie bien L. 113-3 (II et III), même si l'article vise 9 cibles par ailleurs.	Le dispositif de l'amendement 202 nomme explicitement l'article L. 113-3 et le modifie (« Après le deuxième alinéa du même article L. 113-3, est inséré un alinéa ainsi rédigé… »), il ne se borne pas à le citer. Vérifié dans le texte : l'alinéa 18 de l'article 4 est bien l'instruction II qui réécrit le premier alinéa de L. 113-3, donc l'insertion « II bis » vise ce même article. Article du code et article du texte correctement identifiés.	2026-09-19
juste	3bc228f6866d2d5f	assemblee	84	Rejeté	M. Lionel Tardy	L111-3	12	non	visee	assemblee/14-ta-commission-r1574-a0.asp	4	ART. 4	de prévoyance et unions régies par le titre III du livre IX du code de la sécurité sociale. « Art. L. 111-3. – Le fabricant ou l’importateur de biens meubles informe le vendeur professionnel de la pé	Rédiger ainsi les alinéas 12 et 13 : « Art. L. 111-3. - Le fabricant ou l’importateur de biens meubles doit informer le vendeur professionnel des coordonnées des réparateurs professionnels agréés par le fabricant assurant la distribution de pièces détachées indispensables à l’utilisation des biens. Lors de l’achat du bien, le vendeur met à disposition du consommateur les coordonnées d’au moins un réparateur professio […]	Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certaines activités à des règles particulières en ce qui concerne l'information du consommateur.		juste	juste	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme explicitement « Art. L. 111-3 » et le réécrit (« Rédiger ainsi les alinéas 12 et 13 ») ; or les alinéas 12 et 13 de l'article 4 du texte r1574, comptés dans le texte complet, sont exactement les deux alinéas de l'article L. 111-3 du code de la consommation (pièces détachées), que l'article 4 réécrit avec le chapitre. Le signal vise=non, simple guide d'une autre extraction, ne renverse pas cette preuve directe du dispositif.	Le dispositif nomme « Art. L. 111-3 » et réécrit les alinéas 12 et 13 de l'article 4, qui sont exactement les deux alinéas de L. 111-3 du code de la consommation (comptage des paragraphes de l'article 4 fait) : il modifie bien cet article, et non un autre. Le vise=non de la fiche est un décalage de lignée (la table vise porte l'article 315, la fiche résout L111-3 à la lignée courante 316), non une contradiction.	Le dispositif « Rédiger ainsi les alinéas 12 et 13 » nomme et réécrit l'art. L. 111-3 du code de la consommation : dans l'article 4 du texte, les alinéas 12 et 13 comptés correspondent précisément aux deux alinéas de L111-3 (« Art. L. 111-3… » et celui qui suit). C'est bien une modification, pas une simple citation, et aucun autre article n'est visé.	2026-09-19
faux	6b75d8206fab4022	senat	87 rect. bis	Rejeté	M. DALLIER	L113-3	9	non	visee	senat/leg-pjl12-810.html	4	Article 4	-6. - (Non modifié) Les dispositions du présent chapitre sont d'ordre public. » II. - L'article L. 113-3 du même code est ainsi modifié : 1° Au premier alinéa, les mots : « , les limitations éventuell	Compléter cet article par un paragraphe ainsi rédigé : ... - Après l'article L. 113-3 du code de la consommation, il est inséré un article L. 113‑3-... ainsi rédigé : « Art. L. 113‑3-... – Le consommateur ayant souscrit, simultanément à l’acquisition d’un bien meuble corporel, un contrat ayant pour effet d’assurer ledit bien ou d’en prolonger la garantie, dispose d’un délai de sept jours pour dénoncer ce contrat, que […]	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]	//www.senat.fr/amendements/2012-2013/810/Amdt_87.html	faux	faux	agent:qwen3p8-max	agent:deepseek-v4p1-flash	agent:glm-5p3-flash	Le dispositif nomme L. 113-3 comme simple ancrage de position : « Après l'article L. 113-3 du code de la consommation, il est inséré un article L. 113‑3-... » — il crée un article nouveau au numéro non fixé (délai de sept jours pour dénoncer un contrat d'assurance ou de garantie accessoire) et ne modifie en rien L113-3 lui-même. Le dispositif nomme donc A sans le modifier et vise en réalité un autre article (nouveau) ; que l'article 4 du texte modifie L113-3 par son II (vérifié dans le corpus) ne fait pas de cet amendement un amendement portant sur L113-3.	Le dispositif nomme L. 113-3 uniquement comme point d'insertion (« Après l'article L. 113-3... il est inséré un article L. 113-3-... ») : il ne modifie pas L. 113-3. L'amendement ne portait donc pas sur cet article.	Le dispositif nomme L. 113-3 mais sans le modifier : il insère un article nouveau L. 113-3-... « après l'article L. 113-3 », simple référence de position. L'amendement ne portait donc pas sur l'article L113-3 lui-même.	2026-09-19
