verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0081c447d207d824	assemblee	320	Non soutenu	M. Jean Dionis du Séjour	L311-16	8	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	5	ART. 5	n’a droit à aucune indemnité versée par l’emprunteur en cas de rétractation. » D. – L’article L. 311-16 du même code, tel qu’il résulte de l’article 1er B de la présente loi, est ainsi modifié : 1°	Après l’alinéa 29, insérer les deux alinéas suivants : « 7° Il est complété par un alinéa ainsi rédigé : « Aucune carte ne peut permettre un retrait d’espèces sous la forme de crédit visée au présent article. »	L311-16 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsqu'il s'agit d'une ouverture de crédit qui, assortie ou non de l'usage d'une carte de crédi […] ‖ avant, 2011-05-01 : Lorsqu'il s'agit d'une ouverture de crédit qui, assortie ou non de l'usage d'une carte de crédit, offre à son bénéficiaire la possibilité de dispos […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000320.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 29 clôt le D. (L. 311-16, 6° nouveau) juste avant le E. (L. 311-17) ; le 7° inséré, « au présent article », prolonge L. 311-16.	L'alinéa 29 clôt la liste 6° de l'instruction D sur L311-16 (avant l'instruction E sur L311-17 à l'alinéa 30) ; l'insertion prolonge cette même liste en 7°.		2026-09-26
faux	01331aa0b4021fb2	assemblee	33	Retiré	M. François Brottes	L311-47	3	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	14	ART. 14	II. – A. – Le chapitre Ier du titre Ier du livre III du même code est complété par un article L. 311-47 ainsi rédigé : « Art. L. 311-47. – Le prêteur qui accorde un crédit sans communiquer à l’empru	Après l’alinéa 5, insérer l’alinéa suivant : « La créance née de l’ouverture des opérations de crédit visées à l’article L. 311-2 est inopposable à la communauté, à l’indivision et au membre de la communauté ou de l’indivision qui ne l’a pas expressément acceptée dès lors que cette opération dépasse un montant fixé par décret. ».	L311-47 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose sans délai à l'emprunteur un autre type d'opération de crédit au sens de l'article L. 311-2, dans les conditions régies par le présent chapitre.	https://www.assemblee-nationale.fr/13/amendements/2150/215000033.asp	juste		opus-arbitre (arbitrage)	sonnet-juge-b		Remplace « juste » (sonnet-juge-a), jugé sur le numéro écrit. Le texte écrit sous « Art. L311-47 » ce que la loi a promulgué sous L311-48 ; l'article L311-47 du fonds porte une autre disposition. On juge contre le fonds (docs/55 § 2) : faux ; la base rattache désormais l'amendement à L311-48 (docs/58).	L'alinéa 5 est une phrase du texte cité de l'article L. 311-47 (instruction A), et l'insertion se place avant l'alinéa 6 qui clôt le même article.		2026-09-26
juste	036179842f0510ed	assemblee	49	Adopté	M. Philippe Gosselin	L215-3-2	1	sans visée	alinea	assemblee/13-projets-pl0175.asp	44	ART. 44	e 44 (nouveau) Après l’article L. 215-3-1 du code de la consommation, il est inséré un article L. 215-3-2 ainsi rédigé : « Art. L. 215-3-2 – Les services et établissements de l’État et des autres coll	Après les mots : « aux agents de la direction générale », rédiger ainsi la fin de l’alinéa 2 de cet article : « de la concurrence, de la consommation et de la répression des fraudes et aux officiers et agents de police judiciaire tous les renseignements et documents en leur possession qui peuvent s’avérer utiles à la lutte contre la contrefaçon, à l’exception de ceux qu’ils ont recueillis ou échangés en application d […]	L215-3-2 (2007-10-30) — écrit par la loi du dossier, 2007-10-30 : Les services et établissements de l'Etat et des autres collectivités publiques sont tenus de communiquer aux agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes et aux officiers et agents de police judici […]	https://www.assemblee-nationale.fr/13/amendements/0175/017500049.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 44 n'écrit que L. 215-3-2 (Art. L. 215-3-2 en tête d'alinéa 2), et l'alinéa 2 porte bien « aux agents de la direction générale » cité par le dispositif.	L'alinéa 2 est le corps de l'article L. 215-3-2 créé par l'unique instruction de l'article 44.		2026-09-26
juste	038ae094bed457cb	assemblee	118 rect.	Adopté	M. François Loos	L331-3-1	6	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	21	ART. 21	tation du dossier sont susceptibles de recours devant le juge de l’exécution. » ; 3° L’article L. 331-3-1 est ainsi rédigé : « Art. L. 331-3-1. – La décision déclarant la recevabilité de la demande em	I. – À l’alinéa 21, après la deuxième occurrence du mot : « suspension », insérer les mots : « ou à l’interdiction ». II. – En conséquence, au même alinéa, après les mots : « nées antérieurement », insérer les mots : « à la suspension ou à l’interdiction ».	L331-3-1 (2007-03-06) — écrit par la loi du dossier, 2010-11-01 : La décision déclarant la recevabilité de la demande emporte suspension et interdiction des pro […] ‖ avant, 2007-03-06 : La saisine du juge aux fins de rétablissement personnel emporte suspension des voies d'exécution, y compris des mesures d'expulsion du logement du  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000118.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 21 est sous « 3° L'article L. 331-3-1 est ainsi rédigé » (alinéa 19) et avant l'alinéa 24 (4°) ; « suspension » y figure bien deux fois.	L'alinéa 21 contient bien deux occurrences de « suspension » et deux « nées antérieurement », l'une déjà suivie de « à la suspension », l'autre non : le dispositif complète exactement celle-là, sous l'instruction L331-3-1.		2026-09-26
juste	04baba66189f25c2	assemblee	183	Non soutenu	M. Jean-Pierre Decool	L311-5	2	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	2	ART. 2	os et par mois, et précise que ce montant s’ajoute à l’échéance de remboursement du crédit. « Art. L. 311-5. – Dans toute publicité écrite, quel que soit le support utilisé, les informations relative	À la dernière phrase de l’alinéa 17, après le mot : « vérifiez », insérer les mots : « votre solvabilité et ».	L311-5 (1993-07-27) — écrit par la loi du dossier, 2010-09-01 : Dans toute publicité écrite, quel que soit le support utilisé, les informations relatives au tau […] ‖ avant, 2006-01-06 : Toute publicité relative aux opérations visées à l'article L. 311-2 proposant une période de franchise de paiement de loyers ou de remboursement de […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000183.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 17 (« Vérifiez… ») clôt l'Art. L. 311-5 ouvert à l'alinéa 14, dernière phrase visée par le dispositif.	L'alinéa 17 (« Vérifiez vos capacités de remboursement ») relève de l'instruction sur L. 311-5, seule à courir jusqu'à la fin de l'article 2.		2026-09-26
juste	055c555e7c498467	assemblee	68	Adopté	M. François Loos	L311-42	5	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	12	ART. 12	omplété par une section 10 ainsi rédigée : « Section 10 « Opérations de découvert en compte « Art. L. 311-42. – Pour l’application du présent chapitre, seuls les 1° à 3° de l’article L. 311-4 et les a	Rédiger ainsi l’alinéa 5 : « Lorsque le contrat de crédit prévoit un délai de remboursement supérieur à trois mois, l’intégralité du présent chapitre lui est applicable. ».	L311-42 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Pour l'application du présent chapitre, seuls les 1° à 3° de l'article L. 311-4 et les articles L. 311-9, L. 311-10, L. 311-23, L. 311-24, L. 311-30 à L. 311-33, L. 311-38, L. 311-43, L. 311-44 et L. 311-48 à L. 311-52 s'appliquent aux opérations de crédi […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000068.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 5 est la deuxième phrase de l'Art. L. 311-42 (alinéa 4), rédigé en entier par le dispositif comme l'alinéa le porte.	L'alinéa 5 (« Lorsque les autorisations de découvert se prolongent... ») est la deuxième phrase du texte cité de L. 311-42, seule instruction en cours à ce rang.		2026-09-26
juste	062a99dfbfd6b303	assemblee	144	Rejeté	M. François Sauvadet	L332-5	6	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	26	ART. 26	ée : « De la procédure de rétablissement personnel avec liquidation judiciaire » ; 1° L’article L. 332-5 est ainsi rédigé : « Art. L. 332-5. – Lorsque la commission recommande un rétablissement person	À la première phrase de l’alinéa 5, substituer aux mots : « mentionnées à l'article L. 333-1-2 » les mots : « contractées auprès d'un membre de sa famille en ligne directe, de celles correspondant au loyer dû à un bailleur privé, personne physique ».	L332-5 (2003-08-02) — écrit par la loi du dossier, 2010-11-01 : Lorsque la commission recommande un rétablissement personnel sans liquidation judiciaire et en l […] ‖ avant, 2003-08-02 : A l'occasion des recours exercés devant le juge de l'exécution pour contester les décisions de la commission en matière d'orientation du dossier ou […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000144.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 5 contient mot pour mot « mentionnées à l'article L. 333-1-2 », et relève du « 1° L'article L. 332-5 est ainsi rédigé » (alinéa 3).	L'alinéa 5 contient bien « mentionnées à l'article L. 333-1-2 », et relève du texte cité de L. 332-5 (instruction 1°).		2026-09-26
juste	06497f44d77524b4	assemblee	1667		M. Bertrand Pancher	L121-35	1	sans visée	alinea	assemblee/13-ta-commission-r2449-a0.asp	105	ART. 105	icles 103 et 104 (Suppression maintenue) Article 105 (nouveau) Le deuxième alinéa de l’article L. 121-35 du code de la consommation est complété par trois phrases ainsi rédigées : « Dans le cas où ce	À la dernière phrase de l’alinéa 2, supprimer les mots : « modalités de ».	L121-35 (1993-07-27) — écrit par la loi du dossier, 2010-07-14 : Est interdite toute vente ou offre de vente de produits ou de biens ou toute prestation ou offr […] ‖ avant, 2010-07-03 : Est interdite toute vente ou offre de vente de produits ou de biens ou toute prestation ou offre de prestation de services faite aux consommateurs  […]	https://www.assemblee-nationale.fr/13/amendements/2449/244901667.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article 105 complète le deuxième alinéa de L. 121-35 par trois phrases ; l'alinéa 2 en est la troisième, et sa dernière phrase commence bien par « Les modalités de ».	L'article 105 ne porte qu'une instruction, sur L. 121-35 ; l'alinéa 2 est le texte inséré qu'elle gouverne.		2026-09-26
juste	064b72ade6a0e01e	assemblee	160	Retiré	Mme Cécile Gallez	L331-3	6	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	21	ART. 21	es à l’article L. 331-7 ou les recommandations prévues à l’article L. 331-7-1. » ; 2° L’article L. 331-3 est ainsi rédigé : « Art. L. 331-3. – I. – La procédure est engagée devant la commission à la d	Compléter l’alinéa 7 par la phrase suivante : « La condition de la bonne foi du débiteur prévue au premier alinéa de l'article L. 330-1 du code de la consommation est supprimée. »	L331-3 (1993-07-27) — écrit par la loi du dossier, 2010-11-01 : I.-La procédure est engagée devant la commission à la demande du débiteur, qui lui déclare les é […] ‖ avant, 2010-11-01 : I.-La procédure est engagée devant la commission à la demande du débiteur, qui lui déclare les éléments actifs et passifs de son patrimoine. La com […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000160.asp	juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 7 est dans le I. de l'Art. L. 331-3 (alinéa 6), qui court jusqu'à l'alinéa 18 ; la phrase ajoutée ne fait que citer L. 330-1.	L'alinéa 7 (délai de trois mois, orientation du dossier) est du texte cité de L. 331-3, seule instruction courant sur ce rang.		2026-09-26
faux	06f34623524ff9c4	assemblee	31	Rejeté	M. Jean Gaubert	L311-47	3	sans visée	alinea	assemblee/13-ta-commission-r2150-a0.asp	14	ART. 14	II. – A. – Le chapitre Ier du titre Ier du livre III du même code est complété par un article L. 311-47 ainsi rédigé : « Art. L. 311-47. – Le prêteur qui accorde un crédit sans communiquer à l’empru	Après la référence : « L. 311-8, », rédiger ainsi la fin de l’alinéa 4 : « L. 311-8-1, L. 311-9 et L. 311-10, il ne peut exercer de procédure de recouvrement à l’encontre de l’emprunteur défaillant, ou de toute personne physique ou morale s’étant portée caution, sauf si l’emprunteur a, en connaissance de cause, fait des fausses déclarations ou remis des documents inexacts en vue d’obtenir un crédit. ».	L311-47 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Lorsque le dépassement se prolonge au-delà de trois mois, le prêteur propose sans délai à l'emprunteur un autre type d'opération de crédit au sens de l'article L. 311-2, dans les conditions régies par le présent chapitre.	https://www.assemblee-nationale.fr/13/amendements/2150/215000031.asp	juste		opus-arbitre (arbitrage)	sonnet-juge-b		Remplace « juste » (sonnet-juge-a), jugé sur le numéro écrit. Le texte écrit sous « Art. L311-47 » ce que la loi a promulgué sous L311-48 ; l'article L311-47 du fonds porte une autre disposition. On juge contre le fonds (docs/55 § 2) : faux ; la base rattache désormais l'amendement à L311-48 (docs/58).	L'alinéa 4 contient bien « L. 311-8, » suivi du texte à réécrire, dans le corps cité de L. 311-47.		2026-09-26
