verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	22fe4764fc83e93f	assemblee	1541	Non soutenu	M. Philippe Tourtelier	L112-10	3	oui	visee	assemblee/13-ta-commission-r2449-a0.asp	85	ART. 85	on est ainsi modifié : 1° Le chapitre II du titre Ier du livre Ier est complété par un article L. 112-10 ainsi rédigé : « Art. L. 112-10. – À partir du 1er juillet 2011, et après concertation avec l’	Rédiger ainsi l’alinéa 3 : « Art. L. 112-10. – À partir du 1 er janvier 2011, le consommateur doit être informé, par voie de marquage, d’étiquetage, d’affichage ou par tout autre procédé approprié du contenu en équivalent carbone des produits et de leur emballage. »	L112-10 (2010-07-14) — écrit par la loi du dossier, 2010-07-14 : A partir du 1er juillet 2011, et après concertation avec l'ensemble des acteurs des filières concernées, une expérimentation est menée, pour une durée minimale d'une année, afin d'informer progressivement le consommateur par tout procédé approprié du cont […]	https://www.assemblee-nationale.fr/13/amendements/2449/244901541.asp	juste		sonnet-juge-a	sonnet-juge-b		Rédiger ainsi l'alinéa 3 : « Art. L. 112-10. – ... » nomme et réécrit L112-10 en toutes lettres.	L'alinéa 3 réécrit est le texte même de « Art. L. 112-10 » créé par l'article 85.		2026-09-26
juste	32255c0f3653af37	assemblee	321	Retiré	M. Jean Dionis du Séjour	L311-34	9	oui, par renumérotation	visee	assemblee/13-ta-commission-r2150-a0.asp	10	ART. 10	mprunteur et la » sont remplacés par les mots : « du contrat de crédit et le ». C. – L’article L. 311-34 du même code, tel qu’il résulte de l’article 1er B de la présente loi, est ainsi modifié : 1°	I. – Après l’alinéa 9, insérer les six alinéas suivants : « 3° Il est complété par cinq alinéas ainsi rédigés : « Ces contrats doivent obligatoirement comporter trois rubriques au choix pour l’acquéreur : « – paiement comptant, « – paiement à crédit offert par le vendeur ou le prestataire, « – paiement à crédit proposé par un autre établissement. « L’acheteur doit cocher la case correspondant au mode de financement d […]	L311-34 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Chaque fois que le paiement du prix sera acquitté, en tout ou partie, à l'aide d'un crédit, et  […] ‖ avant, 1994-03-01 : Le prêteur qui omet de respecter les formalités prescrites aux articles L. 311-8 à L. 311-13 et de prévoir un formulaire détachable dans l'offre de […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000321.asp	juste		sonnet-juge-a	sonnet-juge-b		Le II. cite « l'article L. 311-34 » et le I. insère un 3° dans le point C. du texte, qui modifie déjà L. 311-34 selon la fenêtre ; nommé et modifié malgré la renumérotation ultérieure en L.311-48.	L'amendement complet (fetché) insère un « 3° » juste après l'alinéa 9, dans la continuation du point C qui modifie L. 311-34 ; la mention de L. 311-34 en partie II ne fait que citer cet article dans l'ajout à L. 311-49.		2026-09-26
juste	486d25d18e874394	assemblee	1477	Non soutenu	M. Gérard Charasse	L112-10	3	oui	visee	assemblee/13-ta-commission-r2449-a0.asp	85	ART. 85	on est ainsi modifié : 1° Le chapitre II du titre Ier du livre Ier est complété par un article L. 112-10 ainsi rédigé : « Art. L. 112-10. – À partir du 1er juillet 2011, et après concertation avec l’	Substituer aux alinéas 3 à 7 les six alinéas suivants : « Art. L. 112-10. – À partir du 1 er juillet 2011, et après concertation avec l'ensemble des acteurs concernés, une expérimentation est menée, pour une durée minimale d'une année, afin d'informer progressivement le consommateur par tout procédé approprié, du contenu en équivalent carbone des produits et de leur emballage ainsi que de la consommation de ressource […]	L112-10 (2010-07-14) — écrit par la loi du dossier, 2010-07-14 : A partir du 1er juillet 2011, et après concertation avec l'ensemble des acteurs des filières concernées, une expérimentation est menée, pour une durée minimale d'une année, afin d'informer progressivement le consommateur par tout procédé approprié du cont […]	https://www.assemblee-nationale.fr/13/amendements/2449/244901477.asp	juste		sonnet-juge-a	sonnet-juge-b		« Substituer aux alinéas 3 à 7 ... « Art. L. 112-10. – ... »» nomme et réécrit L112-10.	Substitue aux alinéas 3 à 7 un nouveau texte qui commence par « Art. L. 112-10 », soit l'article créé par l'article 85.		2026-09-26
juste	56c404945f3e5e4a	assemblee	197	Non soutenu	M. Éric Straumann	L311-17	8	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	5	ART. 5	e l’article 1154 du code civil. » E. – L’article L. 311-17 du même code est ainsi rétabli : « Art. L. 311-17. – Lorsque le crédit renouvelable mentionné à l’article L. 311-16 est assorti de l’usage d’	Substituer aux alinéas 31 à 33 l’alinéa suivant : « Art. L. 311-17. – Lorsque le crédit renouvelable mentionné à l’article L. 311-16, assorti de l’usage d’une carte ouvrant droit à des avantages commerciaux et promotionnels, est proposé au consommateur, le bénéfice de ces avantages ne peut être subordonné à l’utilisation à crédit de la carte. Dans ce cas, le prêteur ou l’intermédiaire de crédit a l’obligation de prop […]	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000197.asp	juste		sonnet-juge-a	sonnet-juge-b		« Substituer aux alinéas 31 à 33 ... « Art. L. 311-17. – ... »» réécrit l'article rétabli par le E. du texte, qui est L311-17.	Substitue aux alinéas 31 à 33 un alinéa commençant par « Art. L. 311-17 », l'article rétabli au point E.		2026-09-26
juste	59a0d3bd753ec470	assemblee	293	Non soutenu	(non résolu)	L311-17	8	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	5	ART. 5	e l’article 1154 du code civil. » E. – L’article L. 311-17 du même code est ainsi rétabli : « Art. L. 311-17. – Lorsque le crédit renouvelable mentionné à l’article L. 311-16 est assorti de l’usage d’	Substituer aux alinéas 31 à 36 l’alinéa suivant : « Art. L. 311-17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000293.asp	juste		sonnet-juge-a	sonnet-juge-b		Même formule que les autres amendements sur l'article 5 : nomme et réécrit L311-17 rétabli par le E.	Substitue aux alinéas 31 à 36 un alinéa commençant par « Art. L. 311-17 ».		2026-09-26
juste	61f0770323c4808a	assemblee	317	Non soutenu	M. Jean Dionis du Séjour	L311-17	8	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	5	ART. 5	e l’article 1154 du code civil. » E. – L’article L. 311-17 du même code est ainsi rétabli : « Art. L. 311-17. – Lorsque le crédit renouvelable mentionné à l’article L. 311-16 est assorti de l’usage d’	Substituer aux alinéas 31 à 36 l’alinéa suivant : « Art. L. 311-17. – Aucun crédit renouvelable ne peut être associé à une carte ouvrant droit à des avantages commerciaux et promotionnels ou à une carte de paiement. »	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000317.asp	juste		sonnet-juge-a	sonnet-juge-b		Dispositif identique à 59a0d3bd753ec470 : nomme et réécrit L311-17 rétabli par le E.	Même dispositif que l'amendement 293 : substitue aux alinéas 31 à 36 le texte de « Art. L. 311-17 ».		2026-09-26
juste	65b8c6366cb562b6	assemblee	335	Rejeté	M. Lionel Tardy	L311-17	8	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	5	ART. 5	e l’article 1154 du code civil. » E. – L’article L. 311-17 du même code est ainsi rétabli : « Art. L. 311-17. – Lorsque le crédit renouvelable mentionné à l’article L. 311-16 est assorti de l’usage d’	Substituer aux alinéas 31 à 33 l’alinéa suivant : « Art. L. 311-17. – Une carte ouvrant droit à des avantages commerciaux et promotionnels ne peut être assortie d'un crédit renouvelable. »	L311-17 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Lorsque le crédit renouvelable mentionné à l'article L. 311-16 est assorti de l'usage d'une car […] ‖ avant, 1993-07-27 : Tant que l'opération n'est pas définitivement conclue, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000335.asp	juste		sonnet-juge-a	sonnet-juge-b		« Substituer aux alinéas 31 à 33 ... « Art. L. 311-17. – ... »» nomme et réécrit L311-17 rétabli par le E.	Substitue aux alinéas 31 à 33 un alinéa commençant par « Art. L. 311-17 ».		2026-09-26
juste	747930ba4d624422	assemblee	210	Non soutenu	M. Louis Guédon	L311-22-2	7	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	7	ART. 7	avec option d’achat. » B ter (nouveau). – Après l’article L. 311-22, il est inséré un article L. 311-22-2 ainsi rédigé : « Art. L. 311-22-2. – Dès le premier manquement de l’emprunteur à son obligati	Rédiger ainsi le début de l’alinéa 17 : « Art. L. 311-22-2. – En cas de manquement de l’emprunteur à son obligation de rembourser risquant d’entraîner la perte de la couverture assurantielle, le prêteur est tenu… (le reste sans changement) ».	L311-22-2 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Dès le premier manquement de l'emprunteur à son obligation de rembourser, le prêteur est tenu d'informer celui-ci des risques qu'il encourt au titre des articles L. 311-24 et L. 311-25 du présent code ainsi que, le cas échéant, au titre de l'article L.  […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000210.asp	juste		sonnet-juge-a	sonnet-juge-b		« Rédiger ainsi le début de l'alinéa 17 : « Art. L. 311-22-2. – ... »» vise l'article inséré lui-même, pas l'ancre « après l'article L. 311-22 ».	Rédige le début de l'alinéa 17, qui est le texte de « Art. L. 311-22-2 » créé ; l'ancre L. 311-22 n'est pas la cible modifiée.		2026-09-26
juste	75d1dcbf66a17751	assemblee	16	Rejeté	M. Jean Gaubert	L311-9-1	23	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	1er b	ART. PREMIER B	cles L. 311-28 et L. 311-29 ; 2° L’article L. 311-9 devient l’article L. 311-16 ; 3° L’article L. 311-9-1 devient l’article L. 311-26 ; 4° L’article L. 311-12 devient l’article L. 311-19 ; 5° L’articl	Substituer aux alinéas 3 et 4 l’alinéa suivant : « 2° Les articles L. 311-9 et L. 311-9-1 sont abrogés. ».	L311-9-1 (2003-08-02) — en vigueur à la loi du dossier, 2005-07-28 : S'agissant de l'opération de crédit visée à l'article L. 311-9, le prêteur est tenu d'adresser à l'emprunteur, mensuellement et dans un délai raisonnable avant la date de paiement, un état actualisé de l'exécution du contrat de crédit, faisant clairem […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000016.asp	juste		sonnet-juge-a	sonnet-juge-b		Le dispositif remplace la clause « L'article L. 311-9-1 devient l'article L. 311-26 » par « ... L. 311-9-1 sont abrogés » ; aucune autre entrée du tableau de renumérotation ne fait converger un autre article vers L.311-9-1, la cible est sans ambiguïté.	Substitue « les articles L. 311-9 et L. 311-9-1 sont abrogés », confirmé par l'exposé sommaire (interdire le crédit renouvelable) : abrogation, non simple renumérotation.		2026-09-26
juste	aa3e9f7a7f2d61a0	assemblee	153	Retiré avant séance	Mme Laure de La Raudière	L311-10-1	6	oui	visee	assemblee/13-ta-commission-r2150-a0.asp	4	ART. 4	bonne foi. » E (nouveau). – Après l’article L. 311-10 du même code, il est inséré un article L. 311-10-1 ainsi rédigé : « Art. L. 311-10-1. – Lorsque la conclusion d’une opération mentionnée à l’art	Rédiger ainsi l’alinéa 13 : « Art. L. 311-10-1. – Le prix facial d'un bien ou d'une prestation de services ne peut faire l'objet d'une remise spécifique liée à la souscription d'un crédit. »	L311-10-1 (2011-05-01) — écrit par la loi du dossier, 2011-05-01 : Lorsque la conclusion d'une opération mentionnée à l'article L. 311-2 donne droit, ou peut donner droit, à titre gratuit, immédiatement ou à terme, à une prime en nature de produits ou biens, la valeur de cette prime ne peut être supérieure à un seuil f […]	https://www.assemblee-nationale.fr/13/amendements/2150/215000153.asp	juste		sonnet-juge-a	sonnet-juge-b		« Rédiger ainsi l'alinéa 13 : « Art. L. 311-10-1. – ... »» vise l'article inséré lui-même, pas l'ancre « après l'article L. 311-10 ».	Rédige l'alinéa 13, texte de « Art. L. 311-10-1 » créé ; l'ancre L. 311-10 n'est pas la cible.		2026-09-26
