verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	000ffae57eb3ae88	assemblee	241	Tombé	M. Vincent Thiébaut	L217-23	1	sans visée	alinea	assemblee/15-ta-commission-r4196-a0.asp	9	ART. 9	ifié) Le I du présent article entre en vigueur le 1er janvier 2022. Article 9 I. – L’article L. 217-23 du code de la consommation est ainsi modifié : 1° (nouveau) À la première phrase, après le mot	À l’alinéa 5, substituer aux mots : « cette période », les mots : « la période mentionnée au premier alinéa ».	L217-23 (2020-02-12) — écrit par la loi du dossier, 2021-11-17 : I.-Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant un […] ‖ avant, 2021-10-01 : Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant une période donnée, supérieure à deux ans (ci-après dénom […]		juste		sonnet-juge-a	sonnet-juge-b		Alinéa 5 (« cette période ») est sous le 3° (nouveau) qui prolonge « I. – L'article L. 217-23 est ainsi modifié », seule instruction de l'article 9.	L'alinéa 5 (« Au cours de cette période... ») est bien sous l'instruction I qui réécrit L217-23, et « cette période » y figure.		2026-09-26
juste	002c349765eaf1c3	assemblee	488	Rejeté	M. Jimmy Pahun	L412-4	1	sans visée	alinea	assemblee/15-ta-commission-r4266-a0.asp	4	ART. 4	règlement (CE) n° 608/2004 de la Commission ne sont pas d’origine France. » Article 4 L’article L. 412-4 du code de la consommation est ainsi modifié : 1° Le premier alinéa est complété par les mots :	Après l’alinéa 5, insérer les deux alinéas suivants : « 3° bis Après l’avant-dernier alinéa, il est inséré un alinéa ainsi rédigé : « Pour les produits de la pêche capturés en mer, l’indication de l’État du pavillon du navire ayant réalisé la capture est obligatoire. »	L412-4 (2016-07-01) — écrit par la loi du dossier, 2022-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denr […] ‖ avant, 2021-01-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine es […]		juste		sonnet-juge-a	sonnet-juge-b		Le 3° bis inséré après l'alinéa 5 ne nomme aucun autre article ni division ; il ajoute un alinéa de plus à L412-4, seule cible de l'article 4.	Les alinéas 5-6 (« 3° À l'avant-dernier alinéa »… « 4° Le dernier alinéa… ») relèvent de l'instruction unique qui modifie L412-4, et l'insertion (3° bis) continue cette même instruction.		2026-09-26
juste	00b3cf1d5eb87d25	assemblee	366	Non soutenu	Mme Marie-France Lorho	L412-4	1	sans visée	alinea	assemblee/15-ta-commission-r4266-a0.asp	4	ART. 4	règlement (CE) n° 608/2004 de la Commission ne sont pas d’origine France. » Article 4 L’article L. 412-4 du code de la consommation est ainsi modifié : 1° Le premier alinéa est complété par les mots :	Supprimer l’alinéa 2.	L412-4 (2016-07-01) — écrit par la loi du dossier, 2022-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denr […] ‖ avant, 2021-01-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine es […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 2 supprimé est le 1° lui-même, sous l'unique instruction « L'article L. 412-4 est ainsi modifié ».	L'alinéa 2 (« 1° Le premier alinéa est complété par les mots… ») est sous l'instruction unique qui réécrit L412-4.		2026-09-26
juste	00d17d5c9e3406a8	assemblee	2325	Adopté	Mme Graziella Melchior	L217-9	1	sans visée	alinea	assemblee/15-ta-commission-r2454-a0.asp	4 bis ba	ART. 4 BIS BA	re II du titre II du livre V. » Article 4 bis A (Supprimé) Article 4 bis BA (nouveau) L’article L. 217-9 du code de la consommation est complété par deux alinéas ainsi rédigés : « La garantie légale d	I. – Supprimer l’alinéa 2. II. – En conséquence, compléter cet article par l’alinéa suivant : « Dès lors que le consommateur fait le choix de la réparation mais que celle-ci n’est pas mise en œuvre par le vendeur, le consommateur peut demander le remplacement du bien qui s’accompagne dans ce cas d’un renouvellement de la garantie légale de conformité. Cette disposition s’applique soit à l’expiration du délai d’un moi […]	L217-9 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : En cas de défaut de conformité, l'acheteur choisit entre la réparation et le remplacement du bien. Toutefois, le vendeur peut ne pas procéder selon le choix de l'acheteur si ce choix entraîne un coût manifestement disproportionné au regard de l'autre mo […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 4 bis BA ne porte qu'une seule instruction, « L'article L. 217-9 est complété par deux alinéas », qui gouverne l'alinéa 2 supprimé.	L'article 4 bis ba ne modifie que L217-9 d'un bout à l'autre (une seule instruction) ; l'alinéa 2 visé y tombe quel que soit le décalage de comptage sur ce texte.		2026-09-26
juste	02343552326efe54	assemblee	48	Rejeté	Mme Paula Forteza	L441-6	1	sans visée	alinea	assemblee/15-ta-commission-r4196-a0.asp	7 ter	ART. 7 TER	chapitre unique du titre IV du livre IV du code de la consommation est complété par un article L. 441-6 ainsi rédigé : « Art. L. 441-6. – Toute technique, y compris logicielle, dont l’objet est de re	À l’alinéa 2, supprimer les mots : « , à l’issue du délai prévu à l’article L. 217‑12, ».	L441-6 (2021-11-17) — écrit par la loi du dossier, 2021-11-17 : Toute technique, y compris logicielle, dont l'objet est de restreindre la liberté du consommateur d'installer les logiciels ou les systèmes d'exploitation de son choix sur son terminal, à l'issue du délai prévu à l'article L. 217-12, est interdite, sauf si […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 2 est le texte cité de L441-6 lui-même, sous l'instruction qui le crée.	L'alinéa 2 est le corps de « Art. L. 441-6. – … » que l'article crée, seule instruction de l'article.		2026-09-26
juste	03a7174d2d541650	assemblee	243	Tombé	M. Vincent Thiébaut	L217-24	1	sans visée	alinea	assemblee/15-ta-commission-r4196-a0.asp	10	ART. 10	chapitre VII du titre Ier du livre II du code de la consommation est complétée par un article L. 217-24 ainsi rédigé : « Art. L. 217-24. – Pour les biens comportant des éléments numériques, le vende	Compléter la première phrase de l’alinéa 2 par les mots : « , si la mise à jour a une incidence négative sur son accès ou son utilisation du contenu numérique ou du service numérique ».	L217-24 (2021-10-01) — en vigueur à la loi du dossier, 2021-10-01 : I.-Tout professionnel opérant dans un secteur économique mentionné au III du présent article peut demander à l'autorité administrative chargée de la concurrence et de la consommation de prendre formellement position sur la conformité aux articles L. 21 […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 2 est l'article L217-24 cité, sous l'instruction qui le crée à l'article 10.	L'alinéa 2 est le corps de « Art. L. 217-24. – … » que l'article crée, seule instruction de l'article.		2026-09-26
juste	06631bc40ea152d9	assemblee	27	Adopté	M. Christophe Naegelen	L224-51	1	sans visée	alinea	assemblee/15-propositions-pion1284.asp	6	ART. 6	it à Bloctel, et ce jusqu’à six mois après l’exécution du dernier contrat. Article 6 L’article L. 224-51 du code de la consommation est complété par sept alinéas ainsi rédigés : « Ce dispositif perme	À la fin de l’alinéa 4, substituer aux mots : « ce numéro », les mots : « le fournisseur de produit ou de service à valeur ajoutée auquel ce numéro est affecté ».	L224-51 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose aux consommateurs avec lesquels il est en relation contractuelle un dispositif leur permettant de sig […]		juste		sonnet-juge-a	sonnet-juge-b		« ce numéro » clôt l'alinéa 4, sous l'unique instruction de l'article 6, « L'article L. 224-51 est complété par sept alinéas ».	L'alinéa 4 (« 1° Il a la possibilité de couper le numéro… ») est sous l'unique instruction qui complète L224-51 ; « ce numéro » s'y trouve en fin de ligne comme le dit le dispositif.		2026-09-26
juste	0850e9112a3752a4	assemblee	251	Adopté	M. Vincent Thiébaut	L441-4	2	sans visée	alinea	assemblee/15-ta-commission-r4196-a0.asp	14 bis aa	ART. 14 BIS AA	e mot : « professionnels », sont insérés les mots : « , aux reconditionneurs » ; 2° À l’article L. 441-4, après la première occurrence du mot : « réparation », sont insérés les mots : « , du réemploi	À l’alinéa 5, substituer au mot : « et », le mot : « ou ».	L441-4 (2020-02-12) — écrit par la loi du dossier, 2021-11-17 : Tout accord ou pratique ayant pour objet de limiter l'accès d'un professionnel de la réparation, […] ‖ avant, 2020-02-12 : Tout accord ou pratique ayant pour objet de limiter l'accès d'un professionnel de la réparation aux pièces détachées, modes d'emploi, informations  […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa 5 est le 2° lui-même, « À l'article L. 441-4, ... sont insérés les mots », qui contient le mot « et » substitué.	L'alinéa 5 est lui-même l'instruction « 2° À l'article L. 441-4… » qui insère « , du réemploi et de la réutilisation » : le mot « et » substitué y est unique, comptage sans ambiguïté (5 lignes nettes, aucun repli).		2026-09-26
juste	0e0cee08e53560c3	assemblee	4	Rejeté	M. Jean-Michel Jacques	L412-4	1	sans visée	alinea	assemblee/15-propositions-pion1786.asp	1er	ART. PREMIER	l et de la pêche maritime. proposition de loi Article 1er Après le premier alinéa de l’article L. 412-4 du code de la consommation, il est inséré un alinéa ainsi rédigé : « Pour le miel composé d’un	Après l’alinéa 2, insérer l’alinéa suivant : « Pour la farine de blé noir composée d’un mélange de sarrasins en provenance de plus d’un État membre de l’Union Européenne ou d’un pays tiers, tous les pays d’origine de la récolte sont indiqués sur l’étiquette. »	L412-4 (2016-07-01) — écrit par la loi du dossier, 2021-01-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denr […] ‖ avant, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine es […]		juste		sonnet-juge-a	sonnet-juge-b		L'alinéa inséré après l'alinéa 2 ne nomme aucun article ni division ; il prolonge l'unique instruction insérant un alinéa dans L412-4.	L'article 1er n'a qu'une instruction, l'insertion sur L412-4 ; l'ajout après l'alinéa 2 prolonge cette même insertion.		2026-09-26
juste	0f39a573ed6abdec	assemblee	1003	Adopté	Mme Coralie Dubost	L224-12	1	sans visée	alinea	assemblee/15-ta-commission-r1761-a0.asp	63 bis a	ART. 63 BIS A	sitions du 2° du V sont applicables dans les îles Wallis et Futuna. Article 63 bis A L’article L. 224-12 du code de la consommation est ainsi modifié : 1° Après le premier alinéa, sont insérés cinq a	À l’alinéa 7, substituer aux mots : « la connaissance du client », Les mots : « sa connaissance ».	L224-12 (2016-07-01) — écrit par la loi du dossier, 2019-05-24 : Les factures de fourniture d'électricité et de gaz naturel sont présentées dans les conditions  […] ‖ avant, 2016-07-01 : Les factures de fourniture d'électricité et de gaz naturel sont présentées dans les conditions fixées par un arrêté du ministre chargé de la consom […]		juste		sonnet-juge-a	sonnet-juge-b		« la connaissance du client » clôt l'alinéa 7, sous l'unique instruction de l'article, « L'article L. 224-12 est ainsi modifié ».	L'alinéa 7 relève du seul « 1° » qui insère cinq alinéas sur L224-12, et « à la connaissance du client » s'y trouve tel que cité.		2026-09-26
