verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0eb9c7fcca719dc9	assemblee	5		M. Julien Dive	L412-12	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de		L412-12 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiqu […]		juste		sonnet-juge-a	sonnet-juge-b		Sans dispositif publié (irrecevable) ; l'article 5 bis du texte ne crée que L. 412-10, devenu L412-12 sous la loi, contenu conforme.	L'article 5 bis du texte (JORFDOLE000039451785) ne crée que l'article devenu L412-12 au fond ; le numéro écrit (L412-10) diffère mais le contenu concorde.		2026-09-26
juste	106f5799b5027b08	assemblee	1		M. Fabien Di Filippo	L412-12	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de		L412-12 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiqu […]		juste		sonnet-juge-a	sonnet-juge-b		Sans dispositif publié (irrecevable) ; même article 5 bis, qui ne crée que L. 412-10 devenu L412-12.	Même article 5 bis, qui n'écrit que le passage devenu L412-12 au fond.		2026-09-26
juste	49b2dbd4ec35d238	assemblee	8		M. Julien Dive	L412-12	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de		L412-12 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiqu […]		juste		sonnet-juge-a	sonnet-juge-b		Sans dispositif publié (irrecevable) ; même article 5 bis, qui ne crée que L. 412-10 devenu L412-12.	Même article 5 bis, qui n'écrit que le passage devenu L412-12 au fond.		2026-09-26
juste	58ec47913bcab5a6	assemblee	135	Non soutenu	M. Jean-François Eliaou	L122-21-1	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11 bis	ART. 11 BIS	en vigueur le 1er janvier 2022.           – 7 – Article 11 bis (nouveau) L’article L. 122-21-1 du code de la consommation est complété par une phrase ainsi rédigée : « Pour les biens compo	Supprimer cet article.	L122-21-1 (2020-02-12) — en vigueur à la loi du dossier, 2020-02-12 : Les conditions dans lesquelles un professionnel peut utiliser les termes “ reconditionné ” ou “ produit reconditionné ” sont fixées par décret en Conseil d'Etat.		juste		sonnet-juge-a	sonnet-juge-b		« Supprimer cet article » ; l'article 11 bis du texte (pion3730) ne complète que L122-21-1.	L'article 11 bis du texte (pion3730) ne complète que L122-21-1 par une phrase, sans toucher d'autre article.		2026-09-26
juste	5e38970885c49388	assemblee	86	Tombé	M. Bastien Lachaud	L217-12	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11	ART. 11	au). – Le I du présent article entre en vigueur le 1er janvier 2022. Article 11 I. – L’article L. 217-12 du code de la consommation est complété par un alinéa ainsi rédigé : « Ce délai est porté à ci	Rédiger ainsi cet article : « L’article L. 217‑12 du code de la consommation est ainsi rédigé : « Art. L. 217‑12 . – L’action résultant du défaut de conformité se prescrit par cinq ans à compter de la délivrance du bien. Ce délai est porté à dix ans si le bien concerné appartient aux catégories 1, 4, 8 ou 10 des équipements électroniques et électriques telles que définies par la directive 2002/96/CE du 27 janvier 200 […]	L217-12 (2016-07-01) — en vigueur à la loi du dossier, 2021-10-01 : Le vendeur peut ne pas procéder selon le choix opéré par le consommateur si la mise en conformité sollicitée est impossible ou entraîne des coûts disproportionnés au regard notamment : 1° De la valeur qu'aurait le bien en l'absence de défaut de conform […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complet en base montre un « Rédiger ainsi cet article » qui réécrit intégralement L217-12 sans toucher d'autre article.	« Rédiger ainsi cet article » réécrit l'article 11, qui ne porte que sur L217-12, et la nouvelle rédaction reste « Art. L. 217-12 ».		2026-09-26
juste	65a54395f09f7fd5	assemblee	1461	Adopté	Mme Delphine Batho	L412-4	1	sans visée	article_entier	assemblee/15-ta-commission-r0902-a0.asp	11 decies	ART. 11 DECIES	” dans leur dénomination de vente. » Article 11 decies (nouveau) Le premier alinéa de l’article L. 412-4 du code de la consommation est complété par une phrase ainsi rédigée : « Pour le miel composé d	Après le mot : « tiers, », insérer le mot : « tous ».	L412-4 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine est obligatoire pour les produits agricoles et alimentaires et les produits de la mer, à l'état brut ou tran […]		juste		sonnet-juge-a	sonnet-juge-b		Insère un mot dans l'article 11 decies, qui ne modifie que L412-4.	L'article 11 decies (r0902) n'écrit que L412-4 ; le mot inséré (« tous ») se situe dans la phrase même qui la modifie (« d'un pays tiers, [tous] les pays d'origine»).		2026-09-26
juste	67d9e75488110cf3	assemblee	222	Adopté	Mme Sandrine Le Feur	L122-21-1	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11 bis	ART. 11 BIS	en vigueur le 1er janvier 2022.           – 7 – Article 11 bis (nouveau) L’article L. 122-21-1 du code de la consommation est complété par une phrase ainsi rédigée : « Pour les biens compo	Supprimer cet article.	L122-21-1 (2020-02-12) — en vigueur à la loi du dossier, 2020-02-12 : Les conditions dans lesquelles un professionnel peut utiliser les termes “ reconditionné ” ou “ produit reconditionné ” sont fixées par décret en Conseil d'Etat.		juste		sonnet-juge-a	sonnet-juge-b		« Supprimer cet article » ; même article 11 bis ne touchant que L122-21-1.	L'article 11 bis du texte (pion3730) ne complète que L122-21-1 par une phrase, sans toucher d'autre article.		2026-09-26
juste	680f26153fb122f1	assemblee	3		M. Fabien Di Filippo	L412-12	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de		L412-12 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiqu […]		juste		sonnet-juge-a	sonnet-juge-b		Sans dispositif publié (irrecevable) ; même article 5 bis, qui ne crée que L. 412-10 devenu L412-12.	Même article 5 bis, qui n'écrit que le passage devenu L412-12 au fond.		2026-09-26
juste	76577988031cbab5	assemblee	146	Non soutenu	M. Pierre Cordier	L441-6	1	sans visée	article_entier	assemblee/15-ta-commission-r4196-a0.asp	7 ter	ART. 7 TER	chapitre unique du titre IV du livre IV du code de la consommation est complété par un article L. 441-6 ainsi rédigé : « Art. L. 441-6. – Toute technique, y compris logicielle, dont l’objet est de re	Supprimer cet article.	L441-6 (2021-11-17) — écrit par la loi du dossier, 2021-11-17 : Toute technique, y compris logicielle, dont l'objet est de restreindre la liberté du consommateur d'installer les logiciels ou les systèmes d'exploitation de son choix sur son terminal, à l'issue du délai prévu à l'article L. 217-12, est interdite, sauf si […]		juste		sonnet-juge-a	sonnet-juge-b		« Supprimer cet article » ; l'article 7 ter du texte (r4196) ne crée que L441-6.	L'article 7 ter (r4196) ne crée que L441-6, sans autre article ni code.		2026-09-26
juste	766530cd94f305f1	assemblee	142	Non soutenu	M. Pierre Cordier	L441-2	1	sans visée	article_entier	assemblee/15-ta-commission-r4196-a0.asp	6	ART. 6	ouvellement des terminaux Article 6 (Non modifié) Après le mot : « vie », la fin de l’article L. 441-2 du code de la consommation est supprimée. Article 7 (Non modifié) À l’article L. 441-2 du cod	Supprimer cet article.	L441-2 (2016-07-01) — écrit par la loi du dossier, 2021-11-17 : Est interdite la pratique de l'obsolescence programmée qui se définit par le recours à des techn […] ‖ avant, 2016-07-01 : Est interdite la pratique de l'obsolescence programmée qui se définit par le recours à des techniques par lesquelles le responsable de la mise sur  […]		juste		sonnet-juge-a	sonnet-juge-b		« Supprimer cet article » ; l'article 6 isolé (Non modifié) du texte ne modifie que L441-2, l'article 7 suivant étant distinct.	L'article 6 (r4196, non modifié depuis pion3730) ne modifie que L441-2.		2026-09-26
