verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
faux	00dd740cd9bf5da3	assemblee	3		M. Fabien Di Filippo	L412-10	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en		L412-10 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Les dénominations utilisées pour désigner des denrées alimentaires d'origine animale ne peuvent être utilisées pour décrire, commercialiser ou promouvoir des denrées alimentaires comportant des protéines végétales. Un décret fixe la part de protéines végé […]		douteux	faux	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « douteux » (sonnet-juge-a) ; B : « douteux ». Irrecevable, dispositif non publié. L'article 5 bis crée « Art. L. 412-10. – Le nom et l'adresse du producteur de bière… », rangé par la loi sous L412-12 ; l'arête pointe le L412-10 du fonds (dénominations des denrées d'origine animale) : numéro glissé, autre article.	Le dispositif de l'amendement 3 est absent, en base comme dans la fiche : impossible de verifier la portee.	Irrecevable, dispositif non publié. L'article 5 bis crée « Art. L. 412-10. – Le nom et l'adresse du producteur de bière… », rangé par la loi sous L412-12 ; l'arête pointe le L412-10 du fonds (dénominations des denrées d'origine animale) : numéro glissé, autre article.	2026-09-26
juste	01de6624b83c71fc	assemblee	10	Adopté	M. Éric Bothorel	L122-21-1	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11 bis	ART. 11 BIS	en vigueur le 1er janvier 2022.           – 7 – Article 11 bis (nouveau) L’article L. 122-21-1 du code de la consommation est complété par une phrase ainsi rédigée : « Pour les biens compo	Supprimer cet article.	L122-21-1 (2020-02-12) — en vigueur à la loi du dossier, 2020-02-12 : Les conditions dans lesquelles un professionnel peut utiliser les termes “ reconditionné ” ou “ produit reconditionné ” sont fixées par décret en Conseil d'Etat.		juste		sonnet-juge-a	sonnet-juge-b		L'article 11 bis de pion3730 (texte complet vérifié) ne réécrit que L. 122-21-1, et « Supprimer cet article » porte sur tout l'article.	« Supprimer cet article » vise l'article 11 bis du texte qui, d'apres le corpus (pion3730), ne reecrit que L. 122-21-1.		2026-09-26
juste	0790759bec37ccd8	assemblee	23	Adopté	M. Éric Bothorel	L122-21-1	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11 bis	ART. 11 BIS	en vigueur le 1er janvier 2022.           – 7 – Article 11 bis (nouveau) L’article L. 122-21-1 du code de la consommation est complété par une phrase ainsi rédigée : « Pour les biens compo	Supprimer cet article.	L122-21-1 (2020-02-12) — en vigueur à la loi du dossier, 2020-02-12 : Les conditions dans lesquelles un professionnel peut utiliser les termes “ reconditionné ” ou “ produit reconditionné ” sont fixées par décret en Conseil d'Etat.		juste		sonnet-juge-a	sonnet-juge-b		Même article 11 bis de pion3730, seul L. 122-21-1 concerné ; « Supprimer cet article ».	Meme article 11 bis, qui d'apres le corpus (pion3730) ne reecrit que L. 122-21-1.		2026-09-26
juste	135c482f64a8b1fe	assemblee	207	Non soutenu	M. Frédéric Reiss	L412-4	1	sans visée	article_entier	assemblee/15-ta-commission-r0902-a0.asp	11 decies	ART. 11 DECIES	” dans leur dénomination de vente. » Article 11 decies (nouveau) Le premier alinéa de l’article L. 412-4 du code de la consommation est complété par une phrase ainsi rédigée : « Pour le miel composé d	Après le mot : « rédigée : », rédiger ainsi la fin : « À compter de la promulgation de la loi n° du pour l’équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine et durable, l’indication de chaque pays d’origine est obligatoire pour tous les miels originaires de plus d’un État membre de l’Union européenne ou de plus d’un pays tiers. Les conditions d’application du prése […]	L412-4 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine est obligatoire pour les produits agricoles et alimentaires et les produits de la mer, à l'état brut ou tran […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 11 decies de r0902 ne réécrit que L. 412-4 ; le dispositif rédige la fin de la même phrase sur l'origine des miels.	L'article 11 decies du corpus (r0902) ne reecrit que le premier alinea de L. 412-4, et le dispositif en reecrit la fin sans changer de cible.		2026-09-26
juste	169beb358a103d76	assemblee	364		M. Loïc Prud'homme	L122-24	1	sans visée	article_entier	assemblee/15-ta-commission-r4266-a0.asp	5	ART. 5	7 « Opérations de dégagement relatives aux produits agricoles ou de première transformation « Art. L. 122-24. – Toute publicité pratiquée en dehors des magasins relative à une opération de dégagement		L122-24 (2022-01-01) — écrit par la loi du dossier, 2022-01-01 : Toute publicité pratiquée en dehors des magasins relative à une opération de dégagement de produits alimentaires ou de catégories de produits alimentaires définis par décret, à l'exception des fruits et légumes frais, associant plusieurs magasins est auto […]		douteux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « douteux » (sonnet-juge-a) ; B : « douteux ». Irrecevable, dispositif non publié ; déposé sur l'article N du texte, qui ne réécrit que A, et le fonds porte le contenu que N écrit : l'amendement portait sur A.	Le dispositif de l'amendement 364 est absent, en base comme dans la fiche.	Irrecevable, dispositif non publié ; déposé sur l'article N du texte, qui ne réécrit que A, et le fonds porte le contenu que N écrit : l'amendement portait sur A.	2026-09-26
juste	1af355d34578eeb1	assemblee	168		M. Jimmy Pahun	L412-4	1	sans visée	article_entier	assemblee/15-ta-commission-r4266-a0.asp	4	ART. 4	règlement (CE) n° 608/2004 de la Commission ne sont pas d’origine France. » Article 4 L’article L. 412-4 du code de la consommation est ainsi modifié : 1° Le premier alinéa est complété par les mots :		L412-4 (2016-07-01) — écrit par la loi du dossier, 2022-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denr […] ‖ avant, 2021-01-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine es […]		douteux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « douteux » (sonnet-juge-a) ; B : « douteux ». Irrecevable, dispositif non publié ; déposé sur l'article N du texte, qui ne réécrit que A, et le fonds porte le contenu que N écrit : l'amendement portait sur A.	Le dispositif de l'amendement 168 est absent, en base comme dans la fiche.	Irrecevable, dispositif non publié ; déposé sur l'article N du texte, qui ne réécrit que A, et le fonds porte le contenu que N écrit : l'amendement portait sur A.	2026-09-26
juste	1f292e900b8ea89c	assemblee	117	Rejeté	M. Patrice Verchère	L412-4	1	sans visée	article_entier	assemblee/15-ta-commission-r0902-a0.asp	11 decies	ART. 11 DECIES	” dans leur dénomination de vente. » Article 11 decies (nouveau) Le premier alinéa de l’article L. 412-4 du code de la consommation est complété par une phrase ainsi rédigée : « Pour le miel composé d	Après le mot : « rédigée : », rédiger ainsi la fin : « À compter de la promulgation de la loi n° du pour l’équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine et durable, l’indication de chaque pays d’origine est obligatoire pour tous les miels originaires de plus d’un État membre de l’Union européenne ou de plus d’un pays tiers. Les conditions d’application du prése […]	L412-4 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine est obligatoire pour les produits agricoles et alimentaires et les produits de la mer, à l'état brut ou tran […]		juste		sonnet-juge-a	sonnet-juge-b		Même dispositif que l'amendement jumeau 207 sur l'article 11 decies, qui ne réécrit que L. 412-4.	Meme article 11 decies (r0902), qui d'apres le corpus ne reecrit que L. 412-4.		2026-09-26
juste	314d55049649e84f	assemblee	25	Adopté	M. Éric Bothorel	L217-24	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	10	ART. 10	chapitre VII du titre Ier du livre II du code de la consommation est complétée par un article L. 217-24 ainsi rédigé : « Art. L. 217-24. – Pour les biens comportant des éléments numériques, le vende	Supprimer cet article.	L217-24 (2021-10-01) — en vigueur à la loi du dossier, 2021-10-01 : I.-Tout professionnel opérant dans un secteur économique mentionné au III du présent article peut demander à l'autorité administrative chargée de la concurrence et de la consommation de prendre formellement position sur la conformité aux articles L. 21 […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 10 de pion3730 (texte complet vérifié) ne réécrit que L. 217-24 ; « Supprimer cet article ».	L'article 10 du corpus (pion3730) ne reecrit que L. 217-24, entierement supprime par le dispositif.		2026-09-26
juste	33c5b6ee53e5d632	assemblee	24	Adopté	M. Éric Bothorel	L217-12	1	sans visée	article_entier	assemblee/15-propositions-pion3730.asp	11	ART. 11	au). – Le I du présent article entre en vigueur le 1er janvier 2022. Article 11 I. – L’article L. 217-12 du code de la consommation est complété par un alinéa ainsi rédigé : « Ce délai est porté à ci	Supprimer cet article.	L217-12 (2016-07-01) — en vigueur à la loi du dossier, 2021-10-01 : Le vendeur peut ne pas procéder selon le choix opéré par le consommateur si la mise en conformité sollicitée est impossible ou entraîne des coûts disproportionnés au regard notamment : 1° De la valeur qu'aurait le bien en l'absence de défaut de conform […]		juste		sonnet-juge-a	sonnet-juge-b		L'article 11 de pion3730 (texte complet vérifié) ne réécrit que L. 217-12 ; « Supprimer cet article ».	L'article 11 du corpus (pion3730) ne complete que L. 217-12, entierement supprime par le dispositif.		2026-09-26
faux	3d677f172cb85542	assemblee	5		M. Julien Dive	L412-10	1	sans visée	article_entier	assemblee/15-propositions-pion2743.asp	5 bis	ART. 5 BIS	u chapitre II du titre Ier du livre IV du code de la consommation est complétée par un article L. 412-10 ainsi rédigé : « Art. L. 412-10. – Le nom et l’adresse du producteur de bière sont indiqués en		L412-10 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Les dénominations utilisées pour désigner des denrées alimentaires d'origine animale ne peuvent être utilisées pour décrire, commercialiser ou promouvoir des denrées alimentaires comportant des protéines végétales. Un décret fixe la part de protéines végé […]		douteux	faux	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « douteux » (sonnet-juge-a) ; B : « douteux ». Irrecevable, dispositif non publié. L'article 5 bis crée « Art. L. 412-10. – Le nom et l'adresse du producteur de bière… », rangé par la loi sous L412-12 ; l'arête pointe le L412-10 du fonds (dénominations des denrées d'origine animale) : numéro glissé, autre article.	Le dispositif de l'amendement 5 est absent, en base comme dans la fiche.	Irrecevable, dispositif non publié. L'article 5 bis crée « Art. L. 412-10. – Le nom et l'adresse du producteur de bière… », rangé par la loi sous L412-12 ; l'arête pointe le L412-10 du fonds (dénominations des denrées d'origine animale) : numéro glissé, autre article.	2026-09-26
