verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	8219e7fac9a9cf49	assemblee	267	Adopté	M. Vincent Thiébaut	L217-23	1	oui	visee	assemblee/15-propositions-pion3730.asp	9	ART. 9	e en vigueur le 1er janvier 2022. Article 9 I. – Aux deuxième et dernière phrases de l’article L. 217-23 du code de la consommation, le mot : « deux » est remplacé par le mot : « cinq ». II (nouveau)	Substituer à l’alinéa 1 les cinq alinéas suivants : « I. – L’article L. 217‑23 du code de la consommation est ainsi modifié : « 1° À la première phrase, après le mot : « reçoive », est inséré le mot : « gratuitement » ; « 2° À la deuxième et à la dernière phrase, les mots : « deux ans » sont remplacés par les mots : « la durée d’usage attendue du bien » ; « 3° Il est ajouté un alinéa ainsi rédigé : « Au cours de cett […]	L217-23 (2020-02-12) — écrit par la loi du dossier, 2021-11-17 : I.-Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant un […] ‖ avant, 2021-10-01 : Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant une période donnée, supérieure à deux ans (ci-après dénom […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif réécrit L217-23 en trois points explicitement nommés, aucun autre article touché.	Le dispositif nomme L217-23 et le modifie directement (1°, 2°, 3° réécrivent son texte).		2026-09-26
juste	871b544dbeca218c	assemblee	10	Rejeté	M. François Ruffin	L221-16	1	oui	visee	assemblee/15-propositions-pion1284.asp	1er	ART. PREMIER	oposition de loi Article 1er Après le mot : « indique », la fin du premier alinéa de l’article L. 221-16 du code de la consommation est ainsi rédigée : « de manière explicite au début de la conversat	Rédiger ainsi cet article : « La section 5 du chapitre I er du titre II du livre II du code de la consommation est ainsi modifié : « 1° L’article L. 221‑16 est ainsi rédigé : « « La prospection commerciale par téléphone est interdite. » « 2° En conséquence, l’article 221‑17 est abrogé. »	L221-16 (2016-07-01) — écrit par la loi du dossier, 2020-07-26 : Sans préjudice des dispositions de l'article L. 221-12, le professionnel qui contacte un consom […] ‖ avant, 2016-07-01 : Sans préjudice des dispositions de l'article L. 221-12, le professionnel qui contacte un consommateur par téléphone en vue de conclure un contrat p […]		juste		sonnet-juge-a	sonnet-juge-b		Rédige entièrement L221-16 (interdiction totale du démarchage téléphonique) ; l'abrogation de L221-17 n'est qu'une conséquence.	« Rédiger ainsi cet article » réécrit explicitement L221-16 (« L'article L. 221-16 est ainsi rédigé »).		2026-09-26
juste	8ef033fa4b3b6d1c	assemblee	2248	Adopté	LE GOUVERNEMENT	L412-4	1	oui	visee	assemblee/15-ta-commission-r0902-a0.asp	11 decies	ART. 11 DECIES	” dans leur dénomination de vente. » Article 11 decies (nouveau) Le premier alinéa de l’article L. 412-4 du code de la consommation est complété par une phrase ainsi rédigée : « Pour le miel composé d	Au début, substituer aux mots : « Le premier alinéa de l’article L. 412‑4 du code de consommation est complété par une phrase ainsi rédigée : » les mots : « Après le premier alinéa de l’article L. 412‑4 du code de la consommation, il est inséré un alinéa ainsi rédigé : ».	L412-4 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine est obligatoire pour les produits agricoles et alimentaires et les produits de la mer, à l'état brut ou tran […]		juste		sonnet-juge-a	sonnet-juge-b		Le sous-amendement modifie le mécanisme d'écriture dans L412-4 (complément d'alinéa devenant insertion d'un alinéa nouveau), donc modifie bien l'article nommé.	L'amendement substitue la clause qui modifie L412-4 (complément de phrase remplacé par insertion d'un alinéa) : il reste sur L412-4, seule la technique rédactionnelle change.		2026-09-26
juste	993e690f75e9ac12	assemblee	6693	Rejeté	Mme Mathilde Panot	L111-4-1	8	oui	visee	assemblee/15-ta-commission-r3995-a0.asp	13	ART. 13	e de la consommation est ainsi modifié : 1° Après l’article L. 111-4, il est inséré un article L. 111-4-1 ainsi rédigé : « Art. L. 111-4-1. – I. – Les fabricants ou les importateurs d’outils de bricol	Substituer aux alinéas 3 et 4 l’alinéa suivant : « Art. L. 111‑4‑1 . – Un décret en Conseil d’État définit les catégories de produits, autres que celles mentionnées à l’article L. 111‑4 et à l’article L. 224‑110, pour lesquelles les producteurs doivent tenir les pièces détachées et, le cas échéant, l’outillage spécifique nécessaire à leur installation disponibles pendant une durée minimale. Cette durée minimale tient […]	L111-4-1 (2023-01-01) — écrit par la loi du dossier, 2023-01-01 : I. - Les fabricants et les importateurs d'outils de bricolage et de jardinage motorisés, d'articles de sport et de loisirs, y compris les bicyclettes, de bicyclettes à assistance électrique et d'engins de déplacement personnel motorisés assurent, pour un […]		juste		sonnet-juge-a	sonnet-juge-b		Substitue un contenu entier à « Art. L. 111-4-1 » nommé ; L111-4 et L224-110 ne sont cités que comme exceptions, non modifiés.	Le dispositif substitue les alinéas 3-4 par un nouvel « Art. L. 111-4-1 », donc réécrit bien l'article visé.		2026-09-26
juste	a3771e27ed5878bc	assemblee	3137	Adopté	LE GOUVERNEMENT	L623-1	1	oui	visee	assemblee/15-ta-commission-r0971-a0.asp	47 bis	ART. 47 BIS	ion de l’avant-dernier alinéa du présent article. » Article 47 bis (nouveau) Le 1° de l’article L. 623-1 du code de la consommation est complété par les mots : « , notamment dans le domaine du logemen	Rédiger ainsi cet article : « L’article L. 623‑1 du code de la consommation est ainsi modifié : 1° Au premier alinéa, après le mot : « légales », sont insérés les mots : « relevant ou non du présent code » ; 2° Le 1° est complété par les mots : « ainsi que dans le cadre de la location d’un bien immobilier ».	L623-1 (2016-07-01) — écrit par la loi du dossier, 2018-11-25 : Une association de défense des consommateurs représentative au niveau national et agréée en appl […] ‖ avant, 2016-07-01 : Une association de défense des consommateurs représentative au niveau national et agréée en application de l'article L. 811-1 peut agir devant une  […]		juste		sonnet-juge-a	sonnet-juge-b		Rédige entièrement L623-1 en deux points, sans autre article touché.	« Rédiger ainsi cet article » réécrit explicitement L623-1 (1° et 2° portent sur son texte).		2026-09-26
juste	b81026d03ec44b74	assemblee	1069	Rejeté	Mme Paula Forteza	L111-4-1	8	oui	visee	assemblee/15-ta-commission-r3995-a0.asp	13	ART. 13	e de la consommation est ainsi modifié : 1° Après l’article L. 111-4, il est inséré un article L. 111-4-1 ainsi rédigé : « Art. L. 111-4-1. – I. – Les fabricants ou les importateurs d’outils de bricol	Substituer aux alinéas 3 et 4 l’alinéa suivant : « Art. L. 111‑4‑1. – Les fabricants d’objets connectés mettent à la disposition du consommateur les interfaces de programmation de l’objet. Ces interfaces de programmation sont disponibles à compter de la date de mise sur le marché de la dernière unité du modèle concerné et pour une durée illimitée. Les documents de spécifications des interfaces de programmation sont i […]	L111-4-1 (2023-01-01) — écrit par la loi du dossier, 2023-01-01 : I. - Les fabricants et les importateurs d'outils de bricolage et de jardinage motorisés, d'articles de sport et de loisirs, y compris les bicyclettes, de bicyclettes à assistance électrique et d'engins de déplacement personnel motorisés assurent, pour un […]		juste		sonnet-juge-a	sonnet-juge-b		Même dispositif de substitution ciblant exclusivement « Art. L. 111-4-1 ».	Le dispositif substitue les alinéas 3-4 par un nouvel « Art. L. 111-4-1 », donc réécrit bien l'article visé.		2026-09-26
juste	d1a3f5c90ae95437	assemblee	178	Adopté	Mme Agnès Firmin Le Bodo	L711-9	4	oui	visee	assemblee/15-ta-commission-r4811-a0.asp	4	ART. 4	: « à responsabilité limitée » sont supprimés ; 5° La section 4 est complétée par des articles L. 711-9 et L. 711-10 ainsi rédigés : « Art. L. 711-9. – Aucune procédure de surendettement ne peut être	Rédiger ainsi cet article : « I. – Le livre VI du code de commerce est ainsi modifié : 1° À la deuxième phrase du premier alinéa de l’article L. 611‑13, après le mot : « limitée », sont insérés les mots : « ou entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V, » ; 2° Après l’article L. 611‑16, il est inséré un article L. 611‑17 ainsi rédigé : « Art. L. 611‑17. – Le […]	L711-9 (2022-05-15) — écrit par la loi du dossier, 2022-05-15 : Le présent livre est applicable à l'entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V du code de commerce lorsque la commission de surendettement est saisie dans les conditions prévues au titre VIII bis  […]		juste		sonnet-juge-a	sonnet-juge-b		Le « Rédiger ainsi cet article » réécrit des dizaines d'articles du code de commerce mais crée bien, en III, « Art. L. 711-9 » au contenu conforme au fonds.	Le III du dispositif (non tronqué en base) crée « Art. L. 711-9 » mot pour mot identique au contenu de l'article du fonds ; les I et II ne sont que des coordinations au code de commerce.		2026-09-26
juste	d3035ced3fe13b9a	assemblee	17	Non soutenu	M. Rémy Rebeyrotte	L313-30	1	oui	visee	assemblee/15-ta-commission-r4699-a0.asp	2	ART. 2	se, les mots : « ou au premier alinéa du présent article » sont supprimés. Article 2 L’article L. 313-30 du code de la consommation est ainsi modifié : 1° Après le mot : « résiliation », la fin de la	Rédiger ainsi cet article : « L’article L. 313‑30 du code de la consommation est ainsi modifié : « 1° À la fin de la dernière phrase, le mot : « motivée » est remplacé par les mots : « explicite et comporter l’intégralité des motifs de refus » ; « 2° Sont ajoutées deux phrases ainsi rédigées : « Elle précise, le cas échéant, les documents manquants. Le prêteur est tenu de communiquer à l’emprunteur, sur un support pa […]	L313-30 (2016-07-01) — écrit par la loi du dossier, 2022-06-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur n […] ‖ avant, 2020-12-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur ne peut pas refuser en garantie un autre contrat d'as […]		juste		sonnet-juge-a	sonnet-juge-b		Rédige entièrement L313-30 en deux points, sans autre article.	« Rédiger ainsi cet article » réécrit explicitement L313-30 (1° et 2° portent sur son texte).		2026-09-26
juste	d6b001a0c7a51b1d	assemblee	3522	Rejeté	M. Stéphane Viry	L111-4-1	8	oui	visee	assemblee/15-ta-commission-r3995-a0.asp	13	ART. 13	e de la consommation est ainsi modifié : 1° Après l’article L. 111-4, il est inséré un article L. 111-4-1 ainsi rédigé : « Art. L. 111-4-1. – I. – Les fabricants ou les importateurs d’outils de bricol	Substituer aux alinéas 3 et 4 l’alinéa suivant : « Art. L. 111‑4‑1 . – Un décret en Conseil d’État définit les catégories de produits, autres que celles mentionnées à l’article L. 111‑4 et à l’article L. 224‑110, pour lesquelles les producteurs doivent tenir les pièces détachées et, le cas échéant, l’outillage spécifique nécessaire à leur installation disponibles pendant une durée minimale. Cette durée minimale tient […]	L111-4-1 (2023-01-01) — écrit par la loi du dossier, 2023-01-01 : I. - Les fabricants et les importateurs d'outils de bricolage et de jardinage motorisés, d'articles de sport et de loisirs, y compris les bicyclettes, de bicyclettes à assistance électrique et d'engins de déplacement personnel motorisés assurent, pour un […]		juste		sonnet-juge-a	sonnet-juge-b		Même substitution « Art. L. 111-4-1 » que les amendements jumeaux de la discussion sur l'article 13.	Le dispositif substitue les alinéas 3-4 par un nouvel « Art. L. 111-4-1 », donc réécrit bien l'article visé.		2026-09-26
juste	dd1378d487275016	assemblee	1005	Rejeté	M. Matthieu Orphelin	L217-9	1	oui	visee	assemblee/15-ta-commission-r2454-a0.asp	4 bis ba	ART. 4 BIS BA	re II du titre II du livre V. » Article 4 bis A (Supprimé) Article 4 bis BA (nouveau) L’article L. 217-9 du code de la consommation est complété par deux alinéas ainsi rédigés : « La garantie légale d	Au début, ajouter l’alinéa suivant : « I. – Le premier alinéa de l’article L. 217‑9 du code de la consommation est complété par deux phrases ainsi rédigées : « Le vendeur l’informe de son droit à choisir entre ces deux modalités. En fonction de la modalité retenue, il l’informe du renouvellement ou de l’extension de la garantie en application des troisième et quatrième alinéas. »	L217-9 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : En cas de défaut de conformité, l'acheteur choisit entre la réparation et le remplacement du bien. Toutefois, le vendeur peut ne pas procéder selon le choix de l'acheteur si ce choix entraîne un coût manifestement disproportionné au regard de l'autre mo […]		juste		sonnet-juge-a	sonnet-juge-b		Ajoute un alinéa à L217-9 nommé explicitement, sans autre article.	Le dispositif complète directement le premier alinéa de L217-9 par deux phrases.		2026-09-26
