verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	voie	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	109a6058f85db4ab	assemblee	1728	Non soutenu	Mme Danielle Brulebois	L122-21-1	1	oui	visee	assemblee/15-ta-commission-r2454-a0.asp	5 bis aa	ART. 5 BIS AA	"ion 4 bis ainsi rédigée : « Sous-section 4 bis « Utilisation de la mention ""reconditionné"" « Art. L. 122-21-1. – I. – Le reconditionnement est l’opération par laquelle un professionnel est en mesure d"	Substituer aux alinéas 4 à 6 les deux alinéas suivants : « Art. L. 122‑21‑1 . – I. – Le reconditionnement est un processus opéré par un professionnel qui permet un nouveau cycle d’usage à un produit ayant fait l’objet d’une utilisation préalable. « II. – Un décret en Conseil d’État fixe les modalités d’utilisation du terme « reconditionné avec une charte qualité ou une notation commune sur l’état et le fonctionnement […]	L122-21-1 (2020-02-12) — écrit par la loi du dossier, 2020-02-12 : Les conditions dans lesquelles un professionnel peut utiliser les termes “ reconditionné ” ou “ produit reconditionné ” sont fixées par décret en Conseil d'Etat.		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif substitue directement le texte de « Art. L. 122-21-1 » aux alinéas 4 à 6, réécrivant l'article nommé.	Le dispositif substitue directement le texte de l'article L. 122-21-1 nomme (« Art. L. 122-21-1. - I. - Le reconditionnement... »).		2026-09-26
faux	117386e453b8b23c	assemblee	178	Rejeté	M. Thibault Bazin	L313-30	4	oui, par renumérotation	visee	assemblee/15-ta-commission-r3347-a0.asp	42 bis	ART. 42 BIS	re de prêt par l’emprunteur ou toute autre date d’échéance prévue au contrat. » ; 2° L’article L. 313-30 est ainsi modifié : aa) (nouveau) À la deuxième phrase, les mots : « au deuxième alinéa de l’a	I. – Après l’alinéa 12, insérer les trois alinéas suivants : « 2° bis L’article L. 313‑31 est ainsi modifié : a) Le deuxième alinéa est complété par deux phrases ainsi rédigées : « À défaut de réponse dans ce délai, le prêteur est réputé avoir accepté le nouveau contrat à l’expiration dudit délai. Dans ce cas, l’emprunteur de bonne foi ne peut être responsable et ne supporte pas les conséquences d’une éventuelle insu […]	L313-30 (2016-07-01) — en vigueur à la loi du dossier, 2020-12-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance de group […]		faux		sonnet-juge-a	sonnet-juge-b		Le dispositif complet en base (amendement 178) modifie L. 313-31 et ne cite L. 313-30 que comme référence de garantie, sans le modifier.	Le dispositif complet modifie l'article L. 313-31 (deuxieme et troisieme alineas) et ne cite L. 313-30 qu'en reference, « tel que mentionne a l'article L. 313-30 ».		2026-09-26
juste	1847a7befbae5a80	assemblee	616	Rejeté	Mme Marie-France Lorho	L224-67	5	oui	visee	assemblee/15-ta-commission-r2454-a0.asp	4	ART. 4	du livre II du code de la consommation est ainsi modifié : 1° Le troisième alinéa de l’article L. 224-67 est ainsi rédigé : « Les modalités d’information du consommateur sont fixées par décret. » ; 2	Après l’alinéa 7, insérer l’alinéa suivant : « 1° A Le deuxième alinéa de l’article L. 224‑67 est complété par les mots : « , notamment si cela entraîne un défaut de sécurité » ; »	L224-67 (2016-07-01) — écrit par la loi du dossier, 2022-01-01 : Tout professionnel qui commercialise des prestations d'entretien ou de réparation de véhicules  […] ‖ avant, 2016-07-01 : Tout professionnel qui commercialise des prestations d'entretien ou de réparation de véhicules automobiles permet aux consommateurs d'opter pour l' […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif insère un alinéa qui complète « le deuxième alinéa de l'article L. 224-67 », nommé et modifié.	Le dispositif complete directement le deuxieme alinea de l'article L. 224-67 nomme.		2026-09-26
juste	19da1af8cbbbc283	assemblee	60	Rejeté	M. Julien Dive	L412-4	1	oui	visee	assemblee/15-propositions-pion1786.asp	1er	ART. PREMIER	l et de la pêche maritime. proposition de loi Article 1er Après le premier alinéa de l’article L. 412-4 du code de la consommation, il est inséré un alinéa ainsi rédigé : « Pour le miel composé d’un	I. – Avant l’alinéa 1, insérer les deux alinéas suivants : « L’article L. 412‑4 du code de la consommation est ainsi modifié : « 1° Le premier alinéa est complété par la phrase suivante : « Pour les viandes, l’indication du pays d’abattage est obligatoire. » ; ». II. – En conséquence, au début de l’alinéa 1, insérer la mention :« 2° ». III. – 3° En conséquence, au second alinéa, après les mots : « l’origine », sont i […]	L412-4 (2016-07-01) — écrit par la loi du dossier, 2021-01-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denr […] ‖ avant, 2016-07-01 : Sans préjudice des dispositions spécifiques relatives au mode d'indication de l'origine des denrées alimentaires, l'indication du pays d'origine es […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif dit explicitement que « L'article L. 412-4 du code de la consommation est ainsi modifié », en complétant son premier alinéa.	Le dispositif modifie explicitement le premier et le second alinea de l'article L. 412-4 nomme.		2026-09-26
juste	1ccb189be15d1a1c	assemblee	77	Non soutenu	M. Matthieu Orphelin	L217-23	1	oui	visee	assemblee/15-propositions-pion3730.asp	9	ART. 9	e en vigueur le 1er janvier 2022. Article 9 I. – Aux deuxième et dernière phrases de l’article L. 217-23 du code de la consommation, le mot : « deux » est remplacé par le mot : « cinq ». II (nouveau)	Après l’alinéa 1, insérer les deux alinéas suivants : « I bis . – L’article L. 217‑23 du code de la consommation est complété par un alinéa ainsi rédigé : « Le metteur sur le marché de logiciel fournit les mises à jour nécessaires au maintien de la conformité des biens au cours de cette période. »	L217-23 (2020-02-12) — écrit par la loi du dossier, 2021-11-17 : I.-Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant un […] ‖ avant, 2021-10-01 : Le producteur peut consentir au consommateur une garantie commerciale l'engageant pendant une période donnée, supérieure à deux ans (ci-après dénom […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète « L'article L. 217-23 du code de la consommation » d'un alinéa nouveau.	Le dispositif complete directement l'article L. 217-23 nomme par un nouvel alinea.		2026-09-26
juste	1d17495e83515147	assemblee	96	Non soutenu	Mme Emmanuelle Ménard	L413-8	1	oui	visee	assemblee/15-ta-commission-r2441-a0.asp	4	ART. 4	emier alinéa selon des modalités fixées par décret. » Article 4 Au deuxième alinéa de l’article L. 413-8 du code de la consommation, après le mot : « Toutefois », sont insérés les mots : « , à l’excep	Au début, ajouter les sept alinéas suivants : « I A. – Le premier alinéa de l’article L. 413‑8 du code de la consommation est remplacé par six alinéas ainsi rédigés : « Sont considérés comme étant de concurrence déloyale en matière agricole ou viticole : « 1° Toute imitation visant à utiliser les signes distinctifs d’un concurrent afin de profiter de sa renommée et ainsi capter sa clientèle. Le risque de confusion cr […]	L413-8 (2016-07-01) — écrit par la loi du dossier, 2020-06-12 : Il est interdit, sur des produits naturels ou fabriqués, détenus ou transportés en vue de la ven […] ‖ avant, 2019-12-15 : Il est interdit, sur des produits naturels ou fabriqués, détenus ou transportés en vue de la vente, mis en vente ou vendus, d'apposer ou d'utiliser […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif remplace « le premier alinéa de l'article L. 413-8 » par six alinéas, réécrivant l'article nommé.	Le dispositif remplace le premier alinea de l'article L. 413-8 nomme par six alineas.		2026-09-26
juste	2253513a3d381548	assemblee	13	Non soutenu	M. Dino Cinieri	L313-30	1	oui	visee	assemblee/15-ta-commission-r4699-a0.asp	2	ART. 2	se, les mots : « ou au premier alinéa du présent article » sont supprimés. Article 2 L’article L. 313-30 du code de la consommation est ainsi modifié : 1° Après le mot : « résiliation », la fin de la	Rédiger ainsi cet article : « L’article L. 313‑30 du code de la consommation est ainsi modifié : « 1° À la fin de la dernière phrase, le mot : « motivée » est remplacé par les mots : « explicite et comporter l’intégralité des motifs de refus » ; « 2° Sont ajoutées deux phrases ainsi rédigées : « Elle précise, le cas échéant, les documents manquants. Le prêteur est tenu de communiquer à l’emprunteur, sur un support pa […]	L313-30 (2016-07-01) — écrit par la loi du dossier, 2022-06-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur n […] ‖ avant, 2020-12-01 : Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur ne peut pas refuser en garantie un autre contrat d'as […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif « rédige ainsi » L. 313-30 lui-même, modifié en 1° et 2°.	Le dispositif reecrit integralement l'article L. 313-30, nomme et modifie dans le meme mouvement.		2026-09-26
juste	2540c58a9ee99844	assemblee	1585	Retiré	Mme Véronique Riotton	L217-9	1	oui	visee	assemblee/15-ta-commission-r2454-a0.asp	4 bis ba	ART. 4 BIS BA	re II du titre II du livre V. » Article 4 bis A (Supprimé) Article 4 bis BA (nouveau) L’article L. 217-9 du code de la consommation est complété par deux alinéas ainsi rédigés : « La garantie légale d	Avant l’alinéa 1, insérer l’alinéa suivant : « I. – Le premier alinéa de l’article L. 217‑9 du code de la consommation est complété par une phrase ainsi rédigée : « Le vendeur est tenu d’informer le consommateur de son droit de demander la réparation du bien, ainsi que de l’extension de six mois de la garantie pour un bien réparé prévu au dernier alinéa du présent article, et de le sensibiliser à l’impact écologique  […]	L217-9 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : En cas de défaut de conformité, l'acheteur choisit entre la réparation et le remplacement du bien. Toutefois, le vendeur peut ne pas procéder selon le choix de l'acheteur si ce choix entraîne un coût manifestement disproportionné au regard de l'autre mo […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète « le premier alinéa de l'article L. 217-9 » d'une phrase, l'article nommé étant celui modifié.	Le dispositif complete le premier alinea de l'article L. 217-9 nomme.		2026-09-26
juste	29d68b41df2c526c	assemblee	788	Rejeté	M. Hubert Wulfranc	L217-21	1	oui	visee	assemblee/15-ta-commission-r2454-a0.asp	4 quater d	ART. 4 QUATER D	ainsi rédigée : « Section 5 « Information du consommateur sur les mises à jour de logiciel « Art. L. 217-21. – Le fabricant d’appareils numériques informe le vendeur de la durée au cours de laquelle	Substituer aux alinéas 3 à 5 les quatre alinéas suivants : « Garantie logicielle « Art. L. 217‑21 . – Les fabricants d’appareils numériques sont tenus de proposer à leurs clients des mises à jour correctives du système d’exploitation utilisé par leurs appareils compatibles avec tous les modèles de leur gamme jusqu’à dix ans après leur mise sur le marché. « Au besoin, le fabricant est tenu de proposer autant de mises  […]	L217-21 (2020-02-12) — écrit par la loi du dossier, 2020-02-12 : Le fabricant de biens comportant des éléments numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l'achat du bien restent compatibles avec un usage normal de l'appareil. L'usage du bien est considé […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif substitue le texte de « Art. L. 217-21 » lui-même aux alinéas 3 à 5.	Le dispositif substitue le texte meme de l'article L. 217-21, nomme et reecrit.		2026-09-26
juste	31b28e50c9bf2ea2	assemblee	354	Adopté	M. Vincent Thiébaut	L217-22	1	oui	visee	assemblee/15-ta-commission-r4196-a0.asp	8	ART. 8	n, à l’issue du délai prévu à l’article L. 217-12, est interdite. » Article 8 I. – L’article L. 217-22 du code de la consommation est complété par deux alinéas ainsi rédigés : « Sans préjudice du p	Rédiger ainsi cet article : « L’article L. 217‑22 du code de la consommation est ainsi modifié : « 1° Les trois dernières phrases sont supprimées ; « 2° Il est complété par un alinéa ainsi rédigé : « Le vendeur informe le consommateur, de façon lisible et compréhensible, des caractéristiques essentielles de chaque mise à jour des éléments numériques du bien, notamment l’espace de stockage qu’elle requiert, son impact […]	L217-22 (2020-02-12) — écrit par la loi du dossier, 2021-11-17 : La garantie commerciale est fournie au consommateur de manière lisible et compréhensible sur to […] ‖ avant, 2021-10-01 : La garantie commerciale est fournie au consommateur de manière lisible et compréhensible sur tout support durable et au plus tard au moment de la d […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif « rédige ainsi » L. 217-22, supprimant ses trois dernières phrases et le complétant.	Le dispositif reecrit l'article L. 217-22 nomme (suppression de phrases, ajout d'un alinea).		2026-09-26
