verdict	cle	chambre	amendement	sort	auteur	article	cibles_de_l_article	vise	texte	article_du_texte	subdivision	fenetre	dispositif	article_du_fonds	url
juste	0109760c7ba9a239	senat	68	Rejeté	LE GOUVERNEMENT	L224-12	1	sans visée	senat/leg-pjl24-402.html	20	Article 20	du deuxième alinéa de l’article L. 224-12 » ;  2° Au début du deuxième alinéa de l’article L. 224-12, est ajoutée une phrase ainsi rédigée : « Tout client a la possibilité de recevoir les facture	Alinéa 60 Supprimer cet alinéa.	Les factures de fourniture d'électricité et de gaz naturel sont présentées dans les conditions fixées par un arrêté du ministre chargé de la consommation et du ministre chargé de l'énergie pris après avis du Conseil national de la consommation. Un arrêté pris dans les mêmes conditions précise les différents modes de pa […]	//www.senat.fr/amendements/2024-2025/402/Amdt_68.html
juste	02704b70c5ab530d	assemblee	460	Rejeté	M. Damien Abad	L211-15	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	7	ART. 7	e L. 211-7 du même code, le mot : « six » est remplacé par le mot : « douze ». II. – L’article L. 211-15 du même code est ainsi rédigé : « Art. L. 211-15. – La garantie commerciale s’entend de tout e	Supprimer l’alinéa 1.	La garantie commerciale offerte à l'acheteur prend la forme d'un écrit mis à la disposition de celui-ci. Cet écrit précise le contenu de la garantie, les éléments nécessaires à sa mise en oeuvre, sa durée, son étendue territoriale ainsi que le nom et l'adresse du garant. Il mentionne que, indépendamment de la garantie  […]	
juste	02cac7d63cb221ce	assemblee	888	Retiré	Mme Michèle Bonneton	L311-8-1	1	sans visée	assemblee/14-ta-commission-r1156-a0.asp	18	ART. 18	acés par les mots : « ni d’aucun frais ou seulement d’intérêts et ». Article 18 I. – L’article L. 311-8-1 du même code est ainsi rédigé : « Art. L. 311-8-1. – Lorsqu’un consommateur se voit proposer,	À l’alinéa 2, après le mot : « amortissable » insérer les mots : « comprenant entre autres un tableau d’amortissement comparatif simplifié dont le contenu est défini par décret. ».	Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la poss […]	
juste	043521721954037e	senat	102	Non soutenu	M. NAVARRO	L113-3	1	sans visée	senat/leg-pjl14-371.html	12	Article 12	l'égalité des chances économiques. » II. - La première phrase du troisième alinéa de l'article L. 113-3 du code de la consommation est complétée par les mots : « du présent code, ainsi qu'aux prestat	I. – Alinéa 4, dernière phrase Supprimer cette phrase. II. – Alinéa 5 Supprimer cet alinéa. III. – Alinéas 16 et 17 Supprimer ces alinéas.	Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]	//www.senat.fr/amendements/2014-2015/371/Amdt_102.html
juste	0436e8259f641fc0	senat	832 rect. bis	Tombé	M. CORNANO	L421-2	1	non	senat/leg-pjl14-371.html	11 bis b	Article 11 bis B	oposés » ; 2° (nouveau) Après les mots : « à supprimer », la fin du premier alinéa de l'article L. 421-2 est ainsi rédigée : « une clause illicite dans le contrat ou le type de contrat destiné aux con	I. – Alinéa 3 Compléter cet alinéa par les mots : et à obtenir réparation de tous préjudices directs ou indirects qui résultent de tout agissement illicite ou clause illicite, y compris après la cessation dudit agissement ou la suppression de ladite clause II. – Après l’alinéa 3 Insérer un alinéa ainsi rédigé : …° Le premier alinéa de l’article L. 421-6 est complété par les mots : « et obtenir réparation de tous préj […]	Les associations de consommateurs mentionnées à l'article L. 421-1 et agissant dans les conditions précisées à cet article peuvent demander à la juridiction civile, statuant sur l'action civile, ou à la juridiction répressive, statuant sur l'action civile, d'ordonner au défenseur ou au prévenu, le cas échéant sous astr […]	//www.senat.fr/amendements/2014-2015/371/Amdt_832.html
juste	04754f2ba64187e4	senat	1036	Retiré	Mme ARCHIMBAUD	L112-13	1	sans visée	senat/leg-pjl14-654.html	5	Article 5	chapitre II du titre I er du livre I er du code de la consommation est complété par un article L. 112-13 ainsi rédigé : « Art. L. 112-13. - Les conditions dans lesquelles la déclaration nutritionnell	I. – Alinéa 3 Remplacer les mots : d’une présentation ou d’une expression complémentaire au moyen de graphiques ou de symboles, dans les conditions prévues par l’article 35 du même règlement par les mots : d’un dispositif coloriel complémentaire défini au deuxième alinéa II. – Alinéa 4 Rédiger ainsi cet alinéa : « Afin de répondre aux exigences de l’article 35 du règlement précité, ce dispositif coloriel est élaboré  […]	Les conditions dans lesquelles la déclaration nutritionnelle obligatoire prévue par le règlement (UE) n° 1169/2011 du Parlement européen et du Conseil, du 25 octobre 2011, concernant l'information des consommateurs sur les denrées alimentaires, modifiant les règlements (CE) n° 1924/2006 et (CE) n° 1925/2006 du Parlemen […]	//www.senat.fr/amendements/2014-2015/654/Amdt_1036.html
juste	05539e7c456f4a6e	senat	572 rect.	Adopté	M. MARCHAND	L511-7	1	sans visée	senat/leg-pjl18-728.html	5	Article 5	nt précisées par décret en Conseil d’État. »  II bis (nouveau). – Après le 22° de l’article L. 511-7 du code de la consommation, il est inséré un 23° ainsi rédigé :  « 23° De l’article L. 541-	I. - Alinéa 4, première phrase Après le mot : réemployer, insérer les mots : notamment par le don des produits de première nécessité à des associations de lutte contre la précarité, II. - Alinéa 10 Après le mot : article insérer les mots : , notamment la définition des produits de première nécessité mentionnés au premier alinéa du I,	Les agents sont habilités à rechercher et à constater les infractions ou les manquements aux dispositions : 1° Du règlement (CE) n° 1371/2007 du Parlement européen et du Conseil du 23 octobre 2007 sur les droits et obligations des voyageurs ferroviaires ; 2° De l'article 23 du règlement (CE) n° 1008/2008 du Parlement e […]	//www.senat.fr/amendements/2018-2019/728/Amdt_572.html
juste	05fd0aff50d0d797	senat	505	Retiré	M. BOSINO	L333-4	1	sans visée	senat/leg-pjl14-264.html	6	Article 6	au 5 » est remplacée par les références : « aux 5 et 8 ». V . - (Non modifié) Le I de l'article L. 333-4 du code de la consommation est ainsi modifié : 1° À la première phrase du deuxième alinéa, la r	Alinéa 6, deuxième phrase Supprimer cette phrase.	Il est institué un fichier national recensant les informations sur les incidents de paiement caractérisés liés aux crédits accordés aux personnes physiques pour des besoins non professionnels. Ce fichier est géré par la Banque de France. Il est soumis aux dispositions de la loi n° 78-17 du 6 janvier 1978 relative à l'i […]	//www.senat.fr/amendements/2014-2015/264/Amdt_505.html
juste	0676435d07cc07b8	senat	358	Adopté	LE GOUVERNEMENT	L312-9	1	sans visée	senat/leg-pjl13-283.html	19 octies	Article 19 octies	Conseil d'État. » II. - (Non modifié) Article 19 octies I et II. - (Supprimés) III. - L'article L. 312-9 du code de la consommation, dans sa rédaction résultant de la loi n° 2013-672 du 26 juillet 201	I. – Alinéa 11 1° Troisième phrase Compléter cette phrase par les mots : ainsi que la date de prise d’effet du contrat d’assurance accepté en substitution par le prêteur 2° Quatrième phrase Compléter cette phrase par les mots : ou à la date de prise d’effet du contrat accepté en substitution par le prêteur si celle-ci est postérieure II. – Alinéa 15 1° Troisième phrase Compléter cette phrase par les mots : ainsi que  […]	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2013-2014/283/Amdt_358.html
juste	06f5f7b030495063	senat	68	Retiré	Mme LIENEMANN	L312-9	1	sans visée	senat/leg-pjl13-283.html	19 octies	Article 19 octies	Conseil d'État. » II. - (Non modifié) Article 19 octies I et II. - (Supprimés) III. - L'article L. 312-9 du code de la consommation, dans sa rédaction résultant de la loi n° 2013-672 du 26 juillet 201	I. – Alinéas 6, 8, 11 et 15 Remplacer à chaque occurrence le mot : douze par le mot : six II. – Alinéa 6, première phrase Compléter cette phrase par les mots : , sans toutefois que cette faculté puisse être exercée plus de trois mois après la date de signature de l’acte écrit, y compris la promesse unilatérale de vente acceptée et le contrat préliminaire prévu à l’article L. 261-15 du code de la construction et de l’ […]	Lorsque le prêteur offre à l'emprunteur ou exige de lui l'adhésion à un contrat d'assurance collective qu'il a souscrit en vue de garantir en cas de survenance d'un des risques que ce contrat définit, soit le remboursement total ou partiel du montant du prêt restant dû, soit le paiement de tout ou partie des échéances  […]	//www.senat.fr/amendements/2013-2014/283/Amdt_68.html
