verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url
juste	00014795ca9c5e9a	citation	suppose	oui	5490	assemblee/14-ta-ta0176.asp	1er	L423-5	code de la consommation	L423-5 (2014-03-19) Dans la même décision prononçant la responsabilité du professionnel, le juge fixe le délai dont disposent les consommateurs pour adhérer au groupe afin d'obtenir la réparation de leur préjudice. Ce délai ne peut être inférieur à deux mois ni supérieur à six mois après l'achèvement des mesures de pub […]	ir les numéros : 1015, 1156, 1110, 1116 et 1123. Chapitre Ier Action de groupe Article 1er Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « Action de groupe « Section 1 « Champ d’application de l’action de group	s les termes de la décision. « En cas d’inexécution par le professionnel, à l’égard des consommateurs ayant accepté l’indemnisation, de la décision rendue dans le délai fixé, les articles L. 423-6 et L. 423-7 sont applicables et l’acceptation de l’indemnisation dans les termes de la décision vaut mandat aux fins d’indemnisation au profit de l’association. « Un décret en Conseil d’État fixe les conditions d’application de la présente section. « Section 3 « Liquidation des préjudices et exécution « Art. L. 423-5. – Le professionnel procède à l’indemnisation individuelle des préjudices subis par chaque consommateur, dans les conditions, limites et délais fixés par le jugement mentionné à l’article L. 423-3. « Art. L. 423-6. – Le juge ayant statué sur la responsabilité tranche les difficultés qui s’élèvent à l’occasion de la phase de liquidation des préjudices. « Il statue dans un même jugement sur toutes les demandes d’indemnisation auxquelles le professionnel n’a pas fait droit. « Art. L	http://www.assemblee-nationale.fr/14/ta/ta0176.asp
juste	000b7db4c8d81c06	citation	suppose	oui	3585	assemblee/dyn-17-textes-l17b1368_texte-adopte-commission	3 bis aa	L532-1	code de la consommation	L532-1 (2016-07-01) Le fait de ne pas déférer dans le délai imparti à une injonction relative aux infractions ou aux manquements constatés avec les pouvoirs mentionnés aux articles L. 511-5, L. 511-6 et L. 511-7, est passible d'une amende administrative dont le montant ne peut excéder : 1° Pour une personne physique :  […]	mérique, de l’identité des responsables de traitement destinataires de leurs services. » Article 3 bis AA Le livre V du code de la consommation est ainsi modifié : 1° À l’article L. 511-11, après le mot : « infractions », sont insérés les mots : « et les manquements » ; 2° Au qua	n-respect des obligations prévues au troisième alinéa » ; 6° Le 2° de l’article L. 523-1 est ainsi rédigé : « 2° Les délits prévus par le présent code, qui ne sont pas punis d’une peine d’emprisonnement ou qui sont punis d’une peine d’emprisonnement inférieure ou égale à trois ans ainsi que pour les infractions prévues aux articles L. 121-2 à L. 121-4. » ; 7° La section unique du chapitre II du titre III est ainsi modifié : a) La sous-section 1 est ainsi rédigée : « Sous-section 1 « Injonctions « Art. L. 532-1. – Le fait de ne pas déférer, dans le délai imparti, à une injonction relative aux infractions ou aux manquements constatés avec les pouvoirs prévus au présent livre, est passible d’une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. « Toutefois, ce montant est porté à celui de l’amende encourue pour l’infraction ou le manquement ayant justifié la mesure d’injonction, lorsque ce montant est supérieur	https://www.assemblee-nationale.fr/dyn/17/textes/l17b1368_texte-adopte-commission
juste	001de37d53a29440	citation	suppose	oui	11129	senat/petite-loi-ameli-2013-2014-348.html	11	L121-110	code de la consommation	L121-110 (2014-10-01) Tout projet de modification des conditions contractuelles à l'initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins un mois avant son entrée en vigueur, assorti de l'information, énoncée de manière claire, précise et visible, selon laquelle ce dernier p […]	................................. Section 5 Autres contrats Article 11 I.  Le chapitre Ier du titre II du livre Ier du code de la consommation est complété par des sections 14 à 17 ainsi rédigées : « Section 14 « Contrats conclus dans les foires et salons « Art. L. 121-97.  Ava	s nouvelles conditions, résilier le contrat, sans pénalité de résiliation et sans droit à dédommagement, jusque dans un délai de trois mois après lentrée en vigueur de la modification. « Pour les contrats à durée déterminée ne comportant pas de clause déterminant précisément les hypothèses pouvant entraîner une modification contractuelle ou de clause portant sur la modification du prix, le consommateur peut exiger lapplication des conditions initiales jusquau terme de la durée contractuelle. « Art. L. 121-110.  Toute somme versée davance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. « Les sommes versées par le consommateur au titre dun dépôt de garantie lui sont restituées par le professionnel au plus tard dans un délai de trente jours à compter de la reprise par ce dernier de lobjet garanti, qui est effectuée au plus tard d	http://www.senat.fr/petite-loi-ameli/2013-2014/348.html
juste	008aeb9e1d6ae29c	citation	suppose	oui	21208	senat/petite-loi-ameli-2012-2013-810.html	5	L121-21-5	code de la consommation	L121-21-5 (2014-06-14) Si le consommateur souhaite que l'exécution d'une prestation de services commence avant la fin du délai de rétractation mentionné à l'article L. 121-21, le professionnel recueille sa demande expresse sur papier ou sur support durable. Le consommateur qui a exercé son droit de rétractation d'un co […]	2 du code des postes et des communications électroniques. I.  La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ dapplicatio	emboursement en utilisant le même moyen de paiement que celui utilisé par le consommateur pour la transaction initiale, sauf accord exprès du consommateur pour quil utilise un autre moyen de paiement et dans la mesure où le remboursement noccasionne pas de frais pour le consommateur. « Le professionnel nest pas tenu de rembourser les frais supplémentaires si le consommateur a expressément choisi un mode de livraison plus coûteux que le mode de livraison standard proposé par le professionnel. « Art. L. 121-21-5.  Si le consommateur souhaite que lexécution dune prestation de services commence avant la fin du délai de rétractation mentionné à larticle L. 121-21, le professionnel recueille sa demande expresse sur papier ou sur support durable. « Le consommateur qui a exercé son droit de rétractation dun contrat de prestation de services dont lexécution a commencé à sa demande expresse avant la fin du délai de rétractation verse au professionnel un montant correspondant au service	http://www.senat.fr/petite-loi-ameli/2012-2013/810.html
juste	00910e100bcb88bc	citation	suppose	oui	17775	assemblee/14-ta-commission-r1156-a0.asp	5	L121-21-2	code de la consommation	L121-21-2 (2014-06-14) Le consommateur informe le professionnel de sa décision de rétractation en lui adressant, avant l'expiration du délai prévu à l'article L. 121-21, le formulaire de rétractation mentionné au 2° du I de l'article L. 121-17 ou toute autre déclaration, dénuée d'ambiguïté, exprimant sa volonté de se r […]	res. Section 2 Démarchage et vente à distance Article 5 Les sections 2 et 3 du chapitre Ier du titre II du livre Ier du code de la consommation sont ainsi rédigées : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d’applicat	tractation n’ont pas été fournies au consommateur dans les conditions prévues au 2° du I de l’article L. 121-17, le délai de rétractation est prolongé de douze mois à compter de l’expiration du délai de rétractation initial, déterminé conformément à l’article L. 121-21. « Toutefois, lorsque la fourniture de ces informations intervient pendant cette prolongation, le délai de rétractation expire au terme d’une période de quatorze jours à compter du jour où le consommateur a reçu ces informations. « Art. L. 121-21-2. – Le consommateur informe le professionnel de sa décision de rétractation en lui adressant, avant l’expiration du délai prévu à l’article L. 121-21, le formulaire de rétractation mentionné au 2° du I de l’article L. 121-17 ou toute autre déclaration, dénuée d’ambigüité, exprimant sa volonté de se rétracter. « Le professionnel peut, également, permettre au consommateur de remplir et de transmettre en ligne, sur son site internet, le formulaire ou la déclaration prévus au premi	http://www.assemblee-nationale.fr/14/ta-commission/r1156-a0.asp
juste	00a99f9a89947044	citation	suppose	oui	117	senat/leg-tas18-148.html	4 quater d	L217-21	code de la consommation	L217-21 (2020-02-12) Le fabricant de biens comportant des éléments numériques informe le vendeur de la durée au cours de laquelle les mises à jour des logiciels fournis lors de l'achat du bien restent compatibles avec un usage normal de l'appareil. L'usage du bien est considéré comme normal lorsque ses fonctionnalités  […]	fini aux articles L. 111-1 et suivants. » Article 4 quater D (nouveau)  Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée :  « Section 5  « Garantie logicielle  « Art. L. 217-21. – Les fabricants de télép	teur sur le marché vise à rendre impossible la réparation ou le reconditionnement d’un appareil hors de ses circuits agréés est interdite.  « La réparabilité du produit est considérée comme une des caractéristiques essentielles du bien ou du service tel que défini aux articles L. 111-1 et suivants. » Article 4 quater D (nouveau)  Le chapitre VII du titre Ier du livre II du code de la consommation est complété par une section 5 ainsi rédigée :  « Section 5  « Garantie logicielle  « Art. L. 217-21. – Les fabricants de téléphones mobiles et de tablettes tactiles sont tenus de proposer à leurs clients des mises à jour correctives du système d’exploitation utilisé par leurs appareils compatibles avec tous les modèles de leur gamme jusqu’à dix ans après leur mise sur le marché.  « Au besoin, le fabricant est tenu de proposer autant de mises à jour correctives que nécessaire pour que chacun des modèles dont la mise sur le marché est antérieure à dix années puisse bénéficier	https://www.senat.fr/leg/tas18-148.html
juste	00ade66046488ea1	citation	suppose	oui	4403	assemblee/14-ta-commission-r1156-a0.asp	5	L121-16-2	code de la consommation	L121-16-2 (2014-06-14) La présente section s'applique aux contrats portant sur la fourniture d'eau, de gaz ou d'électricité lorsqu'ils ne sont pas conditionnés dans un volume délimité ou en quantité déterminée ainsi que sur la fourniture de chauffage urbain et de contenu numérique non fourni sur un support matériel.	res. Section 2 Démarchage et vente à distance Article 5 Les sections 2 et 3 du chapitre Ier du titre II du livre Ier du code de la consommation sont ainsi rédigées : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d’applicat	ou le transfert de biens immobiliers, ainsi que ceux relatifs à des droits portant sur des biens immobiliers ou à la location de biens à usage d’habitation principale, conclus hors établissement, seules sont applicables les sous-sections 2, 3, 6 et 7. « III. – Les sous-sections 2, 3, 6 et 7 sont également applicables aux contrats conclus hors établissement entre deux professionnels et dont l’objet ne présente pas de rapport direct avec l’activité du professionnel, personne physique, sollicité. « Art. L. 121-16-2. – La présente section s’applique aux contrats portant sur la fourniture d’eau, de gaz ou d’électricité, lorsqu’ils ne sont pas conditionnés dans un volume délimité ou en quantité déterminée, ainsi que sur la fourniture de chauffage urbain et de contenu numérique non fourni sur un support matériel. « Sous-section 2 « Obligations d’information précontractuelle « Art. L. 121-17. – I. – Préalablement à la conclusion d’un contrat de vente ou de fourniture de services, le professio	http://www.assemblee-nationale.fr/14/ta-commission/r1156-a0.asp
juste	00fb779a1bee3664	citation	suppose	oui	21453	assemblee/14-projets-pl1015.asp	5	L121-20-2	code de la consommation	L121-20-2 (2001-08-25) Le droit de rétractation ne peut être exercé, sauf si les parties en sont convenues autrement, pour les contrats : 1° De fourniture de services dont l'exécution a commencé, avec l'accord du consommateur, avant la fin du délai de sept jours francs ; 2° De fourniture de biens ou de services dont le […]	s Section 1 Définition du consommateur et informations précontractuelles Article 3 Il est inséré, avant le livre Ier du code de la consommation, un article liminaire ainsi rédigé : « Article liminaire « Au sens du présent code, est considérée comme un consommateur toute personne	nique, les conditions dans lesquelles les entreprises ont accès à une version actualisée de la liste et les modalités du contrôle de l’État sur l’organisme gestionnaire. « Les interdictions prévues aux deuxième et troisième alinéas ne s’appliquent pas à la prospection en vue de la fourniture de journaux, de périodiques ou de magazines. « Le présent article s’applique sans préjudice des articles 38 à 40 de la loi n° 78-17 du 6 janvier 1978 relative à l’informatique, aux fichiers et aux libertés. « Art. L. 121-20-2. – Les conditions de la prospection directe au moyen d’un automate d’appel, d’un télécopieur ou d’un courrier électronique sont fixées par l’article L. 34-5 du code des postes et des communications électroniques. « Sous-section 6 « Droit de rétractation applicable aux contrats conclus à distance et hors établissement « Art. L. 121-21. – Le consommateur dispose d’un délai de quatorze jours pour exercer son droit de rétractation d’un contrat conclu à distance, à la suite d’un dé	https://www.assemblee-nationale.fr/14/projets/pl1015.asp
juste	0121f41a249c4711	citation	suppose	oui	222	assemblee/dyn-16-textes-l16t0261_texte-adopte-seance	1er	L132-29	code de la consommation	L132-29 (2024-04-24) Tout manquement aux 1,2 à 6 et 9 de l'article 5, à l'article 7 et au c du 1 de l'article 19 du règlement (UE) 2023/1804 du Parlement européen et du Conseil du 13 septembre 2023 sur le déploiement d'une infrastructure pour carburants alternatifs et abrogeant la directive 2014/94/ UE est passible d'u […]	EN MATIÈRE ÉCONOMIQUE ET FINANCIÈRE CHAPITRE IER Dispositions relatives au droit de la consommation Article 1er I. – Le code de la consommation est ainsi modifié : 1° La section 2 du chapitre II du titre III du livre Ier est complétée par une sous-section 4 ainsi rédigée : « Sous	................................................................................... – 3 – TITRE IER DISPOSITIONS D’ADAPTATION AU DROIT DE L’UNION EUROPÉENNE EN MATIÈRE ÉCONOMIQUE ET FINANCIÈRE CHAPITRE IER Dispositions relatives au droit de la consommation Article 1er I. – Le code de la consommation est ainsi modifié : 1° La section 2 du chapitre II du titre III du livre Ier est complétée par une sous-section 4 ainsi rédigée : « Sous-section 4 « Infrastructures de recharge et de ravitaillement « Art. L. 132-29. – Tout manquement aux 1, 2 à 6 et 9 de l’article 5, à l’article 7 et au c du 1 de l’article 19 du règlement (UE) 2023/1804 du Parlement européen et du Conseil du 13 septembre 2023 sur le déploiement d’une infrastructure pour carburants alternatifs et abrogeant la directive 2014/94/UE est passible d’une amende administrative dont le montant ne peut excéder 15 000 € pour une personne physique et 75 000 € pour une personne morale. « Cette amende est prononcée dans les conditions p	https://www.assemblee-nationale.fr/dyn/16/textes/l16t0261_texte-adopte-seance
juste	01621aa1c8397457	citation	suppose	oui	204	senat/leg-pjl21-388.html	4	L711-9	code de la consommation	L711-9 (2022-05-15) Le présent livre est applicable à l'entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V du code de commerce lorsque la commission de surendettement est saisie dans les conditions prévues au titre VIII bis du livre VI du même code et sous les réserve […]	de liquidation judiciaire et de rétablissement professionnel ».  IV – Le chapitre Ier du titre Ier du livre VII du code de la consommation est ainsi modifié :  1° à 5° (Supprimés)  6° Est ajoutée une section 5 ainsi rédigée :  « Section 5  « Dispositions	» sont remplacés par les mots : « de sauvegarde accélérée, sous réserve du second alinéa de l’article L. 611-5 du code de commerce, de sauvegarde, de redressement judiciaire, de liquidation judiciaire et de rétablissement professionnel ».  IV – Le chapitre Ier du titre Ier du livre VII du code de la consommation est ainsi modifié :  1° à 5° (Supprimés)  6° Est ajoutée une section 5 ainsi rédigée :  « Section 5  « Dispositions relatives à l’entrepreneur individuel  « Art. L. 711-9. – Les dispositions du présent livre sont applicables à l’entrepreneur individuel relevant du statut défini à la section 3 du chapitre VI du titre II du livre V du code de commerce lorsque la commission de surendettement est saisie dans les conditions prévues au titre VIII bis du livre VI du même code et sous les réserves ci-après énoncées.  « Les dispositions qui intéressent les biens, droits et obligations du débiteur doivent être comprises comme visant les seuls éléments	https://www.senat.fr/leg/pjl21-388.html
