verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	03a6c30d06884dd6	declaree	suppose	oui	156	senat/leg-pjl24-402.html	14	L242-18-1	code de la consommation	L242-18-1 (2021-10-01) — écrit par la loi du dossier, 2025-05-03 : Sans préjudice de l'allocation de dommages et intérêts, une amende civile peut être prononcée […] ‖ avant, 2021-10-01 : Sans préjudice de l'allocation de dommages et intérêts, une amende civile peut être prononcée à l'encontre du professionnel qui fait obstacle de ma […]	demande selon les conditions et les délais prévus par décret en Conseil d’État.  XI. – (Supprimé)  XII. – Le code de la consommation est ainsi modifié :  1° Au troisième alinéa de l’article L. 132-1 A et au deuxième alinéa des articles L. 241-1-1, L. 241-5 et L. 2	au même B continue de respecter les critères auxquels est subordonnée l’attribution de son agrément et, en cas de non-respect, lui retire son agrément.  Cette autorité informe de sa position l’autorité à l’origine de la demande selon les conditions et les délais prévus par décret en Conseil d’État.  XI. – (Supprimé)  XII. – Le code de la consommation est ainsi modifié :  1° Au troisième alinéa de l’article L. 132-1 A et au deuxième alinéa des articles L. 241-1-1, L. 241-5 et L. 242-18-1, les mots : « , L. 622-1 et L. 623-1 » sont remplacés par les mots : « et L. 622-1 du présent code et des III à X de l’article 14 de la loi n° du portant diverses dispositions d’adaptation au droit de l’Union européenne en matière économique, financière, environnementale, énergétique, de transport, de santé et de circulation des personnes » ;  2° L’article L. 621-7 est ainsi rédigé :  « Art. L. 621-7. – Les associations mentionnées à l’article L. 621-1 et les personnes mora	https://www.senat.fr/leg/pjl24-402.html	juste		sonnet-juge-a	sonnet-juge-b		L'instruction remplace des mots au deuxième alinéa de L242-18-1 : modification directe.	L'instruction remplace les mots du deuxième alinéa de L242-18-1 lui-même, dans la liste d'articles modifiés par le XII.		2026-09-26
juste	03b026d83f0ff963	declaree	suppose	oui	26996	assemblee/13-projets-pl1769.asp	8	L313-1	code de la consommation	L313-1 (1993-07-27) — écrit par la loi du dossier, 2011-05-01 : Dans tous les cas, pour la détermination du taux effectif global du prêt, comme pour celle du ta […] ‖ avant, 2006-03-24 : Dans tous les cas, pour la détermination du taux effectif global du prêt, comme pour celle du taux effectif pris comme référence, sont ajoutés aux  […]	, L. 311-18, L. 311-19 et L. 311-36 sont abrogés. Article 1er La section 1 du chapitre Ier du titre Ier du livre III du code de la consommation est ainsi rédigée : « Section 1 « Définitions et champ d’application « Art. L. 311-1. – Au sens du présent chapitre, sont considérés com	"« à l’article L. 311-16 » ; 2° Sont ajoutés deux alinéas ainsi rédigés : « – l’estimation du nombre de mensualités restant dues pour parvenir au remboursement intégral du montant effectivement emprunté, établie en fonction des conditions de remboursement convenues. « Ces informations, à l’exception de celles mentionnées au huitième alinéa, figurent obligatoirement, en caractères lisibles, sur la première page du document adressé à l’emprunteur. » Article 8 Après le deuxième alinéa de l’article L. 313-1 du même code, il est inséré un alinéa ainsi rédigé : « Pour les contrats de crédit entrant dans le champ d’application du chapitre Ier du présent titre, le taux effectif global, qui est dénommé "" Taux annuel effectif global "", ne comprend pas les frais d’acte notarié. » Chapitre V Dispositions applicables à certains contrats de crédit Article 9 I. – La section 8 du chapitre Ier du titre Ier du livre III du même code, telle qu’elle résulte de l’article 3, est intitulée : « Crédit gratuit"	https://www.assemblee-nationale.fr/13/projets/pl1769.asp	juste		sonnet-juge-a	sonnet-juge-b		« Après le deuxième alinéa de l'article L. 313-1..., il est inséré un alinéa » : l'alinéa ajouté complète L313-1 lui-même, pas une ancre.	L'article 8 insère un alinéa après le deuxième alinéa de L313-1, dans l'article lui-même, non après l'article.		2026-09-26
juste	03c5de3ceab974aa	declaree	nomme	oui	91	senat/leg-tas06-135.html	45	L215-5	code de la consommation	L215-5 (1993-07-27) — écrit par la loi du dossier, 2007-10-30 : Sur la voie publique et dans les lieux mentionnés au premier alinéa de l'article L. 215-3, les s […] ‖ avant, 2006-10-06 : Sur la voie publique et dans les lieux mentionnés au premier alinéa de l'article L. 215-3, les saisies ne pourront être effectuées sans autorisatio […]	ts détenus ou recueillis dans le cadre de leur mission de lutte contre les contrefaçons. » Article 45 (nouveau) I. - Le code de la consommation est ainsi modifié : 1° Après le cinquième alinéa (4°) de l'article L. 215-5, il est inséré un 5° ainsi rédigé : « 5° Les produits présen	nel. « Les agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes, de la direction générale des douanes et droits indirects et les officiers et agents de police judiciaire peuvent se communiquer spontanément tous les renseignements et documents détenus ou recueillis dans le cadre de leur mission de lutte contre les contrefaçons. » Article 45 (nouveau) I. - Le code de la consommation est ainsi modifié : 1° Après le cinquième alinéa (4°) de l'article L. 215-5, il est inséré un 5° ainsi rédigé : « 5° Les produits présentés sous une marque, une marque collective ou une marque collective de certification contrefaisantes. » ; 2° Après le quatrième alinéa (3°) de l'article L. 215-7, il est inséré un 4° ainsi rédigé : « 4° Les produits susceptibles d'être présentés sous une marque, une marque collective ou une marque collective de certification contrefaisantes. » II. - Le second alinéa de l'article 9 de la loi n° 89-1008 du 31 décembre 1989 relati	http://www.senat.fr/leg/tas06-135.html	juste		sonnet-juge-a	sonnet-juge-b		« Après le cinquième alinéa (4°) de l'article L. 215-5, il est inséré un 5° » : le point ajouté complète L215-5 lui-même.	Le 1° insère un 5° après le 4° (alinéa) de L215-5, dans l'article lui-même.		2026-09-26
juste	03ca11e2a5273747	declaree	nomme	oui	-12	senat/petite-loi-ameli-2013-2014-348.html	25	L141-1	code de la consommation	L141-1 (1993-07-27) — écrit par la loi du dossier, 2014-03-19 : I.-Sont recherchés et constatés, dans les conditions fixées par les articles L. 450-1, L. 450-3  […] ‖ avant, 2012-03-21 : I.-Sont recherchés et constatés, dans les conditions fixées par les articles L. 450-1 à L. 450-4, L. 450-7, L. 450-8, L. 470-1 et L. 470-5 du code  […]	forcement des moyens daction en matière de protection économique du consommateur Article 25 I.  Larticle L. 141-1 du code de la consommation est ainsi modifié : 1° Le I est ainsi modifié : a) Au premier alinéa, les références : « à L. 450-4, L. 450-7, L. 450-8, L. 470-1 et L.	lUnion européenne ; » c) Le d est abrogé. II.  Le présent article est applicable dans les îles Wallis et Futuna. ......................................................................................................... Chapitre V Modernisation des moyens de contrôle de lautorité administrative chargée de la protection des consommateurs et adaptation du régime de sanctions Section 1 Renforcement des moyens daction en matière de protection économique du consommateur Article 25 I.  Larticle L. 141-1 du code de la consommation est ainsi modifié : 1° Le I est ainsi modifié : a) Au premier alinéa, les références : « à L. 450-4, L. 450-7, L. 450-8, L. 470-1 et L. 470-5 » sont remplacées par les références : « , L. 450-3 à L. 450-4, L. 450-7 et L. 450-8 » et le mot : « prévus » est supprimé ; b) Au début du 4°, les références : « Les sections 9 à 11 du » sont remplacées par le mot : « Le » ; c) Au début du 5°, la référence : « La section 7 du » est remplacée par le mot : « Le » ; d) Au	http://www.senat.fr/petite-loi-ameli/2013-2014/348.html	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 141-1 ... est ainsi modifié » : modification directe et explicite.	« L'article L. 141-1 du code de la consommation est ainsi modifié ».		2026-09-26
juste	03ca4dd4dbc88ea7	declaree	suppose	oui	28833	senat/leg-pjl13-283.html	5	L121-33	code de la consommation	L121-33 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Les dispositions de la présente section sont d'ordre public.	nte à distance Article 5 I A, I B et I C. - (Supprimés) I. - La section 2 du chapitre I er du titre II du livre I er du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d'applicatio	la directive 93/13/CEE du Conseil et la directive 1999/44/CE du Parlement européen et du Conseil et abrogeant la directive 85/577/CEE du Conseil et la directive 97/7/CE du Parlement européen et du Conseil, lorsque le contrat conclu à distance ou hors établissement présente un lien étroit avec le territoire de cet État. « II. - (Supprimé) « Sous-section 10 (Division et intitulé supprimés) « Art. L. 121-25 . - (Supprimé) » II. - La section 3 du même chapitre I er comprend les articles L. 121-26 à L. 121-33 et est ainsi modifiée : 1° Son intitulé est ainsi rédigé : « Dispositions particulières aux contrats conclus à distance portant sur des services financiers » ; 2° L'article L. 121-20-8, dans sa rédaction antérieure à la présente loi, devient l'article L. 121-26 et est ainsi modifié : a) Au premier alinéa, le mot : « sous-section » est remplacé par le mot : « section » ; b) Au second alinéa, les mots : « que les » sont remplacés par les mots : « qu'aux » ; 3° L'article L. 121-20-9, dans	http://www.senat.fr/leg/pjl13-283.html	juste		sonnet-juge-a	sonnet-juge-b		« Les articles L. 121-32 et L. 121-33 sont ainsi rédigés » : L121-33 est directement réécrit, texte identique au fonds.	Le 9° réécrit explicitement « Art. L. 121-33. – Les dispositions de la présente section sont d'ordre public. » (vérifié dans le texte).		2026-09-26
juste	03cd3cedfcee5382	declaree	nomme	non	-13	assemblee/15-propositions-pion3730.asp	11	L217-12	code de la consommation	L217-12 (2016-07-01) — en vigueur à la loi du dossier, 2021-10-01 : Le vendeur peut ne pas procéder selon le choix opéré par le consommateur si la mise en conformité sollicitée est impossible ou entraîne des coûts disproportionnés au regard notamment : 1° De la valeur qu'aurait le bien en l'absence de défaut de conform […]	» II (nouveau). – Le I du présent article entre en vigueur le 1er janvier 2022. Article 11 I. – L’article L. 217-12 du code de la consommation est complété par un alinéa ainsi rédigé : « Ce délai est porté à cinq ans pour les biens comportant des éléments numériques. » II (nouve	24 ainsi rédigé : « Art. L. 217-24. – Pour les biens comportant des éléments numériques, le vendeur veille à ce que le consommateur ayant installé une mise à jour non nécessaire à la conformité du bien puisse rétablir la version antérieure du logiciel concerné au cours d’une période à laquelle le consommateur peut raisonnablement s’attendre. Cette période ne peut être inférieure à deux ans. » II (nouveau). – Le I du présent article entre en vigueur le 1er janvier 2022. Article 11 I. – L’article L. 217-12 du code de la consommation est complété par un alinéa ainsi rédigé : « Ce délai est porté à cinq ans pour les biens comportant des éléments numériques. » II (nouveau). – Le I du présent article entre en vigueur le 1er janvier 2022.           – 7 – Article 11 bis (nouveau) L’article L. 122-21-1 du code de la consommation est complété par une phrase ainsi rédigée : « Pour les biens comportant des éléments numériques, ce décret prévoit notamment des règles en matière de qualité	https://www.assemblee-nationale.fr/15/propositions/pion3730.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 217-12 ... est complété par un alinéa ainsi rédigé » : modification directe.	« L'article L. 217-12 ... est complété par un alinéa ainsi rédigé ».		2026-09-26
faux	03ef36cfb63840a5	declaree	suppose	oui	583	assemblee/dyn-17-textes-l17b0631_texte-adopte-commission-	17	L623-28	"code de la
consommation"	L623-28 (2016-07-01) — écrit par la loi du dossier, 2016-07-01 : Les décisions prévues aux articles L. 623-4 et L. 623-14 ainsi que celle résultant de l'application de l'article L. 623-23 ont également autorité de la chose jugée à l'égard de chacun des membres du groupe dont le préjudice a été réparé au terme de la pro […]	at membre mentionné au deuxième alinéa du présent article. » II. – Le tableau du second alinéa de l’article L. 652-2 du code de la consommation est ainsi rédigé :          – 67 – « Articles applicables Dans leur rédaction résultant L. 623-1 à L. 623-3-3 De la	ticles applicables Dans leur rédaction résultant L. 623-1 à L. 623-3-3 De la loi n° du L. 623-4 à L. 623-6 De l’ordonnance n° 2016-301 du 14 mars 2016 L. 623-7 De la loi n° du L. 623-8 à L. 623-9 De l’ordonnance n° 2016-301 du 14 mars 2016 L. 623-10 De la loi n° 2016-1547 du 18 novembre 2016 L. 623-11 à L. 623-21 De l’ordonnance n° 2016-301 du 14 mars 2016 L. 623-22 et L. 623-23 De la loi n° du L. 623-24 à L. 623-26 De l’ordonnance n° 2016-301 du 14 mars 2016 L. 623-27 De la loi n° du L. 623-28 à L. 623-30 De l’ordonnance n° 2016-301 du 14 mars 2016 L. 623-31 à L. 623-34 De la loi n° du L. 624-1 à L. 624-3 De la loi n° du » Article 18 Le titre Ier du livre VIII du code de la consommation est complété par un chapitre III ainsi rédigé : « CHAPITRE III « Actions de groupe transfrontières « Art. L. 813-1. – Les organismes nationaux régulièrement déclarés ayant pour objet statutaire explicite la défense des intérêts des consommateurs, y compris lorsqu’ils sont dédiés à une thém	https://www.assemblee-nationale.fr/dyn/17/textes/l17b0631_texte-adopte-commission#	faux		sonnet-juge-a	sonnet-juge-b		L. 623-28 n'apparaît que comme valeur dans le tableau de concordance de L. 652-2 réécrit ; la cible réelle de l'article 17 est L652-2, L623-28 n'est que cité.	L'article 17 (vérifié en entier) ne touche que L.621-7, L.623-1 à L.623-3-3, L.623-7, L.623-22/23/27/31 à 34 et le tableau de L.652-2, qui se contente de citer « L. 623-28 à L. 623-30 » comme résultant de l'ordonnance de 2016, sans les modifier.		2026-09-26
juste	03ff4c7a1dd3c970	declaree	suppose	oui	32733	assemblee/14-projets-pl1357.asp	5	L121-30	code de la consommation	L121-30 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : I.-Les contrats pour lesquels s'applique le délai de rétractation mentionné à l'article L. 121-29 ne peuvent recevoir de commencement d'exécution par les parties avant l'arrivée du terme de ce délai sans l'accord du consommateur. Lorsque celui-ci exerce s […]	2 du code des postes et des communications électroniques. I. – La section 2 du chapitre Ier du titre II du livre Ier du code de la consommation est ainsi rédigée : « Section 2 « Contrats conclus à distance et hors établissement « Sous-section 1 « Définitions et champ d’applicatio	expresse, sollicite la livraison ou la fourniture immédiate du bien ou du service, l’exercice du droit de rétractation n’emporte résolution de plein droit du contrat de vente ou de prestation de services que s’il intervient dans un délai de trois jours à compter de la conclusion du contrat de crédit. Toute livraison ou fourniture anticipée est à la charge du vendeur qui en supporte tous les risques. » ; 7° L’article L. 121-20-13, dans sa rédaction antérieure à la présente loi, devient l’article L. 121-30 et est ainsi modifié : a) Aux premier et troisième alinéas, la référence : « L. 121-20-12 » est remplacée par la référence : « L. 121-29 » ; b) Au deuxième alinéa, la référence : « L. 121-20-10 » est remplacée par la référence : « L. 121-27 » ; 8° L’article L. 121-20-14, dans sa rédaction antérieure à la présente loi, devient l’article L. 121-31 et, au premier alinéa de cet article, les mots : « , reproduites à l’article L. 121-20-5, » sont supprimés ; 9° Les articles L. 121-32 et L. 1	https://www.assemblee-nationale.fr/14/projets/pl1357.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 121-20-13 ... devient l'article L. 121-30 et est ainsi modifié » : renumérotation assortie d'une modification directe, contenu concordant.	L'article L.121-20-13 « devient l'article L. 121-30 et est ainsi modifié ».		2026-09-26
juste	0411191067402c53	declaree	suppose	oui	1580	assemblee/13-ta-ta0159.asp	21 a	L122-11	code de la consommation	L122-11 (2008-01-05) — écrit par la loi du dossier, 2008-08-06 : Une pratique commerciale est agressive lorsque du fait de sollicitations répétées et insistante […] ‖ avant, 2008-01-05 : Une pratique commerciale est agressive lorsque du fait de sollicitations répétées et insistantes ou de l'usage d'une contrainte physique ou morale  […]	en œuvre la deuxième étape de la réforme des relations commerciales Article 21 A (nouveau) I. – L’article L. 120-1 du code de la consommation est complété par un alinéa et un II ainsi rédigés : « Le caractère déloyal d’une pratique commerciale visant une catégorie particulière	ainsi rédigée : « les pratiques commerciales trompeuses. » IV. – L’article L. 121-6 du même code est ainsi rédigé : « Art. L. 121-6. – Les pratiques commerciales trompeuses sont punies des peines prévues au premier alinéa de l’article L. 213-1. « L’amende peut être portée à 50 % des dépenses de la publicité ou de la pratique constituant le délit. « Les dispositions de l’article L. 213-6 prévoyant la responsabilité pénale des personnes morales sont applicables à ces infractions. » V. – L’article L. 122-11 du même code est ainsi modifié : 1° Le premier alinéa est complété par les mots : « , et compte tenu des circonstances qui l’entourent » ; 2° Il est ajouté un II ainsi rédigé : « II. – Afin de déterminer si une pratique commerciale recourt au harcèlement, à la contrainte, y compris la force physique, ou à une influence injustifiée, les éléments suivants sont pris en considération : « 1° Le moment et l’endroit où la pratique est mise en œuvre, sa nature et sa persistance ; « 2° Le recou	http://www.assemblee-nationale.fr/13/ta/ta0159.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 122-11 du même code est ainsi modifié » au sein du même article 21 A : modification directe.	« L'article L. 122-11 du même code est ainsi modifié ».		2026-09-26
juste	04160875b7b98d51	declaree	suppose	oui	14565	assemblee/14-ta-commission-r3904-a0.asp	18 sexies	L752-3	code de la consommation	L752-3 (2016-07-01) — écrit par la loi du dossier, 2018-01-01 : Le fichier recense les mesures du plan conventionnel de redressement mentionnées à l'article L.  […] ‖ avant, 2016-07-01 : Le fichier recense les mesures du plan conventionnel de redressement mentionnées à l'article L. 732-2. Ces mesures sont communiquées à la Banque de […]	cureur de la République. » Chapitre IV Dispositions relatives au surendettement Article 18 sexies I. – Le livre VII du code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 711-5, les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par le	4 et L. 733-7 » ; 19° À l’article L. 742-2, la référence : « L. 733-12 » est remplacée par la référence : « L. 733-10 » ; 20° À l’article L. 743-1, les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par les références : « L. 741-2, L. 741-6, L. 741-7 » ; 21° Au second alinéa de l’article L. 752-2, les mots : « ou d’orientation » sont supprimés et les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par les références : « L. 741-2, L. 741-6, L. 741-7 » ; 22° L’article L. 752-3 est ainsi modifié : a) À la première phrase du deuxième alinéa, les références : « L. 733-7 et L. 733-8 » sont remplacées par les références : « L. 733-4 et L. 733-7 » et les mots : « lorsqu’elles sont soumises à son homologation » sont supprimés ; b) Le troisième alinéa est ainsi modifié : – aux première et seconde phrases, les références : « L. 733-7 et L. 733-8 » sont remplacées par les références : « L. 733-4 et L. 733-7 » ; – à la fin de la première phrase, les mots : « ou de la da	http://www.assemblee-nationale.fr/14/ta-commission/r3904-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« L'article L. 752-3 est ainsi modifié » : modification directe des références internes.	« L'article L. 752-3 est ainsi modifié ».		2026-09-26
juste	043753f4f6b55f49	declaree	suppose	oui	6619	assemblee/14-ta-commission-r1574-a0.asp	4	L113-3-2	code de la consommation	L113-3-2 (2014-06-14) — écrit par la loi du dossier, 2014-06-14 : Tout manquement à l'article L. 113-3 et aux arrêtés pris pour son application et à l'article L. 113-3-1 est passible d'une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L'am […]	onclure ce contrat. » Article 3 ter (Suppression maintenue) Article 4 I. – Le chapitre Ier du titre Ier du livre Ier du code de la consommation est ainsi rédigé : « Chapitre IER « Obligation générale d’information précontractuelle « Art. L. 111-1. – Avant que le consommateur ne s	mettre à sa disposition, et l’en informer préalablement par écrit, au moins une procédure de remboursement sans que le passager n’ait à supporter de frais. Ce remboursement intervient au plus tard trente jours à compter de la date de réception par le transporteur aérien de la demande du passager. Les conditions générales de transport informent les passagers des modalités des demandes de remboursement. » III. – (Non modifié) Après le même article L. 113-3, sont insérés des articles L. 113-3-1 et L. 113-3-2 ainsi rédigés : « Art. L. 113-3-1. – I. – Lorsque le prix ne peut être raisonnablement calculé à l’avance du fait de la nature du bien ou du service, le professionnel fournit le mode de calcul du prix et, s’il y a lieu, tous les frais supplémentaires de transport, de livraison ou d’affranchissement et tous les autres frais éventuels. Lorsque les frais supplémentaires ne peuvent raisonnablement être calculés à l’avance, le professionnel mentionne qu’ils peuvent être exigibles. « II. –	http://www.assemblee-nationale.fr/14/ta-commission/r1574-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« sont insérés des articles L. 113-3-1 et L. 113-3-2 ainsi rédigés » : L113-3-2 est créé avec le texte même qui figure dans le fonds.	Le texte insère « des articles L. 113-3-1 et L. 113-3-2 ainsi rédigés » après L.113-3, créant l'article visé (pas une ancre).		2026-09-26
juste	0444c68464992d3e	declaree	suppose	oui	14003	assemblee/14-ta-commission-r3726-a0.asp	18 sexies	L743-1	code de la consommation	L743-1 (2016-07-01) — écrit par la loi du dossier, 2018-01-01 : Les dettes effacées en application des dispositions des articles L. 741-2, L. 741-6, L. 741-7 et […] ‖ avant, 2016-07-01 : Les dettes effacées en application des dispositions des articles L. 741-3, L. 741-7, L. 741-8 et L. 742-21 valent régularisation des incidents au s […]	nsommation, dans sa rédaction résultant de l’ordonnance n° 2016-301 du 14 mars 2016 relative à la partie législative du code de la consommation, est ainsi modifié : 1° Au premier alinéa de l’article L. 711-5, les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par l	situation du débiteur et l’évolution possible de celle-ci. « Art. L. 741-9. – Les créances dont les titulaires n’ont pas formé tierce opposition dans un délai fixé par décret sont éteintes. » ; 18° À la fin du dernier alinéa de l’article L. 742-1 et de l’article L. 742-24, les références : « L. 733-7 et L. 733-8 » sont remplacées par les références : « L. 733-4 et L. 733-7 » ; 19° À l’article L. 742-2, la référence : « L. 733-12 » est remplacée par la référence : « L. 733-10 » ; 20° À l’article L. 743-1, les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par les références : « L. 741-2, L. 741-6, L. 741-7 » ; 21° Au second alinéa de l’article L. 752-2, les mots : « ou d’orientation » sont supprimés et les références : « L. 741-3, L. 741-7, L. 741-8 » sont remplacées par les références : « L. 741-2, L. 741-6, L. 741-7 » ; 22° L’article L. 752-3 est ainsi modifié : a) À la première phrase du deuxième alinéa, les références : « L. 733-7 et L. 733-8 » sont remplacées par les	http://www.assemblee-nationale.fr/14/ta-commission/r3726-a0.asp	juste		sonnet-juge-a	sonnet-juge-b		« À l'article L. 743-1, les références ... sont remplacées » : modification directe.	« À l'article L. 743-1, les références ... sont remplacées ».		2026-09-26
juste	0445c371834a5451	declaree	suppose	oui	98	assemblee/14-ta-pdf-2866-1-art_49-3.pdf	33 decies	L111-5-1	code de la consommation	L111-5-1 (2015-08-08) — écrit par la loi du dossier, 2015-08-08 : Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties  […]	.............. Article 33 nonies (Suppression maintenue) Article 33 decies Le chapitre Ier du titre Ier du livre Ier du code de la consommation est ainsi modifié : 1° Après l’article L. 111-5, il est inséré un article L. 111-5-1 ainsi rédigé : « Art. L. 111-5-1. – Sans préjudice	la publication de la loi n° du pour la croissance, l’activité et l’égalité des chances économiques cessent de produire leurs effets dès l’entrée en vigueur de la même loi. » ......................................................................................................................... Article 33 nonies (Suppression maintenue) Article 33 decies Le chapitre Ier du titre Ier du livre Ier du code de la consommation est ainsi modifié : 1° Après l’article L. 111-5, il est inséré un article L. 111-5-1 ainsi rédigé : « Art. L. 111-5-1. – Sans préjudice des obligations d’information prévues à l’article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l’économie numérique, toute personne dont l’activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d’un bien, de la fourniture d’un service ou de l’échange ou du partage d’un bien ou d’un service est tenue de délivrer une information loyale, claire et transparente sur les condit	http://www.assemblee-nationale.fr/14/ta-pdf/2866-1-art_49-3.pdf	juste		sonnet-juge-a	sonnet-juge-b		« il est inséré un article L. 111-5-1 ainsi rédigé » : création directe, texte identique au fonds — L111-5 n'est que l'ancre, mais le numéro cité est bien l'article créé.	Le 1° insère « un article L. 111-5-1 ainsi rédigé » : l'article créé est celui visé, pas l'ancre L.111-5.		2026-09-26
