verdict	cle	voie	hote	legi	distance_hote	texte	article_du_texte	numero_cite	code_cite	article_du_fonds	mention_hote	contexte	url
juste	00025260537d1f29	declaree	nomme	oui	52	senat/petite-loi-ameli-2012-2013-810.html	6	L133-3	code de la consommation	L133-3 (2014-03-19) Les conditions générales de vente applicables aux contrats de consommation mentionnent : 1° Selon des modalités fixées par arrêté du ministre chargé de l'économie, l'existence, les conditions de mise en œuvre et le contenu de la garantie légale de conformité et de la garantie relative aux défauts de […]	ait lobjet dune convention dhonoraires. » Section 3 Garanties Article 6 Le chapitre III du titre III du livre Ier du code de la consommation est complété par un article L. 133-3 ainsi rédigé : « Art. L. 133-3.  Les conditions générales de vente applicables aux contrats de con	éforme de certaines professions judiciaires et juridiques est complété par deux alinéas ainsi rédigés : « Dans les conditions fixées par décret en Conseil dÉtat, lavocat est autorisé à recourir à la publicité ainsi quà la sollicitation personnalisée. « Toute prestation réalisée à la suite dune sollicitation personnalisée fait lobjet dune convention dhonoraires. » Section 3 Garanties Article 6 Le chapitre III du titre III du livre Ier du code de la consommation est complété par un article L. 133-3 ainsi rédigé : « Art. L. 133-3.  Les conditions générales de vente applicables aux contrats de consommation mentionnent : « 1° Selon des modalités fixées par arrêté du ministre chargé de léconomie, lexistence, les conditions de mise en uvre et le contenu de la garantie légale de conformité et de celle relative aux défauts de la chose vendue, dues par le vendeur ; « 2° Le cas échéant, lexistence dune garantie commerciale et dun service après-vente. » Article 7 I.  Larticle L. 21	http://www.senat.fr/petite-loi-ameli/2012-2013/810.html
juste	0014278db682ccbc	declaree	nomme	oui	50	senat/leg-tas07-009.html	43	L215-3-2	code de la consommation	L215-3-2 (2007-10-30) Les services et établissements de l'Etat et des autres collectivités publiques sont tenus de communiquer aux agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes et aux officiers et agents de police judiciaire tous les renseignements et documents en […]	en Conseil d'État détermine les modalités d'application du présent article. » Article 43 Après l'article L. 215-3-1 du code de la consommation, il est inséré un article L. 215-3-2 ainsi rédigé : « Art. L. 215-3-2 . - Les services et établissements de l'État et des autres collect	ambre de l'instruction par déclaration au greffe du tribunal dans les dix jours qui suivent la notification de la décision. Cet appel est suspensif. Le propriétaire et les tiers peuvent être entendus par la chambre de l'instruction. Les tiers ne peuvent toutefois pas prétendre à la mise à disposition de la procédure. « Un décret en Conseil d'État détermine les modalités d'application du présent article. » Article 43 Après l'article L. 215-3-1 du code de la consommation, il est inséré un article L. 215-3-2 ainsi rédigé : « Art. L. 215-3-2 . - Les services et établissements de l'État et des autres collectivités publiques sont tenus de communiquer aux agents de la direction générale de la concurrence, de la consommation et de la répression des fraudes et aux officiers et agents de police judiciaire tous les renseignements et documents en leur possession qui peuvent s'avérer utiles à la lutte contre la contrefaçon, à l'exception de ceux qu'ils ont recueillis ou échangés en application du r	http://www.senat.fr/leg/tas07-009.html
juste	002e6fb7a482a1d2	declaree	suppose	oui	21180	assemblee/13-projets-pl1769.asp	26	L332-6	code de la consommation	L332-6 (1993-07-27) En cas de vente forcée du logement principal du débiteur, grevé d'une inscription bénéficiant à un établissement de crédit ayant fourni les sommes nécessaires à son acquisition, le juge de l'excécution peut, par décision spéciale et motivée, réduire le montant de la fraction des prêts immobiliers re […]	ARTICULIERS Chapitre Ier Composition et compétences de la commission de surendettement Article 20 L’article L. 331-1 du code de la consommation est ainsi rédigé : « Art. L. 331-1. – Il est institué, dans chaque département, au moins une commission de surendettement des particulie	ussi l’effacement de la dette résultant de l’engagement que le débiteur a donné de cautionner ou d’acquitter solidairement la dette d’un entrepreneur individuel ou d’une société. « Le rétablissement personnel sans liquidation judiciaire, rendu exécutoire par le juge de l’exécution, est opposable à l’ensemble des créanciers du débiteur dont les créances entrent dans le champ du présent article. Un décret détermine les modalités de publicité de cette mesure auprès des créanciers. » ; 2° L’article L. 332-6 est ainsi modifié : a) La première phrase du premier alinéa est ainsi rédigée : « Lorsque le juge est saisi aux fins d’ouverture d’une procédure de rétablissement personnel avec liquidation judiciaire, il convoque le débiteur et les créanciers connus à l’audience. » ; b) Le deuxième alinéa est ainsi rédigé : « Le jugement d’ouverture entraîne, jusqu’au jugement de clôture, la suspension des procédures d’exécution diligentées contre le débiteur, y compris des mesures d’expulsion de son l	https://www.assemblee-nationale.fr/13/projets/pl1769.asp
juste	003a7aeb03a31db0	declaree	suppose	oui	4016	senat/leg-tas08-098.html	31	L334-4	code de la consommation	L334-4 (2004-08-21) Il est institué une commission de surendettement des particuliers en Nouvelle-Calédonie. Cette commission comprend le haut-commissaire de la République, président, et le trésorier-payeur général de la Nouvelle-Calédonie, vice-président. Ces personnes peuvent se faire représenter, par un seul et même […]	4° Les modifications et adjonctions apportées par les articles 20 à 27 de la présente loi au titre III du livre III du code de la consommation, en ses articles L. 330-1, L. 331-1 à L. 331-3-2, L. 331-5, L. 331-7 à L. 331-9, L. 332-1 à L. 332-3, L. 332-5 à L. 332-6-1, L. 332-9 à	et-Miquelon « Art. L. 334-12 . - I. - Une commission de surendettement siège à Saint-Pierre-et-Miquelon. Le directeur d'agence de l'institut d'émission des départements d'outre-mer est membre de la commission en lieu et place du représentant de la Banque de France. « II. - La troisième phrase du huitième alinéa de l'article L. 331-7 et la troisième phrase du 2° de l'article L. 331-7-1 ne sont pas applicables à Saint-Pierre-et-Miquelon. » Article 31 I (nouveau) . - Le dernier alinéa de l'article L. 334-4 du même code est remplacé par deux alinéas ainsi rédigés : « La commission comprend également deux personnes, désignées par le haut-commissaire de la République, justifiant pour l'une d'une expérience dans le domaine de l'économie sociale et familiale, pour l'autre d'un diplôme et d'une expérience dans le domaine juridique. « La commission adopte un règlement intérieur rendu public. » II. - L'article L. 334-5 du même code est ainsi modifié : 1° Au premier alinéa, les mots : « à l'exclus	http://www.senat.fr/leg/tas08-098.html
juste	0042080ab518afca	declaree	suppose	oui	2339	assemblee/14-ta-commission-r2145-a0.asp	34	L121-114	code de la consommation	L121-114 (2014-12-22) Tout manquement à la présente section est passible d'une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2.	du II de l’article 1522 bis du code général des impôts relatives aux impositions dues au titre de 2015. Article 34 Le code de la consommation est ainsi modifié : 1° Le 1° de l’article L. 121-15 est ainsi rédigé : « 1° Sur une opération commerciale soumise à autorisation ou à dé	« Art. L. 121-98-1. – Tout manquement aux dispositions de la présente section est passible d’une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L’amende est prononcée dans les conditions prévues à l’article L. 141-1-2. » ; 7° La section 17 du chapitre Ier du titre II du livre Ier, dans sa rédaction résultant de l’article 24 de la loi n° 2014-344 du 17 mars 2014 précitée, est complétée par des articles L. 121-113 et L. 121-114 ainsi rédigés : « Art. L. 121-113. – Les manquements aux dispositions de la présente section sont recherchés et constatés dans les conditions prévues au I de l’article L. 141-1. « Art. L. 121-114. – Tout manquement aux dispositions de la présente section est passible d’une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L’amende est prononcée dans les conditions prévues à l’article L. 141-1-2. » ; 8° Au deu	http://www.assemblee-nationale.fr/14/ta-commission/r2145-a0.asp
juste	0047e52282941817	declaree	suppose	oui	1835	assemblee/13-ta-commission-r2150-a0.asp	4	L311-8-1	code de la consommation	L311-8-1 (2011-05-01) Lorsqu'un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente ou par un moyen de vente à distance, un contrat de crédit pour financer l'achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur do […]	hapitre III Conditions de formation du contrat Article 4 I. – La section 4 du chapitre Ier du titre Ier du livre III du code de la consommation est intitulée : « Explications fournies à l’emprunteur et évaluation de sa solvabilité » et comprend les articles L. 311-8 à L. 311-10-1	du crédit à la consommation et à la prévention du surendettement. L’employeur de ces personnes tient à disposition, à des fins de contrôle, l’attestation de formation mentionnée à l’article L. 6353-1 du code du travail établie par un des prêteurs dont les crédits sont proposés sur le lieu de vente ou par un organisme de formation enregistré. Un décret définit les exigences minimales auxquelles doit répondre cette formation. » B. – Après l’article L. 311-8 du même code, il est inséré un article L. 311-8-1 ainsi rédigé : « Art. L. 311-8-1. – Lorsqu’un prêteur ou un intermédiaire de crédit propose au consommateur, sur le lieu de vente, un contrat de crédit pour financer l’achat de biens ou de prestations de services particuliers pour un montant supérieur à un seuil fixé par décret, le consommateur doit disposer de la possibilité de conclure un contrat de crédit amortissable à la place d’un contrat de crédit renouvelable. » C. – L’article L. 311-9 du même code est ainsi rétabli : « Art. L	http://www.assemblee-nationale.fr/13/ta-commission/r2150-a0.asp
juste	005742241c2d936e	declaree	nomme	oui	-12	assemblee/14-ta-commission-r2866-a0.asp	13	L141-1	code de la consommation	L141-1 (1993-07-27) I. - Sont constatées et poursuivies dans les conditions fixées par les articles 45, premier et troisième alinéa, 46, 47 et 52 de l'ordonnance n° 86-1243 du 1er décembre 1986 relative à la liberté des prix et de la concurrence, reproduits au paragraphe IV ci-après, les infractions aux dispositions pr […]	écrit, au moins trois jours avant. » ; 6° Le 4° de l’article 53 est abrogé. II. – Après le III de l'article L. 141-1 du code de la consommation, il est inséré un III bis ainsi rédigé : « III bis. – Sont recherchés et constatés, dans les conditions fixées au II du présent article,	titre Ier est complété par un article 10-1 ainsi rédigé : « Art. 10-1. – Lorsque, pour vérifier le respect du troisième alinéa de l’article 10 de la présente loi, l’autorité administrative chargée de la concurrence et de la consommation fait usage des pouvoirs mentionnés au 1° du III bis de l’article L. 141-1 du code de la consommation, elle en informe le bâtonnier du barreau concerné par écrit, au moins trois jours avant. » ; 6° Le 4° de l’article 53 est abrogé. II. – Après le III de l'article L. 141-1 du code de la consommation, il est inséré un III bis ainsi rédigé : « III bis. – Sont recherchés et constatés, dans les conditions fixées au II du présent article, les manquements aux dispositions : « 1° Du troisième alinéa de l’article 10 de la loi n° 71-1130 du 31 décembre 1971 portant réforme de certaines professions judiciaires et juridiques, dans le respect du secret professionnel mentionné à l’article 66-5 de la même loi ; ». III et III bis. – (Non modifiés) IV. – Les 1° à 3° et 6	http://www.assemblee-nationale.fr/14/ta-commission/r2866-a0.asp
juste	00595ff86c5ef899	declaree	suppose	oui	3115	assemblee/14-ta-ta0295.asp	114	L113-6	code de la consommation	L113-6 (2014-03-19) Tout manquement à l'article L. 113-5 est passible d'une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L'amende est prononcée dans les conditions prévues à l'article L. 141-1-2.	, L. 470-1 et L. 470-5. » Section 4 Mise en place de sanctions administratives Article 113 Après l’article L. 141-1 du code de la consommation, il est inséré un article L. 141-1-2 ainsi rédigé : « Art. L. 141-1-2. – I. – L’autorité administrative chargée de la concurrence et de	occasion de la recherche et de la constatation d’un manquement ayant donné lieu à une procédure de sanction administrative ne sont communicables qu’à la personne qui en fait l’objet ou à son représentant. « IX. – L’amende est recouvrée comme en matière de créances étrangères à l’impôt et au domaine. « X. – Les modalités d’application du présent article sont fixées par décret en Conseil d’État. » Article 114 I. – Le chapitre III du titre Ier du livre Ier du même code est complété par un article L. 113-6 ainsi rédigé : « Art. L. 113-6. – Tout manquement à l’article L. 113-5 est passible d’une amende administrative dont le montant ne peut excéder 3 000 € pour une personne physique et 15 000 € pour une personne morale. L’amende est prononcée dans les conditions prévues à l’article L. 141-1-2. » II. – Le chapitre Ier du titre II du même livre Ier est ainsi modifié : 1° La sous-section 2 de la section 1 est ainsi modifiée : a) L’article L. 121-15 est ainsi modifié : – au 4°, la référence :	http://www.assemblee-nationale.fr/14/ta/ta0295.asp
juste	0066c154f7034f69	declaree	suppose	oui	1277	assemblee/13-ta-commission-r2150-a0.asp	13	L322-5	code de la consommation	L322-5 (2001-12-12) Les dispositions des articles L. 321-1, L. 322-1 et L. 322-2 s'appliquent aux contrats en cours le 1er janvier 1986 ; à cette date, les dossiers en cours devront être intégralement remis aux débiteurs par les intermédiaires qui en avaient la charge.	tions applicables aux intermédiaires de crédit Article 13 I. – (Non modifié) Au premier alinéa de l’article L. 321-2 du code de la consommation, après les mots : « par un particulier », sont insérés les mots : « , à l’exception des opérations de crédit mentionnées à l’article L.	ermédiaire de crédit et l’emprunteur conviennent par écrit ou sur un autre support durable des frais éventuels dus par l’emprunteur à l’intermédiaire de crédit pour ses services. « L’intermédiaire de crédit informe le prêteur de ces frais, aux fins du calcul du taux annuel effectif global. » III. – (Non modifié) L’article L. 322-3 du même code est complété par une phrase ainsi rédigée : « Le non-respect des articles L. 321-3 et L. 321-4 est puni de la même peine. » IV. – (Non modifié) L’article L. 322-5 du même code est abrogé. V (nouveau). – Le chapitre IX du titre Ier du livre V du code monétaire et financier est complété par un article L. 519-6 ainsi rédigé : » « Art. L. 519-6. – Il est interdit à toute personne physique ou morale qui apporte son concours, à quelque titre que ce soit et de quelque manière que ce soit, directement ou indirectement, à l’obtention ou à l’octroi d’un prêt d’argent, de percevoir une somme représentative de provision, de commissions, de frais de recherche	http://www.assemblee-nationale.fr/13/ta-commission/r2150-a0.asp
juste	006d357deb0fa0ef	declaree	nomme	oui	78	assemblee/dyn-15-textes-l15b4624_proposition-loi-	3	L313-8	code de la consommation	"L313-8 (1993-07-27) Lorsque le créancier demande un cautionnement solidaire pour l'une des opérations relevant des chapitres Ier ou II du présent titre, la personne physique qui se porte caution doit, à peine de nullité de son engagement, faire précéder sa signature de la mention manuscrite suivante : ""En renonçant au  […]"	es L. 522-1 à L. 522-10 du code de la consommation, les amendes administratives prévues au précédent alinéa. » II. – Le code de la consommation est ainsi modifié : 1° Le dernier alinéa de l’article L. 313-8 est complété par une phrase ainsi rédigée : « Cette notice indique la pos	bles d’une amende administrative dont le montant ne peut excéder 3 000 euros pour une personne physique et 15 000 euros pour une personne morale. « L’autorité administrative chargée de la concurrence et de la consommation est l’autorité compétente pour prononcer, dans les conditions prévues aux articles L. 522-1 à L. 522-10 du code de la consommation, les amendes administratives prévues au précédent alinéa. » II. – Le code de la consommation est ainsi modifié : 1° Le dernier alinéa de l’article L. 313-8 est complété par une phrase ainsi rédigée : « Cette notice indique la possibilité pour l’emprunteur de résilier le contrat d’assurance à tout moment à compter de la signature de l’offre de prêt. » 2° Après le 29° de l’article L. 511-7, il est inséré un 30° ainsi rédigé :            – 9 – « 30° De l’article L. 113-15-3 du code des assurances et de l’article L 221-10-4 du code de la mutualité. » III. – Après l’article L. 221-10-3 du code de la mutualité, il est inséré un artic	https://www.assemblee-nationale.fr/dyn/15/textes/l15b4624_proposition-loi#
