verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	1095ccb758a3202c	senat	26909	Retiré	M. BIGOT	L733-10	rédigé	JORFDOLE000030962821	Article 18 sexies (Supprimé)	Rétablir cet article dans la rédaction suivante : I. – Le livre VII du code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 711‑5, les références : « L. 741‑3, L. 741‑7, L. 741‑8 » sont remplacées par les références : « L. 741‑2, L. 741‑6 et L. 741‑7 » ; 2° Le second alinéa de l’article L. 711‑8 est ainsi modifié : a) Les mots : « par l’article L. 733‑1, jusqu’à l’homologation par le juge des mesures recommandées en application des articles » sont remplacés par la référence : « aux articles L. 733‑1, » ; b) Les références : « L. 733‑7, L. 733‑8 » sont remplacées par […]	L733-10 (2016-07-01) S'il n'a pas été saisi de la contestation prévue à l'article L. 733-12, le juge du tribunal d'instance confère force exécutoire aux mesures recommandées par la commission en application des dispositions du 1° de l'article L. 733-7 et de l'article L. 733-8, après en avoir vérifié la régularité, ainsi qu'aux mesures reco […]	//www.senat.fr/amendements/2015-2016/840/Amdt_55.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif complet (point 16°) réécrit les sections 2 et 3 du chapitre III, dont « Art. L. 733-10. – Une partie peut contester devant le juge du tribunal d'instance… », et le point 19° renvoie à L. 733-10 : le texte la modifie bien, conformément à la formule « rédigé ».	L'amendement rétablit l'article 18 sexies du PJL justice du XXIe siècle, texte identique à celui adopté à l'AN (ta0738/r3904) : son 16° rédige le nouvel art. L. 733-10 (« Les sections 2 et 3 du chapitre III du titre III sont ainsi rédigées : Art. L. 733-10. – Une partie peut contester devant le juge du tribunal d'instance… ») et son 15° remplace les articles L. 733-6 à L. 733-11. La fenêtre tronquée ne montre que les 1° et 2° (L. 711-5, L. 711-8), mais la formule « rédigé » associée à L733-10 correspond bien à cette réécriture du livre VII du code de la consommation.	2026-09-19
juste	10a89915f2289930	senat	12481	Adopté	M. HYEST	L341-4	rédigé	JORFDOLE000018052730	art. add. après Article 6 ter (Art. L. 341-3 du code de la consommation)	I. Après le texte proposé par le II de cet article pour insérer un article L. 341-3 dans le code de la consommation, insérer trois articles ainsi rédigés : « Art. L. 341-4.- Un créancier professionnel ne peut se prévaloir d'un contrat de cautionnement conclu par une personne physique dont l'engagement était, lors de sa conclusion, manifestement disproportionné à ses biens et revenus, à moins que le patrimoine de cette caution, au moment où celle-ci est appelée, ne lui permette de faire face à son obligation. « Art. L. 341-5.- Les stipulations de solidarité et de renonciation au bénéfice de dis […]	L341-4 (2003-08-05) Un créancier professionnel ne peut se prévaloir d'un contrat de cautionnement conclu par une personne physique dont l'engagement était, lors de sa conclusion, manifestement disproportionné à ses biens et revenus, à moins que le patrimoine de cette caution, au moment où celle-ci est appelée, ne lui permette de faire fac […]	//www.senat.fr/amendements/2002-2003/170/Amdt_13.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif insère trois articles dans le code de la consommation, dont l'« Art. L. 341-4 » reproduit mot pour mot l'article L341-4 du fonds (version 2003-08-05) : il crée donc bien cet article. L'ancre d'insertion est L. 341-3, pas L. 341-4, qui est le contenu créé et non un simple renvoi.	Le dispositif nomme l'article L. 341-4 et le crée (« insérer trois articles ainsi rédigés : « Art. L. 341-4.- Un créancier professionnel… » »), texte identique au L. 341-4 codifié (2003-08-05). Le texte en discussion (loi du 1er août 2003) confirme l'insertion de cet article dans le code de la consommation après le L. 341-3.	2026-09-19
juste	10c71ae2ab462961	assemblee	3661	Rejeté	M. Frédéric Lefebvre	L423-5	rédigé	JORFDOLE000027383756	ART. PREMIER	Rédiger ainsi cet article : Le titre II du livre IV du code de la consommation est complété par un chapitre III ainsi rédigé : « Chapitre III « L’action en réparation des préjudices de consommation « Section 1 « Champ d’application « Art. L. 423‑1. – L’action en réparation des préjudices de consommation a pour objet la réparation du préjudice matériel subi par un nombre significatif de consommateurs, personnes physiques, ayant contracté avec un même professionnel pour la vente d’un produit ou la fourniture d’un service et se trouvant dans des situations de droit ou de fait identiques ou simila […]	L423-5 (2014-03-19) Dans la même décision prononçant la responsabilité du professionnel, le juge fixe le délai dont disposent les consommateurs pour adhérer au groupe afin d'obtenir la réparation de leur préjudice. Ce délai ne peut être inférieur à deux mois ni supérieur à six mois après l'achèvement des mesures de publicité ordonnées par […]		juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif de l'amendement 3661 complète le titre II du livre IV du code de la consommation par un chapitre III dont il rédige explicitement l'article L. 423-5 (« Art. L. 423-5. – En cas d'accord… »). Il crée/réécrit donc bien cet article, et ne se contente pas de le citer.	Arête « vise » formule « rédigé » : le dispositif « Rédiger ainsi cet article » remplace l'article premier du projet de loi relatif à la consommation, qui crée d'un bloc le chapitre III du titre II du livre IV du code (art. L. 423-1 à L. 423-9, dont L. 423-5 — vérifié dans le projet n° 1357 du corpus). La réécriture opère donc bien sur L423-5 (réécrit ou déplace sa création), pas comme simple citation, ancre ou homonyme d'un autre code.	2026-09-19
juste	1176f4e4775917a1	senat	36357	Irrecevable art. 45, al. 1 C (cavalier)	M. DOSSUS	L217-23	complété	JORFDOLE000043113774	art. add. après Article 13	Après l’article 13 Insérer un article additionnel ainsi rédigé : L’article L. 217‑23 du code de la consommation est complété par un alinéa ainsi rédigé : « Dès lors que le vendeur ne fournit plus de mises à jour, il diffuse gratuitement sous format électronique, dans un standard ouvert librement réutilisable et exploitable par un système de traitement automatisé, les codes sources afférents au produit concerné. »	L217-23 (2020-02-12) Le vendeur veille à ce que le consommateur reçoive les mises à jour nécessaires au maintien de la conformité des biens au cours d'une période à laquelle le consommateur peut raisonnablement s'attendre. Cette période ne peut être inférieure à deux ans. Un décret fixe dans quelles conditions cette période peut être supér […]	//www.senat.fr/amendements/2020-2021/667/Amdt_362.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif complète explicitement l'article L. 217-23 du code de la consommation, ce qui est bien une modification de cet article ; article_du_fonds concorde (même article, code de la consommation).	Le dispositif nomme l'article L. 217-23 du code de la consommation et le modifie (« est complété par un alinéa ainsi rédigé »), ce qui établit que l'amendement portait sur cet article ; l'article du fonds concorde. L'irrecevabilité cavalier n'affecte pas la cible.	2026-09-19
juste	11cbe53fbe887feb	senat	26909	Retiré	M. BIGOT	L711-8	modifié	JORFDOLE000030962821	Article 18 sexies (Supprimé)	Rétablir cet article dans la rédaction suivante : I. – Le livre VII du code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 711‑5, les références : « L. 741‑3, L. 741‑7, L. 741‑8 » sont remplacées par les références : « L. 741‑2, L. 741‑6 et L. 741‑7 » ; 2° Le second alinéa de l’article L. 711‑8 est ainsi modifié : a) Les mots : « par l’article L. 733‑1, jusqu’à l’homologation par le juge des mesures recommandées en application des articles » sont remplacés par la référence : « aux articles L. 733‑1, » ; b) Les références : « L. 733‑7, L. 733‑8 » sont remplacées par […]	L711-8 (2016-07-01) Lorsqu'une procédure de surendettement est engagée devant une commission à la demande d'un entrepreneur individuel à responsabilité limitée, celui-ci indique, lors du dépôt du dossier, si une procédure instituée par les titres II à IV du livre VI du code de commerce est ouverte à son bénéfice et auprès de quelle juridi […]	//www.senat.fr/amendements/2015-2016/840/Amdt_55.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif nomme et modifie le second alinéa de l'article L. 711-8 du code de la consommation (substitution de références), il ne le cite donc pas sans le toucher : l'amendement porte bien sur L. 711-8.	Le dispositif de l'amendement 26909 (rétablir l'article 18 sexies) nomme et modifie expressément le second alinéa de l'article L. 711-8 du code de la consommation (2° a et b), en cohérence avec l'article 18 sexies (nouveau) du texte de commission r3726 qui porte ces mêmes modifications. L'article du fonds L711-8 (surendettement) correspond à l'article visé.	2026-09-19
juste	11d2cb52fcd14677	senat	14356	Adopté	LE GOUVERNEMENT	L122-3	rédigé	JORFDOLE000021369332	art. add. après Article 26	Après l'article 26, insérer un article additionnel ainsi rédigé : Le code de la consommation est ainsi modifié : 1° Les 1°, 4° et 5° de l'article L. 115-30 sont abrogés ; 2° Le dernier alinéa de l'article L. 121-8 est supprimé ; 3° Le premier alinéa de l'article L. 121-35 est complété par les mots : « dès lors que la pratique en cause revêt un caractère déloyal au sens de l'article L. 120-1 » ; 4° Le premier alinéa de l'article L. 121-36 est complété par une phrase ainsi rédigée : « Lorsque la participation à cette opération est conditionnée à une obligation d'achat, la pratique n'est illicite […]	L122-3 (1993-07-27) Tout professionnel vendeur de bien ou prestataire de services qui aura indûment perçu d'un consommateur un paiement sans engagement exprès et préalable de ce dernier est tenu de restituer les sommes ainsi prélevées qui sont productives d'intérêts au taux légal calculés à compter de la date du paiement indu et d'intérêt […]	//www.senat.fr/amendements/2010-2011/21/Amdt_229.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif, tronqué dans la fiche après le 4°, comporte un 6° : « L'article L. 122-3 est ainsi rédigé », confirmé par le texte complet de l'amendement 229 rect. (corpus ameli) ; il réécrit donc bien l'article L. 122-3 du code de la consommation.	Le dispositif tronqué à 4° se poursuit dans le corpus (article 26 bis nouveau du texte, identique au dispositif sur 1°-4°) : son 6° porte « L'article L. 122-3 est ainsi rédigé », qui réécrit l'article visé du code de la consommation. La formule « rédigé » est une vraie modification, pas une citation.	2026-09-19
juste	1212a202a47eb749	senat	25542	Rejeté	LE GOUVERNEMENT	L534-6	abrogés	JORFDOLE000029883713	art. add. après Article 64 bis	Après l’article 64 bis Insérer un article additionnel ainsi rédigé : I. – Le code de la consommation est ainsi modifié : 1° Au premier alinéa de l’article L. 221‑3, les mots : « , pris après avis de la commission prévue à l’article L. 534‑4 » sont supprimés ; 2° À la première phrase de l’article L. 531‑2, aux articles L. 531‑3 et L. 531‑4, à la première phrase de l’article L. 534‑8, au premier alinéa de l’article L. 534‑9 et à l’article L. 534‑10, la référence : « , L. 534‑4 » est supprimée ; 3° L’article L. 531‑3 est complété par un alinéa ainsi rédigé : « Le commissaire du Gouvernement auprè […]	L534-6 (2010-07-03) La commission peut être saisie par toute personne physique ou morale. Si elle estime que les faits invoqués ne sont pas appuyés d'éléments suffisamment probants, elle peut conclure par décision motivée qu'il n'y a pas lieu, en l'état, d'y donner suite. Elle notifie sa décision à l'auteur de la saisine. La commission pe […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1494.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif complet (tronqué dans la fiche) porte au 4° : « Les articles L. 534-4, L. 534-5 et L. 534-6 sont abrogés » ; il abroge donc bien l'article L. 534-6 du code de la consommation, conformément à la formule « abrogés ».	Le dispositif complet de l'amendement 1494 rect. (Gouvernement, rejeté) porte au 4° : « Les articles L. 534-4, L. 534-5 et L. 534-6 sont abrogés » — vérifié dans le corpus ameli JORFDOLE000029883713__2014-2015_371.csv. Le dispositif nomme donc bien l'article L534-6 du code de la consommation et l'abroge, conformément à la formule « abrogés » ; l'article du fonds affiché (L534-6, version 2010-07-03) est bien celui de la commission visée.	2026-09-19
juste	129278174c626ead	senat	40230	Adopté	LE GOUVERNEMENT	L412-9	complété	JORFDOLE000043701629	Article 4 bis	Compléter cet article par un paragraphe ainsi rédigé : …. – Le I de l’article L. 412‑9 du code de la consommation est complété par les mots : « , ainsi que pour les viandes utilisées en tant qu’ingrédient dans des préparations de viandes et des produits à base de viande lorsque l’opérateur a connaissance de cette information en application d’une réglementation nationale ou européenne ».	L412-9 (2020-06-12) I.-Dans les établissements proposant des repas à consommer sur place ou dans les établissements proposant des repas à consommer sur place et à emporter ou à livrer, l'indication du pays d'origine ou du lieu de provenance est obligatoire pour les plats contenant un ou plusieurs morceaux de viandes bovines au sens du règ […]	//www.senat.fr/amendements/2020-2021/829/Amdt_81.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif de l'amendement complète explicitement le I de l'article L. 412-9 du code de la consommation, qui correspond à l'article visé et à la formule « complété » ; la modification est réelle et non une simple citation.	Le dispositif complète expressément le I de l'article L. 412-9 du code de la consommation — modification directe, pas une citation ni une ancre, et le code est nommé. L'article du fonds (pays d'origine des viandes) correspond, et la formule relevée « complété » colle au texte.	2026-09-19
juste	14108d95db232f30	senat	25105	Retiré	Mme ASSASSI	L121-1	complété	JORFDOLE000029883713	Article 10 (Supprimé)	Rétablir cet article dans la rédaction suivante : Le 2° du I de l’article L. 121‑1 du code de la consommation est complété par un alinéa ainsi rédigé : « ...) Le recours à des arguments nutritionnels portant sur des caractéristiques accessoires du produit et visant à attribuer à celui‑ci des avantages et propriétés qu’il ne possède pas, ou à masquer son impact sanitaire réel, ou les arguments visant à attribuer des caractéristiques nutritionnelles sans rapport avec l’incidence sanitaire réelle selon le mode de consommation généralement pratiqué ; ».	L121-1 (1993-07-27) Est interdite toute publicité comportant, sous quelque forme que ce soit, des allégations, indications ou présentations fausses ou de nature à induire en erreur, lorsque celles-ci portent sur un ou plusieurs des éléments ci-après ; existence, nature, composition, qualités substantielles, teneur en principes utiles, esp […]	//www.senat.fr/amendements/2014-2015/371/Amdt_1056.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif nomme explicitement l'article L. 121-1 du code de la consommation et le complète (2° du I), donc l'amendement portait bien sur cet article du code.	Le dispositif nomme expressément le 2° du I de l'article L. 121-1 du code de la consommation et propose de le compléter par un alinéa sur les arguments nutritionnels ; formule « complété » cohérente. L'article du fonds (1993-07-27, publicité mensongère) est le bon article du bon code, et « Article 10 (Supprimé) » + « Rétablir cet article » cadrent avec un rétablissement d'article du projet modifiant L121-1.	2026-09-19
juste	1487784f6bb2bd27	senat	16631	Retiré	Mme LIENEMANN	L332-9	insérés	JORFDOLE000026795365	Article 22	Après l’alinéa 23 Insérer trois alinéas ainsi rédigés : ...° Après le deuxième alinéa des articles L. 332-5 et L. 332-9, sont insérés deux alinéas ainsi rédigés : « Le montant des dettes effacées correspond à celui qui a été arrêté par la commission de surendettement lors de l’établissement de l’état du passif et le cas échéant, par le juge lors de sa saisine ou le mandataire qu’il a désigné en application des dispositions de l’article L. 332-6. Le jugement de clôture précise le montant des dettes à effacer. « S’agissant des dettes locatives, après vérification des créances, le juge retient le […]	L332-9 (2003-08-02) Lorsque l'actif réalisé est suffisant pour désintéresser les créanciers, le juge prononce la clôture de la procédure. Lorsque l'actif réalisé est insuffisant pour désintéresser les créanciers ou lorsque le débiteur ne possède rien d'autre que des biens meublants nécessaires à la vie courante et des biens non profession […]	//www.senat.fr/amendements/2012-2013/423/Amdt_198.html	juste	juste	deepseek+glm	agent:deepseek-v4p1-flash	agent:glm-5p3-flash		Le dispositif modifie explicitement L. 332-9 : « Après le deuxième alinéa des articles L. 332-5 et L. 332-9, sont insérés deux alinéas ». L'article du fonds (clôture de la procédure de surendettement) correspond bien au code de la consommation, donc la visée est réelle et pas un homonyme.	Le dispositif vise nommément L. 332-9 (« Après le deuxième alinéa des articles L. 332-5 et L. 332-9, sont insérés deux alinéas… ») et le modifie, pas simple citation. Le contenu inséré (montant des dettes effacées, jugement de clôture, renvoi à L. 332-6) correspond à l'objet de L332-9 tel qu'affiché dans l'article du fonds.	2026-09-19
