verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00b0824cb0b68599	assemblee	23637	Adopté	Mme Sabine Buis	L314-1	modifié	JORFDOLE000029310724	APRÈS ART. 6 BIS	I. –L’article L. 314‑1 du code de la consommation est ainsi modifié : 1° Au début du premier alinéa, est insérée la référence : « I. – ». 2° Il est complété par un II ainsi rédigé : « II. – Un établissement de crédit, un établissement financier ou une société de tiers-financement mentionnée à l’article L. 311‑6 du code monétaire et financier peuvent procéder à des avances sur travaux de rénovation. Ces avances sur travaux sont des contrats par lesquels ces établissements et sociétés consentent à une personne physique un prêt sous forme d’un capital, garanti par une hypothèque constituée à haut […]	L314-1 (2006-03-24) Le prêt viager hypothécaire est un contrat par lequel un établissement de crédit ou un établissement financier consent à une personne physique un prêt sous forme d'un capital ou de versements périodiques, garanti par une hypothèque constituée sur un bien immobilier de l'emprunteur à usage exclusif d'habitation et dont  […]		juste		sonnet-A	sonnet-B		Le dispositif réécrit l'alinéa 1 et ajoute un II à L. 314-1 du code de la consommation, cible directement modifiée.	Le dispositif réécrit directement L. 314-1 (ajout du I, ajout d'un II).		2026-09-24
juste	01ea0b8b8c753dea	assemblee	12957	Adopté	Mme Catherine Vautrin	L732-3	complété	JORFDOLE000032319792	ART. 25 BIS	Rétablir cet article dans la rédaction suivante : « I. – Le titre III du livre VII du code de la consommation est ainsi modifié : 1° À l’intitulé du chapitre Ier, les mots : « de la capacité de remboursement » sont remplacés par les mots : « du montant des remboursements » ; 2° À l’article L. 731‑1, les mots : « la capacité de remboursement est fixée » sont remplacés par les mots : « le montant des remboursements est fixé » ; 3° À l’article L. 732‑1, après la référence : « L. 724‑1 », sont insérés les mots : « et que le débiteur est propriétaire d’un bien immobilier » ; 4° L’article L. 732‑3 e […]	L732-3 (2016-07-01) Le plan prévoit les modalités de son exécution. Sa durée totale, y compris lorsqu'il fait l'objet d'une révision ou d'un renouvellement, ne peut excéder sept années. Les mesures peuvent cependant excéder cette durée lorsqu'elles concernent le remboursement de prêts contractés pour l'achat d'un bien immobilier constitua […]		juste		sonnet-A	sonnet-B		Le 4° du I explicite (vérifié en base) complète L. 732-3 du code de la consommation par un alinéa, modification directe.	Le 4° du dispositif complète directement L. 732-3 par un alinéa.		2026-09-24
faux	020e9a443e16e72c	assemblee	36657	Adopté	LE GOUVERNEMENT	L111-5-1	modifié	JORFDOLE000031589829	ART. 22	Substituer aux alinéas 1 à 3 l’alinéa suivant : « L’article L. 111‑5‑1 du code de la consommation est ainsi modifié : ».	L111-5-1 (2015-08-08) Sans préjudice des obligations d'information prévues à l'article 19 de la loi n° 2004-575 du 21 juin 2004 pour la confiance dans l'économie numérique, toute personne dont l'activité consiste à mettre en relation, par voie électronique, plusieurs parties en vue de la vente d'un bien, de la fourniture d'un service ou de  […]		faux		sonnet-A	sonnet-B		Le dispositif entier se limite à substituer aux alinéas 1-3 la seule phrase d'annonce « L'article L. 111-5-1 est ainsi modifié : », sans contenu normatif touchant l'article.	Chapeau vide : le dispositif entier ne fait que substituer le chapeau « L'article L. 111-5-1 est ainsi modifié : » sans aucune substance après le deux-points (le point final après le guillemet fait échapper ce cas à la garde CHAPEAU_VIDE).		2026-09-24
juste	03d881af7d753bd8	assemblee	13263	Retiré	M. Jean Jacques Vlody	L113-3	inséré	JORFDOLE000026349687	APRÈS ART. 5	Après le premier alinéa de l’article L. 113‑3 du code de la consommation, il est inséré un alinéa ainsi rédigé : « Dans les départements et les collectivités d’outre-mer, tout vendeur doit informer le consommateur, au moment de la vente d’un produit, du prix d’achat au producteur ou fournisseur dudit produit. ».	L113-3 (1993-07-27) Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et les conditions particulières de la vente, selon des modalités fixées […]		juste		sonnet-A	sonnet-B		Insère un alinéa après le premier alinéa de L. 113-3 lui-même, modification interne et non simple ancre vers un autre article.	Insère un alinéa après le premier alinéa de L. 113-3, ce qui modifie l'article lui-même.		2026-09-24
juste	04e6815c729633d5	assemblee	3430	Adopté	M. Frédéric Barbier	L313-11	à la fin de	JORFDOLE000027383756	ART. 19 SEPTIES	Rédiger ainsi cet article : « À la fin de l’article L. 313‑11 du code de la consommation, les mots : « à l’acheteur d’un bien mobilier ou immobilier » sont supprimés. »	L313-11 (1993-07-27) Tout vendeur, salarié ou non d'un organisme bancaire ou de crédit, ne peut, en aucun cas, être rémunéré en fonction du taux du crédit qu'il a fait contracter à l'acheteur d'un bien mobilier ou immobilier.		juste		sonnet-A	sonnet-B		Supprime des mots à la fin de L. 313-11 du code de la consommation, modification directe du texte de l'article.	Supprime des mots à la fin de L. 313-11, modification directe de l'article.		2026-09-24
juste	086ac4b4e4779803	assemblee	2909	Retiré	M. Dominique Potier	L122-11-1	complété	JORFDOLE000027383756	APRÈS ART. 5	I. L’article L. 111‑8 du code des procédures civiles d’exécution est ainsi modifié : 1° La première phrase du deuxième alinéa est complétée par les mots : « au créancier » ; 2° Après le deuxième alinéa, sont insérés deux alinéas ainsi rédigés : « Aucun frais de recouvrement amiable ne peut être porté à la charge du débiteur par une personne en charge du recouvrement amiable de créances. « Le non-respect des dispositions figurant à l’alinéa précédant constitue une pratique commerciale illicite au titre des articles L. 122‑11 à 122‑14 du code de la consommation ». II. L’article L. 122‑11‑1 du co […]	L122-11-1 (2008-08-06) Sont réputées agressives au sens de l'article L. 122-11 les pratiques commerciales qui ont pour objet : 1° De donner au consommateur l'impression qu'il ne pourra quitter les lieux avant qu'un contrat n'ait été conclu ; 2° D'effectuer des visites personnelles au domicile du consommateur, en ignorant sa demande de voir l […]		juste		sonnet-A	sonnet-B		Le II du dispositif (vérifié en base) complète explicitement L. 122-11-1 du code de la consommation par un alinéa 9°.	Le II du dispositif complète directement L. 122-11-1 par un 9°.		2026-09-24
juste	0b3d25c181998a65	assemblee	36380	Retiré	M. André Chassaigne	L121-83	modifié	JORFDOLE000031589829	APRÈS ART. 25	L’article L. 121‑83 du code de la consommation est ainsi modifié : 1° Le b est complété par les mots : « y compris les débits minimums, moyens et maximums montants et descendants fournis lorsqu’il s’agit de services d’accès à internet fixe et une estimation des débits maximums montants et descendants fournis dans le cas de services d’accès à internet mobile ; » 2° Après le mot : « applicables », la fin du d est ainsi rédigée : « lorsque le niveau de qualité de services ou les débits prévus dans le contrat, ou annoncés dans les publicités ou les documents commerciaux relatifs à l’offre souscrit […]	L121-83 (2004-07-10) Tout contrat souscrit par un consommateur avec un fournisseur de services de communications électroniques au sens du 6° de l'article L. 32 du code des postes et des communications électroniques doit comporter au moins les informations suivantes : a) L'identité et l'adresse du fournisseur ; b) Les services offerts, leur […]		juste		sonnet-A	sonnet-B		Modifie le b et réécrit la fin du d de L. 121-83 du code de la consommation, modification directe.	Modifie directement le b et le d de L. 121-83.		2026-09-24
juste	0c90fc73105e5a16	assemblee	13036	Non soutenu	M. Dino Cinieri	L313-30	rédigés	JORFDOLE000032319792	ART. 29 BIS B	Compléter cet article par les trois alinéas suivants : « III. − Les deux derniers alinéas de l’article L. 313‑30 du code de la consommation sont ainsi rédigés : « Au-delà de la période de douze mois mentionnée au premier alinéa, l’emprunteur peut résilier le contrat tous les ans tel que mentionné dans l’article L. 113‑12 du code des assurances ou au deuxième alinéa de l’article L. 221‑10 du code de la mutualité et procéder à sa substitution dans les mêmes conditions que prévues au premier alinéa du présent article. Toute clause contraire est réputée non écrite. « Toute décision de refus doit ê […]	L313-30 (2016-07-01) Jusqu'à la signature par l'emprunteur de l'offre mentionnée à l'article L. 313-24, le prêteur ne peut pas refuser en garantie un autre contrat d'assurance dès lors que ce contrat présente un niveau de garantie équivalent au contrat d'assurance de groupe qu'il propose. Il en est de même lorsque l'emprunteur fait usage d […]		juste		sonnet-A	sonnet-B		Réécrit les deux derniers alinéas de L. 313-30 du code de la consommation, modification directe.	Réécrit les deux derniers alinéas de L. 313-30 (code de la consommation post-recodification, dates cohérentes).		2026-09-24
faux	0f0c06da67f2c684	assemblee	47111	Adopté	M. Freddy Sertin	L314-7	modifié	JORFDOLE000049262627	APRÈS ART. PREMIER	I. – Le code de l’action sociale est ainsi modifié : 1° Après la section 4 du chapitre II du titre I er du livre III, est ajoutée une section 4 bis ainsi rédigée : « Section 4 bis : Coopérations « Sous-section unique : Groupement territorial social et médico-social « Art. L. 312‑7-2 . – I. – Les établissements publics mentionnés aux I et II de l’article L. 313‑12, les accueils de jour autonomes publics et les services à domicile publics mentionnés au 6° du I de l’article L. 312‑1, à l’exception de ceux gérés par un centre communal ou intercommunal d’action sociale ou une collectivité territori […]	L314-7 (2016-07-01) Les conditions de calcul et de publicité des taux effectifs moyens mentionnés à l'article L. 314-6 sont fixées par décret.		faux		sonnet-A	sonnet-B		Le L. 314-7 modifié au 2° est celui du code de l'action sociale et des familles (le I ne modifie que « le code de l'action sociale »), homonyme du code de la consommation.	L. 314-7 visé est celui du code de l'action sociale et des familles (EPRD, plan pluriannuel d'investissement), homonyme du code de la consommation ; l'amendement modifie « le code de l'action sociale ».		2026-09-24
juste	0f6ec7645f5b7e58	assemblee	2565	Retiré	M. Laurent Grandguillaume	L311-5	modifié	JORFDOLE000027383756	AVANT ART. 18	Le premier alinéa de l’article L. 311-5 du code de la consommation est ainsi modifié : 1° Après le mot : « informations », est insérée la référence : « visées à l’article L. 311-4 ». 2° Après le mot : « promotionnel », sont insérés les mots : « ou tout autre taux ».	"L311-5 (1993-07-27) Est interdite, hors des lieux de vente, toute publicité : 1° Comportant la mention ""crédit gratuit"" ou proposant un avantage équivalent ou concernant la prise en charge totale ou partielle des frais de crédit par le vendeur ; 2° Portant sur une opération de financement proposée pour l'acquisition ou la location avec op […]"		juste		sonnet-A	sonnet-B		Modifie le premier alinéa de L. 311-5 du code de la consommation par deux insertions de mots/référence.	Modifie directement le premier alinéa de L. 311-5.		2026-09-24
