verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	03792c0793293869	senat	40345	Retiré	Mme EVRARD	L313-32	modifié	JORFDOLE000044373959	Article 4	Rédiger ainsi cet article : Le code de la consommation est ainsi modifié : 1° L’article L. 313‑31 est ainsi modifié : a) Le deuxième alinéa est ainsi modifié : - les mots : « du deuxième alinéa de l’article L. 113‑12 du codes des assurances, » sont supprimés ; - les mots : « même code » sont remplacés par les mots : « code des assurances » ; - les mots : « des premier ou troisième alinéas » sont remplacés par les mots : « du troisième alinéa » ; b) Au troisième alinéa, après le mot : « avenant », sont insérés les mots : «, dans un délai de dix jours ouvrés à compter de la réception de la deman […]	L313-32 (2016-07-01) Le prêteur ne peut, en contrepartie de son acceptation en garantie d'un contrat d'assurance autre que le contrat d'assurance qu'il propose, y compris en cas d'exercice du droit de résiliation en application du premier alinéa de l'article L. 113-12-2 du code des assurances ou du deuxième alinéa de l'article L. 221-10 du […]	//www.senat.fr/amendements/2021-2022/368/Amdt_35.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« 2° L'article L. 313-32 est ainsi modifié : a) [...] b) [...] » — modification explicite et nommée de L313-32 (lignée unique en vigueur depuis 2016-07-01).	Le 2° du dispositif modifie explicitement L'article L. 313-32 est ainsi modifié, suppression/remplacement de mots correspondant aux termes présents dans les versions successives du fonds. Meme arete que dans precision-vise-4.		2026-09-21
juste	4f1010731b205963	assemblee	2534	Adopté	M. Philippe Kemel	L331-3-1	modifié	JORFDOLE000026795365	APRÈS ART. 22	Le code de la consommation est ainsi modifié : I. – À la dernière phrase du premier alinéa de l’article L. 330‑1, après le mot : « principale » sont insérés les mots : « et que la valeur estimée de celle-ci à la date du dépôt du dossier de surendettement soit égale ou supérieure au montant de l’ensemble des dettes non professionnelles exigibles et à échoir ». II. – L’article L. 331‑2 est complété par un alinéa ainsi rédigé : « Le montant des remboursements peut, avec l’accord du débiteur et dans des limites raisonnables, excéder la somme calculée par référence à la quotité saisissable du salai […]	L331-3-1 (2007-03-06) La saisine du juge aux fins de rétablissement personnel emporte suspension des voies d'exécution, y compris des mesures d'expulsion du logement du débiteur, jusqu'au jugement d'ouverture.		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« III. - L'article L. 331-3-1 est ainsi modifié : 1° [...] 2° [...] » : modification explicite, lignée 2007-2016 cohérente (dossier ALUR, adopté).	Le III modifie explicitement L'article L. 331-3-1 est ainsi modifié, et les deux ajouts proposes se retrouvent mot pour mot dans les versions successives du fonds 2013-07-28 et 2014-01-01, sur le rétablissement des allocations de logement et le protocole de cohesion sociale. Adopte.		2026-09-21
juste	77e0cfbeec440bc2	senat	32890	Adopté	LE GOUVERNEMENT	L222-16-1	insérés	JORFDOLE000037080861	Article 26 bis B	A. – Alinéa 4 Supprimer les mots : par une des personnes entrant dans le champ d’application de l’article L. 54‑10‑3 B. – Alinéas 31 à 35 Remplacer ces alinéas par quatre alinéas ainsi rédigés : 1° Après le premier alinéa de l’article L. 222‑16‑1, sont insérés trois alinéas ainsi rédigés : « Est également interdite toute publicité, directe ou indirecte, diffusée par voie électronique ayant pour objet d’inviter une personne, par le biais d’un formulaire de réponse ou de contact, à demander ou à fournir des informations complémentaires, ou à établir une relation avec l’annonceur, en vue d’obteni […]	L222-16-1 (2016-12-11) La publicité, directe ou indirecte, adressée par voie électronique à des clients susceptibles d'être non professionnels, notamment des clients potentiels, relative à la fourniture de services d'investissement portant sur les contrats financiers définis à l'article L. 533-12-7 du code monétaire et financier est interdit […]	//www.senat.fr/amendements/2018-2019/255/Amdt_947.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« Après le premier alinéa de l'article L. 222-16-1, sont insérés trois alinéas ainsi rédigés [...] » : insertion réelle dans l'article, lignée 2016-2999 cohérente (adopté).	1 du B insère explicitement trois alineas apres le premier alinea de l'article L. 222-16-1, article existant nomme, dont le premier alinea correspond a l'interdiction de publicite du fonds. Adopte.		2026-09-21
juste	883f425b8f54ffc4	senat	29390	Irrecevable art. 44 bis, al. 5 et 6 RS (entonnoir)	M. CORNANO	L313-31	modifié	JORFDOLE000032319792	Article 29 bis B	Alinéa 2 Rétablir le III dans la rédaction suivante : III. – Le chapitre III du titre I er du livre III du code la consommation est ainsi modifié : 1° Les deux derniers alinéas de l’article L. 313‑30 sont ainsi rédigés : « Au‑delà de la période de douze mois susmentionnée, l’emprunteur peut résilier le contrat tous les ans tel que mentionné dans l’article L. 113‑12 du code des assurances ou au deuxième alinéa de l’article L. 221‑10 du code de la mutualité et procéder à sa substitution dans les mêmes conditions que prévues au premier alinéa du présent article. Toute clause contraire est réputée […]	L313-31 (2016-07-01) Si l'offre mentionnée à l'article L. 313-24 a été émise, le prêteur notifie à l'emprunteur sa décision d'acceptation ou de refus et lui adresse, s'il y a lieu, l'offre modifiée mentionnée à l'article L. 313-27, dans un délai de dix jours ouvrés à compter de la réception de la demande de substitution. Si l'emprunteur fa […]	//www.senat.fr/amendements/2016-2017/80/Amdt_53.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« 2° L'article L. 313-31 est ainsi modifié : a) [...] b) [...] c) [...] » : modification explicite ; irrecevable (entonnoir) mais la formule compte, lignée 2016-2999 confirmée.	Le 2 du III modifie explicitement L'article L. 313-31 est ainsi modifie ; les mots cites en a et b se retrouvent mot pour mot au deuxieme et au dernier alinea du fonds 2016-07-01. Irrecevable entonnoir mais formule et numero comptent.		2026-09-21
juste	b8150de4c703627e	senat	41053	Rejeté	Mme Mélanie VOGEL	L223-2	abrogé	JORFDOLE000047533100	art. add. après Article 1er	Après l’article 1 er Insérer un article additionnel ainsi rédigé : I. – Le code de la consommation est ainsi modifié : 1° L’article L. 221‑16 est ainsi rédigé : « Art. L. 221‑16. – Sans préjudice des dispositions de l’article L. 221‑12, le professionnel qui contacte un consommateur inscrit sur la liste d’autorisation mentionnée à l’article L. 223‑4 par téléphone en vue de conclure un contrat portant sur la vente d’un bien ou sur la fourniture d’un service indique au début de la conversation, de manière claire, précise et compréhensible, son identité, le cas échéant l’identité de la personne po […]	L223-2 (2016-07-01) Lorsqu'un professionnel est amené à recueillir auprès d'un consommateur des données téléphoniques, il l'informe de son droit à s'inscrire sur la liste d'opposition au démarchage téléphonique. Lorsque ce recueil d'information se fait à l'occasion de la conclusion d'un contrat, le contrat mentionne, de manière claire et  […]	//www.senat.fr/amendements/2022-2023/156/Amdt_2.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« 4° L'article L. 223-2 est abrogé ; » : abrogation explicite et nommée, lignée 2016-2999 cohérente (rejeté mais la formule compte).	Le 4 du I dit explicitement L'article L. 223-2 est abroge. Abrogation nommee et directe. Rejete mais la formule et le numero comptent, pas le sort.		2026-09-21
juste	bd1e4d728ee3c1b4	assemblee	2534	Adopté	M. Philippe Kemel	L331-2	complété	JORFDOLE000026795365	APRÈS ART. 22	Le code de la consommation est ainsi modifié : I. – À la dernière phrase du premier alinéa de l’article L. 330‑1, après le mot : « principale » sont insérés les mots : « et que la valeur estimée de celle-ci à la date du dépôt du dossier de surendettement soit égale ou supérieure au montant de l’ensemble des dettes non professionnelles exigibles et à échoir ». II. – L’article L. 331‑2 est complété par un alinéa ainsi rédigé : « Le montant des remboursements peut, avec l’accord du débiteur et dans des limites raisonnables, excéder la somme calculée par référence à la quotité saisissable du salai […]	L331-2 (1993-07-27) La procédure de règlement amiable est destinée, par l'élaboration d'un plan conventionnel approuvé par le débiteur et ses principaux créanciers, à régler la situation de surendettement des personnes physiques, caractérisée par l'impossibilité manifeste pour le débiteur de bonne foi de faire face à l'ensemble de ses det […]		juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« II. – L'article L. 331-2 est complété par un alinéa ainsi rédigé [...] » : modification explicite, lignée 1993-2016 cohérente (dossier ALUR, adopté).	Le II dit explicitement L'article L. 331-2 est complete par un alinea ; le texte propose se retrouve mot pour mot dans la version du fonds entree en vigueur le 2014-01-01 sur la cession de la residence principale. Adopte.		2026-09-21
juste	cde4ea3fbd360080	senat	17750	Adopté	M. COINTAT	L121-91-1	rédigé	JORFDOLE000027383756	Article 9 bis	Rédiger ainsi cet article : I. – Le code de la consommation est ainsi modifié : 1° Après l'article L. 121-84-11, il est inséré un article L. 121-84-12 ainsi rédigé : « Art. L. 121-84-12. - Le fournisseur de téléphonie fixe et mobile et d'accès à internet est tenu de proposer le paiement par chèque et un mode de paiement en espèces dans les conditions prévues par le code monétaire et financier. Il est tenu d'offrir gratuitement à tous ses clients la possibilité de payer ses factures par mandat compte. » ; 2° Après l'article L. 121-91, il est inséré un article L. 121-91-1 ainsi rédigé : « Art. L […]	L121-91-1 (2014-03-19) Le fournisseur d'électricité et de gaz naturel est tenu d'offrir gratuitement à tous ses clients la possibilité de payer ses factures par mandat compte.	//www.senat.fr/amendements/2013-2014/283/Amdt_167.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« 2° Après l'article L. 121-91, il est inséré un article L. 121-91-1 ainsi rédigé : Art. L. 121-91-1. - Le fournisseur d'électricité [...] » : crée l'article, lignée 2014-2016 cohérente (Hamon, adopté).	Le 2 du I insere apres l'article L. 121-91 un article L. 121-91-1 ainsi redige, texte identique a la version du fonds 2014-03-19. Adopte : creation directe de l'article.		2026-09-21
faux	ce48a45bc2daac66	senat	17406	Retiré	Mme BATAILLE	L121-99	rédigé	JORFDOLE000027383756	Article 4 bis A	Compléter cet article par un paragraphe ainsi rédigé : ... - Le chapitre Ier du titre II du code de la consommation est complété par une section 14 ainsi rédigée : « Section 14 « Appellation « artisan restaurateur » « Art. L. 121‑97. – Ne peuvent utiliser l’appellation d’ « artisan restaurateur » que les professionnels justifiant eux‑mêmes ou au sein de l’effectif de leur établissement au minimum d’un diplôme de niveau V dans le domaine professionnel de la cuisine ou de la salle, ou d’une expérience professionnelle minimum de 5 ans d’exercice de la fonction de cuisinier ou du métier de service […]	L121-99 (2014-03-19) Tout professionnel proposant des opérations d'achat de métaux précieux, notamment d'or, d'argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d'affichage, les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l'économie, pris après consultation du Co […]	//www.senat.fr/amendements/2012-2013/810/Amdt_529.html	faux	juste	agent:claude-opus-5 (arbitrage)	agent:claude-sonnet-5	agent:claude-sonnet-5	Arbitrage : l'amendement crée une section 14 « artisan restaurateur » et numérote lui-même ses articles L. 121-97 à L. 121-99 ; la loi a mis sous L. 121-99 les métaux précieux (section adoptée par ailleurs). Plan propre, numéro de coïncidence : il ne vise pas cet article-là. Le juge B a raison.	Le dispositif insere une section 14 artisan restaurateur de son cru, numerotant ses trois nouveaux articles L. 121-97 a L. 121-99 sous un plan qui lui est propre le dernier renvoyant a L. 121-97. Le fonds sous ce numero, issu de la meme loi mais d'une autre disposition adoptee, porte un contenu totalement different metaux precieux. Amendement retire : numero colle par coincidence, pas le meme objet.	Verdict initial du juge A, déplacé pour arbitrage : « Art. L. 121-99 » figure parmi les articles créés par la section 14 insérée ; lignée 2014-2016 cohérente.	2026-09-21
juste	d388fef65cf798d8	senat	40885	Rejeté	Mme Mélanie VOGEL	L223-2	abrogé	JORFDOLE000046382160	art. add. après Article 1er	Après l’article 1 er Insérer un article additionnel ainsi rédigé : I. – Le code de la consommation est ainsi modifié : 1° L’article L. 221‑16 est ainsi rédigé : « Art. L. 221‑16. – Sans préjudice des dispositions de l’article L. 221‑12, le professionnel qui contacte un consommateur inscrit sur la liste d’autorisation mentionnée à l’article L. 223‑4 par téléphone en vue de conclure un contrat portant sur la vente d’un bien ou sur la fourniture d’un service indique au début de la conversation, de manière claire, précise et compréhensible, son identité, le cas échéant l’identité de la personne po […]	L223-2 (2016-07-01) Lorsqu'un professionnel est amené à recueillir auprès d'un consommateur des données téléphoniques, il l'informe de son droit à s'inscrire sur la liste d'opposition au démarchage téléphonique. Lorsque ce recueil d'information se fait à l'occasion de la conclusion d'un contrat, le contrat mentionne, de manière claire et  […]	//www.senat.fr/amendements/2022-2023/156/Amdt_2.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« 4° L'article L. 223-2 est abrogé ; » : abrogation explicite et nommée, lignée 2016-2999 cohérente (rejeté mais la formule compte).	Le 4 du I dit explicitement L'article L. 223-2 est abroge. Meme amendement redepose sous un autre dossier que b8150de4c703627e, meme constat : abrogation nommee et directe, rejete mais formule et numero comptent.		2026-09-21
juste	e3a82931b3a75cf5	senat	21327	Adopté	M. REQUIER	L121-21	complété	JORFDOLE000029134377	Article 34	Après l'alinéa 5 Insérer un alinéa ainsi rédigé : …) L’article L. 121-21 est complété par deux alinéas ainsi rédigés : « Lorsque le contrat ayant pour objet l'acquisition ou le transfert d'un bien immobilier est précédé d'un contrat préliminaire prévu à l'article L. 261-15 du code de la construction et de l'habitation ou d'une promesse synallagmatique ou unilatérale de vente, conclus hors établissement, le délai de rétractation court à compter de la conclusion de ce contrat préliminaire ou de cette promesse. « Pour les contrats ayant pour objet la construction de biens immobiliers, le délai de […]	L121-21 (1993-07-27) Est soumis aux dispositions de la présente section quiconque pratique ou fait pratiquer le démarchage, au domicile d'une personne physique, à sa résidence ou à son lieu de travail, même à sa demande, afin de lui proposer l'achat, la vente, la location, la location-vente ou la location avec option d'achat de biens ou la […]	//www.senat.fr/amendements/2014-2015/60/Amdt_16.html	juste		agent:claude-sonnet-5	agent:claude-sonnet-5		« ...) L'article L. 121-21 est complété par deux alinéas ainsi rédigés [...] » : modification explicite, lignée 1993-2016 cohérente (amendement 2014-2015, adopté).	Dispositif : L'article L. 121-21 est complete par deux alineas ; le texte propose sur le contrat preliminaire immobilier se retrouve mot pour mot dans une version posterieure du fonds. Adopte.		2026-09-21
