verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	04c2bc3d216c1ad4	assemblee	11534	Adopté	M. Razzy Hammadi	L121-99	rédigé	JORFDOLE000027383756	ART. 11	Compléter cet article par les vingt-quatre alinéas suivants : « Section 15 « Contrats d’achat de métaux précieux « Art. L. 121‑98. – Tout professionnel proposant des opérations d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous quelque forme que se soit, auprès des consommateurs, doit, par voie d’affichage, indiquer les prix proposés, selon des modalités fixées par arrêté du ministre chargé de l’économie, après consultation du Conseil national de la consommation. « Art. L. 121‑98‑1. – Toute opération d’achat de métaux précieux, notamment d’or, d’argent ou de platine, sous […]	L121-99 (2014-03-19) — écrit par la loi du dossier, 2014-03-19 : Tout professionnel proposant des opérations d'achat de métaux précieux, notamment d'or, d'argent ou de platine, sous quelque forme que ce soit, auprès des consommateurs indique, par voie d'affichage, les prix proposés, selon des modalités fixées par arrêt […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement rédige « Art. L. 121-98 » sur l'affichage des prix d'achat de métaux précieux, phrase reprise mot pour mot par L121-99 promulgué (L121-98 réel porte sur les foires et salons).	Le dispositif crée « Art. L. 121-98 » (adopté) mot pour mot identique au fonds L121-99 (« Tout professionnel proposant des opérations d'achat de métaux précieux... indique, par voie d'affichage, les prix proposés... ») ; glissement de numérotation seulement.		2026-09-26
juste	0a1852133476eb18	assemblee	77144	Adopté	M. Thierry Benoit	L412-12	rédigé	JORFDOLE000039451785	APRÈS ART. 5	La section 2 du chapitre II du titre I er du livre IV du code de la consommation est complétée par un article L. 412‑10 ainsi rédigé : « Art. L. 412‑10. – Le nom et l’adresse du producteur de bière sont indiqués en évidence sur l’étiquetage de manière à ne pas induire en erreur le consommateur quant à l’origine de la bière, d’une manière quelconque, y compris en raison de la présentation générale de l’étiquette. « Les mentions de l’étiquetage, y compris le nom commercial ne sauraient faire apparaitre un lieu différent du lieu de production réel de la bière. »	L412-12 (2020-06-12) — écrit par la loi du dossier, 2020-06-12 : Le nom et l'adresse du producteur de bière sont indiqués en évidence sur l'étiquetage de manière à ne pas induire en erreur le consommateur quant à l'origine de la bière, d'une manière quelconque, y compris en raison de la présentation générale de l'étiqu […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement rédige « Art. L. 412-10 » sur le nom et l'adresse du producteur de bière à l'étiquetage, texte identique à L412-12 promulgué (L412-10 réel porte sur les denrées d'origine animale).	Le dispositif (adopté) crée « Art. L. 412-10 » dont le premier alinéa est mot pour mot celui du fonds L412-12 (2020-06-12).		2026-09-26
juste	15271b7c47cb5c56	assemblee	26239	Adopté	M. Jean-Louis Bricout	L121-106	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-106 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : La présente section s'applique aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d'un poids supérieu […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement rédige « Art. L. 121-105 » sur le champ d'application des contrats de gaz de pétrole liquéfié, texte repris mot pour mot par L121-106 promulgué (L121-105 réel porte sur les foires et voituriers).	Le passage propre de l'amendement 26239 (adopté), écrit « Art. L. 121-105 », est quasi mot pour mot celui que la loi range sous L121-106 (« La présente section s'applique... »).		2026-09-26
juste	2854fcbeabdd3b92	assemblee	405	Rejeté	M. Jean Gaubert	L120-1	rédigé	JORFDOLE000017841208	APRÈS L'ART. 12	Après l'article 12, insérer l'article suivant : Le chapitre II du titre II du livre I er du code de la consommation est complété par une section 5 ainsi rédigée : « Section 5 « Pratiques commerciales déloyales « Art. L. 122-11. – Les pratiques commerciales déloyales à l’égard des consommateurs sont interdites. Une pratique commerciale est déloyale lorsqu’elle est contraire aux exigences de la diligence professionnelle et qu’elle altère ou est susceptible d’altérer de manière substantielle le comportement économique du consommateur normalement informé et raisonnablement attentif et avisé, à l’é […]	L120-1 (2008-01-05) — écrit par la loi du dossier, 2008-01-05 : Les pratiques commerciales déloyales sont interdites. Une pratique commerciale est déloyale lorsqu'elle est contraire aux exigences de la diligence professionnelle et qu'elle altère, ou est susceptible d'altérer de manière substantielle, le comportement éc […]	https://www.assemblee-nationale.fr/13/amendements/0351/035100256.asp	faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». `vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	L'amendement 405 est rejeté ; le texte identique (transposition de la directive 2005/29/CE) devient L120-1 par l'amendement 351, adopté et déjà numéroté L. 120-1 dans le même dossier — la concordance de 405 tient à une formule reprise, non à son propre passage devenu loi.	`vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	2026-09-26
juste	5ffd14b04e682b48	assemblee	23971		M. Frédéric Lefebvre	L121-111	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – Toute somme versée d’avance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. « La restitution par le professionnel des sommes versées par le consommateur au titre d’un dépôt de garantie doit être effectuée au plus tard dans un délai de trente jours à compter de la re […]	L121-111 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : Toute somme versée d'avance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. Les sommes versées par  […]		faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». `vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	L'amendement 23971 (Lefebvre) est retiré ; le passage devenu L121-111 est celui, adopté, de l'amendement 26239 (Bricout) — 23971 ne partage qu'une formule commune (dossier GPL) jamais devenue loi sous sa plume.	`vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	2026-09-26
juste	6344fa1e37854f8a	assemblee	26239	Adopté	M. Jean-Louis Bricout	L121-111	rédigé	JORFDOLE000027383756	ART. 11	I. – Après l’alinéa 35, insérer les vingt-cinq alinéas suivants : « Section 17 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑105. – Les dispositions de la présente section s’appliquent aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à 50 kilogrammes, ou l’entretien de tels matériels. « Art. L. 121‑106. – Les contrats visés à l’article L. 121‑105 sont écrits, le consommateur n’étant engagé que par sa signa […]	L121-111 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : Toute somme versée d'avance par le consommateur au professionnel doit lui être restituée, sous réserve du paiement des factures restant dues, au plus tard dans un délai de trente jours à compter du paiement de la dernière facture. Les sommes versées par  […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement adopté rédige « Art. L. 121-110 » sur la restitution des sommes versées d'avance, texte repris mot pour mot par L121-111 promulgué, décalé d'un rang.	Le passage propre de l'amendement 26239 (adopté), écrit « Art. L. 121-110 », est mot pour mot celui du fonds L121-111 (les quatre alinéas, dépôt de garantie compris).		2026-09-26
juste	73b1fafbb0ae2878	assemblee	23806		M. Frédéric Lefebvre	L121-109	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – Toute entreprise proposant les contrats objets de la présente section est tenue à une obligation d’information du consommateur sur la sécurité pendant la durée d’exécution du contrat, dans des conditions définies par arrêté conjoint des ministres chargés de la consommation, de l’énergie et de la sécurité des équipements sous pression. ».	L121-109 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : Tout professionnel proposant les contrats mentionnés à l'article L. 121-106 est tenu à une obligation d'information du consommateur sur la sécurité pendant la durée d'exécution du contrat, dans des conditions définies par arrêté conjoint des ministres ch […]		faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». `vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	L'amendement 23806 (Lefebvre) est retiré ; l'obligation d'information sur la sécurité devenue L121-109 est le passage propre, adopté, de l'amendement 26239 (Bricout).	`vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	2026-09-26
juste	9591b94090acd81a	assemblee	23964		M. Frédéric Lefebvre	L121-106	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – La présente section s’applique aux contrats souscrits par un consommateur ou un non-professionnel ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d’un poids supérieur à cinquante kilogrammes ou l’entretien de tels matériels. ».	L121-106 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : La présente section s'applique aux contrats souscrits par un consommateur ayant pour objet la fourniture de gaz de pétrole liquéfié en vrac, la mise à disposition ou la vente de matériels de stockage de gaz de pétrole liquéfié en vrac d'un poids supérieu […]		faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». `vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	L'amendement 23964 (Lefebvre) est retiré ; le champ d'application devenu L121-106 est le passage propre, adopté, de l'amendement 26239 (Bricout), non celui-ci.	`vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	2026-09-26
juste	b623882836e958f0	assemblee	23583		M. Frédéric Lefebvre	L121-110	rédigé	JORFDOLE000027383756	APRÈS ART. 11	Après l’article L. 121‑103 du code de la consommation, est insérée une section 16 ainsi rédigée : « Section 16 « Contrats relatifs au gaz de pétrole liquéfié « Art. L. 121‑104. – Tout projet de modification des conditions contractuelles à l’initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins deux mois avant son entrée en vigueur, assorti de l’information énoncée de manière claire, précise et visible selon laquelle ce dernier peut, tant qu’il n’a pas expressément accepté les nouvelles conditions, résilier le contrat sans pénalité de résiliation et  […]	L121-110 (2014-10-01) — écrit par la loi du dossier, 2014-10-01 : Tout projet de modification des conditions contractuelles à l'initiative du professionnel est communiqué par écrit par ce professionnel au consommateur au moins un mois avant son entrée en vigueur, assorti de l'information, énoncée de manière claire, pré […]		faux	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « juste » (sonnet-juge-a) ; B : « faux ». `vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	L'amendement 23583 (Lefebvre) est retiré, et ses délais (deux/quatre mois) diffèrent même de ceux réellement retenus (un/trois mois, écrits par Bricout dans l'amendement 26239 adopté qui devient L121-110).	`vise` compte la tentative, non son adoption (docs/57 § 3) : l'amendement, rejeté ou retiré, rédige sous un autre numéro la disposition que le fonds porte ici ; qu'un autre amendement, adopté, ait fourni le texte de la loi relève de `resulte_de`, non de `vise`.	2026-09-26
juste	b7588ba7500bf7d5	assemblee	23475	Adopté	M. Razzy Hammadi	L121-47	rédigé	JORFDOLE000027383756	APRÈS ART. 72	I. – Après l’article L. 121‑41 du code de la consommation, la section 7 est ainsi rédigée : « Section 7 « Achats par l’intermédiaire des opérateurs de communications électroniques « Art. L. 121‑42. – Tout fournisseur d’un service téléphonique au public, au sens du 7° de l’article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines tranches de numéros à valeur ajoutée. Ces tranches de numéros sont définies par un arrêté conjoint du ministre chargé de la consommation et du mi […]	L121-47 (2016-03-18) — écrit par la loi du dossier, 2016-03-18 : Tout fournisseur d'un service téléphonique au public, au sens du 7° de l'article L. 32 du code des postes et des communications électroniques, propose au consommateur une option gratuite permettant de bloquer les communications à destination de certaines  […]		juste		sonnet-juge-a	sonnet-juge-b		L'amendement adopté rédige « Art. L. 121-42 » sur l'option gratuite de blocage des numéros à valeur ajoutée, texte identique à L121-47 promulgué (L121-42 réel porte sur un autre opérateur).	Le dispositif (adopté) crée « Art. L. 121-42 » mot pour mot identique au fonds L121-47 (option gratuite de blocage des numéros à valeur ajoutée).		2026-09-26
