verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	00b87b4a8eb0f0b0	assemblee	6226	Rejeté	M. Jean-Claude Bouchet	L112-2-1	rédigé	JORFDOLE000021673304	APRÈS L'ART. PREMIER BIS	Après l'article premier bis, insérer l'article suivant : Après l’article L. 112-2 du code de la consommation, il est inséré un article L. 112-2-1 ainsi rédigé : « Art. L. 112-2-1. – À l’exception des vins de Champagne, la mention « appellation d’origine contrôlée » immédiatement précédée du nom de l’appellation d’origine concernée figure obligatoirement dans l’étiquetage et la présentation des vins bénéficiant d’une appellation d’origine contrôlée. « Les cahiers des charges desdits vins fixent les modalités d’application de l’alinéa précédent. « La mention « appellation d’origine protégée » n’ […]	"L112-2-1 (2010-07-29) — écrit par la loi du dossier, 2010-07-29 : Le cahier des charges mentionné à l'article L. 641-6 du code rural et de la pêche maritime peut rendre obligatoire la mention ""appellation d'origine contrôlée” dans l'étiquetage et la présentation des vins concernés et en déterminer les modalités d'appli […]"	https://www.assemblee-nationale.fr/13/amendements/2636/263600256.asp	juste	juste	opus-arbitre (arbitrage)	sonnet-juge-b	opus-arbitre	Remplace « douteux » (sonnet-juge-a) ; B : « juste ». Tentative rejetée d'écrire L112-2-1 sur la mention AOC des vins ; la loi du même dossier a créé L112-2-1 sur ce sujet : vise compte la tentative, non son adoption.	Le texte complet récupéré crée L112-2-1 sur le cahier des charges des vins AOC, conforme au fonds.	Tentative rejetée d'écrire L112-2-1 sur la mention AOC des vins ; la loi du même dossier a créé L112-2-1 sur ce sujet : vise compte la tentative, non son adoption.	2026-09-26
juste	018052e15dc504af	assemblee	6128	Retiré	M. Charles de Courson	L115-16	inséré	JORFDOLE000021673304	APRÈS L'ART. PREMIER BIS	Après l'article premier bis, insérer l'article suivant : Le code de la consommation est ainsi modifié : 1° Après l’article L. 112-2, il est inséré un article L. 112-2-1 ainsi rédigé : « Art. L. 112-2-1. – Tout produit qui contient un produit bénéficiant d’une appellation d’origine contrôlée peut être présenté, y compris dans la liste des ingrédients, avec la mention du nom de l’appellation concernée sous réserve du respect des conditions suivantes : « – le produit ne contient aucun autre produit de même nature que le produit d’appellation d’origine contrôlée ; « – la mention ne risque pas de d […]	L115-16 (1993-07-27) — écrit par la loi du dossier, 2010-07-29 : Est puni de deux ans d'emprisonnement et d'une amende de 37 500 € le fait : 1° De délivrer une  […] ‖ avant, 2010-05-08 : Est puni de deux ans d'emprisonnement et d'une amende de 37 500 € le fait : 1° De délivrer une appellation d'origine contrôlée sans satisfaire aux  […]	https://www.assemblee-nationale.fr/13/amendements/2636/263600143.asp	juste		sonnet-juge-a	sonnet-juge-b		Le II insère un 7° à L115-16 retrouvé quasi mot pour mot dans la version 2010-07-29 du fonds (détourne ou affaiblit la réputation de l'appellation).	Le texte complet (récupéré, tronqué dans la fiche) a un II. qui insère un 7e alinéa dans L115-16 lui-même, pas une ancre.		2026-09-26
juste	023b118f0f95bde6	assemblee	6049	Adopté	M. Jean Launay	L112-7-1	rédigé	JORFDOLE000021673304	APRÈS L'ART. PREMIER BIS	Après l'article premier bis, insérer l'article suivant : I. – Après l’article L. 112-7 du code de la consommation, il est inséré un article L. 112-7-1 ainsi rédigé : « Art. L. 112-7-1. – L’utilisation de mentions faisant état de présence de truffes ou de produits dérivés dans les produits alimentaires fait l’objet des dispositions suivantes : « 1° Les dénominations « truffé » ou « à la truffe » sont réservées aux produits alimentaires contenant un minimum de 3 % de truffe. « Le produit proposé à la consommation doit en outre indiquer le nom usuel de l’espèce de truffe utilisée dans la composit […]	"L112-7-1 (2010-07-29) — écrit par la loi du dossier, 2010-07-29 : L'utilisation de mentions faisant état de présence de truffes ou de produits dérivés de truffes dans les denrées alimentaires fait l'objet des dispositions suivantes : 1° La dénomination ""truffé” est réservée aux denrées alimentaires contenant un minimum […]"	https://www.assemblee-nationale.fr/13/amendements/2636/263600059.asp	juste		sonnet-juge-a	sonnet-juge-b		L'article L112-7-1 ainsi rédigé reprend presque mot pour mot le texte écrit par la loi du dossier au 2010-07-29.	Crée L112-7-1 mot pour mot sur les mentions de truffe, conforme au fonds.		2026-09-26
faux	025348854d4b7777	assemblee	199	Adopté	M. Michel Raison	L121-84-4	rédigé	JORFDOLE000017841208	APRÈS L'ART. 7	Après l'article 7, insérer l'article suivant : Après l’article L.121-84-3 du code de la consommation, est inséré un article L. 121-84-4 ainsi rédigé : « Art. L. 121-84-4. – Aucune somme à quelque titre que ce soit ne peut être facturée lorsqu’il a été indiqué au consommateur, sous quelque forme que ce soit que l’appel à un service, de quelque nature qu’il soit, est gratuit. Les dispositions du présent alinéa sont applicables à toute entreprise proposant directement, ou par l’intermédiaire d’un tiers, un service accessible par un service téléphonique au public. « Pour l’application de l’alinéa  […]	L121-84-4 (2008-06-01) — écrit par la loi du dossier, 2008-06-01 : La poursuite à titre onéreux de la fourniture de services accessoires à un contrat principal de communications électroniques comprenant une période initiale de gratuité est soumise à l'accord exprès du consommateur à qui ces services sont proposés.	https://www.assemblee-nationale.fr/13/amendements/0351/035100043.asp	faux		sonnet-juge-a	sonnet-juge-b		Le fonds L121-84-4 n'a qu'une version, du 2008-06-01, sur la poursuite à titre onéreux des services accessoires — sans rapport avec la gratuité affichée des appels que rédige le dispositif ; la zone a renuméroté en séance.	Le texte proposé (« aucune somme … est gratuit … service téléphonique au public ») correspond en base LEGI à L121-84-9, pas à L121-84-4 dont le contenu (accessoires à période de gratuité initiale) est sans rapport.		2026-09-26
juste	054aa5c87c89461a	assemblee	4340	Retiré	M. Bernard Gérard	L141-1	complété	JORFDOLE000020078758	APRÈS L'ART. 85	Après l'article 85, insérer l'article suivant : Le III de l’article L. 141-1 du code de la consommation est complété par un 5° ainsi rédigé : « 5° De l’article L. 271-6 du code de la construction et de l’habitation. »	L141-1 (1993-07-27) — en vigueur à la loi du dossier, 2010-07-03 : I.-Sont recherchés et constatés, dans les conditions fixées par les articles L. 450-1 à L. 450-4, L. 450-7, L. 450-8, L. 470-1 et L. 470-5 du code de commerce, les infractions ou manquements prévus aux dispositions suivantes du présent code : 1° Le chap […]	https://www.assemblee-nationale.fr/13/amendements/2449/244901486.asp	juste		sonnet-juge-a	sonnet-juge-b		Le III de L141-1, article existant sans ambiguïté de numérotation, est bien celui que le dispositif complète d'un 5° citant L271-6.	Complète directement le III de L141-1 par un 5°, conforme au fonds.		2026-09-26
juste	0610c2ae82049750	assemblee	5036	Adopté	LE GOUVERNEMENT	L531-3	rédigé	JORFDOLE000020542090	APRÈS L'ART. 34	Après l'article 34, insérer l'article suivant : Le code de la consommation est ainsi modifié : 1° Au deuxième alinéa de l’article L. 132-1, la référence : « L. 132-2 » est remplacée par la référence : « L. 534-1 » ; 2° La dernière phrase de l’article L. 132-4 est supprimée ; 3° L’article L. 132-5 est abrogé ; 4° Le dernier alinéa de l’article L. 224-2 est supprimé ; 5° À la fin du premier alinéa de l’article L. 221-3, la référence : « L. 224-1 » est remplacée par la référence : « L. 534-4 » ; 6° Après le mot : « celle-ci », la fin du dernier alinéa de l’article L. 224-3 est ainsi rédigée : « f […]	L531-3 (2010-07-03) — écrit par la loi du dossier, 2010-07-03 : L'Institut national de la consommation et les commissions mentionnées aux articles L. 534-1, L. 534-4 et L. 534-7 disposent de services communs dirigés par un directeur général.	https://www.assemblee-nationale.fr/13/amendements/2150/215000287.asp	juste		sonnet-juge-a	sonnet-juge-b		Le 9° du dispositif rédige L531-3 mot pour mot comme la loi du dossier l'a écrit au 2010-07-03.	Le texte complet crée l'article L. 531-3 mot pour mot identique au fonds.		2026-09-26
juste	064fe13dd2ddf915	assemblee	587	Rejeté	M. Frédéric Lefebvre	L113-3	complété	JORFDOLE000018730653	AVANT L'ART. 21	Avant l'article 21, insérer l'article suivant : L’article L. 113-3 du code de la consommation est complété par un alinéa ainsi rédigé : « Dans les magasins de commerce de détail d’une surface de vente supérieure à 300 mètres carrés, le consommateur est informé, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié de l’évolution depuis un an des prix de produits dont la liste est fixée par décret ».	L113-3 (1993-07-27) — en vigueur à la loi du dossier, 2001-12-12 : Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et l […]	https://www.assemblee-nationale.fr/13/amendements/0842/084200124.asp	juste		sonnet-juge-a	sonnet-juge-b		Complète directement L113-3, article existant non ambigu, d'un alinéa sur l'affichage de l'évolution des prix.	Complète directement L113-3 par un alinéa sur l'affichage de l'évolution des prix, conforme au fonds.		2026-09-26
juste	066a33a4c47b3ae6	assemblee	2300	Retiré	(non résolu)	L113-3	complété	JORFDOLE000019261102	APRÈS L'ART. PREMIER C	Après l'article premier c, insérer l'article suivant : L’article L. 113-3 du code de la consommation est complété par un alinéa ainsi rédigé : « Dès lors que leur périmètre de livraison inclut l’ensemble du territoire métropolitain, les entreprises de vente par correspondance et à distance devront étendre ce périmètre à l’ensemble des départements d’outre-mer. Une tarification spécifique, au regard des coûts supplémentaires liés à l’acheminement et aux taxes s’y rapportant, sera obligatoirement mentionnée par le vendeur. »	L113-3 (1993-07-27) — en vigueur à la loi du dossier, 2001-12-12 : Tout vendeur de produit ou tout prestataire de services doit, par voie de marquage, d'étiquetage, d'affichage ou par tout autre procédé approprié, informer le consommateur sur les prix, les limitations éventuelles de la responsabilité contractuelle et l […]	https://www.assemblee-nationale.fr/13/amendements/1579/157900387.asp	juste		sonnet-juge-a	sonnet-juge-b		Complète directement le même L113-3 existant, sans passer par une ancre.	Complète directement L113-3 par un alinéa, conforme au fonds.		2026-09-26
juste	0696fc9a39c7f956	assemblee	500	Adopté	M. Nicolas Forissier	L115-31	rédigé	JORFDOLE000018730653	APRÈS L'ART. 36	Après l'article 36, insérer l'article suivant : I. – L’accréditation est l’attestation de la compétence des organismes qui effectuent des activités d’évaluation de la conformité. Afin de garantir l’impartialité de l’accréditation, il est créé une instance nationale d’accréditation, seule habilitée à délivrer les certificats d’accréditation en France. Un décret en Conseil d’État désigne cette instance et fixe ses missions. II. – Le chapitre V du titre Ier du livre Ier du code de la consommation est ainsi modifié : 1° L’intitulé de la section 5 est ainsi rédigé : « Certification des services et  […]	L115-31 (1994-01-04) — écrit par la loi du dossier, 2009-01-01 : Sont qualifiés pour procéder à la recherche et à la constatation des infractions aux dispositio […] ‖ avant, 2007-01-01 : Sont qualifiés pour procéder à la recherche et à la constatation des infractions aux dispositions de la présente section et des textes pris pour so […]	https://www.assemblee-nationale.fr/13/amendements/0842/084200028.asp	juste		sonnet-juge-a	sonnet-juge-b		Le 5° réécrit le dernier alinéa de L115-31 en « Ces agents disposent des pouvoirs prévus au livre II du présent code », retrouvé mot pour mot dans la version 2009-01-01 du fonds.	Le texte complet réécrit le dernier alinéa de L115-31 ('5° Le dernier alinéa de l'article L.115-31 est ainsi rédigé'), conforme au fonds.		2026-09-26
juste	097de17b985e8713	assemblee	5311	Adopté	M. Jean Dionis du Séjour	L111-3	rédigés	JORFDOLE000020913188	APRÈS L'ART. 17	Après l'article 17, insérer l'article suivant : I. – L'article L. 441-6 du code de commerce est complété par un II et un III ainsi rédigés : « II. - Lorsque le prix d'un service ou d'un type de service ne peut être déterminé a priori ou indiqué avec exactitude, le prestataire de services est tenu de communiquer au destinataire qui en fait la demande la méthode de calcul du prix permettant de vérifier ce dernier, ou un devis suffisamment détaillé. « III. - Tout prestataire de services est également tenu à l'égard de tout destinataire de prestations de services des obligations d'information défi […]	L111-3 (1993-07-27) — écrit par la loi du dossier, 2010-07-25 : Les articles L. 111-1 et L. 111-2 s'appliquent sans préjudice des dispositions plus favorables a […] ‖ avant, 1993-07-27 : Les dispositions des deux articles précédents s'appliquent sans préjudice des dispositions plus favorables aux consommateurs qui soumettent certain […]	https://www.assemblee-nationale.fr/13/amendements/2388/238800207.asp	juste		sonnet-juge-a	sonnet-juge-b		Le nouvel article L111-3 rédigé par le 1° reproduit mot pour mot la version 2010-07-25 du fonds.	Le texte complet réécrit entièrement L111-3 mot pour mot, conforme au fonds.		2026-09-26
