verdict	cle	chambre	amendement	sort	auteur	article	formule	dossier	subdivision	dispositif	article_du_fonds	url	verdict_bis	verdict_ter	juge	juge_bis	juge_ter	commentaire	commentaire_bis	commentaire_ter	date_jugement
juste	0047c93408292886	assemblee	86878	Non soutenu	M. Damien Abad	L412-5	complété	JORFDOLE000036562265	APRÈS ART. 11 OCTIES	L’article L. 412‑5 du code de la consommation est complété par un alinéa ainsi rédigé : « La mention « transformé en France » est interdite. »	L412-5 (2016-07-01) — en vigueur à la loi du dossier, 2016-12-11 : Sans préjudice des dispositions spécifiques relatives à l'indication de l'origine des denrées alimentaires, l'indication de l'origine est rendue obligatoire pour le lait, ainsi que pour le lait utilisé en tant qu'ingrédient dans les produits laitiers et […]		juste		sonnet-juge-a	sonnet-juge-b		L. 412-5 est complété par un alinéa, directement, sans autre article visé.	L'article L. 412-5 « est complété par un alinéa » : modification directe de l'article visé, pas une simple citation.		2026-09-26
juste	011383ed219aa0f7	assemblee	65841	Retiré	Mme Fannette Charvier	L121-2	inséré	JORFDOLE000043113774	APRÈS ART. 4	Après le b du 2° de l’article L. 121‑2 du code de la consommation, il est inséré un b bis ainsi rédigé : « b bis ) La démarche de développement durable de l’annonceur ou la qualité écologique réelle du bien ou du service ; ».	L121-2 (2016-07-01) — écrit par la loi du dossier, 2021-08-25 : Une pratique commerciale est trompeuse si elle est commise dans l'une des circonstances suivante […] ‖ avant, 2016-07-01 : Une pratique commerciale est trompeuse si elle est commise dans l'une des circonstances suivantes : 1° Lorsqu'elle crée une confusion avec un autre […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif insère un b bis dans le 2° de L. 121-2 lui-même.	« il est inséré un b bis » dans le 2° de l'article L. 121-2 lui-même : insertion dans le corps de l'article, non une ancre externe.		2026-09-26
juste	01551ba9ffd5696f	assemblee	77063	Rejeté	M. Thierry Benoit	L121-4	inséré	JORFDOLE000039451785	APRÈS ART. PREMIER	Après le 2° de l’article L. 121‑4 du code de la consommation, il est inséré un 2° bis ainsi rédigé : « 2° bis D’afficher un certificat, un label de qualité ou un équivalent intitulé « Transformé en France » pour les produits alimentaires ; ».	L121-4 (2016-07-01) — en vigueur à la loi du dossier, 2020-02-12 : Sont réputées trompeuses, au sens des articles L. 121-2 et L. 121-3, les pratiques commerciales qui ont pour objet : 1° Pour un professionnel, de se prétendre signataire d'un code de conduite alors qu'il ne l'est pas ; 2° D'afficher un certificat, un la […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif insère un 2° bis dans L. 121-4 lui-même.	« il est inséré un 2° bis » après le 2° de l'article L. 121-4, dans le corps même de cet article.		2026-09-26
juste	01a66e1253ba3307	assemblee	61726	Rejeté	M. André Chassaigne	L111-1	complété	JORFDOLE000043113774	APRÈS ART. PREMIER	Le 1° de l’article L. 111‑1 du code de la consommation est complété par une phrase ainsi rédigée : « Ces caractéristiques essentielles comprennent notamment les informations relatives à son impact environnemental, et notamment son impact sur le climat, tel que défini par l’article 15 de la loi n° 2020‑105 du 10 février 2020 relative à la lutte contre le gaspillage et à l’économie circulaire. »	L111-1 (1993-07-27) — en vigueur à la loi du dossier, 2020-02-12 : Avant que le consommateur ne soit lié par un contrat de vente de biens ou de fourniture de services, le professionnel communique au consommateur, de manière lisible et compréhensible, les informations suivantes : 1° Les caractéristiques essentielles du  […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète le 1° de L. 111-1 par une phrase, sans citer d'ancre.	« Le 1° de l'article L. 111-1... est complété par une phrase » : modification directe de l'article visé.		2026-09-26
juste	025463758f579501	assemblee	78317	Non soutenu	M. Bruno Bilde	L121-4	inséré	JORFDOLE000043701629	APRÈS ART. 3 BIS	Après le 2° de l’article L. 121‑4 du code de la consommation, il est inséré un 2° bis ainsi rédigé : « 2° bis D’afficher un certificat, un label de qualité ou une mention intitulés : « Fabriqué en France » ou un équivalent, pour les produits alimentaires, lorsque leur composition ne contient pas un taux minimum de produits agricoles d’origine française défini par décret ; ».	L121-4 (2016-07-01) — écrit par la loi du dossier, 2021-10-20 : Sont réputées trompeuses, au sens des articles L. 121-2 et L. 121-3, les pratiques commerciales  […] ‖ avant, 2020-02-12 : Sont réputées trompeuses, au sens des articles L. 121-2 et L. 121-3, les pratiques commerciales qui ont pour objet : 1° Pour un professionnel, de s […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif insère un 2° bis dans L. 121-4 lui-même.	Même schéma que 01551ba9ffd5696f : « il est inséré un 2° bis » dans le 2° de l'article L. 121-4.		2026-09-26
juste	02a8dc70d0722171	assemblee	48109	Non soutenu	M. Francis Vercamer	L313-25-1	complété	JORFDOLE000037080861	APRÈS ART. 71	Le premier alinéa de l’article L. 313‑25‑1 du code de la consommation est complété par les mots : « et de garantir que les conditions tarifaires en vigueur au moment de la signature du crédit ne pourront être modifiées dans un sens défavorable à l’emprunteur par rapport à leur situation à la signature du crédit pour le même type de prestation, et ce, sur la durée fixée par le préteur pour la condition de domiciliation de revenus. »	L313-25-1 (2018-01-01) — écrit par la loi du dossier, 2018-01-01 : Le prêteur peut conditionner l'offre de prêt mentionnée à l'article L. 313-24 à la domiciliation par l'emprunteur de ses salaires ou revenus assimilés sur un compte de paiement mentionné à l'article L. 314-1 du code monétaire et financier, sous réserve  […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète le premier alinéa de L. 313-25-1 lui-même.	« Le premier alinéa de l'article L. 313-25-1... est complété par les mots » : modification directe.		2026-09-26
juste	0420c813c789bd61	assemblee	49553		M. Éric Bothorel	L221-13	inséré	JORFDOLE000037080861	APRÈS ART. 61 NONIES	Après le premier alinéa de l’article L. 221‑13 du code de la consommation, il est inséré un alinéa ainsi rédigé : « Le support durable mentionné au premier alinéa prend nécessairement la forme d’un courrier électronique. En complément, le professionnel peut choisir d’utiliser d’autres types de support. »	L221-13 (2016-07-01) — en vigueur à la loi du dossier, 2016-07-01 : Le professionnel fournit au consommateur, sur support durable, dans un délai raisonnable, après la conclusion du contrat et au plus tard au moment de la livraison du bien ou avant le début de l'exécution du service, la confirmation du contrat comprenan […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif insère un alinéa après le premier alinéa de L. 221-13, dans l'article lui-même.	« il est inséré un alinéa » après le premier alinéa de l'article L. 221-13, dans le corps de cet article.		2026-09-26
juste	042fdebfc99d4998	assemblee	76688		Mme Delphine Batho	L224-3	inséré	JORFDOLE000035518975	APRÈS ART. 6	Le code de la consommation est ainsi modifié : 1° Après le 3° de l’article L. 224‑3, il est inséré un 3° bis ainsi rédigé : « 3° bis Les proportions de gaz naturel et de biométhane dans le gaz proposé ; » ; 2° Le premier alinéa de l’article L. 224‑12 est complété par la phrase suivante : « Elles précisent notamment les proportions de gaz naturel et de biométhane dans le gaz distribué. »	L224-3 (1993-07-27) — écrit par la loi du dossier, 2018-01-01 : L'offre de fourniture d'électricité ou de gaz naturel précise, dans des termes clairs et compréh […] ‖ avant, 2016-07-01 : L'offre de fourniture d'électricité ou de gaz naturel précise, dans des termes clairs et compréhensibles, les informations suivantes : 1° L'identit […]		juste		sonnet-juge-a	sonnet-juge-b		Le 1° du dispositif insère un 3° bis après le 3° de L. 224-3, dans l'article lui-même.	« Après le 3° de l'article L. 224-3, il est inséré un 3° bis » : insertion dans le corps de l'article visé (le volet L. 224-12 n'est pas cette arête).		2026-09-26
juste	052e95b165f9d77b	assemblee	60248	Adopté	M. Vincent Thiébaut	L441-6	rédigé	JORFDOLE000042956321	APRÈS ART. 7	Après l’article L. 441‑5 du code de la consommation, il est inséré un article L. 441‑6 ainsi rédigé : « Art. L. 441‑6. – Toute technique, y compris logicielle, dont l’objet est de restreindre la liberté d’un consommateur d’installer les logiciels ou les systèmes d’exploitation de son choix sur son bien, à l’issue du délai prévu à l’article L. 217‑12, est interdite ».	L441-6 (2021-11-17) — écrit par la loi du dossier, 2021-11-17 : Toute technique, y compris logicielle, dont l'objet est de restreindre la liberté du consommateur d'installer les logiciels ou les systèmes d'exploitation de son choix sur son terminal, à l'issue du délai prévu à l'article L. 217-12, est interdite, sauf si […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif crée L. 441-6 avec un contenu quasi identique à celui écrit par la loi du dossier à cette même date.	L'amendement crée lui-même « Art. L. 441-6 » (l'ancre est L. 441-5) avec un contenu quasi identique à celui écrit par la loi sous ce numéro.		2026-09-26
juste	05526a80aa17651d	assemblee	47796	Non soutenu	M. Guy Bricout	L341-34-1	complété	JORFDOLE000037080861	APRÈS ART. 71	L’article L341‑34‑1 du code de la consommation est complété par les mots : « , ainsi que de toute clause qui maintiendrait cette condition lors de la souscription, par l’emprunteur, d’une nouvelle opération de financement de crédit immobilier dans un autre établissement prêteur. ».	L341-34-1 (2018-01-01) — écrit par la loi du dossier, 2018-01-01 : Est réputée non écrite toute clause par laquelle le prêteur subordonne l'octroi du prêt ou la conclusion de l'avenant au contrat de crédit initial à la condition de domiciliation mentionnée à l'article L. 313-25-1 sans l'assortir en contrepartie de l'av […]		juste		sonnet-juge-a	sonnet-juge-b		Le dispositif complète L. 341-34-1 lui-même, sans ancre.	« L'article L. 341-34-1... est complété par les mots » : modification directe.		2026-09-26
