article	celex	attendus	rang	juge	commentaire
L221-10-1	32019L2161	54|55	1	claude-opus-5	interdiction des visites non sollicitées : (54) pratiques agressives hors établissement, (55) liberté des États membres de les restreindre
L121-4	32019L2161	20|49|50	1	claude-opus-5	pratiques réputées trompeuses ajoutées par 2019/2161 : résultats de recherche payés (20), faux avis (49), revente de billets par robots (50)
L221-26	32019L2161	38|37	2	claude-opus-5	rétractation sur contenu numérique sans support : (38) exception si consentement exprès, (37) consentement avant expiration du délai
L221-28	32019L2161	42|43|38	1	claude-opus-5	exceptions au droit de rétractation : services exécutés (42), énergie hors réseau (43), contenu numérique (38)
L221-25	32019L2161	37|44	—	claude-opus-5	exécution avant la fin du délai de rétractation : consentement (37), coûts supportés (44)
L221-1	32019L2161	30|25	—	claude-opus-5	définitions : contenu et service numériques (30), place de marché en ligne (25)
L132-1 A	32019L2161	10|12|13	1	claude-opus-5	amende civile sur demande d'assistance mutuelle, plafond en chiffre d'affaires : (10), (12), (13)
L121-2	32019L2161	51|52|53	1	claude-opus-5	pratique trompeuse : bien présenté comme identique dans un autre État membre (51 à 53)
L241-2	32019L2161	14	—	claude-opus-5	amende pour clauses abusives : (14) sanctions ajoutées à la directive 93/13
L241-1-1	32019L2161	10|12|13|14	1	claude-opus-5	amende civile clauses abusives, assistance mutuelle : sanctions (10, 12, 13), directive 93/13 (14)
L224-40	32018L1972	274|273	1	claude-opus-5	prolongation automatique du contrat : (274), changement de fournisseur (273)
L224-33	32018L1972	275|276	1	claude-opus-5	modification des conditions contractuelles : (275) droit de résilier, (276) information sur support durable
L224-42-2	32018L1972	283|259	1	claude-opus-5	offres groupées : (283), (259)
L224-27	32018L1972	261|258	1	claude-opus-5	information précontractuelle : (261) avant la conclusion, (258) le contrat comme instrument de transparence
L224-42-1	32018L1972	282|281	1	claude-opus-5	indemnisation en cas de retard de portage ou de changement : (282), délai de portabilité (281)
L224-14	32019L0944	34|32|33	1	claude-opus-5	changement de fournisseur en 21 jours : délais (34), obstacles (32), frais (33)
L224-9-1	32019L0944	37|38	2	claude-opus-5	offres à tarification dynamique : (37), (38)
L614-2	32013R0524	30	1	claude-opus-5	lien vers la plateforme de RLL sur le site du médiateur : (30)
L452-5-1	32023R0988	43	—	claude-opus-5	fabricant ou importateur qui ne notifie pas un accident : (43)
L421-2	32023R0988	9	3	claude-opus-5	produits susceptibles d'être utilisés par les consommateurs dans des conditions raisonnablement prévisibles : (9)
L112-1-1	32019L2161	aucun	—	claude-opus-5	annonces de réduction de prix : aucun considérant de 2019/2161 ne les motive, la règle vient de l'article 2 seul — le classement doit rendre rien
