num_article,id_legi,date_debut,livre,texte_producteur_version,nature_producteur,article_predecesseur,texte_origine,nature_origine,id_dole_origine,legislature_origine,eligible_resulte_de
L111-1,LEGIARTI000044142438,2021-10-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2021-1247 du 29 septembre 2021,ORDONNANCE,L111-1,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-2,LEGIARTI000032227350,2016-07-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,L111-2,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-3,LEGIARTI000034388081,2017-04-08,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2017-484 du 6 avril 2017,ORDONNANCE,L111-2,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-4,LEGIARTI000044330854,2022-01-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2021-1485 du 15 novembre 2021,LOI,L111-3,LOI n° 2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-4-1,LEGIARTI000043960416,2023-01-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2021-1104 du 22 août 2021,LOI,,LOI n°2021-1104 du 22 août 2021,LOI,JORFDOLE000043113774,15,1
L111-5,LEGIARTI000043974986,2023-01-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2021-1104 du 22 août 2021,LOI,L111-4,LOI n° 2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-6,LEGIARTI000044564977,2022-01-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2021-1755 du 23 décembre 2021,LOI,L111-5,LOI n°2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L111-7,LEGIARTI000049571125,2024-02-17,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2024-449 du 21 mai 2024,LOI,L111-5-1,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,1
L111-7-2,LEGIARTI000049571119,2024-02-17,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2024-449 du 21 mai 2024,LOI,,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,1
L111-7-3,LEGIARTI000049571116,2024-02-17,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2024-449 du 21 mai 2024,LOI,,LOI n°2024-449 du 21 mai 2024,LOI,JORFDOLE000047533100,16,1
L111-8,LEGIARTI000032227338,2016-07-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,L111-7,LOI n° 2014-344 du 17 mars 2014,LOI,JORFDOLE000027383756,14,1
L112-1,LEGIARTI000032227331,2016-07-01,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2016-301 du 14 mars 2016,ORDONNANCE,L113-3,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,1
L112-1-1,LEGIARTI000044549592,2022-05-28,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,Ordonnance n°2021-1734 du 22 décembre 2021,ORDONNANCE,,Ordonnance n°2021-1734 du 22 décembre 2021,ORDONNANCE,JORFDOLE000044550081,15,0
L112-2,LEGIARTI000034072548,2017-02-23,Livre Ier : INFORMATION DES CONSOMMATEURS ET PRATIQUES COMMERCIALES,LOI n°2017-203 du 21 février 2017,LOI,L113-3,LOI n°2015-990 du 6 août 2015,LOI,JORFDOLE000029883713,14,1
