id_dole,articles_eligibles,texte_initial_disponible,issus_du_texte_initial,repris_a_plus_de_90pc,repris_de_10_a_90pc,repris_a_moins_de_10pc,issus_de_la_navette,rapports_exploites,ancres_par_un_rapport,ancres_declares_en_entete,jeux_amendements,amendements_adoptes,rattaches_a_un_amendement,rattaches_parmi_la_navette,rattachement_survivant_en_vigueur
JORFDOLE000027383756,307,1,172,107,151,33,135,8,289,174,3,229,59,29,12
JORFDOLE000020542090,96,1,62,45,31,8,34,5,85,80,2,17,2,0,0
JORFDOLE000029883713,47,1,4,1,11,14,43,14,45,32,2,315,7,4,3
JORFDOLE000026795365,44,1,2,1,25,15,42,8,42,0,3,95,7,6,5
JORFDOLE000029589477,32,1,1,1,0,31,31,11,32,32,2,242,3,3,3
JORFDOLE000029134377,25,1,3,0,17,1,22,4,25,20,2,58,1,1,1
JORFDOLE000020213483,23,0,0,0,0,0,23,5,23,0,0,0,0,0,0
JORFDOLE000027617351,23,1,0,0,3,17,23,10,23,2,3,338,0,0,0
JORFDOLE000017841208,20,0,0,0,0,0,20,4,7,5,0,0,0,0,0
JORFDOLE000020132583,19,1,0,0,0,0,19,6,8,1,1,0,0,0,0
JORFDOLE000051045642,18,1,0,0,0,0,18,2,0,0,0,0,0,0,0
JORFDOLE000018730653,16,0,0,0,0,0,16,6,6,0,0,0,0,0,0
JORFDOLE000029310724,15,1,5,3,6,0,10,10,10,8,2,298,1,1,0
JORFDOLE000047533100,14,1,8,2,8,4,6,5,6,0,2,45,3,2,2
JORFDOLE000038746653,12,1,11,7,4,1,1,9,0,0,1,222,2,0,0
JORFDOLE000021369332,11,1,0,0,4,5,11,11,11,2,2,99,4,4,2
JORFDOLE000017758176,11,0,0,0,0,0,11,3,11,0,0,0,0,0,0
JORFDOLE000046027237,10,1,6,5,2,0,4,4,0,0,1,51,2,2,2
JORFDOLE000043113774,9,1,6,3,5,0,3,10,0,0,2,502,3,2,2
JORFDOLE000022095875,7,1,0,0,6,0,7,2,7,7,1,56,1,1,1
JORFDOLE000019648575,7,1,2,0,5,0,5,4,7,0,0,0,0,0,0
JORFDOLE000041566073,6,1,6,1,5,0,0,10,0,0,2,24,2,0,0
JORFDOLE000032669047,6,1,0,0,3,0,6,4,6,0,1,13,1,1,0
JORFDOLE000043701629,4,1,1,0,1,1,3,4,0,0,1,41,3,3,3
JORFDOLE000042956321,4,1,2,2,0,1,2,5,0,0,1,11,0,0,0
JORFDOLE000050427907,4,1,0,0,0,3,4,4,0,0,1,49,2,2,2
JORFDOLE000046590737,4,1,4,1,3,0,0,5,0,0,2,22,0,0,0
JORFDOLE000044373959,4,1,2,0,2,1,2,4,0,0,1,7,0,0,0
JORFDOLE000030513128,4,1,0,0,0,4,4,8,4,0,2,81,0,0,0
JORFDOLE000027750379,3,1,2,2,0,1,1,7,2,1,2,125,0,0,0
JORFDOLE000048399123,3,1,2,0,2,0,1,4,2,0,2,11,0,0,0
JORFDOLE000044288828,3,1,0,0,0,0,3,3,0,0,0,0,0,0,0
JORFDOLE000018770022,2,1,0,0,0,1,2,5,2,2,1,7,0,0,0
JORFDOLE000019456981,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0
JORFDOLE000039451785,2,1,2,0,2,0,0,4,0,0,0,0,0,0,0
JORFDOLE000044125588,2,1,1,0,2,0,1,5,0,0,0,0,0,0,0
JORFDOLE000026246096,2,1,0,0,0,0,2,5,0,0,0,0,0,0,0
JORFDOLE000019261102,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0
JORFDOLE000020078758,1,1,0,0,1,0,1,7,0,0,2,252,0,0,0
JORFDOLE000032319792,1,1,1,1,0,0,0,11,1,0,2,165,0,0,0
JORFDOLE000043496065,1,1,1,1,0,0,0,5,0,0,2,220,0,0,0
JORFDOLE000048559623,1,1,0,0,0,0,1,4,1,0,2,55,0,0,0
JORFDOLE000027926565,1,1,0,0,0,0,1,4,1,0,1,13,1,1,1
JORFDOLE000031978450,1,1,1,0,1,0,0,4,0,0,2,58,1,0,0
JORFDOLE000041534356,1,1,1,0,1,0,0,4,0,0,1,51,0,0,0
JORFDOLE000030536694,1,1,0,0,0,1,1,4,1,0,1,44,0,0,0
JORFDOLE000031278667,1,0,0,0,0,0,1,27,1,0,1,87,0,0,0
JORFDOLE000036769798,1,1,1,0,1,0,0,5,0,0,2,188,1,0,0
